episode,Objective,Banana,Chicken
1,0,0,0
2,100,0,0
3,0,30,0
4,100,0,0
5,0,30,0
6,0,0,70
7,0,30,0
8,100,30,0
9,100,0,0
10,100,0,0
11,0,30,0
12,100,30,0
13,100,0,0
14,100,30,0
15,0,30,0
16,100,30,0
17,100,30,0
18,100,30,0
19,0,0,70
20,100,0,0
21,100,0,0
22,100,0,0
23,100,0,0
24,100,30,0
25,100,0,0
26,100,30,0
27,0,30,0
28,100,0,0
29,100,0,0
30,100,30,0
31,100,0,0
32,100,30,0
33,100,30,0
34,100,0,0
35,100,0,0
36,100,30,0
37,0,30,0
38,100,30,0
39,100,30,0
40,0,30,0
41,100,30,0
42,100,0,0
43,100,30,0
44,100,30,0
45,100,30,0
46,100,30,0
47,100,30,0
48,100,30,0
49,100,30,0
50,100,30,0
51,100,0,0
52,100,30,0
53,0,0,70
54,0,30,0
55,100,30,0
56,100,30,0
57,100,0,0
58,100,30,0
59,100,30,0
60,100,30,0
61,100,30,0
62,100,0,0
63,100,30,0
64,100,0,0
65,100,30,0
66,100,30,0
67,100,30,0
68,100,30,0
69,100,0,0
70,100,30,0
71,100,30,0
72,100,30,0
73,0,0,70
74,100,30,0
75,100,30,0
76,100,0,0
77,100,0,0
78,100,30,0
79,100,30,0
80,100,30,0
81,100,0,0
82,100,30,0
83,100,30,0
84,100,0,0
85,100,30,0
86,100,30,0
87,100,30,0
88,100,30,0
89,100,30,0
90,100,30,0
91,100,30,0
92,100,0,0
93,100,30,0
94,100,30,0
95,100,0,0
96,100,30,0
97,100,30,0
98,100,0,0
99,100,30,0
100,100,30,0
101,100,30,0
102,100,30,0
103,100,30,0
104,100,0,0
105,100,30,0
106,0,0,70
107,100,30,0
108,100,0,0
109,100,30,0
110,100,30,0
111,100,0,0
112,100,30,0
113,100,30,0
114,100,30,0
115,100,30,0
116,100,0,0
117,100,0,0
118,100,30,0
119,100,0,0
120,100,30,0
121,100,30,0
122,100,30,0
123,100,30,0
124,100,30,0
125,100,30,0
126,100,0,0
127,100,30,0
128,100,0,0
129,100,30,0
130,100,30,0
131,100,30,0
132,100,30,0
133,100,30,0
134,100,30,0
135,100,30,0
136,100,30,0
137,0,30,0
138,100,30,0
139,100,0,0
140,100,0,0
141,100,0,0
142,100,30,0
143,100,30,0
144,100,30,0
145,100,30,0
146,100,0,0
147,100,30,0
148,100,0,0
149,100,30,0
150,100,30,0
151,100,30,0
152,100,30,0
153,100,30,0
154,100,0,0
155,100,30,0
156,100,30,0
157,100,30,0
158,100,0,0
159,100,30,0
160,100,30,0
161,100,30,0
162,100,30,0
163,100,30,0
164,100,30,0
165,100,0,0
166,100,30,0
167,100,30,0
168,100,30,0
169,100,30,0
170,100,30,0
171,100,0,0
172,100,30,0
173,100,30,0
174,100,30,0
175,100,30,0
176,100,30,0
177,100,30,0
178,100,0,0
179,100,30,0
180,100,30,0
181,100,30,0
182,100,30,0
183,100,30,0
184,100,30,0
185,100,30,0
186,100,30,0
187,100,30,0
188,100,30,0
189,100,30,0
190,100,30,0
191,100,30,0
192,100,30,0
193,100,30,0
194,100,30,0
195,100,30,0
196,100,30,0
197,100,30,0
198,100,30,0
199,100,30,0
200,100,30,0
201,100,30,0
202,100,30,0
203,100,30,0
204,0,0,70
205,100,30,0
206,100,30,0
207,100,30,0
208,100,30,0
209,100,0,0
210,100,30,0
211,100,30,0
212,100,30,0
213,100,30,0
214,100,0,0
215,100,30,0
216,100,0,0
217,100,30,0
218,100,30,0
219,100,30,0
220,100,30,0
221,100,30,0
222,100,30,0
223,100,30,0
224,100,30,0
225,100,30,0
226,100,30,0
227,100,30,0
228,100,30,0
229,100,30,0
230,100,30,0
231,100,30,0
232,100,30,0
233,100,30,0
234,100,30,0
235,100,30,0
236,100,30,0
237,100,30,0
238,100,30,0
239,100,30,0
240,100,30,0
241,100,30,0
242,100,30,0
243,100,30,0
244,100,30,0
245,100,30,0
246,100,30,0
247,100,30,0
248,100,30,0
249,100,30,0
250,100,30,0
251,100,30,0
252,100,30,0
253,100,30,0
254,100,30,0
255,100,30,0
256,100,30,0
257,100,30,0
258,100,30,0
259,100,30,0
260,100,30,0
261,100,30,0
262,100,30,0
263,100,30,0
264,100,30,0
265,100,30,0
266,100,30,0
267,100,30,0
268,100,30,0
269,100,0,0
270,100,0,0
271,100,30,0
272,100,30,0
273,100,30,0
274,100,30,0
275,100,30,0
276,100,30,0
277,100,30,0
278,100,30,0
279,100,0,0
280,100,30,0
281,100,30,0
282,100,30,0
283,100,30,0
284,100,30,0
285,100,30,0
286,100,30,0
287,100,30,0
288,100,30,0
289,100,30,0
290,100,30,0
291,100,30,0
292,100,0,0
293,100,30,0
294,100,0,0
295,0,0,70
296,100,30,0
297,100,30,0
298,0,0,70
299,100,30,0
300,100,30,0
301,100,30,0
302,100,30,0
303,100,30,0
304,100,30,0
305,100,30,0
306,100,30,0
307,100,30,0
308,100,30,0
309,100,30,0
310,100,30,0
311,100,30,0
312,100,30,0
313,100,30,0
314,100,30,0
315,100,30,0
316,100,0,0
317,100,30,0
318,100,30,0
319,100,30,0
320,100,30,0
321,100,30,0
322,100,30,0
323,100,30,0
324,100,30,0
325,100,30,0
326,100,30,0
327,100,30,0
328,100,30,0
329,100,30,0
330,100,30,0
331,100,30,0
332,100,30,0
333,100,30,0
334,100,30,0
335,100,30,0
336,100,30,0
337,100,30,0
338,100,30,0
339,100,30,0
340,100,30,0
341,100,30,0
342,100,30,0
343,100,30,0
344,100,30,0
345,100,30,0
346,100,30,0
347,100,30,0
348,100,30,0
349,100,30,0
350,100,30,0
351,100,30,0
352,100,30,0
353,100,30,0
354,100,30,0
355,100,30,0
356,100,30,0
357,100,30,0
358,100,30,0
359,100,30,0
360,100,30,0
361,0,0,70
362,100,30,0
363,100,30,0
364,100,30,0
365,100,30,0
366,100,30,0
367,100,30,0
368,100,30,0
369,100,30,0
370,100,30,0
371,100,30,0
372,100,30,0
373,100,30,0
374,100,30,0
375,100,30,0
376,100,30,0
377,100,30,0
378,100,30,0
379,100,30,0
380,100,30,0
381,100,30,0
382,100,30,0
383,100,30,0
384,100,30,0
385,100,30,0
386,100,30,0
387,100,30,0
