"Step","setup: Dylam - ep_info/Banana","setup: Dylam - ep_info/Banana__MIN","setup: Dylam - ep_info/Banana__MAX","setup: Drq - ep_info/Banana","setup: Drq - ep_info/Banana__MIN","setup: Drq - ep_info/Banana__MAX","setup: Decq - ep_info/Banana","setup: Decq - ep_info/Banana__MIN","setup: Decq - ep_info/Banana__MAX","setup: Baseline - ep_info/Banana","setup: Baseline - ep_info/Banana__MIN","setup: Baseline - ep_info/Banana__MAX"
"1","11.25","0","30","18","0","30","12","0","30","21","0","30"
"2","15","0","30","12","0","30","15","0","30","12","0","30"
"3","22.5","0","30","21","0","30","15","0","30","18","0","30"
"4","22.5","0","30","27","0","30","18","0","30","15","0","30"
"5","15","0","30","27","0","30","21","0","30","18","0","30"
"6","15","0","30","18","0","30","12","0","30","9","0","30"
"7","30","30","30","18","0","30","21","0","30","24","0","30"
"8","26.25","0","30","21","0","30","21","0","30","27","0","30"
"9","26.25","0","30","24","0","30","24","0","30","24","0","30"
"10","22.5","0","30","27","0","30","27","0","30","21","0","30"
"11","26.25","0","30","24","0","30","27","0","30","24","0","30"
"12","26.25","0","30","30","30","30","21","0","30","24","0","30"
"13","22.5","0","30","30","30","30","21","0","30","24","0","30"
"14","22.5","0","30","24","0","30","27","0","30","24","0","30"
"15","30","30","30","24","0","30","24","0","30","24","0","30"
"16","30","30","30","24","0","30","30","30","30","27","0","30"
"17","26.25","0","30","27","0","30","21","0","30","27","0","30"
"18","30","30","30","30","30","30","24","0","30","24","0","30"
"19","22.5","0","30","27","0","30","30","30","30","21","0","30"
"20","22.5","0","30","21","0","30","21","0","30","30","30","30"
"21","26.25","0","30","30","30","30","24","0","30","21","0","30"
"22","26.25","0","30","27","0","30","18","0","30","24","0","30"
"23","18.75","0","30","27","0","30","18","0","30","27","0","30"
"24","30","30","30","27","0","30","24","0","30","21","0","30"
"25","22.5","0","30","21","0","30","24","0","30","27","0","30"
"26","18.75","0","30","27","0","30","27","0","30","24","0","30"
"27","30","30","30","24","0","30","18","0","30","21","0","30"
"28","22.5","0","30","27","0","30","21","0","30","24","0","30"
"29","22.5","0","30","27","0","30","30","30","30","24","0","30"
"30","22.5","0","30","24","0","30","24","0","30","24","0","30"
"31","22.5","0","30","18","0","30","30","30","30","30","30","30"
"32","30","30","30","24","0","30","18","0","30","27","0","30"
"33","30","30","30","30","30","30","27","0","30","27","0","30"
"34","18.75","0","30","27","0","30","24","0","30","21","0","30"
"35","22.5","0","30","27","0","30","30","30","30","21","0","30"
"36","30","30","30","27","0","30","21","0","30","24","0","30"
"37","22.5","0","30","24","0","30","24","0","30","18","0","30"
"38","26.25","0","30","21","0","30","21","0","30","24","0","30"
"39","30","30","30","24","0","30","27","0","30","21","0","30"
"40","26.25","0","30","30","30","30","27","0","30","30","30","30"
"41","22.5","0","30","27","0","30","27","0","30","21","0","30"
"42","22.5","0","30","24","0","30","24","0","30","24","0","30"
"43","26.25","0","30","30","30","30","27","0","30","27","0","30"
"44","22.5","0","30","24","0","30","24","0","30","24","0","30"
"45","22.5","0","30","30","30","30","18","0","30","30","30","30"
"46","26.25","0","30","27","0","30","27","0","30","21","0","30"
"47","26.25","0","30","30","30","30","30","30","30","27","0","30"
"48","30","30","30","24","0","30","30","30","30","21","0","30"
"49","30","30","30","27","0","30","18","0","30","27","0","30"
"50","18.75","0","30","27","0","30","24","0","30","21","0","30"
"51","22.5","0","30","30","30","30","30","30","30","27","0","30"
"52","26.25","0","30","27","0","30","24","0","30","27","0","30"
"53","26.25","0","30","30","30","30","24","0","30","27","0","30"
"54","30","30","30","24","0","30","24","0","30","27","0","30"
"55","22.5","0","30","27","0","30","27","0","30","24","0","30"
"56","22.5","0","30","27","0","30","21","0","30","24","0","30"
"57","26.25","0","30","24","0","30","21","0","30","24","0","30"
"58","30","30","30","30","30","30","24","0","30","24","0","30"
"59","22.5","0","30","30","30","30","21","0","30","21","0","30"
"60","26.25","0","30","30","30","30","21","0","30","24","0","30"
"61","26.25","0","30","30","30","30","27","0","30","27","0","30"
"62","22.5","0","30","27","0","30","12","0","30","24","0","30"
"63","26.25","0","30","27","0","30","21","0","30","21","0","30"
"64","15","0","30","24","0","30","24","0","30","27","0","30"
"65","26.25","0","30","30","30","30","24","0","30","21","0","30"
"66","22.5","0","30","27","0","30","21","0","30","24","0","30"
"67","30","30","30","27","0","30","21","0","30","30","30","30"
"68","22.5","0","30","24","0","30","21","0","30","21","0","30"
"69","18.75","0","30","15","0","30","24","0","30","24","0","30"
"70","18.75","0","30","30","30","30","27","0","30","24","0","30"
"71","26.25","0","30","30","30","30","15","0","30","24","0","30"
"72","22.5","0","30","30","30","30","24","0","30","24","0","30"
"73","22.5","0","30","30","30","30","18","0","30","21","0","30"
"74","22.5","0","30","27","0","30","21","0","30","24","0","30"
"75","30","30","30","27","0","30","21","0","30","21","0","30"
"76","26.25","0","30","30","30","30","24","0","30","27","0","30"
"77","26.25","0","30","24","0","30","21","0","30","21","0","30"
"78","22.5","0","30","30","30","30","18","0","30","21","0","30"
"79","26.25","0","30","30","30","30","18","0","30","24","0","30"
"80","26.25","0","30","27","0","30","21","0","30","21","0","30"
"81","18.75","0","30","30","30","30","21","0","30","24","0","30"
"82","26.25","0","30","30","30","30","21","0","30","27","0","30"
"83","22.5","0","30","30","30","30","15","0","30","24","0","30"
"84","22.5","0","30","27","0","30","21","0","30","21","0","30"
"85","18.75","0","30","30","30","30","27","0","30","24","0","30"
"86","26.25","0","30","27","0","30","24","0","30","24","0","30"
"87","26.25","0","30","30","30","30","24","0","30","24","0","30"
"88","26.25","0","30","27","0","30","12","0","30","21","0","30"
"89","22.5","0","30","27","0","30","24","0","30","24","0","30"
"90","26.25","0","30","24","0","30","24","0","30","24","0","30"
"91","26.25","0","30","30","30","30","21","0","30","21","0","30"
"92","18.75","0","30","24","0","30","21","0","30","27","0","30"
"93","26.25","0","30","30","30","30","21","0","30","24","0","30"
"94","26.25","0","30","27","0","30","18","0","30","27","0","30"
"95","18.75","0","30","27","0","30","15","0","30","24","0","30"
"96","26.25","0","30","30","30","30","21","0","30","24","0","30"
"97","22.5","0","30","30","30","30","21","0","30","24","0","30"
"98","26.25","0","30","24","0","30","21","0","30","21","0","30"
"99","26.25","0","30","30","30","30","27","0","30","21","0","30"
"100","18.75","0","30","30","30","30","24","0","30","27","0","30"
"101","30","30","30","24","0","30","24","0","30","24","0","30"
"102","22.5","0","30","30","30","30","24","0","30","21","0","30"
"103","26.25","0","30","30","30","30","24","0","30","21","0","30"
"104","22.5","0","30","27","0","30","24","0","30","21","0","30"
"105","26.25","0","30","24","0","30","12","0","30","27","0","30"
"106","18.75","0","30","27","0","30","21","0","30","21","0","30"
"107","26.25","0","30","24","0","30","21","0","30","27","0","30"
"108","15","0","30","30","30","30","24","0","30","24","0","30"
"109","26.25","0","30","30","30","30","21","0","30","24","0","30"
"110","30","30","30","24","0","30","21","0","30","21","0","30"
"111","22.5","0","30","27","0","30","21","0","30","24","0","30"
"112","22.5","0","30","30","30","30","21","0","30","24","0","30"
"113","26.25","0","30","27","0","30","27","0","30","24","0","30"
"114","22.5","0","30","27","0","30","24","0","30","27","0","30"
"115","26.25","0","30","27","0","30","18","0","30","24","0","30"
"116","18.75","0","30","27","0","30","21","0","30","21","0","30"
"117","22.5","0","30","27","0","30","21","0","30","24","0","30"
"118","22.5","0","30","30","30","30","27","0","30","24","0","30"
"119","22.5","0","30","30","30","30","21","0","30","21","0","30"
"120","26.25","0","30","30","30","30","24","0","30","21","0","30"
"121","30","30","30","27","0","30","18","0","30","15","0","30"
"122","30","30","30","30","30","30","21","0","30","18","0","30"
"123","26.25","0","30","27","0","30","21","0","30","21","0","30"
"124","26.25","0","30","24","0","30","24","0","30","27","0","30"
"125","22.5","0","30","30","30","30","21","0","30","24","0","30"
"126","26.25","0","30","21","0","30","24","0","30","24","0","30"
"127","26.25","0","30","27","0","30","24","0","30","24","0","30"
"128","22.5","0","30","30","30","30","24","0","30","21","0","30"
"129","26.25","0","30","30","30","30","21","0","30","27","0","30"
"130","26.25","0","30","27","0","30","27","0","30","21","0","30"
"131","26.25","0","30","30","30","30","21","0","30","21","0","30"
"132","22.5","0","30","27","0","30","27","0","30","21","0","30"
"133","22.5","0","30","27","0","30","21","0","30","24","0","30"
"134","30","30","30","24","0","30","24","0","30","27","0","30"
"135","26.25","0","30","24","0","30","18","0","30","21","0","30"
"136","26.25","0","30","24","0","30","21","0","30","24","0","30"
"137","18.75","0","30","24","0","30","27","0","30","21","0","30"
"138","26.25","0","30","24","0","30","21","0","30","24","0","30"
"139","22.5","0","30","30","30","30","30","30","30","24","0","30"
"140","18.75","0","30","30","30","30","24","0","30","24","0","30"
"141","11.25","0","30","27","0","30","18","0","30","21","0","30"
"142","22.5","0","30","30","30","30","15","0","30","24","0","30"
"143","22.5","0","30","30","30","30","18","0","30","21","0","30"
"144","26.25","0","30","30","30","30","21","0","30","24","0","30"
