"Step","setup: Dylam - ep_info/Chicken","setup: Dylam - ep_info/Chicken__MIN","setup: Dylam - ep_info/Chicken__MAX","setup: Drq - ep_info/Chicken","setup: Drq - ep_info/Chicken__MIN","setup: Drq - ep_info/Chicken__MAX","setup: Decq - ep_info/Chicken","setup: Decq - ep_info/Chicken__MIN","setup: Decq - ep_info/Chicken__MAX","setup: Baseline - ep_info/Chicken","setup: Baseline - ep_info/Chicken__MIN","setup: Baseline - ep_info/Chicken__MAX"
"1","8.75","0","70","7","0","70","7","0","70","14","0","70"
"2","8.75","0","70","0","0","0","14","0","70","0","0","0"
"3","8.75","0","70","7","0","70","14","0","70","14","0","70"
"4","8.75","0","70","28","0","70","7","0","70","7","0","70"
"5","8.75","0","70","0","0","0","14","0","70","7","0","70"
"6","26.25","0","70","14","0","70","0","0","0","14","0","70"
"7","0","0","0","7","0","70","14","0","70","0","0","0"
"8","17.5","0","70","14","0","70","7","0","70","7","0","70"
"9","0","0","0","7","0","70","14","0","70","7","0","70"
"10","0","0","0","0","0","0","21","0","70","28","0","70"
"11","0","0","0","7","0","70","0","0","0","7","0","70"
"12","35","0","70","7","0","70","14","0","70","28","0","70"
"13","8.75","0","70","21","0","70","7","0","70","7","0","70"
"14","17.5","0","70","14","0","70","14","0","70","21","0","70"
"15","8.75","0","70","7","0","70","7","0","70","14","0","70"
"16","0","0","0","7","0","70","21","0","70","0","0","0"
"17","8.75","0","70","0","0","0","7","0","70","14","0","70"
"18","8.75","0","70","21","0","70","28","0","70","14","0","70"
"19","8.75","0","70","14","0","70","7","0","70","7","0","70"
"20","0","0","0","7","0","70","0","0","0","0","0","0"
"21","17.5","0","70","7","0","70","21","0","70","21","0","70"
"22","8.75","0","70","0","0","0","21","0","70","14","0","70"
"23","0","0","0","0","0","0","21","0","70","7","0","70"
"24","0","0","0","7","0","70","7","0","70","14","0","70"
"25","8.75","0","70","14","0","70","14","0","70","14","0","70"
"26","17.5","0","70","7","0","70","0","0","0","7","0","70"
"27","0","0","0","14","0","70","7","0","70","7","0","70"
"28","0","0","0","7","0","70","7","0","70","0","0","0"
"29","0","0","0","0","0","0","7","0","70","7","0","70"
"30","8.75","0","70","0","0","0","0","0","0","14","0","70"
"31","8.75","0","70","7","0","70","21","0","70","7","0","70"
"32","0","0","0","14","0","70","7","0","70","0","0","0"
"33","8.75","0","70","0","0","0","7","0","70","14","0","70"
"34","17.5","0","70","0","0","0","7","0","70","14","0","70"
"35","17.5","0","70","7","0","70","0","0","0","0","0","0"
"36","0","0","0","7","0","70","7","0","70","14","0","70"
"37","0","0","0","14","0","70","0","0","0","0","0","0"
"38","8.75","0","70","0","0","0","7","0","70","7","0","70"
