"Step","setup: Dylam - ep_info/total","setup: Dylam - ep_info/total__MIN","setup: Dylam - ep_info/total__MAX","setup: Drq - ep_info/total","setup: Drq - ep_info/total__MIN","setup: Drq - ep_info/total__MAX","setup: Decq - ep_info/total","setup: Decq - ep_info/total__MIN","setup: Decq - ep_info/total__MAX","setup: Baseline - ep_info/total","setup: Baseline - ep_info/total__MIN","setup: Baseline - ep_info/total__MAX"
"1","45","0","100","45","0","130","59","0","130","55","0","130"
"2","36.25","0","100","42","0","130","39","0","130","32","0","100"
"3","43.75","30","100","48","0","130","59","0","130","62","0","130"
"4","43.75","0","100","65","0","130","45","0","130","62","0","130"
"5","73.75","30","130","57","0","130","75","30","130","75","30","130"
"6","53.75","0","100","62","0","130","72","0","130","63","0","130"
"7","67.5","30","130","85","30","130","65","30","100","64","0","130"
"8","81.25","30","130","65","0","130","58","30","100","64","30","130"
"9","76.25","30","130","61","0","130","98","30","130","81","30","130"
"10","97.5","30","130","77","30","130","98","30","130","79","30","130"
"11","63.75","30","130","71","30","130","97","30","130","81","30","130"
"12","98.75","30","130","97","30","130","85","30","130","102","30","130"
"13","118.75","70","130","81","30","130","78","30","130","91","30","130"
"14","90","30","130","88","30","130","81","30","130","95","30","170"
"15","63.75","30","130","91","30","130","111","30","170","88","30","130"
"16","80","30","130","111","30","130","91","30","130","77","30","130"
"17","110","30","130","97","30","130","88","30","130","101","30","130"
"18","101.25","30","130","111","30","130","122","70","170","98","0","130"
"19","68.75","30","130","111","30","130","107","30","130","108","30","130"
"20","122.5","100","130","108","30","130","111","30","130","110","30","130"
"21","106.25","30","130","107","30","130","105","30","130","112","70","130"
"22","110","30","130","107","30","130","99","30","130","98","30","130"
"23","118.75","100","130","117","30","130","89","30","130","124","100","130"
"24","105","30","130","124","70","130","111","30","130","105","30","130"
"25","118.75","100","130","95","30","130","118","70","130","121","100","130"
"26","111.25","70","130","114","30","130","107","30","130","121","100","130"
"27","105","30","130","108","30","130","95","30","130","108","30","130"
"28","110","30","130","114","30","130","118","30","170","114","30","130"
"29","97.5","30","130","117","30","130","107","30","130","101","30","130"
"30","118.75","70","130","124","100","130","124","100","130","118","30","170"
"31","118.75","100","130","115","70","130","121","100","130","127","100","130"
"32","130","130","130","118","70","130","115","100","130","97","30","130"
"33","113.75","30","130","120","30","130","114","30","130","121","100","130"
"34","111.25","100","130","127","100","130","121","70","130","105","0","130"
"35","115","100","130","94","30","130","130","130","130","121","100","130"
"36","117.5","30","130","114","30","130","118","100","130","118","100","130"
"37","110","30","130","108","30","130","124","100","130","118","100","130"
"38","110","30","130","121","100","130","98","30","130","111","30","130"
"39","113.75","30","130","118","70","130","114","30","130","121","100","130"
