"Step","env: HALFCHEETAH - ep_info/ctrl","env: HALFCHEETAH - ep_info/ctrl__MIN","env: HALFCHEETAH - ep_info/ctrl__MAX"
"999","-333.4747219731409","-337.8656742498278","-331.6605251953007"
"1999","-330.81278985639426","-335.4395174259941","-320.8705260331432"
"2999","-332.71701395114263","-339.22066719581676","-328.075568161905"
"3999","-332.520540287594","-339.75763130436326","-328.4191869497303"
"4999","-334.93425831347696","-339.10462915400643","-331.7060355866944"
"5999","-362.06898450429253","-369.6165377746025","-357.61448929210496"
"6999","-360.5261946221193","-362.660048643748","-357.71238300204266"
"7999","-349.3442400323846","-354.4397124784681","-345.89411011586634"
"8999","-337.56341229230156","-340.8443094243603","-333.6823063070577"
"9999","-310.6101749762894","-318.139773987234","-305.0834715279439"
"10999","-266.6292328129212","-274.3377010027571","-261.7277858679495"
"11999","-213.30000705495473","-216.9171687761943","-209.60301532099663"
"12999","-163.90303151203938","-169.18277485668622","-160.27217945083976"
"13999","-121.62142859250301","-128.50011255467913","-116.1435008843739"
"14999","-89.86023208675907","-94.72516776404036","-80.0338837845873"
"15999","-60.351818812762666","-64.14646064583214","-49.78293615238117"
"16999","-37.97561859022827","-44.18288158563275","-31.41701757892341"
"17999","-27.024958046960336","-31.190747299386835","-25.224264893059914"
"18999","-21.8876779572883","-25.066910304827612","-20.7213785618854"
"19999","-24.4321357685607","-33.491482518458135","-20.649842516829533"
"20999","-33.65808787794473","-40.58990082098169","-24.824270435608927"
"21999","-36.23802865698623","-43.29877659647421","-27.166002594244922"
"22999","-34.2306773890741","-41.57611293423301","-23.710381321919428"
"23999","-33.52632413954318","-40.38044764369262","-23.3863972398297"
"24999","-34.99333750881874","-38.66305369418113","-26.092100990625685"
"25999","-38.274380630627256","-42.21378550445655","-30.067960300793235"
"26999","-40.714932294003646","-45.66250270426583","-31.715394128579657"
"27999","-42.36411544416724","-47.909918333403866","-32.934826201138435"
"28999","-44.79756702010829","-51.55751630772524","-35.77520434201381"
"29999","-47.94869225641402","-55.908379130996735","-38.052292620297514"
"30999","-49.92510486633207","-55.568827092958045","-42.96387363178658"
"31999","-51.30363110468412","-58.71350768907002","-44.69994929370775"
"32999","-52.14856742549066","-57.521314536997444","-46.312674247038856"
"33999","-53.65624147588386","-60.69378222517357","-47.3882441955308"
"34999","-55.714616968618564","-65.35147021990275","-48.90692800361042"
"35999","-56.16587735568173","-66.03103470096053","-50.55318327868983"
"36999","-57.56389462483732","-67.79217933770259","-51.48034017269187"
"37999","-59.49306429993982","-70.22537485044451","-52.08496418610834"
"38999","-60.553745566246405","-71.13268981191023","-52.37034948046008"
"39999","-61.83391493745146","-71.44037915890415","-52.489986316921815"
"40999","-64.07442906200885","-73.64852075402935","-56.05725375035157"
"41999","-65.80707264362529","-75.52926203360168","-57.26446072570979"
"42999","-67.87728048417098","-76.11426078776516","-59.378367816408485"
"43999","-70.98859638857348","-79.5387723358969","-62.942991508481455"
"44999","-73.29027772468203","-81.83516117868322","-65.13544865076744"
"45999","-74.77431680460771","-84.67147327214468","-66.43214275905248"
"46999","-76.95479412898412","-87.46805824230721","-71.45913641403114"
"47999","-78.66182828781507","-89.06887764980394","-74.08794983786842"
"48999","-80.103485414867","-90.52045903913685","-74.29170028609227"
"49999","-82.15986558959506","-91.80141957290478","-77.06384043783565"
"50999","-84.89966740328813","-94.293555068473","-77.6067741994435"
"51999","-83.61619199874504","-92.29357743449525","-80.14850441118072"
"52999","-86.06234209382283","-93.94348923675726","-81.46512695432949"
"53999","-86.83160964852821","-92.32188616041094","-82.39832220412794"
"54999","-89.01545756502699","-94.02007607805231","-84.06497359586254"
"55999","-89.71430739983916","-93.342610022053","-87.5396955832839"
"56999","-89.88180761411783","-92.87917441874743","-86.7815979228665"
"57999","-92.9409811032936","-97.35236352868372","-89.10266604088245"
"58999","-92.50689900709934","-97.04948119012022","-89.29678141511975"
"59999","-91.79425129772476","-97.6029441306989","-87.26294107424721"
"60999","-91.12487422836321","-95.52019010328996","-87.19976985330378"
"61999","-92.16375878453258","-98.8187827831134","-85.44720031569398"
"62999","-94.55917731430375","-108.2795781244834","-86.12583773086467"
"63999","-92.40235323266437","-96.55379455039903","-86.32678377938761"
"64999","-92.10418057267864","-98.35693349689248","-86.58531729814914"
"65999","-92.90066275689756","-98.54275840924439","-88.15995609760287"
"66999","-93.55916842644413","-100.83217040138939","-87.36979280846825"
"67999","-93.74646918643273","-100.06860603888838","-88.14205459567421"
"68999","-95.43322442354015","-105.33089800334228","-90.95937714974103"
"69999","-97.50991812503585","-105.42424483100562","-91.17877886568513"
"70999","-98.1424768411865","-106.18298472464089","-90.12146231159579"
"71999","-97.34847189721965","-106.28366285127903","-89.90656703275947"
"72999","-98.21849106270824","-104.85542329462876","-91.69995478726923"
"73999","-99.25788121062021","-103.95228114724156","-90.36777664162227"
"74999","-100.60183543718107","-105.79162524112813","-89.11610447180772"
"75999","-102.72837702830627","-109.76607505604615","-94.2611686832582"
"76999","-104.2488632240022","-112.35460002906609","-93.4944102674102"
"77999","-105.38962566386913","-115.98948561089733","-93.88545324715473"
"78999","-108.48972591379042","-116.04633284080771","-96.75086550011005"
"79999","-109.89791562271611","-116.4117487526189","-100.09608563221985"
"80999","-111.60419515880444","-118.41134682856494","-103.37147311245388"
"81999","-110.26950244804223","-115.50447416988506","-105.35934367465471"
"82999","-111.19840241968632","-116.53921379583562","-104.70731405913828"
"83999","-110.75954206914957","-114.08277800306676","-107.77314166569477"
"84999","-110.50204937752953","-112.94080074162531","-108.00241051490102"
"85999","-110.92231863414254","-114.02512438098597","-109.539018192018"
"86999","-111.86828910882268","-115.66684445645646","-109.92660520598272"
"87999","-111.9608848284309","-116.55349765190242","-108.1184979317089"
"88999","-113.60897201895713","-117.11422472819669","-109.95996986205371"
"89999","-115.07085376065227","-119.59707221885508","-110.34323683753598"
"90999","-116.45277010072027","-122.69492738818128","-109.54831182087455"
"91999","-116.52289838672925","-125.65826292708518","-109.68242288877562"
"92999","-117.4550218189756","-124.20665037631976","-109.81503624158603"
"93999","-116.71636971775438","-124.09927726536992","-108.49221784342087"
"94999","-116.05970020008586","-122.80934624870625","-110.15002159277594"
"95999","-117.45590316367648","-126.78396344805756","-110.3698786006619"
"96999","-117.56976167640337","-122.91834484351168","-111.06678897794352"
"97999","-117.38515025327604","-121.1358715817332","-113.59917563075821"
"98999","-118.15283539659966","-121.20678671449427","-112.48185537289821"
"99999","-120.28911864167696","-125.99107747152456","-112.4954978978882"
"100999","-119.730878937617","-124.20992479845894","-114.2473165541888"
"101999","-120.62686036881064","-126.17670796811603","-114.14366186006613"
"102999","-119.70373765764137","-126.04839261745408","-114.3345340626934"
"103999","-119.78807880201688","-127.27233592917518","-111.02444802659258"
"104999","-120.28300428378085","-126.79585540667172","-111.15808606334024"
"105999","-122.49661402733378","-131.03352330376717","-111.91165820881724"
"106999","-121.06754373175404","-130.2765627726913","-114.5490899076686"
"107999","-123.33174538643416","-131.57242502023783","-114.39649310211347"
"108999","-121.9855238298885","-132.01552766561505","-115.30078766184548"
"109999","-122.41476792041217","-133.6518580596896","-114.8695446302493"
"110999","-125.08332894667993","-134.2508286473652","-116.48225625852758"
"111999","-125.34539889022717","-137.92282415926465","-113.57779118294515"
"112999","-125.69781189573307","-135.60393758118144","-113.41758765342341"
"113999","-125.88358996336663","-136.2448369873068","-114.60121534019707"
"114999","-126.08799424171448","-137.76506944000712","-115.74516537102556"
"115999","-124.82843562898533","-135.51163415983308","-114.7245826708774"
"116999","-125.68917849333957","-136.2705385660133","-118.04884330617885"
"117999","-125.0522960369785","-134.3889220915734","-114.18785830090438"
"118999","-127.19686058275408","-136.45129277681312","-116.81844459287828"
"119999","-129.3270044117235","-142.06272132198023","-115.75249813497076"
"120999","-129.77764454962076","-138.76283494134765","-118.20858250061684"
"121999","-129.45441307028136","-138.7939406496782","-117.05548200632148"
"122999","-129.86453954565033","-140.7627399700384","-116.96670673352973"
"123999","-129.6414622072752","-142.73267786453175","-116.97382354239635"
"124999","-129.72265343399096","-141.9289355451862","-117.04845607529086"
"125999","-130.0673677155127","-146.23937052736653","-118.65594013531997"
"126999","-130.32481198677164","-145.17277505869663","-118.25791144371014"
"127999","-129.72541285008202","-149.62435397133225","-118.42992163573723"
"128999","-132.92718754708758","-159.76593658576397","-118.55570467685655"
"129999","-130.89145934420327","-148.23839233443147","-118.62735639916127"
"130999","-130.80343301451452","-152.16133409614378","-117.94728287061047"
"131999","-133.7818792896966","-153.48475382228693","-120.07627415719128"
"132999","-133.5985062761853","-154.6665839105843","-120.31166713312255"
"133999","-134.0376638384847","-161.45647480338795","-121.58231109753265"
"134999","-135.48468604028847","-165.14540290832528","-120.23629432419929"
"135999","-136.5546348804608","-167.98145918796448","-122.22173392400148"
"136999","-137.05653480899832","-169.79889676347386","-121.88319300611803"
"137999","-138.64668011305233","-176.59652741563804","-121.81318195909257"
"138999","-138.97690935557088","-175.22831298783407","-122.25288469841072"
"139999","-138.94918223495264","-173.30510187645734","-121.34998623157534"
"140999","-140.09624597330878","-176.8311870048439","-123.34827620536085"
"141999","-139.64480890389544","-173.45278922965136","-123.99761317297823"
"142999","-141.60161858109439","-182.79638211677457","-123.72116464873156"
"143999","-142.41056735112022","-180.65266821409236","-122.41791068638383"
"144999","-142.46193410372354","-181.62514589230193","-119.57430109630039"
"145999","-141.7274563422116","-175.6706527750939","-120.54922001498434"
"146999","-143.37675022066884","-180.71536748980472","-120.01584950089466"
"147999","-143.8697235044092","-180.3831470919152","-121.55688455700886"
"148999","-142.35176020196332","-178.15874561419096","-121.5961576377353"
"149999","-143.4727507730326","-176.31751358757433","-121.07000895527524"
"150999","-145.0331559997673","-182.41147673626773","-122.80643316730847"
"151999","-146.5069365612542","-183.7082756596307","-121.25739135344836"
"152999","-147.64743599823365","-182.9762533580264","-124.9542822043101"
"153999","-148.74350470320005","-186.8676451171439","-123.53474465012545"
"154999","-148.19852849487214","-182.77443469812482","-121.15475724513328"
"155999","-149.25028177878508","-183.01808225363504","-123.35169902630152"
"156999","-149.7263085066341","-188.75539486482725","-121.63142864902827"
"157999","-152.79637820174293","-190.13296274840835","-121.04701076758403"
"158999","-149.230090572685","-184.0245758543413","-121.28181650054952"
"159999","-149.37451004448045","-187.8686753834287","-118.60099615529205"
"160999","-150.82244757910576","-188.97157227744677","-119.78483643258612"
"161999","-150.64347146364543","-183.28877177089416","-122.33185932288565"
"162999","-153.44589965098226","-189.13995658109587","-121.53859178101014"
"163999","-152.85703384826576","-188.80625567585233","-121.2256557196379"
"164999","-152.01036978860694","-187.65794966121496","-123.80373123288155"
"165999","-151.95615987228237","-187.69494542479504","-121.99842513104285"
"166999","-153.51817597405358","-192.9217043394842","-121.48755934958655"
"167999","-151.25019800085573","-181.5696096395452","-119.67531498645745"
"168999","-153.839474925523","-187.41552090644822","-121.38013025994118"
"169999","-154.66622747802168","-187.87664507205304","-120.67085243016477"
"170999","-154.29402951983116","-190.56414200986438","-118.93392986928436"
"171999","-156.50801216432203","-194.88393258241302","-121.8972074327369"
"172999","-156.3009390911087","-189.2455463831625","-122.6081996491799"
"173999","-156.28802647034948","-191.42642599592605","-119.88370291392008"
"174999","-155.98825014270844","-189.94624178359896","-119.22426167627177"
"175999","-158.12171687275787","-195.01835282271105","-120.79909953226655"
"176999","-156.7313883195321","-191.19818147396043","-118.71745110054819"
"177999","-159.78748541908962","-192.16307459274927","-118.51643842893336"
"178999","-160.7282829919675","-194.36160849904024","-120.68079099307464"
"179999","-158.41280564920356","-191.82644957304026","-119.2464255131781"
"180999","-158.274958125657","-193.5766504357257","-120.56961787492034"
"181999","-163.66204835101965","-195.0768978198371","-120.30793948099017"
"182999","-162.79273020587868","-196.13963358600927","-119.96724927114943"
"183999","-163.70014181776597","-194.70750949531802","-120.52861939246453"
"184999","-163.1221280373632","-197.36439962685114","-120.53912864004569"
"185999","-166.0433616048967","-199.866966366768","-120.91829585408173"
"186999","-166.9601384468997","-197.8083550284308","-121.96921854093662"
"187999","-163.26730998984232","-196.05376523236433","-122.01056045914692"
"188999","-166.77390551514293","-199.14539410670605","-120.36041716982906"
"189999","-166.5222236192475","-197.02293598155177","-121.2498494572938"
"190999","-165.76079302439464","-197.89293821528557","-120.81330686435105"
"191999","-169.1397013114144","-200.7241176962852","-121.95650928281238"
"192999","-169.19982348674282","-202.78487746914237","-123.4057391633589"
"193999","-169.14839436498772","-205.94051358848782","-120.822505808125"
"194999","-170.37719457390105","-206.99015347411262","-121.90525270253421"
"195999","-169.83364028986546","-207.94087316840879","-121.44908207282427"
"196999","-170.4064071306958","-207.42363820473355","-124.04728637635695"
"197999","-172.09469054757298","-211.18371046582863","-124.41304291660586"
"198999","-172.7549010753631","-207.8022896579154","-125.96420060315486"
"199999","-172.38616858900826","-210.06329546868776","-124.0138471821944"
"200999","-172.71485162222143","-207.2714353029928","-124.13371723021072"
"201999","-172.54346617509924","-208.13555674503255","-123.39927647883704"
"202999","-171.72228044352187","-211.73847419271885","-122.75194506036732"
"203999","-173.9156926115975","-214.3595534463724","-124.14824634293737"
"204999","-172.45126359288884","-210.43638328711197","-122.48852079113338"
"205999","-174.81936229380477","-209.22247017547502","-125.48756826544806"
"206999","-174.99725560564553","-215.6257623434068","-122.9959966056049"
"207999","-171.4593825394288","-207.53725862627246","-122.55436667924117"
"208999","-174.0119721275443","-211.2459145908551","-125.81615104153744"
"209999","-174.5157569772564","-210.35171993076793","-123.8770037492117"
