"Step","env: HALFCHEETAH - ep_info/ctrl","env: HALFCHEETAH - ep_info/ctrl__MIN","env: HALFCHEETAH - ep_info/ctrl__MAX"
"999","-336.8673373247187","-340.32918739815534","-331.38982663800306"
"1999","-331.86397514964136","-333.2104067504405","-330.82838659112633"
"2999","-333.9711665304997","-339.26444452628476","-331.5749332432947"
"3999","-332.1325056632361","-341.1430983146034","-324.2743004212774"
"4999","-332.9158100272217","-337.0986436332263","-326.06390645106575"
"5999","-363.1106424922747","-368.7834532807269","-356.5786710977558"
"6999","-357.599661766489","-359.55212960640546","-354.1025756125648"
"7999","-347.27199633518853","-350.8626882284879","-338.8849754830203"
"8999","-335.9176444639761","-339.502677991986","-330.56059859693016"
"9999","-307.51027764851835","-313.81606842329114","-299.7766863753396"
"10999","-262.997374110669","-266.3057888001202","-256.8675284311179"
"11999","-210.396121825526","-213.89995946238426","-206.40231583577847"
"12999","-161.5874857089171","-165.32485633467599","-159.46181710064405"
"13999","-124.58527919836342","-129.9628626729051","-118.88590089045455"
"14999","-93.57109871016192","-100.48577688634393","-83.72224713924031"
"15999","-65.56861217661452","-71.59354069891069","-57.81970962633698"
"16999","-43.49973594628581","-48.01655411060579","-38.79222823369005"
"17999","-29.99649153095669","-34.77837136418865","-25.18820090172809"
"18999","-25.20029856655747","-28.608622367183383","-19.014711362154557"
"19999","-32.37504403690499","-44.53682595475892","-16.501363905612372"
"20999","-36.87602317379786","-46.70398705452677","-19.12818578731578"
"21999","-37.29424386704339","-42.68827961393007","-22.039312683278702"
"22999","-40.942242977193864","-50.93951686611402","-28.753017948164295"
"23999","-44.8713576531193","-56.12139327886205","-31.36318439974759"
"24999","-46.523290534969405","-55.623629344006396","-34.03959496195119"
"25999","-48.07593982527807","-59.22962435909233","-34.07269110980751"
"26999","-49.32740664003258","-59.847434185445216","-35.46785570184389"
"27999","-50.83072532891917","-62.37926212279123","-39.054754528993115"
"28999","-52.98178252582441","-64.15499732348448","-41.89561385350931"
"29999","-55.08769297914889","-66.41035979799923","-45.07698665116923"
"30999","-56.69708386114796","-69.42765784946579","-48.28995921090243"
"31999","-57.66646666321905","-71.35571113632373","-48.61388517109056"
"32999","-191.33386910023788","-313.2097098007799","-73.9750794389595"
"33999","-371.23961195498725","-424.9594814976057","-281.48517767588294"
"34999","-465.01997311860333","-661.0074078241989","-350.67831924060994"
"35999","-507.42760479052856","-563.0536744693919","-394.82667686541873"
"36999","-495.2975786765417","-596.9178487658502","-445.7630951503917"
"37999","-546.775624806682","-622.2341783642768","-460.44873212277884"
"38999","-567.5528006409603","-604.9817081491151","-495.62392597148835"
"39999","-592.5869886149964","-665.0080440044399","-512.5044143597288"
"40999","-585.5941092411674","-745.9785123070077","-476.7463697046038"
"41999","-597.5104610090451","-695.3835337559387","-538.7903235107653"
"42999","-613.8274060408269","-700.740390251079","-567.727697258194"
"43999","-615.1166207571823","-706.8569818337754","-544.3193804323673"
"44999","-569.6021529113252","-619.8249595463276","-475.84271296858736"
"45999","-632.3656517903007","-724.1742490430663","-589.4997603793939"
"46999","-631.7912202070156","-709.6483201980586","-576.7452373504631"
"47999","-601.5083060602346","-699.2222458372513","-433.33162820835855"
"48999","-611.6852456331253","-678.7080916961031","-491.83011003832075"
"49999","-631.1455521821977","-681.9118832697469","-599.495819151402"
"50999","-538.3027933994931","-663.8270142575109","-402.0133872379859"
"51999","-619.3164777775607","-673.5020938416324","-579.0860107342407"
"52999","-612.3298258041344","-665.0920621752739","-585.8576636910441"
"53999","-599.6283139735463","-665.3692777752884","-571.9438997010391"
"54999","-521.2054703449209","-646.2648928562795","-240.19863891353222"
"55999","-561.152122970422","-611.1863534351186","-484.56505596141017"
"56999","-542.2368894529839","-579.0154158721367","-469.83966852848664"
"57999","-516.1296895648047","-568.5008028745658","-427.4913784588377"
"58999","-482.4914870624742","-525.8180775245033","-392.44047103822214"
"59999","-448.0146697449185","-502.28595105807005","-361.8853621557357"
"60999","-416.24866951207366","-488.4561279614775","-326.28824637830303"
"61999","-376.99218724882235","-443.06463970740623","-309.2803368779518"
"62999","-353.8670457715788","-419.9267792627214","-282.28331384745735"
"63999","-319.78282075648514","-374.24000119914626","-252.57578375749304"
"64999","-295.35990417965996","-342.5290565825996","-222.89952540894353"
"65999","-270.21793337240825","-318.13712183261913","-200.28085300078007"
"66999","-242.97781156258048","-289.8661123899124","-167.64045062350746"
"67999","-237.62239981261845","-270.4496394246813","-167.72553122629554"
"68999","-219.96471295660984","-252.66446106135837","-163.7578060505914"
"69999","-193.6969001368929","-226.18286691854397","-141.61212793768712"
"70999","-195.6242892052358","-225.62052693590527","-132.88213387814685"
"71999","-186.34077896497524","-221.85125828782694","-110.8638055400613"
"72999","-185.15064580659387","-225.517161951711","-108.81461759322953"
"73999","-183.9932955389532","-231.73394306966418","-105.3139515219567"
"74999","-183.15660427426934","-231.0138401575385","-108.82401086591805"
"75999","-192.38142338041206","-232.8643037118015","-129.61383573524648"
"76999","-218.33578511159863","-255.27919512614613","-180.72200704459098"
"77999","-222.55097407829027","-242.6505222742758","-185.71167718836426"
"78999","-232.76718927286552","-272.0631781046583","-192.64529262731472"
"79999","-246.62092863246795","-292.5347518734632","-212.0967533042036"
"80999","-257.01455581746995","-320.73962206393463","-219.31138130463648"
"81999","-269.732159767424","-336.22613839308406","-241.8504470332215"
"82999","-277.4038334443545","-346.01391231982666","-252.8565922869991"
"83999","-287.85189154855914","-356.7216019264116","-256.13559047629417"
"84999","-301.4168381651244","-378.61856324970745","-270.20383182416356"
"85999","-313.5005588063971","-391.1083328525227","-279.4502484248949"
"86999","-325.0655924151343","-401.52340688556444","-287.67438853221637"
"87999","-340.5844798089315","-413.08621182044317","-299.8273099282134"
"88999","-349.93548069447263","-426.0533757780987","-307.20873509595776"
"89999","-357.4126183124878","-432.5519262899951","-310.64299643412227"
"90999","-370.74086148664355","-430.7968019197383","-325.41224298998725"
"91999","-380.06653853096066","-446.65053010980296","-340.7367592739565"
"92999","-391.601614941905","-460.7515552739297","-342.6538287748901"
"93999","-404.09015411784253","-459.7415479148428","-357.49904062847287"
"94999","-407.6064396987357","-467.5850873390829","-356.9449683825172"
"95999","-410.8320925469201","-473.45470117777603","-358.9555631652473"
"96999","-419.4728626720609","-473.838309891522","-383.1489359190067"
"97999","-423.9233351126313","-481.29241807262076","-381.6134814942874"
"98999","-432.4087889383237","-499.6810090839863","-391.4593120440838"
"99999","-429.27986542979886","-489.93956514199647","-384.2568084535502"
"100999","-428.3619641914964","-489.30649468799373","-393.5469536297022"
"101999","-430.05971336563414","-487.6033231094476","-386.5593726833657"
"102999","-427.99714690620704","-479.6475515961646","-383.339966323227"
"103999","-430.8039112086095","-477.5405507584412","-404.0782138754921"
"104999","-427.71131675690424","-480.48151016732083","-394.1027883688614"
"105999","-421.95749339113615","-470.104105042914","-392.6118149558703"
