"Step","env: HALFCHEETAH - ep_info/ctrl","env: HALFCHEETAH - ep_info/ctrl__MIN","env: HALFCHEETAH - ep_info/ctrl__MAX"
"999","-330.7519150768718","-333.5726435879871","-328.69415608048394"
"1999","-336.16104564120377","-340.79036273310567","-331.65630306303495"
"2999","-333.86889909928027","-338.17977077265533","-328.994327582419"
"3999","-334.22634913921377","-337.27566222846485","-329.6569103822113"
"4999","-331.03179851149514","-335.64916402101545","-327.26162285357697"
"5999","-360.3057582676412","-365.5505030900243","-354.0556974212332"
"6999","-353.56445825596626","-357.8750975405178","-350.69845437010105"
"7999","-333.3494463607668","-336.38157615562255","-326.68065122266637"
"8999","-304.1700523143012","-312.03576132158463","-296.99735599259515"
"9999","-249.4055051042389","-256.0086776763201","-243.94779323538148"
"10999","-191.2940492179245","-199.38942266876464","-184.24580563108114"
"11999","-138.87572719305751","-142.97888527065504","-131.3619468348722"
"12999","-93.9650293164576","-100.9358169945577","-88.8839311357588"
"13999","-56.526896773744355","-63.14278250917167","-53.99950082506987"
"14999","-38.47746302783489","-40.66183664587633","-36.94766810971006"
"15999","-31.43187515372411","-34.14143694161127","-29.497296068506948"
"16999","-25.255050663991504","-27.483034903183515","-22.1563932375672"
"17999","-24.608037410214695","-30.77561670914292","-20.015161888052997"
"18999","-29.566974732869618","-41.58282478417578","-18.209681843485058"
"19999","-35.4672253830358","-47.3532501558462","-20.539627206123726"
"20999","-34.36295879071888","-46.77893993351605","-25.14457290456628"
"21999","-38.040192920885346","-48.80197746989621","-27.5499358295153"
"22999","-38.57042062263158","-47.685010254965135","-30.86411325486066"
"23999","-38.61089776967809","-52.90114458479615","-14.740121412750632"
"24999","-27.959772667242213","-42.74699938856062","-15.034217996289973"
"25999","-32.328584313415924","-49.63050718450298","-15.444456444936803"
"26999","-34.688739725093676","-52.21493542815256","-22.228801149331623"
"27999","-40.35726981121113","-53.853338215810496","-22.091507021570617"
"28999","-38.336677337406826","-56.75557474823052","-13.2855079167833"
"29999","-42.63251967729686","-61.097011892124954","-16.196096500847485"
"30999","-47.93062186233387","-64.52040426370992","-15.794280510162949"
"31999","-55.69953297014969","-66.79064363427457","-46.21437953202989"
"32999","-58.81034749404838","-71.30970736670623","-47.46048581926149"
"33999","-61.30680341062449","-73.11955836539472","-48.066997756871096"
"34999","-65.70021058497176","-76.98737709286316","-53.13963639022161"
"35999","-69.21590200737117","-80.0048475172371","-57.542967442578345"
"36999","-72.36172103610203","-83.18352745193987","-61.522495260229306"
"37999","-76.63371456274763","-84.83097502651304","-63.71984472808743"
"38999","-79.76488353849079","-89.55209584782517","-68.73248033163448"
"39999","-85.20549480020999","-93.00107472979766","-75.12764862428114"
"40999","-89.28592125612005","-97.80824170385802","-80.0097217836107"
"41999","-92.31505949866649","-102.69328663513683","-83.84209156626208"
"42999","-94.07067929220692","-98.7941352572912","-87.83617409660164"
"43999","-97.09040581717463","-104.04382043269764","-89.64023799123233"
"44999","-97.5212531219547","-101.87016978921989","-92.13669248949739"
"45999","-99.58635868964095","-101.29847376327963","-96.69540388416502"
"46999","-94.9229053393317","-104.0186590825518","-68.93618404135731"
"47999","-100.46803372396776","-104.01552587312956","-96.96301050794615"
"48999","-100.705870138295","-104.58224994565055","-97.46254167146975"
"49999","-96.1135360982657","-104.58750989163919","-72.16968055368245"
"50999","-102.41932659012575","-106.1994235515594","-97.22174194206795"
"51999","-102.35823550522328","-108.43683560192582","-97.16254948576294"
"52999","-104.72596850929162","-108.78003147368631","-100.86542209734522"
"53999","-105.28992108013486","-108.85920985043062","-101.54337565911307"
"54999","-106.58605068745096","-111.06622975071278","-100.55189109345281"
"55999","-108.09688351992513","-115.01512114548422","-98.9586879291261"
"56999","-106.4672113617261","-111.71163349722815","-100.66149470334253"
"57999","-108.54711364675313","-113.6810850656282","-102.19849167019136"
"58999","-110.49254744574432","-117.1922212416926","-103.38948057654011"
"59999","-109.89406747960795","-117.3007283955813","-99.52992380099988"
"60999","-112.04470461010935","-119.65273942301678","-105.47554271730293"
"61999","-112.54294284495218","-118.2796019160498","-104.96075268431265"
"62999","-113.60391627573408","-122.79100601437179","-106.29931339559451"
"63999","-115.13175651828445","-120.76317387446758","-108.39766636863352"
"64999","-115.10377961858171","-119.97556972876207","-109.8599006965912"
"65999","-114.59065604408582","-122.51596263671905","-103.05763459826498"
"66999","-119.44215527089936","-130.26411846652627","-108.15069569026429"
"67999","-117.59904109512767","-125.99973259493709","-106.58983103806779"
"68999","-117.58673347458242","-129.34582954955593","-101.89478541786471"
"69999","-119.08028209842742","-133.13447704911243","-105.17974274822818"
"70999","-121.27721152485665","-137.29542534922578","-105.41815668530766"
"71999","-122.28409341884162","-143.5690362174065","-105.05078174980986"
"72999","-122.74732401786984","-142.89661957447714","-105.54714166031533"
"73999","-125.1475694876164","-147.3478060389557","-109.74738437868659"
"74999","-128.1580761714528","-153.36762472180024","-106.70389524723089"
"75999","-130.37249269274372","-149.52720898451906","-111.95434533928832"
"76999","-131.0512909422319","-147.5454571433366","-112.69658596068628"
"77999","-134.72986199843385","-147.61058458189146","-121.39185214291015"
"78999","-133.91060694182914","-148.50710139827183","-120.19041880468532"
"79999","-136.12312130741765","-153.94811681906378","-121.23593997210251"
"80999","-137.6132815266028","-152.66979939987277","-121.59115932260949"
"81999","-137.86966669913377","-156.47607907404486","-118.78087068845811"
"82999","-142.35272470687826","-160.31773416884235","-126.2272893625002"
"83999","-142.31653606779872","-158.5961010698228","-125.15349967405191"
"84999","-144.3839929697414","-163.60919581974548","-124.2000378916661"
"85999","-148.4197825620572","-172.65497068191576","-127.94812316695861"
"86999","-148.53876029215763","-167.1706054111323","-126.86521608258306"
"87999","-150.6755475456516","-169.39203921581318","-129.2011757791043"
"88999","-150.31108489595354","-169.5467672484619","-130.3900643984476"
"89999","-150.3919679077963","-172.8259949348865","-128.96248766283205"
"90999","-150.7554925989358","-176.48817516118254","-131.07145578476292"
"91999","-150.5463599743943","-170.7384069127341","-133.53299555679175"
"92999","-153.60061228796832","-176.07457311575595","-132.63022870446244"
"93999","-155.30497744306925","-174.5521573287746","-130.4454382993281"
"94999","-156.33157550400745","-176.14917868810383","-131.02452155916652"
"95999","-159.51404632255444","-179.1382231004536","-134.49376690387743"
