"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"56","-1","-1","-1"
"57","-1","-1","-1"
"58","-1","-1","-1"
"59","-1","-1","-1"
"60","-1","-1","-1"
"62","-1","-1","-1"
"64","-1","-1","-1"
"65","-1","-1","-1"
"67","-1","-1","-1"
"68","-1","-1","-1"
"70","-1","-1","-1"
"71","-1","-1","-1"
"72","-1","-1","-1"
"73","-1","-1","-1"
"74","-1","-1","-1"
"75","-1","-1","-1"
"76","-1","-1","-1"
"77","-1","-1","-1"
"78","-1","-1","-1"
"80","-1","-1","-1"
"81","-1","-1","-1"
"82","-1","-1","-1"
"83","-1","-1","-1"
"85","-1","-1","-1"
"86","-1","-1","-1"
"87","-1","-1","-1"
"88","-1","-1","-1"
"89","-1","-1","-1"
"90","-1","-1","-1"
"91","-1","-1","-1"
"92","-1","-1","-1"
"94","-1","-1","-1"
"95","-1","-1","-1"
"97","-1","-1","-1"
"102","-1","-1","-1"
"104","-1","-1","-1"
"105","-1","-1","-1"
"106","-1","-1","-1"
"108","-1","-1","-1"
"109","-1","-1","-1"
"110","-1","-1","-1"
"111","-1","-1","-1"
"116","-1","-1","-1"
"118","-1","-1","-1"
"121","-1","-1","-1"
"122","-1","-1","-1"
"125","-1","-1","-1"
"126","-1","-1","-1"
"127","-1","-1","-1"
"128","-1","-1","-1"
"129","-1","-1","-1"
"130","-1","-1","-1"
"133","-1","-1","-1"
"134","-1","-1","-1"
"135","-1","-1","-1"
"137","-1","-1","-1"
"139","-1","-1","-1"
"140","-1","-1","-1"
"142","-1","-1","-1"
"144","-1","-1","-1"
"146","-1","-1","-1"
"147","-1","-1","-1"
"148","-1","-1","-1"
"150","-1","-1","-1"
"151","-1","-1","-1"
"152","-1","-1","-1"
"153","-1","-1","-1"
"154","-1","-1","-1"
"155","-1","-1","-1"
"156","-1","-1","-1"
"159","-1","-1","-1"
"160","-1","-1","-1"
"161","-1","-1","-1"
"162","-1","-1","-1"
"163","-1","-1","-1"
"165","-1","-1","-1"
"167","-1","-1","-1"
"168","-1","-1","-1"
"169","-1","-1","-1"
"171","-1","-1","-1"
"172","-1","-1","-1"
"174","-1","-1","-1"
"175","-1","-1","-1"
"176","-1","-1","-1"
"177","-1","-1","-1"
"180","-1","-1","-1"
"181","-1","-1","-1"
"182","-1","-1","-1"
"183","-1","-1","-1"
"184","-1","-1","-1"
"186","-1","-1","-1"
"187","-1","-1","-1"
"188","-1","-1","-1"
"193","-1","-1","-1"
"194","-1","-1","-1"
"195","-1","-1","-1"
"197","-1","-1","-1"
"198","-1","-1","-1"
"199","-1","-1","-1"
"200","-1","-1","-1"
"201","-1","-1","-1"
"202","-1","-1","-1"
"204","-1","-1","-1"
"205","-1","-1","-1"
"206","-1","-1","-1"
"207","-1","-1","-1"
"208","-1","-1","-1"
"209","-1","-1","-1"
"210","-1","-1","-1"
"213","-1","-1","-1"
"214","-1","-1","-1"
"215","-1","-1","-1"
"216","-1","-1","-1"
"217","-1","-1","-1"
"218","-1","-1","-1"
"223","-1","-1","-1"
"224","-1","-1","-1"
"226","-1","-1","-1"
"227","-1","-1","-1"
"228","-1","-1","-1"
"229","-1","-1","-1"
"230","-1","-1","-1"
"231","-1","-1","-1"
"232","-1","-1","-1"
"233","-1","-1","-1"
"234","-1","-1","-1"
"235","-1","-1","-1"
"237","-1","-1","-1"
"239","-1","-1","-1"
"240","-1","-1","-1"
"241","-1","-1","-1"
"242","-1","-1","-1"
"243","-1","-1","-1"
"244","-1","-1","-1"
"245","-1","-1","-1"
"246","-1","-1","-1"
"248","-1","-1","-1"
"251","-1","-1","-1"
"252","-1","-1","-1"
"254","-1","-1","-1"
"255","-1","-1","-1"
"256","-1","-1","-1"
"258","-1","-1","-1"
"259","-1","-1","-1"
"260","-1","-1","-1"
"263","-1","-1","-1"
"265","-1","-1","-1"
"267","-1","-1","-1"
"268","-1","-1","-1"
"270","-1","-1","-1"
"271","-1","-1","-1"
"272","-1","-1","-1"
"275","-1","-1","-1"
"276","-1","-1","-1"
"278","-1","-1","-1"
"279","-1","-1","-1"
"280","-1","-1","-1"
"281","-1","-1","-1"
"282","-1","-1","-1"
"284","-1","-1","-1"
"285","-1","-1","-1"
"286","-1","-1","-1"
"287","-1","-1","-1"
"289","-1","-1","-1"
"290","-1","-1","-1"
"291","-1","-1","-1"
"293","-1","-1","-1"
"294","-1","-1","-1"
"295","-1","-1","-1"
"296","-1","-1","-1"
"297","-1","-1","-1"
"299","-1","-1","-1"
"300","-1","-1","-1"
"301","-1","-1","-1"
"304","-1","-1","-1"
"307","-1","-1","-1"
"311","-1","-1","-1"
"312","-1","-1","-1"
"314","-1","-1","-1"
"315","-1","-1","-1"
"316","-1","-1","-1"
"318","-1","-1","-1"
"319","-1","-1","-1"
"320","-1","-1","-1"
"322","-1","-1","-1"
"323","-1","-1","-1"
"324","-1","-1","-1"
"326","-1","-1","-1"
"328","-1","-1","-1"
"330","-1","-1","-1"
"331","-1","-1","-1"
"332","-1","-1","-1"
"333","-1","-1","-1"
"334","-1","-1","-1"
"336","-1","-1","-1"
"337","-1","-1","-1"
"338","-1","-1","-1"
"339","-1","-1","-1"
"340","-1","-1","-1"
"341","-1","-1","-1"
"342","-1","-1","-1"
"343","-1","-1","-1"
"345","-1","-1","-1"
"346","-1","-1","-1"
"347","-1","-1","-1"
"348","-1","-1","-1"
"349","-1","-1","-1"
"350","-1","-1","-1"
"351","-1","-1","-1"
"353","-1","-1","-1"
"354","-1","-1","-1"
"356","-1","-1","-1"
"358","-1","-1","-1"
"359","-1","-1","-1"
"367","-1","-1","-1"
"369","-1","-1","-1"
"370","-1","-1","-1"
"371","-1","-1","-1"
"373","-1","-1","-1"
"374","-1","-1","-1"
"377","-1","-1","-1"
"378","-1","-1","-1"
"379","-1","-1","-1"
"380","-1","-1","-1"
"381","-1","-1","-1"
"382","-1","-1","-1"
"385","-1","-1","-1"
"386","-1","-1","-1"
"387","-1","-1","-1"
"388","-1","-1","-1"
"389","-1","-1","-1"
"390","-1","-1","-1"
"391","-1","-1","-1"
"394","-1","-1","-1"
"395","-1","-1","-1"
"396","-1","-1","-1"
"399","-1","-1","-1"
"400","-1","-1","-1"
"401","-1","-1","-1"
"403","-1","-1","-1"
"405","-1","-1","-1"
"406","-1","-1","-1"
"407","-1","-1","-1"
"408","-1","-1","-1"
"409","-1","-1","-1"
"410","-1","-1","-1"
"411","-1","-1","-1"
"412","-1","-1","-1"
"413","-1","-1","-1"
"414","-1","-1","-1"
"415","-1","-1","-1"
"418","-1","-1","-1"
"419","-1","-1","-1"
"420","-1","-1","-1"
"424","-1","-1","-1"
"425","-1","-1","-1"
"426","-1","-1","-1"
"427","-1","-1","-1"
"428","-1","-1","-1"
"429","-1","-1","-1"
"430","-1","-1","-1"
"432","-1","-1","-1"
"433","-1","-1","-1"
"434","-1","-1","-1"
"437","-1","-1","-1"
"439","-1","-1","-1"
"440","-1","-1","-1"
"441","-1","-1","-1"
"446","-1","-1","-1"
"447","-1","-1","-1"
"448","-1","-1","-1"
"449","-1","-1","-1"
"452","-1","-1","-1"
"456","-1","-1","-1"
"457","-1","-1","-1"
"458","-1","-1","-1"
"460","-1","-1","-1"
"461","-1","-1","-1"
"462","-1","-1","-1"
"463","-1","-1","-1"
"465","-1","-1","-1"
"466","-1","-1","-1"
"467","-1","-1","-1"
"468","-1","-1","-1"
"469","-1","-1","-1"
"470","-1","-1","-1"
"471","-1","-1","-1"
"472","-1","-1","-1"
"473","-1","-1","-1"
"474","-1","-1","-1"
"475","-1","-1","-1"
"477","-1","-1","-1"
"478","-1","-1","-1"
"480","-1","-1","-1"
"482","-1","-1","-1"
"483","-1","-1","-1"
"484","-1","-1","-1"
"485","-1","-1","-1"
"486","-1","-1","-1"
"487","-1","-1","-1"
"488","-1","-1","-1"
"490","-1","-1","-1"
"491","-1","-1","-1"
"492","-1","-1","-1"
"493","-1","-1","-1"
"496","-1","-1","-1"
"501","-1","-1","-1"
