"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"56","-44","-44","-44"
"57","-35","-48","-13"
"58","-36","-46","-26"
"59","-21.5","-26","-17"
"60","-32.5","-48","-17"
"62","-44","-49","-39"
"64","-53","-53","-53"
"65","-57","-57","-57"
"67","-39","-61","-17"
"68","-56","-56","-56"
"70","-15","-15","-15"
"71","-13","-15","-11"
"72","-32.5","-54","-11"
"73","-57","-57","-57"
"74","-59","-59","-59"
"75","-40.333333333333336","-67","-14"
"76","-12","-12","-12"
"77","-15","-15","-15"
"78","-68","-68","-68"
"80","-55.5","-71","-40"
"81","-66","-66","-66"
"82","-28","-28","-28"
"83","-32","-68","-11"
"85","-26.666666666666668","-50","-15"
"86","-59","-73","-45"
"87","-57.666666666666664","-76","-32"
"88","-40","-68","-12"
"89","-13.5","-15","-12"
"90","-50.5","-77","-24"
"91","-14.5","-17","-12"
"92","-17","-17","-17"
"94","-36.25","-81","-14"
"95","-17","-17","-17"
"97","-67.5","-83","-52"
"102","-14.5","-18","-11"
"104","-15","-15","-15"
"105","-29.5","-30","-29"
"106","-13","-13","-13"
"108","-55.666666666666664","-97","-22"
"109","-53","-53","-53"
"110","-44","-44","-44"
"111","-51","-51","-51"
"116","-18","-18","-18"
"118","-15","-15","-15"
"121","-20.666666666666668","-40","-2"
"122","-37","-50","-24"
"125","-35.5","-55","-16"
"126","-2","-2","-2"
"127","-5","-5","-5"
"128","-51","-51","-51"
"129","-30","-34","-26"
"130","-70","-70","-70"
"133","-31","-31","-31"
"134","-1","-1","-1"
"135","-37","-73","-1"
"137","-10.5","-14","-7"
"139","-20","-20","-20"
"140","-27","-37","-17"
"142","-13","-13","-13"
"144","-18","-18","-18"
"146","-58","-58","-58"
"147","-70","-70","-70"
"148","-54","-55","-53"
"150","-52.666666666666664","-73","-23"
"151","-46.5","-69","-24"
"152","-33.5","-37","-30"
"153","-46.666666666666664","-72","-4"
"154","-85","-85","-85"
"155","-43","-72","-14"
"156","-31","-31","-31"
"159","-24","-48","0"
"160","-53","-53","-53"
"161","-2","-2","-2"
"162","-46","-65","-27"
"163","-50","-50","-50"
"165","-11.5","-21","-2"
"167","-33","-82","-2"
"168","-15","-15","-15"
"169","-1","-1","-1"
"171","-20","-20","-20"
"172","-40","-78","-2"
"174","-22","-22","-22"
"175","-74","-74","-74"
"176","-37","-37","-37"
"177","-10","-16","-4"
"180","-1","-1","-1"
"181","-14","-14","-14"
"182","-36","-70","-2"
"183","-1.6666666666666667","-3","-1"
"184","-14","-25","-3"
"186","-43","-43","-43"
"187","-26.5","-52","-1"
"188","-41","-73","-3"
"193","-2","-2","-2"
"194","-13.5","-24","-3"
"195","-27","-27","-27"
"197","-36","-36","-36"
"198","0","0","0"
