"Step","env: QLUNARLANDER - ep_info/Shaping","env: QLUNARLANDER - ep_info/Shaping__MIN","env: QLUNARLANDER - ep_info/Shaping__MAX"
"56","-606.225924566388","-606.225924566388","-606.225924566388"
"57","-356.11890968887354","-771.196534857154","30.240466297914622"
"58","-462.6490177937473","-716.5430958072344","-208.7549397802602"
"59","-297.88058574808144","-305.12418991451466","-290.63698158164823"
"60","-453.8873578500934","-733.5717596967395","-174.2029560034473"
"62","-776.6268097020995","-825.1306215922039","-728.1229978119953"
"64","-1279.291079224398","-1279.291079224398","-1279.291079224398"
"65","-1117.4285682694365","-1117.4285682694365","-1117.4285682694365"
"67","-779.4590562971619","-1392.2853424446657","-166.63277014965809"
"68","-1188.4364650274315","-1188.4364650274315","-1188.4364650274315"
"70","-249.4712226713698","-249.4712226713698","-249.4712226713698"
"71","-358.2350305672735","-359.2903685991963","-357.1796925353507"
"72","-585.4019044861197","-790.6793714500964","-380.124437522143"
"73","-1207.5427160598338","-1207.5427160598338","-1207.5427160598338"
"74","-1221.2098150436457","-1221.2098150436457","-1221.2098150436457"
"75","-1286.2586488663737","-1568.9074187539518","-975.5177106708289"
"76","-1163.5799737026293","-1163.5799737026293","-1163.5799737026293"
"77","-158.35383043189842","-158.35383043189842","-158.35383043189842"
"78","-1484.8905377015471","-1484.8905377015471","-1484.8905377015471"
"80","-1421.4564346863576","-1684.0544089985392","-1158.8584603741763"
"81","-1415.816850649814","-1415.816850649814","-1415.816850649814"
"82","-1120.2576042463381","-1120.2576042463381","-1120.2576042463381"
"83","-383.6422155768507","-1249.2783352658153","284.7591953662535"
"85","-647.0795774807533","-777.188427956154","-391.98040744910634"
"86","-1622.4739020460597","-2370.268196543058","-874.6796075490613"
"87","-1484.6118298515469","-1855.6040623225272","-1207.027856858447"
"88","-1296.7102933034766","-1380.1290188566782","-1213.2915677502751"
"89","-573.5848627792052","-1091.6606526200972","-55.509072938313125"
"90","-1396.051644479856","-2334.549361894528","-457.55392706518364"
"91","-1088.2886467346302","-1158.312947334101","-1018.2643461351594"
"92","-1284.1982515528798","-1284.1982515528798","-1284.1982515528798"
"94","-869.9359498630124","-2050.6326897231243","-44.14036599950248"
"95","-1567.9063287874064","-1567.9063287874064","-1567.9063287874064"
"97","-646.4370625599597","-737.3405772571762","-555.5335478627434"
"102","-703.1593485232443","-720.2206018616755","-686.098095184813"
"104","-934.3741152745981","-934.3741152745981","-934.3741152745981"
"105","39.4902505328258","-235.31681795914972","314.2973190248013"
"106","-594.4104645326735","-594.4104645326735","-594.4104645326735"
"108","-837.0308327103654","-1923.4973049958548","447.50118679304916"
"109","-848.0102003862461","-848.0102003862461","-848.0102003862461"
"110","-920.5541989455621","-920.5541989455621","-920.5541989455621"
"111","-758.7595417474707","-758.7595417474707","-758.7595417474707"
"116","-227.0652810111642","-227.0652810111642","-227.0652810111642"
"118","-1890.7356465933844","-1890.7356465933844","-1890.7356465933844"
"121","-937.22215130325","-1916.153038541476","-165.88434155595803"
"122","-1072.795113005365","-1369.521470895658","-776.068755115072"
"125","-1499.6037257175585","-1715.0036501310146","-1284.2038013041022"
"126","34.51147452741861","34.51147452741861","34.51147452741861"
"127","-134.65484958949185","-134.65484958949185","-134.65484958949185"
"128","-1082.7329900736609","-1082.7329900736609","-1082.7329900736609"
"129","-824.1028283064563","-1213.6803753285978","-434.52528128431493"
"130","-1294.7368622372549","-1294.7368622372549","-1294.7368622372549"
"133","-1610.4786502740656","-1610.4786502740656","-1610.4786502740656"
"134","-15.459854963546036","-15.459854963546036","-15.459854963546036"
"135","-1054.9711169600487","-2181.1114958412945","71.16926192119718"
"137","-259.8010177959999","-366.5709465046724","-153.03108908732736"
"139","-1795.6683756007503","-1795.6683756007503","-1795.6683756007503"
"140","-798.6240816032514","-914.8671116369466","-682.3810515695562"
"142","-1448.2242031566177","-1448.2242031566177","-1448.2242031566177"
"144","-1704.251065229376","-1704.251065229376","-1704.251065229376"
"146","-1153.222289091597","-1153.222289091597","-1153.222289091597"
