"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"58","-44.5","-46","-43"
"59","-11","-11","-11"
"60","-45","-45","-45"
"61","-13","-13","-13"
"63","-50.5","-51","-50"
"64","-45","-45","-45"
"65","-32.5","-54","-11"
"66","-51","-51","-51"
"67","-54","-54","-54"
"68","-53","-53","-53"
"70","-51","-51","-51"
"72","-57","-57","-57"
"74","-57","-58","-56"
"79","-48","-67","-14"
"80","-68","-70","-66"
"81","-52","-52","-52"
"82","-68.5","-71","-66"
"83","-65","-67","-63"
"84","-64","-69","-59"
"85","-68","-68","-68"
"86","-52.333333333333336","-72","-14"
"87","-8","-9","-7"
"88","-70","-70","-70"
"89","-77","-77","-77"
"90","-44.5","-75","-14"
"91","-64.5","-74","-55"
"92","-43.5","-78","-9"
"93","-29.333333333333332","-65","-10"
"94","-61","-61","-61"
"96","-13","-13","-13"
"97","-16","-16","-16"
"99","-55","-55","-55"
"100","-12","-12","-12"
"103","-13","-13","-13"
"104","-49.5","-89","-10"
"105","-12","-12","-12"
"109","-11","-13","-9"
"111","-20","-20","-20"
"114","-22","-22","-22"
"116","-51","-51","-51"
"117","-54","-54","-54"
"122","-49","-49","-49"
"123","-15","-15","-15"
"124","-37","-58","-16"
"126","-48","-48","-48"
"128","-40","-63","-17"
"129","-61","-61","-61"
"130","-48","-48","-48"
"133","-70","-70","-70"
"135","-49","-49","-49"
"136","-2","-2","-2"
"138","-56","-56","-56"
"139","-35.666666666666664","-56","-1"
"140","-30.5","-44","-17"
"141","-48","-53","-43"
"142","-54","-57","-49"
"143","-65","-78","-52"
"144","-60","-60","-60"
"146","-52","-52","-52"
"147","-78","-78","-78"
"148","-24.5","-48","-1"
"149","-25","-49","-1"
"150","-66.5","-81","-52"
"151","-61","-61","-61"
"152","0","0","0"
"153","-78","-78","-78"
"154","-67","-67","-67"
"156","-1","-1","-1"
"157","-66","-68","-64"
"158","-76","-76","-76"
"159","-49","-49","-49"
"161","-48","-48","-48"
"163","-45","-45","-45"
"164","-21.666666666666668","-49","-1"
"165","-42","-82","-2"
"166","-79","-79","-79"
"167","-75","-75","-75"
"168","-50","-50","-50"
"174","-49","-49","-49"
"178","-2","-2","-2"
"180","-53","-53","-53"
"183","-2","-2","-2"
"185","-22.5","-45","0"
"186","-2","-2","-2"
"187","-67.5","-79","-56"
"189","-26","-51","-1"
"192","-4","-4","-4"
"195","-25.5","-49","-2"
"196","-3","-3","-3"
"198","-2","-2","-2"
"199","-67","-67","-67"
"203","-59","-59","-59"
"204","-54","-54","-54"
"205","-43","-43","-43"
"206","-36.5","-59","-14"
"207","-23","-45","-1"
"208","-25.5","-47","-4"
"209","-25.5","-47","-4"
"210","-3.5","-4","-3"
"212","-31","-59","-3"
"214","-58","-58","-58"
"215","-53","-53","-53"
"216","-75","-75","-75"
"217","-36.333333333333336","-57","-4"
"218","-41.666666666666664","-70","-2"
"219","-48","-48","-48"
"220","-51","-51","-51"
"221","-64","-64","-64"
"222","-72","-72","-72"
"224","-45","-45","-45"
"226","-58","-58","-58"
"227","-1","-1","-1"
"230","-53","-53","-53"
"232","-57","-63","-51"
"233","-33","-33","-33"
"235","-81","-81","-81"
"236","-48","-48","-48"
"237","-49","-49","-49"
"240","-72","-72","-72"
"241","-47","-47","-47"
"242","-33.75","-74","-2"
"243","-45","-45","-45"
"246","-47.666666666666664","-94","-2"
"248","-52","-52","-52"
"249","-4","-4","-4"
"251","-49","-49","-49"
"253","-38.5","-72","-5"
"263","-38","-59","-17"
"267","-18","-18","-18"
"268","-62","-62","-62"
"271","-4","-4","-4"
"272","-43.333333333333336","-77","0"
"273","-20.5","-40","-1"
"274","-20.666666666666668","-58","-1"
"275","-52","-52","-52"
"276","-31","-48","-14"
"277","-33","-64","-2"
"279","-61.5","-73","-50"
"280","-78","-78","-78"
"281","-47","-47","-47"
"284","-49","-49","-49"
"286","-41","-81","-1"
"287","-68","-68","-68"
"288","-47","-47","-47"
"291","-3","-3","-3"
"292","-4","-4","-4"
"293","-41.5","-78","-5"
"294","-4","-6","-2"
"295","-4","-4","-4"
"296","-58","-67","-49"
"298","-57","-79","-35"
"299","-62","-62","-62"
"300","-50","-50","-50"
"301","-71","-91","-51"
"303","-44","-44","-44"
"307","-87","-87","-87"
"308","-68","-84","-52"
"309","-61","-61","-61"
"310","-82","-82","-82"
"311","-51","-51","-51"
"312","-48","-48","-48"
"313","-69","-69","-69"
"317","-51","-51","-51"
"320","-26.5","-50","-3"
"323","-46","-46","-46"
"324","-53","-53","-53"
"327","-73","-73","-73"
"331","-1","-1","-1"
"332","-1","-1","-1"
"333","-3","-3","-3"
"335","-31","-59","-3"
"336","-52.5","-56","-49"
"338","-1","-1","-1"
"339","-1","-1","-1"
"342","-6","-6","-6"
"343","-45","-45","-45"
"344","-29","-57","-1"
"345","-2","-2","-2"
"346","-57.666666666666664","-63","-49"
"349","-49","-49","-49"
"350","-20","-20","-20"
"351","-30","-50","-10"
"353","-50","-50","-50"
"356","-49","-49","-49"
"357","-2","-2","-2"
"358","-25.5","-49","-2"
"360","0","0","0"
"361","-58","-58","-58"
"362","-48.5","-50","-47"
"363","-52","-52","-52"
"365","-7","-7","-7"
"366","-73","-78","-68"
"367","-2","-2","-2"
"369","-24","-47","-1"
"371","-76","-76","-76"
"373","-69.33333333333333","-84","-53"
"375","-50","-50","-50"
"376","-25.5","-50","-1"
"377","-48","-48","-48"
"378","-55","-66","-44"
"379","-26.5","-51","-2"
"380","-38.5","-77","0"
"381","-63","-78","-48"
"382","-48","-80","-2"
"383","-3","-3","-3"
"384","-54","-54","-54"
"387","-50","-50","-50"
"391","-51","-51","-51"
"393","-53.5","-59","-48"
"395","-43.5","-84","-3"
"401","-1","-1","-1"
"402","-26.5","-50","-3"
"403","-57","-57","-57"
"406","-27.5","-50","-5"
"410","-60.5","-70","-51"
"412","-3","-3","-3"
"413","-47","-47","-47"
"417","-57","-57","-57"
"418","-3","-3","-3"
"419","-5","-5","-5"
"420","-50","-50","-50"
"421","-71","-71","-71"
"425","-28","-52","-4"
"428","-49.5","-52","-47"
"429","-78","-78","-78"
"431","-75","-75","-75"
"433","-6.5","-9","-4"
"434","-36","-69","-3"
"435","-25","-47","-3"
"436","-48","-48","-48"
"438","-51","-54","-48"
"439","-58","-58","-58"
"440","-66","-75","-57"
"443","-26","-49","-3"
"444","-4","-4","-4"
"446","-43","-81","-5"
"447","-2","-2","-2"
"448","-35","-65","-5"
"449","-48.75","-76","-4"
"450","-43.666666666666664","-80","-1"
"451","-26","-50","-2"
"456","-56.5","-61","-52"
"458","-82","-82","-82"
"459","-4","-4","-4"
"460","-4","-4","-4"
"462","-5","-5","-5"
"465","-64","-83","-45"
"466","-45","-45","-45"
"468","-76","-81","-71"
"470","-36.5","-67","-6"
"473","-50","-50","-50"
"474","-80","-80","-80"
"475","-4","-4","-4"
"477","-3","-3","-3"
"479","-49","-49","-49"
"480","-58.5","-68","-49"
"482","-47","-47","-47"
"484","-35.5","-68","-3"
"486","-51","-51","-51"
"487","-47","-47","-47"
"488","-29.5","-54","-5"
"490","-2","-2","-2"
"491","-23.5","-46","-1"
"492","-2","-2","-2"
"493","-52","-52","-52"
"494","-49.5","-53","-46"
"495","-60","-77","-43"
"496","-73","-73","-73"
"497","-46","-46","-46"
"500","-37","-68","-6"
"502","-36","-70","-2"
"503","-74","-75","-73"
"504","-60","-60","-60"
