"Step","env: QLUNARLANDER - ep_info/Shaping","env: QLUNARLANDER - ep_info/Shaping__MIN","env: QLUNARLANDER - ep_info/Shaping__MAX"
"58","-368.0317869663704","-369.18152771377936","-366.8820462189615"
"59","-2.0169861637210715","-2.0169861637210715","-2.0169861637210715"
"60","-710.4015339476366","-710.4015339476366","-710.4015339476366"
"61","112.07317120830226","112.07317120830226","112.07317120830226"
"63","-557.0490915913446","-645.9343459149823","-468.16383726770687"
"64","-479.17060171440255","-479.17060171440255","-479.17060171440255"
"65","-462.30721066853334","-1065.7095018153389","141.0950804782721"
"66","-833.9388722864289","-833.9388722864289","-833.9388722864289"
"67","-1066.6328339527051","-1066.6328339527051","-1066.6328339527051"
"68","-835.1255950983615","-835.1255950983615","-835.1255950983615"
"70","-451.22077011068666","-451.22077011068666","-451.22077011068666"
"72","-1133.4796820301563","-1133.4796820301563","-1133.4796820301563"
"74","-928.6405979364645","-950.3155743004754","-906.9656215724535"
"79","-691.4768952386868","-711.7005406568449","-677.543798516194"
"80","-1330.2685475209728","-1475.096765905619","-1185.440329136327"
"81","-1258.9200453367084","-1258.9200453367084","-1258.9200453367084"
"82","-906.5614052427313","-1074.256166505317","-738.8666439801456"
"83","-1241.6092292599692","-1491.774374075855","-991.4440844440833"
"84","-1298.3647505752742","-1417.533811647445","-1179.1956895031035"
"85","-1559.7769488425304","-1559.7769488425304","-1559.7769488425304"
"86","-765.0589265694533","-1405.717452716393","66.18019211587188"
"87","-46.69060616722953","-113.31234572827816","19.931133393819096"
"88","-834.627779511114","-834.627779511114","-834.627779511114"
"89","-1222.7153510320932","-1222.7153510320932","-1222.7153510320932"
"90","-1306.148533321296","-1409.0715853186944","-1203.2254813238978"
"91","-1124.6054471588384","-1458.6714309565723","-790.5394633611044"
"92","-1200.2771419938654","-1312.387184705585","-1088.1670992821455"
"93","-614.2400999528667","-1192.8129491085806","112.03276903803146"
"94","-881.2532937154175","-881.2532937154175","-881.2532937154175"
"96","177.19892903665698","177.19892903665698","177.19892903665698"
"97","-1044.8514153249562","-1044.8514153249562","-1044.8514153249562"
"99","-1008.0959334348639","-1008.0959334348639","-1008.0959334348639"
"100","-1743.1663787768534","-1743.1663787768534","-1743.1663787768534"
"103","-1182.5570434642334","-1182.5570434642334","-1182.5570434642334"
"104","-1455.3091407949105","-1505.663889227435","-1404.954392362386"
"105","-776.2886714190245","-776.2886714190245","-776.2886714190245"
"109","-1457.0621066571523","-1745.7914437788227","-1168.332769535482"
"111","-1000.3258755120139","-1000.3258755120139","-1000.3258755120139"
"114","-596.874703032275","-596.874703032275","-596.874703032275"
"116","-1159.9629562503349","-1159.9629562503349","-1159.9629562503349"
"117","-719.3115022964774","-719.3115022964774","-719.3115022964774"
"122","-768.0858423700555","-768.0858423700555","-768.0858423700555"
"123","-984.1012558899821","-984.1012558899821","-984.1012558899821"
"124","-1428.5202327785858","-1473.491777355472","-1383.5486882016994"
"126","-683.5070117376744","-683.5070117376744","-683.5070117376744"
"128","-638.6763978401821","-1586.2629280115168","308.9101323311528"
"129","-1362.3544834554195","-1362.3544834554195","-1362.3544834554195"
"130","-617.2845165481169","-617.2845165481169","-617.2845165481169"
"133","-1143.6484040847668","-1143.6484040847668","-1143.6484040847668"
"135","-1002.1408420676986","-1002.1408420676986","-1002.1408420676986"
"136","-114.67007165029645","-114.67007165029645","-114.67007165029645"
"138","-1134.3249917651217","-1134.3249917651217","-1134.3249917651217"
"139","-645.826399357472","-1062.0118387353916","12.865997796257261"
"140","-1066.5831244241756","-1457.6914438512176","-675.4748049971337"
"141","-1326.7377428904485","-1458.2306624700625","-1195.2448233108346"
"142","-984.6595617839031","-1404.198955744505","-754.4433744624257"
"143","-1619.017387534802","-1973.9167856909335","-1264.1179893786707"
"144","-1587.8843331399062","-1587.8843331399062","-1587.8843331399062"
"146","-1235.1973638869824","-1235.1973638869824","-1235.1973638869824"
"147","-2039.4640050133066","-2039.4640050133066","-2039.4640050133066"
"148","-397.58898502444697","-919.8441264064362","124.66615635754226"
"149","-1147.4641434227428","-1197.0070116221905","-1097.921275223295"
"150","-1964.9027993710092","-2070.1209615605576","-1859.684637181461"
"151","-1621.4717895102995","-1621.4717895102995","-1621.4717895102995"
"152","-49.326004670312045","-49.326004670312045","-49.326004670312045"
"153","-2288.676446203143","-2288.676446203143","-2288.676446203143"
"154","-1619.2166110655915","-1619.2166110655915","-1619.2166110655915"
"156","-233.84635093808174","-233.84635093808174","-233.84635093808174"
"157","-1407.7861936221211","-1469.985332301197","-1345.587054943045"
"158","-2318.7306433841586","-2318.7306433841586","-2318.7306433841586"
"159","-810.3149371842544","-810.3149371842544","-810.3149371842544"
"161","-969.1581643807391","-969.1581643807391","-969.1581643807391"
"163","-1387.4594722874463","-1387.4594722874463","-1387.4594722874463"
"164","-368.57277221827667","-740.4787055142224","198.51192714351538"
"165","-2198.538052100688","-2458.8391770534217","-1938.2369271479545"
"166","-974.3529755311708","-974.3529755311708","-974.3529755311708"
"167","-2220.520604611685","-2220.520604611685","-2220.520604611685"
"168","-1011.2998516609272","-1011.2998516609272","-1011.2998516609272"
"174","-689.8512961342931","-715.3201246013244","-664.3824676672617"
"178","-1487.5693513701358","-1487.5693513701358","-1487.5693513701358"
"180","-737.5146094709635","-737.5146094709635","-737.5146094709635"
"183","-1435.0422493492565","-1435.0422493492565","-1435.0422493492565"
"185","-570.6615866087377","-1265.7732393903036","124.45006617282831"
"186","-1475.374669767916","-1475.374669767916","-1475.374669767916"
"187","-1469.1025182219842","-2213.0965642246106","-725.108472219358"
"189","-1495.0902204339702","-1709.749600229164","-1280.4308406387765"
"192","-1820.7806683300685","-1820.7806683300685","-1820.7806683300685"
"195","-709.5739182320734","-1148.4195279578369","-270.72830850631"
"196","67.52828021968412","67.52828021968412","67.52828021968412"
"198","-1046.7875297181308","-1046.7875297181308","-1046.7875297181308"
"199","-1296.6777873771885","-1296.6777873771885","-1296.6777873771885"
"203","-1273.9506973885","-1273.9506973885","-1273.9506973885"
"204","-1169.5920578980197","-1169.5920578980197","-1169.5920578980197"
"205","-1303.8472527793297","-1303.8472527793297","-1303.8472527793297"
"206","-2458.774084763718","-3534.132891790553","-1383.4152777368822"
"207","-956.5992941303799","-1375.793009530753","-537.4055787300069"
"208","-978.8875261517242","-1260.1031382412962","-697.6719140621523"
"209","-1539.8056721314788","-1718.4625698719174","-1361.1487743910402"
"210","-828.0656239446253","-1055.42032700032","-600.7109208889307"
"212","-1739.1611301378966","-2303.270139227","-1175.0521210487934"
"214","-795.5399863421917","-795.5399863421917","-795.5399863421917"
"215","-1257.447416583697","-1257.447416583697","-1257.447416583697"
"216","-1288.0922714794676","-1288.0922714794676","-1288.0922714794676"
"217","-1166.5808135165005","-1281.9767046215325","-1047.015517173956"
"218","-678.1141360706339","-1143.4028327930719","67.73958903054393"
"219","-830.6031033450078","-830.6031033450078","-830.6031033450078"
"220","-1194.136618481328","-1194.136618481328","-1194.136618481328"
"221","-1298.8340643933043","-1298.8340643933043","-1298.8340643933043"
"222","-2089.124200299382","-2089.124200299382","-2089.124200299382"
"224","-748.885896988213","-748.885896988213","-748.885896988213"
"226","-1476.4771812284985","-1476.4771812284985","-1476.4771812284985"
"227","-787.0946802299004","-1586.273566974948","12.084206515147002"
"230","-1013.7199344074664","-1013.7199344074664","-1013.7199344074664"
"232","-1191.301620720575","-1310.8315826393662","-1071.771658801784"
"233","-426.3353444949413","-426.3353444949413","-426.3353444949413"
"235","-2589.491074028115","-2589.491074028115","-2589.491074028115"
"236","-812.3574637187023","-812.3574637187023","-812.3574637187023"
"237","-831.5498454806706","-831.5498454806706","-831.5498454806706"
"240","-1849.6482755060617","-1849.6482755060617","-1849.6482755060617"
"241","-704.9771519377828","-704.9771519377828","-704.9771519377828"
"242","-1093.68019693469","-1841.1540290266275","-230.68277310455835"
"243","-1165.8914090755084","-1165.8914090755084","-1165.8914090755084"
"246","-1695.9421897372747","-3699.3921489144363","23.53152000547084"
"248","-1135.6248843173187","-1135.6248843173187","-1135.6248843173187"
"249","175.12987274676567","175.12987274676567","175.12987274676567"
"251","-805.1269320615877","-805.1269320615877","-805.1269320615877"
"253","-1244.444066065053","-2123.8390083114305","-365.04912381867564"
"263","-1671.69087807027","-2083.881876741846","-1259.4998793986938"
"267","-4600.73996509891","-4600.73996509891","-4600.73996509891"
"268","-1317.7741322045524","-1317.7741322045524","-1317.7741322045524"
"271","-1613.8484721692898","-1613.8484721692898","-1613.8484721692898"
"272","-1073.7210629175727","-2173.6995209480324","78.70374131730449"
"273","-689.0575858106215","-1338.205277454108","-39.90989416713512"
"274","-1020.9878449628983","-1153.53364792342","-793.6030314303935"
"275","-1241.2516013719141","-1241.2516013719141","-1241.2516013719141"
"276","-2802.3109087953344","-4871.55134906061","-733.0704685300589"
"277","-823.1967002581805","-1438.3113120372097","-208.08208847915137"
"279","-1691.4076326806098","-2162.108724580457","-1220.706540780763"
"280","-2713.5644558742642","-2713.5644558742642","-2713.5644558742642"
"281","-1264.9660546060961","-1264.9660546060961","-1264.9660546060961"
"284","-708.3470290526748","-708.3470290526748","-708.3470290526748"
"286","-826.0322500780068","-1874.9247834396856","222.860283283672"
"287","-1345.565590751668","-1345.565590751668","-1345.565590751668"
"288","-948.9549669087864","-948.9549669087864","-948.9549669087864"
"291","-1691.504426455746","-1691.504426455746","-1691.504426455746"
"292","-953.9735472838705","-953.9735472838705","-953.9735472838705"
"293","-1579.009515233338","-2460.4658735916023","-697.5531568750738"
"294","-2473.1354905331195","-3878.366169092866","-1067.9048119733732"
"295","-946.2293414399027","-946.2293414399027","-946.2293414399027"
"296","-1452.1890674059591","-1565.3475207897525","-1339.0306140221655"
"298","-1198.711856078667","-2101.5640434660017","-295.8596686913322"
"299","-804.0362205356361","-804.0362205356361","-804.0362205356361"
"300","-1223.8300886626046","-1223.8300886626046","-1223.8300886626046"
"301","-2441.725343182683","-3113.4829726070166","-1769.9677137583494"
"303","-1435.0731127584972","-1435.0731127584972","-1435.0731127584972"
"307","-2780.487777044376","-2780.487777044376","-2780.487777044376"
"308","-1542.3952093624735","-1875.9787342436612","-1208.8116844812855"
"309","-1163.494743523188","-1163.494743523188","-1163.494743523188"
"310","-2829.4119708165526","-2829.4119708165526","-2829.4119708165526"
"311","-1319.546457900355","-1319.546457900355","-1319.546457900355"
"312","-917.3250125410657","-917.3250125410657","-917.3250125410657"
"313","-1377.7354804879674","-1377.7354804879674","-1377.7354804879674"
"317","-1430.656543677052","-1430.656543677052","-1430.656543677052"
"320","-537.5470946971327","-631.4587999756138","-443.6353894186516"
"323","-909.1266964872677","-909.1266964872677","-909.1266964872677"
"324","-1240.0432578554805","-1240.0432578554805","-1240.0432578554805"
"327","-1089.1533168032768","-1089.1533168032768","-1089.1533168032768"
"331","-1759.5947893957298","-1759.5947893957298","-1759.5947893957298"
"332","-1554.9037219025195","-1554.9037219025195","-1554.9037219025195"
"333","110.0629040350517","110.0629040350517","110.0629040350517"
"335","-413.1603988820377","-774.817341938615","-51.50345582546049"
"336","-918.1278339819983","-971.0750756785274","-865.1805922854693"
"338","88.40331258997321","88.40331258997321","88.40331258997321"
"339","-1728.346873385211","-1728.346873385211","-1728.346873385211"
"342","-6089.792939582063","-6089.792939582063","-6089.792939582063"
"343","-1366.0532960590597","-1366.0532960590597","-1366.0532960590597"
"344","-664.4238544165466","-1410.8540617550411","82.0063529219479"
"345","-180.27614295358455","-180.27614295358455","-180.27614295358455"
"346","-1114.251783032384","-1309.455541661009","-747.4035288287948"
"349","-973.8595905558517","-973.8595905558517","-973.8595905558517"
"350","-6728.514557112551","-6728.514557112551","-6728.514557112551"
"351","-282.69900120104114","-997.5666156969963","432.16861329491405"
"353","-738.3715708274393","-738.3715708274393","-738.3715708274393"
"356","-1015.1798691755782","-1015.1798691755782","-1015.1798691755782"
"357","-385.28997425486637","-385.28997425486637","-385.28997425486637"
"358","-631.1005872637033","-1007.4239967701336","-254.77717775727308"
"360","-1744.8737776527805","-1744.8737776527805","-1744.8737776527805"
"361","-1203.623527971407","-1203.623527971407","-1203.623527971407"
"362","-894.5506799015373","-1016.2234604358674","-772.877899367207"
"363","-1240.5453342944384","-1240.5453342944384","-1240.5453342944384"
"365","-922.3230889377495","-922.3230889377495","-922.3230889377495"
"366","-1452.1708702438823","-1699.0468758704762","-1205.294864617288"
"367","-1600.2314803190527","-1600.2314803190527","-1600.2314803190527"
"369","-1449.491038452834","-1594.1278850659726","-1304.854191839695"
"371","-1839.7193220990403","-1839.7193220990403","-1839.7193220990403"
"373","-1443.2608390978228","-2510.830605612447","-651.9867728153865"
"375","-1189.989675146838","-1189.989675146838","-1189.989675146838"
"376","-1228.2512814272195","-1468.900369790693","-987.6021930637459"
"377","-752.741447649896","-752.741447649896","-752.741447649896"
"378","-1238.5241756370913","-1344.321214205896","-1132.7271370682865"
"379","-2235.739683480157","-3734.8378287861124","-736.641538174202"
"380","-1761.5531486887487","-1881.1077833101156","-1641.9985140673818"
"381","-930.1688868242006","-1093.4849955762427","-766.8527780721585"
"382","-1342.7608706459093","-1639.4408818644781","-989.4686273570794"
"383","-409.6593209542334","-409.6593209542334","-409.6593209542334"
"384","-905.9944050386547","-905.9944050386547","-905.9944050386547"
"387","-861.1556954371432","-861.1556954371432","-861.1556954371432"
"391","-786.4890885539353","-786.4890885539353","-786.4890885539353"
"393","-1037.5109125646607","-1125.4799374728464","-949.5418876564751"
"395","-1566.2599835662793","-1784.5157418244828","-1348.0042253080758"
"401","-481.4033544547856","-481.4033544547856","-481.4033544547856"
"402","-336.9547635952089","-690.9630882789692","17.053561088551476"
"403","-1355.8986002268894","-1355.8986002268894","-1355.8986002268894"
"406","-2529.0179899523837","-3868.3019759325057","-1189.7340039722621"
"410","-1091.9473619821172","-1211.128108203411","-972.7666157608231"
"412","-163.94253949820995","-163.94253949820995","-163.94253949820995"
"413","-622.1467083245516","-622.1467083245516","-622.1467083245516"
"417","-1448.9647715042033","-1448.9647715042033","-1448.9647715042033"
"418","-519.714602149247","-1216.42699961861","176.99779532011598"
"419","97.22236709529528","97.22236709529528","97.22236709529528"
"420","-869.7714711306616","-869.7714711306616","-869.7714711306616"
"421","-1119.956243938456","-1119.956243938456","-1119.956243938456"
"425","-1168.7780020292848","-1207.078503444791","-1130.4775006137788"
"428","-1015.5135631988137","-1025.046868210969","-1005.9802581866583"
"429","-1373.261875682821","-1373.261875682821","-1373.261875682821"
"431","-2206.0624156305566","-2206.0624156305566","-2206.0624156305566"
"433","-2991.1921695924057","-5758.219662277649","-224.16467690716195"
"434","-1550.8298861368871","-1739.5050064430884","-1362.1547658306858"
"435","-200.46676286744574","-759.5237727897862","358.59024705489475"
"436","-986.2914572780331","-986.2914572780331","-986.2914572780331"
"438","-1153.7896397445973","-1293.2611349970102","-1014.3181444921842"
"439","-1237.6475406733032","-1237.6475406733032","-1237.6475406733032"
"440","-1694.807831826775","-2240.381988557366","-1149.233675096184"
"443","-374.3927574215147","-896.5987983392553","147.8132834962259"
"444","-1833.0699752744595","-1833.0699752744595","-1833.0699752744595"
"446","-1563.6169038286123","-1622.2220652271062","-1505.0117424301184"
"447","-1739.101961022243","-1739.101961022243","-1739.101961022243"
"448","-3361.421136185527","-5133.763898629695","-1589.0783737413583"
"449","-1695.561990747306","-2211.5485362944505","-1384.2373094909515"
"450","-1853.7953102536396","-2358.137553748209","-1568.815734912952"
"451","-1562.9959598882124","-2248.5876292921603","-877.4042904842644"
"456","-902.3052946431562","-1083.1668697452794","-721.4437195410331"
"458","-2554.9307081152997","-2554.9307081152997","-2554.9307081152997"
"459","-2780.1094913156703","-2780.1094913156703","-2780.1094913156703"
"460","-5.159710122893216","-5.159710122893216","-5.159710122893216"
"462","346.6733096937338","346.6733096937338","346.6733096937338"
"465","-1440.3874577917159","-2096.547161128372","-784.2277544550597"
"466","-1411.0156845611832","-1411.0156845611832","-1411.0156845611832"
"468","-1918.8066931881087","-2302.1991864334946","-1535.414199942723"
"470","-1096.1271480579549","-1137.1712675318122","-1055.0830285840977"
"473","-623.1476124922434","-623.1476124922434","-623.1476124922434"
"474","-2034.6761830697458","-2034.6761830697458","-2034.6761830697458"
"475","-222.79781015465664","-222.79781015465664","-222.79781015465664"
"477","-589.3333004787564","-589.3333004787564","-589.3333004787564"
"479","-819.5749361378452","-819.5749361378452","-819.5749361378452"
"480","-1204.368462242807","-1551.4780472343168","-857.2588772512973"
"482","-680.6241854404409","-680.6241854404409","-680.6241854404409"
"484","-3871.192485171681","-6092.31343617042","-1650.0715341729422"
"486","-867.7157191559673","-867.7157191559673","-867.7157191559673"
"487","-781.6311411249142","-781.6311411249142","-781.6311411249142"
"488","-1169.0762833071253","-1546.0474885379276","-792.1050780763229"
"490","123.68266558398807","123.68266558398807","123.68266558398807"
"491","-932.8074151029189","-1150.2130550021925","-715.4017752036451"
"492","57.034406546503305","57.034406546503305","57.034406546503305"
"493","-1036.3656843934828","-1036.3656843934828","-1036.3656843934828"
"494","-903.9348462441316","-1207.0085365946095","-600.8611558936536"
"495","-1771.4049464054406","-2341.4571239228053","-1201.352768888076"
"496","-1236.7605928642056","-1236.7605928642056","-1236.7605928642056"
"497","-810.3192537091672","-810.3192537091672","-810.3192537091672"
"500","-2319.9548855852336","-2795.3749496955425","-1844.5348214749245"
"502","-615.8462656276922","-1358.3725323515634","126.68000109617913"
"503","-1901.672735588431","-2174.0567083981196","-1629.2887627787422"
"504","-800.8294478058816","-800.8294478058816","-800.8294478058816"
"506","-927.6323063628904","-1225.9282517285708","-629.33636099721"
"507","-1749.7917041182518","-1749.7917041182518","-1749.7917041182518"
"508","-1485.924660667816","-1781.956742620794","-1189.8925787148378"
"510","-1124.8380751090333","-1647.3852364967267","-779.151521390304"
"512","-598.5025874846614","-1283.2503302876526","86.24515531832975"
"513","117.31749707770842","117.31749707770842","117.31749707770842"
"514","-421.5962922511002","-421.5962922511002","-421.5962922511002"
"515","-775.4276538034901","-775.4276538034901","-775.4276538034901"
"518","-1764.6169285289943","-1764.6169285289943","-1764.6169285289943"
"519","-990.3699561449079","-990.3699561449079","-990.3699561449079"
"520","-579.7039822985729","-579.7039822985729","-579.7039822985729"
"521","-1528.8486735856472","-1528.8486735856472","-1528.8486735856472"
"522","-1183.3921622795363","-1183.3921622795363","-1183.3921622795363"
"523","-144.15078002524876","-144.15078002524876","-144.15078002524876"
"525","-1509.9120431113988","-2254.579149186611","-765.2449370361866"
"528","-1462.0274838525804","-1462.0274838525804","-1462.0274838525804"
"531","-853.314525447786","-853.314525447786","-853.314525447786"
"532","-1512.5690702777356","-2303.430637554576","-721.7075030008951"
"533","-1099.818301231911","-1374.6761005992691","-824.9605018645525"
"534","-894.1405025155594","-1052.5477620152137","-735.7332430159051"
"535","-2792.859154184077","-2862.1130207417687","-2723.6052876263857"
"536","-1262.3079377020606","-1392.5427928722154","-1167.4998808884993"
"537","-919.3418257248898","-919.3418257248898","-919.3418257248898"
"538","-1097.741648554802","-1097.741648554802","-1097.741648554802"
"542","-272.3739487744558","-698.5219565456113","153.7740589966997"
"544","-1004.5270848010356","-1004.5270848010356","-1004.5270848010356"
"545","-27.979031205177307","-27.979031205177307","-27.979031205177307"
"547","-1134.4055409026848","-2241.382823729577","-335.60034446418285"
"548","-1122.5454667583108","-1122.5454667583108","-1122.5454667583108"
"549","-826.7625349381318","-1275.3577454326055","-378.1673244436581"
"550","-732.9792844442029","-732.9792844442029","-732.9792844442029"
"551","-960.9759716161836","-1266.8905000512798","-655.0614431810876"
"552","-975.4654308781029","-975.4654308781029","-975.4654308781029"
"553","-1155.44239016405","-1155.44239016405","-1155.44239016405"
"554","-1051.8049818153181","-1051.8049818153181","-1051.8049818153181"
"558","-1272.1322271196793","-1670.1583107933404","-874.1061434460183"
"560","-812.1542460285128","-812.1542460285128","-812.1542460285128"
"562","-942.7330959085375","-1140.3476796112955","-745.1185122057797"
"565","-791.0339514468279","-1495.3744642746947","53.34782073367393"
"566","-1171.233024318806","-1651.7420551584412","-906.6377597240111"
"567","-1306.2299382872877","-1306.2299382872877","-1306.2299382872877"
"571","-1412.2683972333714","-1412.2683972333714","-1412.2683972333714"
"572","-1435.9710916566353","-1435.9710916566353","-1435.9710916566353"
"575","-1088.925221818499","-1424.2499493993816","-753.6004942376165"
"577","-1865.1289825175581","-2079.70831199425","-1650.5496530408661"
"578","-546.9324051712949","-546.9324051712949","-546.9324051712949"
"580","86.97441616809618","86.97441616809618","86.97441616809618"
"581","-1914.0047624011834","-1914.0047624011834","-1914.0047624011834"
"585","-2114.5280094121895","-2114.5280094121895","-2114.5280094121895"
"588","-1355.131938758927","-1355.131938758927","-1355.131938758927"
"589","-745.7793334809443","-745.7793334809443","-745.7793334809443"
"590","-2371.899713218833","-2371.899713218833","-2371.899713218833"
"591","-744.4940305007622","-1395.888714717701","-93.09934628382325"
"592","-853.799146367237","-882.1561965160072","-825.4420962184666"
"593","-989.3564549274741","-989.3564549274741","-989.3564549274741"
"595","-1367.7444209655127","-1367.7444209655127","-1367.7444209655127"
"596","-1209.5130568680663","-1209.5130568680663","-1209.5130568680663"
"598","-1156.8874662431579","-1156.8874662431579","-1156.8874662431579"
"599","-791.8791340974469","-791.8791340974469","-791.8791340974469"
"600","-1710.4724454693496","-1710.4724454693496","-1710.4724454693496"
"601","-1664.5871636283118","-1664.5871636283118","-1664.5871636283118"
"602","-671.2024357790748","-671.2024357790748","-671.2024357790748"
"603","-1283.2211647946904","-3024.642325103438","-27.865313203384403"
"605","-1273.0201923598845","-1273.0201923598845","-1273.0201923598845"
"606","-1750.371150750046","-1750.371150750046","-1750.371150750046"
"608","-2039.3959202884387","-2039.3959202884387","-2039.3959202884387"
"609","-1062.5660053143897","-1062.5660053143897","-1062.5660053143897"
"611","-1052.1495086625996","-1384.850998040444","-719.4480192847551"
"613","-661.3734176463137","-1187.6252137360473","-135.12162155658007"
"614","-1367.338911684851","-1367.338911684851","-1367.338911684851"
"615","197.44701671623625","197.44701671623625","197.44701671623625"
"617","-1448.0844410136342","-1514.2393715990086","-1381.9295104282598"
"618","-1211.5290453657508","-1211.5290453657508","-1211.5290453657508"
"620","-1054.4274055864662","-1360.901923850179","-747.9528873227536"
"621","-1799.9741218288739","-1799.9741218288739","-1799.9741218288739"
"622","-62.47547833124804","-62.47547833124804","-62.47547833124804"
"623","-727.0259972040852","-727.0259972040852","-727.0259972040852"
"624","-1344.8719265094646","-1366.3931454842289","-1323.3507075347006"
"627","-396.9000593995054","-396.9000593995054","-396.9000593995054"
"629","-2345.9698993017273","-2345.9698993017273","-2345.9698993017273"
"630","-1464.7302340405686","-1464.7302340405686","-1464.7302340405686"
"632","-1547.4975920903184","-1547.4975920903184","-1547.4975920903184"
"634","-1937.320703074336","-1937.320703074336","-1937.320703074336"
"636","-103.60714286441612","-103.60714286441612","-103.60714286441612"
"637","-1113.559886813164","-1113.559886813164","-1113.559886813164"
"638","-1827.7880971321526","-2436.0413605816043","-1219.534833682701"
"639","-1009.4995912901746","-1009.4995912901746","-1009.4995912901746"
"643","-1308.5268848420433","-1530.9465859706204","-1086.1071837134662"
"644","195.15015557408333","195.15015557408333","195.15015557408333"
"645","-1359.712018852743","-1736.7884534336627","-982.6355842718234"
"648","-728.3565476536752","-728.3565476536752","-728.3565476536752"
"650","-1259.3491104744996","-1259.3491104744996","-1259.3491104744996"
"651","-2175.0016729783965","-2175.0016729783965","-2175.0016729783965"
"652","-1042.0461241155863","-1129.044437315315","-955.0478109158576"
"654","-979.1143889694164","-979.1143889694164","-979.1143889694164"
"655","-1553.5370526838428","-1553.5370526838428","-1553.5370526838428"
"656","-1907.029013204078","-1907.029013204078","-1907.029013204078"
"657","-1320.3167704244454","-1320.3167704244454","-1320.3167704244454"
"658","-916.6742723383422","-1306.1853944479176","-702.142148433874"
"659","-1201.475448688143","-1590.6885007473952","-812.2623966288908"
"661","-281.3176230763396","-281.3176230763396","-281.3176230763396"
"663","-1149.5385421210278","-1149.5385421210278","-1149.5385421210278"
"664","-1407.3915520437165","-1736.045394403239","-928.8110540558895"
"667","-915.019456918041","-1036.020192783326","-794.018721052756"
"668","82.64570243159926","82.64570243159926","82.64570243159926"
"670","-1554.8971896606186","-1554.8971896606186","-1554.8971896606186"
"671","-1218.4430199364822","-1218.4430199364822","-1218.4430199364822"
