"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"52","-1","-1","-1"
"54","-1","-1","-1"
"55","-1","-1","-1"
"58","-1","-1","-1"
"60","-1","-1","-1"
"61","-1","-1","-1"
"63","-1","-1","-1"
"64","-1","-1","-1"
"65","-1","-1","-1"
"67","-1","-1","-1"
"71","-1","-1","-1"
"73","-1","-1","-1"
"75","-1","-1","-1"
"76","-1","-1","-1"
"77","-1","-1","-1"
"78","-1","-1","-1"
"79","-1","-1","-1"
"80","-1","-1","-1"
"85","-1","-1","-1"
"86","-1","-1","-1"
"87","-1","-1","-1"
"90","-1","-1","-1"
"95","-1","-1","-1"
"97","-1","-1","-1"
"100","-1","-1","-1"
"107","-1","-1","-1"
"115","-1","-1","-1"
"116","-1","-1","-1"
"117","-1","-1","-1"
"120","-1","-1","-1"
"127","-1","-1","-1"
"129","-1","-1","-1"
"131","-1","-1","-1"
"134","-1","-1","-1"
"139","-1","-1","-1"
"142","-1","-1","-1"
"143","-1","-1","-1"
"144","-1","-1","-1"
"145","-1","-1","-1"
"146","-1","-1","-1"
"152","-1","-1","-1"
"153","-1","-1","-1"
"156","-1","-1","-1"
"158","-1","-1","-1"
"163","-1","-1","-1"
"164","-1","-1","-1"
"165","-1","-1","-1"
"166","-1","-1","-1"
"169","-1","-1","-1"
"172","-1","-1","-1"
"173","-1","-1","-1"
"174","-1","-1","-1"
"189","-1","-1","-1"
"193","-1","-1","-1"
"194","-1","-1","-1"
"196","-1","-1","-1"
"197","-1","-1","-1"
"203","-1","-1","-1"
"206","-1","-1","-1"
"207","-1","-1","-1"
"210","-1","-1","-1"
"211","-1","-1","-1"
"213","-1","-1","-1"
"214","-1","-1","-1"
"215","-1","-1","-1"
"221","-1","-1","-1"
"222","-1","-1","-1"
"225","-1","-1","-1"
"228","-1","-1","-1"
"229","-1","-1","-1"
"231","-1","-1","-1"
"234","-1","-1","-1"
"235","-1","-1","-1"
"236","-1","-1","-1"
"238","-1","-1","-1"
"240","-1","-1","-1"
"241","-1","-1","-1"
"245","-1","-1","-1"
"246","-1","-1","-1"
"247","-1","-1","-1"
"251","-1","-1","-1"
"253","-1","-1","-1"
"254","-1","-1","-1"
"257","-1","-1","-1"
"259","-1","-1","-1"
"260","-1","-1","-1"
"267","-1","-1","-1"
"271","-1","-1","-1"
"272","-1","-1","-1"
"273","-1","-1","-1"
"274","-1","-1","-1"
"277","-1","-1","-1"
"278","-1","-1","-1"
"279","-1","-1","-1"
"280","-1","-1","-1"
"284","-1","-1","-1"
"286","-1","-1","-1"
"287","-1","-1","-1"
"288","-1","-1","-1"
"294","-1","-1","-1"
"296","-1","-1","-1"
"299","-1","-1","-1"
"302","-1","-1","-1"
"306","-1","-1","-1"
"309","-1","-1","-1"
"314","-1","-1","-1"
"316","-1","-1","-1"
"317","-1","-1","-1"
"319","-1","-1","-1"
"326","-1","-1","-1"
"327","-1","-1","-1"
"328","-1","-1","-1"
"332","-1","-1","-1"
"333","-1","-1","-1"
"335","-1","-1","-1"
"342","-1","-1","-1"
"343","-1","-1","-1"
"345","-1","-1","-1"
"348","-1","-1","-1"
"352","-1","-1","-1"
"353","-1","-1","-1"
"356","-1","-1","-1"
"360","-1","-1","-1"
"361","-1","-1","-1"
"362","-1","-1","-1"
"363","-1","-1","-1"
"364","-1","-1","-1"
"367","-1","-1","-1"
"368","-1","-1","-1"
"374","-1","-1","-1"
"378","-1","-1","-1"
"383","-1","-1","-1"
"384","-1","-1","-1"
"392","-1","-1","-1"
"400","-1","-1","-1"
"401","-1","-1","-1"
"403","-1","-1","-1"
"404","-1","-1","-1"
"408","-1","-1","-1"
"412","-1","-1","-1"
"414","-1","-1","-1"
"415","-1","-1","-1"
"416","-1","-1","-1"
"418","-1","-1","-1"
"421","-1","-1","-1"
"424","-1","-1","-1"
"425","-1","-1","-1"
"426","-1","-1","-1"
"430","-1","-1","-1"
