"Step","env: QLUNARLANDER - ep_info/Power_linear","env: QLUNARLANDER - ep_info/Power_linear__MIN","env: QLUNARLANDER - ep_info/Power_linear__MAX"
"58","-4","-7","-1"
"59","-17","-17","-17"
"60","-7","-7","-7"
"61","-20","-20","-20"
"63","-6","-8","-4"
"64","-8","-8","-8"
"65","-10.5","-18","-3"
"66","-5","-5","-5"
"67","-4","-4","-4"
"68","-6","-6","-6"
"70","-8","-8","-8"
"72","-5","-5","-5"
"74","-7","-8","-6"
"79","-20.333333333333332","-54","-2"
"80","-6.5","-7","-6"
"81","-6","-6","-6"
"82","-3.5","-4","-3"
"83","-9.5","-13","-6"
"84","-4.5","-5","-4"
"85","-7","-7","-7"
"86","-11.333333333333334","-21","-6"
"87","-26.5","-28","-25"
"88","-6","-6","-6"
"89","-5","-5","-5"
"90","-37","-68","-6"
"91","-6","-6","-6"
"92","-41","-77","-5"
"93","-53.333333333333336","-79","-9"
"94","-7","-7","-7"
"96","-24","-24","-24"
"97","-74","-74","-74"
"99","-7","-7","-7"
"100","-81","-81","-81"
"103","-85","-85","-85"
"104","-42","-75","-9"
"105","-82","-82","-82"
"109","-89.5","-90","-89"
"111","-86","-86","-86"
"114","-35","-35","-35"
"116","-1","-1","-1"
"117","-2","-2","-2"
"122","0","0","0"
"123","-103","-103","-103"
"124","-27.5","-55","0"
"126","0","0","0"
"128","-29.5","-59","0"
"129","0","0","0"
"130","0","0","0"
"133","-4","-4","-4"
"135","-1","-1","-1"
"136","-6","-6","-6"
"138","0","0","0"
"139","-1","-3","0"
"140","-27","-52","-2"
"141","-1.5","-2","-1"
"142","-0.6666666666666666","-1","0"
"143","-1.5","-3","0"
"144","-1","-1","-1"
"146","-1","-1","-1"
"147","0","0","0"
"148","-8","-15","-1"
"149","-43.5","-87","0"
"150","-0.5","-1","0"
"151","-1","-1","-1"
"152","-17","-17","-17"
"153","0","0","0"
"154","0","0","0"
"156","-9","-9","-9"
"157","-1","-1","-1"
"158","-1","-1","-1"
"159","0","0","0"
"161","-1","-1","-1"
"163","-1","-1","-1"
"164","-34","-82","-3"
"165","-49","-98","0"
"166","-2","-2","-2"
"167","0","0","0"
"168","0","0","0"
"174","-0.5","-1","0"
"178","-82","-82","-82"
"180","-1","-1","-1"
"183","-70","-70","-70"
"185","-10","-18","-2"
"186","-88","-88","-88"
"187","-1.5","-2","-1"
"189","-37.5","-75","0"
"192","-111","-111","-111"
"195","-9.5","-19","0"
"196","-10","-10","-10"
"198","-99","-99","-99"
"199","-1","-1","-1"
"203","-1","-1","-1"
"204","-2","-2","-2"
"205","-1","-1","-1"
"206","-92.5","-184","-1"
"207","-12.5","-23","-2"
"208","-52.5","-104","-1"
"209","-43.5","-87","0"
"210","-49.5","-68","-31"
"212","-55","-108","-2"
"214","-1","-1","-1"
"215","0","0","0"
"216","-1","-1","-1"
"217","-29.333333333333332","-88","0"
"218","-6","-17","0"
"219","0","0","0"
"220","-1","-1","-1"
"221","-2","-2","-2"
"222","-1","-1","-1"
"224","0","0","0"
"226","-1","-1","-1"
"227","-48.5","-82","-15"
"230","0","0","0"
"232","-0.5","-1","0"
"233","-1","-1","-1"
"235","-1","-1","-1"
"236","-1","-1","-1"
"237","0","0","0"
"240","0","0","0"
"241","0","0","0"
"242","-40.25","-86","0"
"243","0","0","0"
"246","-6.666666666666667","-12","0"
"248","0","0","0"
"249","-5","-5","-5"
"251","-1","-1","-1"
"253","-6.5","-11","-2"
"263","-87","-174","0"
"267","-242","-242","-242"
"268","-1","-1","-1"
"271","-84","-84","-84"
"272","-5","-14","0"
"273","-5.5","-11","0"
"274","-53","-81","-1"
"275","0","0","0"
"276","-126.5","-253","0"
"277","-4.5","-9","0"
"279","-0.5","-1","0"
"280","0","0","0"
"281","0","0","0"
"284","0","0","0"
"286","-9","-18","0"
"287","-1","-1","-1"
"288","-2","-2","-2"
"291","-87","-87","-87"
"292","-100","-100","-100"
"293","-41.5","-83","0"
"294","-126.5","-181","-72"
"295","-80","-80","-80"
"296","0","0","0"
"298","-0.5","-1","0"
"299","-1","-1","-1"
"300","-1","-1","-1"
"301","-0.5","-1","0"
"303","-3","-3","-3"
"307","0","0","0"
"308","-1","-2","0"
"309","0","0","0"
"310","-7","-7","-7"
"311","-3","-3","-3"
"312","0","0","0"
"313","-1","-1","-1"
"317","-2","-2","-2"
"320","-12","-23","-1"
"323","0","0","0"
