"objective_1","objective_2","objective_3","objective_4"
"-875.036624375008","-24.45787184654593","-24.130396976680988","-0.45160012861088905"
"-188.78844364286584","-55.42814312194533","-9.869212253576269","-0.09933272285133946"
"-592.5672082181084","-47.386345031430814","-23.812245994546753","-0.2867160740016872"
"-337.65888864321494","-49.72899777785783","-37.38128979109218","-0.12889712431049927"
"-469.83485701239096","-48.38406958371063","-27.32920474809243","-0.23356080759090814"
"-388.9675620556293","-43.62512470484687","-32.80148743850102","-0.23378368134190392"
"-177.07517826111635","-48.75062465751645","-18.93297928121396","-0.19960446762397682"
"-341.2302530888581","-46.35441398356562","-39.802464721755804","-0.1380014640513731"
"-294.5790250288304","-53.12402097907035","-30.176336888560265","-0.16603160307243575"
"-740.6600987325164","-28.242368007972154","-21.318806539966165","-0.42049092014477873"
"-587.1994812085225","-46.54215501479516","-26.89006920257296","-0.2656777578263182"
"-428.83798656947084","-50.086708726235585","-32.446436536013536","-0.15854965562435913"
"-523.4685179827945","-43.26615138915548","-27.543919968564165","-0.2918992864228029"
"-412.5681974914056","-42.90313161163341","-31.53167718818413","-0.25565191200182386"
"-818.5684906881918","-19.875697808330074","-40.21949228652962","-0.34106004838366055"
"-465.5015968211377","-44.32048094096362","-28.854099924349065","-0.26825419134687245"
"-509.2145848460521","-48.28182603396672","-25.032423833367766","-0.2668575013266545"
"-327.95714273223194","-47.44603322377454","-36.35137270372114","-0.1620259407250425"
"-383.1233136821538","-42.98611287916576","-30.77462406588386","-0.2623926305495031"
"-602.6297902072145","0","-48.10462280946328","-0.515665620782501"
"-511.9654340938384","-41.83722446917153","-22.298418031773505","-0.3586435749905491"
"-299.4704152346535","-12.125172366644277","-48.9430542383017","-0.3762010030768305"
"-476.83832125622513","-44.02633074988299","-19.233413337315273","-0.36605829661243916"
"-250.1334708739771","-20.467219282011847","-34.35732393952576","-0.43577010776294944"
"-758.7100300107738","-53.66951732247287","-3.613597685775711","-0.4271688499175136"
"-752.7809761568994","-40.5865120391978","-11.357336936330599","-0.469359794767081"
"-59.04521298864338","-56.3722832666153","-32.48080020628312","-0.04650928855529764"
"23.38933972889754","-50.34523805931481","-38.372145345222485","-0.0712110158143852"
"-331.6163347216188","-53.54859217806779","-31.009628530931007","-0.11155627131851065"
"-68.63675139746358","-59.771821983024964","-30.022581771119178","-0.010966061066427595"
"-275.25069702791154","-63.51065608112657","-28.554749548379146","-0.055112174158526206"
"-919.4251038248724","-72.19692924512827","-21.191820234243977","-0.06546361414655008"
"-628.2747481491397","-47.95426749666123","-22.54800084069046","-0.29497731662648247"
"-598.0004772471184","-49.87297306906521","-17.923783862219757","-0.3220324306871497"
"-482.5659956610959","-66.5691070196309","-24.029827440264583","-0.06243788117326493"
"-345.87959951328935","-64.24370861299306","-22.331470167971435","-0.09130125977130243"
"-286.3820342924208","-60.94601264384069","-20.853605000491775","-0.09853577871278392"
