"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"54","-1","-1","-1"
"55","-1","-1","-1"
"58","-1","-1","-1"
"63","-1","-1","-1"
"65","-1","-1","-1"
"66","-1","-1","-1"
"68","-1","-1","-1"
"71","-1","-1","-1"
"73","-1","-1","-1"
"75","-1","-1","-1"
"81","-1","-1","-1"
"82","-1","-1","-1"
"83","-1","-1","-1"
"84","-1","-1","-1"
"85","-1","-1","-1"
"87","-1","-1","-1"
"88","-1","-1","-1"
"89","-1","-1","-1"
"91","-1","-1","-1"
"92","-1","-1","-1"
"93","-1","-1","-1"
"94","-1","-1","-1"
"95","-1","-1","-1"
"96","-1","-1","-1"
"98","-1","-1","-1"
"99","-1","-1","-1"
"101","-1","-1","-1"
"105","-1","-1","-1"
"106","-1","-1","-1"
"107","-1","-1","-1"
"108","-1","-1","-1"
"109","-1","-1","-1"
"110","-1","-1","-1"
"111","-1","-1","-1"
"115","-1","-1","-1"
"119","-1","-1","-1"
"121","-1","-1","-1"
"127","-1","-1","-1"
"129","-1","-1","-1"
"130","-1","-1","-1"
"134","-1","-1","-1"
"137","-1","-1","-1"
"142","-1","-1","-1"
"146","-1","-1","-1"
"147","-1","-1","-1"
"149","-1","-1","-1"
"150","-1","-1","-1"
"151","-1","-1","-1"
"152","-1","-1","-1"
"155","-1","-1","-1"
"162","-1","-1","-1"
"166","-1","-1","-1"
"167","-1","-1","-1"
"169","-1","-1","-1"
"171","-1","-1","-1"
"173","-1","-1","-1"
"176","-1","-1","-1"
"180","-1","-1","-1"
"181","-1","-1","-1"
"183","-1","-1","-1"
"184","-1","-1","-1"
"185","-1","-1","-1"
"186","-1","-1","-1"
"192","-1","-1","-1"
"193","-1","-1","-1"
"194","-1","-1","-1"
"195","-1","-1","-1"
"197","-1","-1","-1"
"198","-1","-1","-1"
"199","-1","-1","-1"
"202","-1","-1","-1"
"203","-1","-1","-1"
"205","-1","-1","-1"
"206","-1","-1","-1"
"207","-1","-1","-1"
"208","-1","-1","-1"
"209","-1","-1","-1"
"210","-1","-1","-1"
"213","-1","-1","-1"
"214","-1","-1","-1"
"215","-1","-1","-1"
"216","-1","-1","-1"
"217","-1","-1","-1"
"220","-1","-1","-1"
"222","-1","-1","-1"
"223","-1","-1","-1"
"225","-1","-1","-1"
"226","-1","-1","-1"
"227","-1","-1","-1"
"228","-1","-1","-1"
"230","-1","-1","-1"
"233","-1","-1","-1"
"235","-1","-1","-1"
"236","-1","-1","-1"
"237","-1","-1","-1"
"238","-1","-1","-1"
"242","-1","-1","-1"
"243","-1","-1","-1"
"244","-1","-1","-1"
"246","-1","-1","-1"
"251","-1","-1","-1"
"260","-1","-1","-1"
"262","-1","-1","-1"
"264","-1","-1","-1"
"266","-1","-1","-1"
"268","-1","-1","-1"
"269","-1","-1","-1"
"270","-1","-1","-1"
"271","-1","-1","-1"
"275","-1","-1","-1"
"276","-1","-1","-1"
"278","-1","-1","-1"
"284","-1","-1","-1"
