"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"52","-46","-46","-46"
"54","-45","-45","-45"
"55","-47","-47","-47"
"58","-48","-48","-48"
"60","-47","-48","-46"
"61","-48","-48","-48"
"63","-54","-54","-54"
"64","-52","-52","-52"
"65","-56","-56","-56"
"67","-54","-54","-54"
"71","-55","-55","-55"
"73","-62","-62","-62"
"75","-61.5","-62","-61"
"76","-66","-66","-66"
"77","-69","-69","-69"
"78","-67","-67","-67"
"79","-72","-72","-72"
"80","-68.5","-71","-66"
"85","-78","-78","-78"
"86","-74","-74","-74"
"87","-77","-77","-77"
"90","-77","-77","-77"
"95","-81","-81","-81"
"97","-81","-81","-81"
"100","-84","-84","-84"
"107","-49","-49","-49"
"115","-50.5","-51","-50"
"116","-61","-61","-61"
"117","-51","-51","-51"
"120","-55","-55","-55"
"127","-55","-55","-55"
"129","-60","-68","-52"
"131","-51","-51","-51"
"134","-64","-64","-64"
"139","-65","-65","-65"
"142","-54","-54","-54"
"143","-76","-76","-76"
"144","-84","-84","-84"
"145","-74","-74","-74"
"146","-47","-47","-47"
"152","-74","-74","-74"
"153","-83","-83","-83"
"156","-63.5","-74","-53"
"158","-80","-80","-80"
"163","-65","-65","-65"
"164","-76","-76","-76"
"165","-85","-85","-85"
"166","-67.5","-78","-57"
"169","-86","-86","-86"
"172","-101","-101","-101"
"173","-56","-56","-56"
"174","-91","-91","-91"
"189","-54","-54","-54"
"193","-90","-90","-90"
"194","-65","-69","-61"
"196","-72","-72","-72"
"197","-76","-76","-76"
"203","-66.5","-74","-59"
"206","-52","-52","-52"
"207","-83","-89","-77"
"210","-50","-50","-50"
"211","-52","-52","-52"
"213","-75","-75","-75"
"214","-70","-70","-70"
"215","-82","-82","-82"
"221","-53","-53","-53"
"222","-74","-74","-74"
"225","-70","-70","-70"
"228","-62","-62","-62"
"229","-62","-62","-62"
"231","-83","-83","-83"
"234","-59","-59","-59"
"235","-89","-89","-89"
"236","-65","-65","-65"
"238","-80","-80","-80"
"240","-64","-64","-64"
"241","-51","-51","-51"
"245","-48","-48","-48"
"246","-76","-76","-76"
"247","-70","-70","-70"
"251","-83","-83","-83"
"253","-106","-106","-106"
"254","-77","-77","-77"
"257","-53","-53","-53"
"259","-53","-53","-53"
"260","-61","-61","-61"
"267","-57","-57","-57"
"271","-55","-55","-55"
"272","-76","-76","-76"
"273","-51","-51","-51"
"274","-64","-64","-64"
"277","-65","-65","-65"
"278","-54","-54","-54"
"279","-82","-82","-82"
"280","-66","-66","-66"
"284","-64.5","-76","-53"
"286","-70","-70","-70"
"287","-57","-57","-57"
"288","-55","-55","-55"
"294","-56","-56","-56"
"296","-54","-54","-54"
"299","-64","-64","-64"
"302","-85","-85","-85"
"306","-49","-49","-49"
"309","-62","-62","-62"
"314","-70","-70","-70"
"316","-66","-66","-66"
"317","-77","-77","-77"
"319","-57","-57","-57"
"326","-89","-89","-89"
"327","-67","-67","-67"
"328","-74","-74","-74"
"332","-68","-73","-63"
"333","-60","-60","-60"
"335","-59","-59","-59"
"342","-58","-62","-54"
"343","-57","-57","-57"
"345","-63","-63","-63"
"348","-76","-76","-76"
"352","-97","-97","-97"
"353","-53","-53","-53"
"356","-67","-67","-67"
"360","-65","-65","-65"
"361","-76","-76","-76"
"362","-87","-87","-87"
"363","-77.5","-83","-72"
"364","-69.5","-83","-56"
"367","-49","-49","-49"
"368","-64","-64","-64"
"374","-85","-85","-85"
"378","-60","-60","-60"
"383","-55","-55","-55"
"384","-86","-86","-86"
"392","-79","-79","-79"
"400","-79","-79","-79"
"401","-83","-83","-83"
"403","-66","-66","-66"
"404","-67","-67","-67"
"408","-78","-78","-78"
"412","-82","-82","-82"
"414","-49","-49","-49"
"415","-54","-54","-54"
"416","-71","-71","-71"
"418","-48","-48","-48"
"421","-77","-77","-77"
"424","-55","-55","-55"
"425","-56","-56","-56"
"426","-75","-75","-75"
"430","-84","-84","-84"
"434","-68","-68","-68"
"436","-70","-70","-70"
"438","-84.5","-86","-83"
"440","-56","-56","-56"
"445","-78","-78","-78"
"446","-86","-86","-86"
"447","-76","-76","-76"
"448","-71","-83","-59"
"456","-50","-50","-50"
"459","-55","-55","-55"
"461","-53","-53","-53"
"462","-52","-52","-52"
"466","-59","-70","-48"
"468","-64","-64","-64"
"469","-66","-66","-66"
"473","-52.5","-56","-49"
"474","-55","-55","-55"
"476","-80.5","-99","-62"
"477","-52","-52","-52"
"479","-84","-84","-84"
"480","-53","-53","-53"
"490","-73","-73","-73"
"494","-55","-55","-55"
"499","-53","-53","-53"
"500","-70","-70","-70"
"504","-83","-83","-83"
"506","-56","-56","-56"
"508","-62.5","-68","-57"
"510","-69","-69","-69"
"513","-78","-78","-78"
"516","-79","-79","-79"
"517","-75","-75","-75"
"519","-49","-49","-49"
"520","-68","-68","-68"
"527","-77","-77","-77"
"530","-64","-64","-64"
"532","-52","-52","-52"
"538","-61","-61","-61"
"540","-59","-59","-59"
"542","-63","-63","-63"
"544","-80","-80","-80"
"546","-65","-65","-65"
"547","-52","-52","-52"
"552","-82","-82","-82"
"553","-79","-79","-79"
"555","-54","-54","-54"
"557","-64","-79","-49"
"562","-52","-52","-52"
"564","-83","-83","-83"
"567","-75","-75","-75"
"568","-51","-51","-51"
"569","-50","-50","-50"
"572","-70","-70","-70"
"577","-57","-57","-57"
"578","-57","-57","-57"
"582","-59","-59","-59"
"583","-54","-54","-54"
"586","-72","-72","-72"
"587","-54","-54","-54"
"590","-55","-55","-55"
"591","-82","-82","-82"
"592","-72","-72","-72"
"594","-61","-61","-61"
"595","-45","-45","-45"
"601","-58","-58","-58"
"603","-63","-63","-63"
"607","-53","-53","-53"
"616","-64.5","-72","-57"
"618","-71","-71","-71"
"619","-51","-51","-51"
"620","-69","-69","-69"
"621","-57","-57","-57"
"624","-60","-60","-60"
"625","-65","-65","-65"
"626","-72","-72","-72"
"628","-52.5","-56","-49"
"633","-75","-75","-75"
"634","-49","-49","-49"
"635","-73","-73","-73"
"637","-67","-67","-67"
"645","-62.5","-67","-58"
"646","-72","-72","-72"
"650","-55","-55","-55"
"654","-63","-65","-61"
"655","-89","-89","-89"
"656","-51","-51","-51"
"661","-64","-64","-64"
"665","-56","-56","-56"
"666","-77","-77","-77"
"669","-75","-75","-75"
"674","-53","-53","-53"
"676","-70.5","-84","-57"
"677","-52","-52","-52"
"681","-64","-64","-64"
"688","-65.5","-71","-60"
"689","-71","-83","-59"
"693","-62","-62","-62"
"696","-70","-70","-70"
"698","-63.5","-65","-62"
"701","-71.5","-77","-66"
"704","-53","-53","-53"
"706","-78","-78","-78"
"708","-59","-59","-59"
"710","-57.5","-61","-54"
"711","-53","-53","-53"
"713","-66","-66","-66"
"720","-85","-85","-85"
"723","-82","-82","-82"
"728","-60","-60","-60"
"729","-58","-58","-58"
"730","-65","-65","-65"
"738","-80","-80","-80"
"740","-63","-63","-63"
"741","-57.5","-65","-50"
"744","-52","-52","-52"
"747","-69","-69","-69"
"748","-80","-80","-80"
"749","-81","-81","-81"
"750","-71","-71","-71"
"753","-71","-71","-71"
"755","-60","-60","-60"
"756","-78","-99","-57"
"763","-53","-56","-50"
"764","-60","-60","-60"
"765","-75","-75","-75"
"766","-86","-86","-86"
"767","-67","-67","-67"
"771","-67","-67","-67"
"776","-84","-84","-84"
"778","-69","-69","-69"
"784","-53","-53","-53"
"786","-65.5","-68","-63"
"789","-80.5","-87","-74"
"793","-63","-63","-63"
"794","-50","-50","-50"
"796","-80","-80","-80"
"807","-48","-48","-48"
"810","-58","-58","-58"
"813","-67","-67","-67"
