"Step","env: QLUNARLANDER - ep_info/Power_linear","env: QLUNARLANDER - ep_info/Power_linear__MIN","env: QLUNARLANDER - ep_info/Power_linear__MAX"
"54","-2","-2","-2"
"55","-2","-2","-2"
"58","-22","-22","-22"
"63","-6","-6","-6"
"65","-6","-6","-6"
"66","-6","-6","-6"
"68","-35","-35","-35"
"71","-31.5","-58","-5"
"73","-44","-55","-33"
"75","-7","-7","-7"
"81","-49.75","-67","-8"
"82","-34.333333333333336","-61","-6"
"83","-34","-62","-6"
"84","-35.5","-64","-7"
"85","-35.5","-66","-5"
"87","-67.5","-69","-66"
"88","-70","-70","-70"
"89","-71","-71","-71"
"91","-73","-73","-73"
"92","-50","-50","-50"
"93","-77","-77","-77"
"94","-76","-76","-76"
"95","-79","-79","-79"
"96","-60","-60","-60"
"98","-63","-63","-63"
"99","-7","-7","-7"
"101","-81","-81","-81"
"105","-86","-86","-86"
"106","-84","-84","-84"
"107","-79","-79","-79"
"108","-90","-90","-90"
"109","-87","-87","-87"
"110","-92","-92","-92"
"111","-91","-91","-91"
"115","-95","-95","-95"
"119","-99","-99","-99"
"121","-47","-92","-2"
"127","-37.5","-75","0"
"129","-110","-110","-110"
"130","-112","-112","-112"
"134","-92","-115","-69"
"137","-55","-107","-3"
"142","-2","-2","-2"
"146","-1","-1","-1"
"147","-1","-1","-1"
"149","-36","-71","-1"
"150","-66","-130","-2"
"151","-126.5","-133","-120"
"152","-2","-2","-2"
"155","-2","-2","-2"
"162","-130","-138","-122"
"166","-40.5","-80","-1"
"167","-2","-2","-2"
"169","-109","-109","-109"
"171","-82.5","-85","-80"
"173","-1","-1","-1"
"176","-37","-73","-1"
"180","-161","-161","-161"
"181","-49","-98","0"
"183","-73","-73","-73"
"184","-126","-126","-126"
"185","-50.5","-73","-28"
"186","-91","-91","-91"
"192","-90","-96","-84"
"193","-106","-106","-106"
"194","-155","-155","-155"
"195","-2","-2","-2"
"197","-100","-100","-100"
"198","-37","-74","0"
"199","0","0","0"
"202","0","0","0"
"203","-71","-71","-71"
"205","-127","-127","-127"
"206","-115","-115","-115"
"207","-177","-177","-177"
"208","-120","-120","-120"
"209","-84","-168","0"
"210","0","0","0"
"213","-105","-105","-105"
"214","0","0","0"
"215","-181","-181","-181"
"216","-132","-132","-132"
"217","-191","-191","-191"
"220","-89","-178","0"
"222","0","0","0"
"223","-99","-99","-99"
"225","0","0","0"
"226","-71","-71","-71"
"227","-67","-134","0"
"228","-177","-177","-177"
"230","-69.5","-139","0"
"233","0","0","0"
"235","-61.5","-123","0"
"236","-202","-202","-202"
"237","-126","-126","-126"
"238","-72","-72","-72"
"242","-103","-103","-103"
"243","-75","-150","0"
"244","-135","-135","-135"
"246","-78","-90","-66"
"251","-227","-227","-227"
"260","-113","-226","0"
"262","-76","-76","-76"
"264","-157","-157","-157"
"266","-149","-149","-149"
"268","-113.5","-227","0"
"269","-48","-95","-1"
"270","-71","-71","-71"
"271","-1","-1","-1"
"275","-126","-126","-126"
"276","-73","-143","-3"
"278","-2","-2","-2"
"284","-74","-74","-74"
"286","-68","-68","-68"
"287","-106","-106","-106"
"288","-179","-179","-179"
"289","-68.5","-137","0"
"291","-59","-118","0"
"294","-138","-161","-114"
"298","-123","-123","-123"
"300","-66.5","-132","-1"
"302","-83","-83","-83"
"303","-96.5","-122","-71"
"304","-75","-75","-75"
"306","-93","-93","-93"
"307","-124.5","-194","-55"
"308","-1","-1","-1"
