"Step","env: QLUNARLANDER - ep_info/Shaping","env: QLUNARLANDER - ep_info/Shaping__MIN","env: QLUNARLANDER - ep_info/Shaping__MAX"
"54","-25.079876604179503","-25.079876604179503","-25.079876604179503"
"55","-98.42727685719728","-98.42727685719728","-98.42727685719728"
"58","-375.9698506680627","-375.9698506680627","-375.9698506680627"
"63","-145.39361874759197","-145.39361874759197","-145.39361874759197"
"65","-89.0735995260377","-89.0735995260377","-89.0735995260377"
"66","-124.80940721804893","-124.80940721804893","-124.80940721804893"
"68","-594.8851026830574","-594.8851026830574","-594.8851026830574"
"71","-598.4656117489407","-1005.0350272407135","-191.89619625716784"
"73","-997.3164125888918","-1021.8161946783463","-972.8166304994373"
"75","-155.7730269779761","-155.7730269779761","-155.7730269779761"
"81","-723.3201407595383","-1051.1802773301802","-92.30468819569796"
"82","-580.7774460385036","-882.5251682040592","-92.32652768710011"
"83","-1144.474793303137","-1252.7773682959378","-1036.1722183103361"
"84","-892.5149565602964","-1607.841273614516","-177.1886395060767"
"85","-670.4917662118874","-1279.1303199095032","-61.85321251427138"
"87","-934.9101088785876","-949.8362427887816","-919.9839749683936"
"88","-1060.5949449042478","-1060.5949449042478","-1060.5949449042478"
"89","-774.4209192072352","-774.4209192072352","-774.4209192072352"
"91","-811.2584413029255","-811.2584413029255","-811.2584413029255"
"92","-639.5834728380045","-639.5834728380045","-639.5834728380045"
"93","-1632.863929029554","-1632.863929029554","-1632.863929029554"
"94","-1121.393091355761","-1121.393091355761","-1121.393091355761"
"95","-856.4276564866306","-856.4276564866306","-856.4276564866306"
"96","-653.3928198429446","-653.3928198429446","-653.3928198429446"
"98","-540.6138752587141","-540.6138752587141","-540.6138752587141"
"99","-127.37472873056925","-127.37472873056925","-127.37472873056925"
"101","-1753.5679786621283","-1753.5679786621283","-1753.5679786621283"
"105","-1685.574912310888","-1685.574912310888","-1685.574912310888"
"106","-695.7107996568083","-695.7107996568083","-695.7107996568083"
"107","-625.3874646499753","-625.3874646499753","-625.3874646499753"
"108","-1276.443321723491","-1276.443321723491","-1276.443321723491"
"109","-909.8952765731763","-909.8952765731763","-909.8952765731763"
"110","-1107.7594653858494","-1107.7594653858494","-1107.7594653858494"
"111","-1305.5811104519912","-1305.5811104519912","-1305.5811104519912"
"115","-1553.5794872557747","-1553.5794872557747","-1553.5794872557747"
"119","-1071.7433105843763","-1071.7433105843763","-1071.7433105843763"
"121","-990.2845045241218","-1207.017020477603","-773.5519885706404"
"127","-1414.0964293504758","-1495.6687034343681","-1332.5241552665832"
"129","-2228.9607320756963","-2228.9607320756963","-2228.9607320756963"
"130","-2086.7659037418584","-2086.7659037418584","-2086.7659037418584"
"134","-1522.8487289665889","-1708.709722540031","-1336.9877353931467"
"137","-603.1917557278648","-1166.4415736061833","-39.941937849546434"
"142","-115.42581989616156","-115.42581989616156","-115.42581989616156"
"146","-110.43067562308477","-110.43067562308477","-110.43067562308477"
"147","-1455.2901058693726","-1455.2901058693726","-1455.2901058693726"
"149","-513.6284225604031","-913.2520820324619","-114.0047630883443"
"150","-1658.7896024963507","-1989.6740623128912","-1327.9051426798103"
"151","-1550.9776585095096","-2125.821068630709","-976.1342483883103"
"152","-90.48911538782215","-90.48911538782215","-90.48911538782215"
"155","-296.7896913724642","-296.7896913724642","-296.7896913724642"
"162","-1991.9438691964995","-2275.4953814049563","-1708.3923569880426"
"166","-473.7604441549629","-731.1309156939387","-216.38997261598706"
"167","-66.76333998392033","-66.76333998392033","-66.76333998392033"
"169","-1907.0724106241637","-1907.0724106241637","-1907.0724106241637"
"171","-1636.4187580378107","-1771.0932459061346","-1501.7442701694868"
"173","-244.5473846128831","-244.5473846128831","-244.5473846128831"
"176","-734.7730483822525","-1277.3667632912595","-192.17933347324526"
"180","-1815.2102616149932","-1815.2102616149932","-1815.2102616149932"
"181","-907.9346789283056","-1759.1948159970343","-56.67454185957706"
"183","-1116.5025671944022","-1116.5025671944022","-1116.5025671944022"
"184","-2192.455896692991","-2192.455896692991","-2192.455896692991"
"185","-702.8643173283588","-803.2007111857334","-602.527923470984"
"186","-2049.912503610055","-2049.912503610055","-2049.912503610055"
"192","-1526.656712172553","-1605.3060479462144","-1448.0073763988912"
"193","-1869.1027465586862","-1869.1027465586862","-1869.1027465586862"
"194","-2868.6673380434513","-2868.6673380434513","-2868.6673380434513"
"195","-1852.7134084689121","-1852.7134084689121","-1852.7134084689121"
"197","-1889.9368708953261","-1889.9368708953261","-1889.9368708953261"
"198","-484.3934955503791","-914.9405521651108","-53.84643893564737"
"199","-35.48735238177085","-35.48735238177085","-35.48735238177085"
"202","-106.29861931502819","-106.29861931502819","-106.29861931502819"
"203","-1281.2408736596506","-1281.2408736596506","-1281.2408736596506"
"205","-2123.5008968117954","-2123.5008968117954","-2123.5008968117954"
"206","-2780.2102755522355","-2780.2102755522355","-2780.2102755522355"
"207","-3710.1664524525404","-3710.1664524525404","-3710.1664524525404"
"208","-2189.894126572957","-2189.894126572957","-2189.894126572957"
"209","-1530.7611123311021","-2894.713249367972","-166.80897529423237"
"210","-1169.69854850322","-1169.69854850322","-1169.69854850322"
"213","-1935.492442222312","-1935.492442222312","-1935.492442222312"
"214","-121.65557598570979","-121.65557598570979","-121.65557598570979"
"215","-3147.381148960752","-3147.381148960752","-3147.381148960752"
"216","-2248.006629679973","-2248.006629679973","-2248.006629679973"
"217","-3713.3327371751266","-3713.3327371751266","-3713.3327371751266"
"220","-1526.897417887759","-2953.3284095147487","-100.46642626076937"
"222","261.381530862612","261.381530862612","261.381530862612"
"223","-1847.8434494075673","-1847.8434494075673","-1847.8434494075673"
"225","-211.8902837162217","-211.8902837162217","-211.8902837162217"
"226","-1748.8738701989255","-1748.8738701989255","-1748.8738701989255"
"227","-1545.104311030358","-2884.281620538483","-205.92700152223313"
"228","-2113.693970620632","-2113.693970620632","-2113.693970620632"
"230","-1147.8954671050888","-2264.0003956621513","-31.790538548026234"
"233","240.07445713505155","240.07445713505155","240.07445713505155"
"235","-882.9014121244351","-1783.3680485685666","17.565224319696426"
"236","-4150.442734050253","-4150.442734050253","-4150.442734050253"
"237","-2260.1109704313176","-2260.1109704313176","-2260.1109704313176"
"238","-801.07863402615","-801.07863402615","-801.07863402615"
"242","-1536.2990653763213","-1536.2990653763213","-1536.2990653763213"
"243","-3384.6426561164362","-5571.58167163531","-1197.7036405975618"
"244","-2928.0331433207416","-2928.0331433207416","-2928.0331433207416"
"246","-1049.547412743171","-1642.2063599651058","-456.8884655212363"
"251","-4188.040415445964","-4188.040415445964","-4188.040415445964"
"260","-2599.2862671343605","-5072.651763369018","-125.92077089970314"
"262","-1460.7909272114437","-1460.7909272114437","-1460.7909272114437"
"264","-2861.2588673519595","-2861.2588673519595","-2861.2588673519595"
"266","-2696.038379954795","-2696.038379954795","-2696.038379954795"
"268","-1775.1996348652367","-3374.747555470094","-175.65171426037944"
"269","-875.8343824769061","-1658.8883833028378","-92.78038165097439"
"270","-1086.7307061950366","-1086.7307061950366","-1086.7307061950366"
"271","-134.4430099477371","-134.4430099477371","-134.4430099477371"
"275","-2128.857942763716","-2128.857942763716","-2128.857942763716"
"276","-2177.7568350856504","-3032.906536323329","-1322.6071338479717"
"278","-88.18507324159145","-88.18507324159145","-88.18507324159145"
"284","-1358.612516274055","-1358.612516274055","-1358.612516274055"
"286","-871.5702984482049","-871.5702984482049","-871.5702984482049"
"287","-1167.46481663237","-1167.46481663237","-1167.46481663237"
"288","-2570.6244121926525","-2570.6244121926525","-2570.6244121926525"
"289","-1551.2318929232038","-3012.981986394152","-89.48179945225525"
"291","-1283.8353114475806","-2364.392536769931","-203.27808612522983"
"294","-2657.357487478294","-3224.82848543829","-2053.9039486708743"
"298","-1689.6771972145264","-1689.6771972145264","-1689.6771972145264"
"300","-1592.4601349264851","-3064.757609429459","-120.162660423511"
"302","-1093.7291296819844","-1093.7291296819844","-1093.7291296819844"
"303","-1594.9682910771419","-2034.6133260366817","-1155.323256117602"
"304","-1557.3832262307405","-1557.3832262307405","-1557.3832262307405"
"306","-938.222436234355","-938.222436234355","-938.222436234355"
"307","-2552.662239517337","-4468.91503331426","-636.4094457204143"
"308","-202.6452473911146","-202.6452473911146","-202.6452473911146"
"310","-1207.1244252535205","-1207.1244252535205","-1207.1244252535205"
"311","-1301.812128163874","-1301.812128163874","-1301.812128163874"
"312","-1989.8633843138814","-1989.8633843138814","-1989.8633843138814"
"318","-128.68187737216545","-128.68187737216545","-128.68187737216545"
"321","-196.66674955934286","-196.66674955934286","-196.66674955934286"
"322","-1290.4104560033109","-2465.6586231819047","-115.16228882471717"
"323","-225.51879082682228","-225.51879082682228","-225.51879082682228"
"327","-1903.3629912300967","-1976.5586694702504","-1830.167312989943"
"329","-1601.8339816170435","-1601.8339816170435","-1601.8339816170435"
"338","-117.81411297495163","-117.81411297495163","-117.81411297495163"
"339","-734.247204226752","-734.247204226752","-734.247204226752"
"342","-3212.3961253867797","-3212.3961253867797","-3212.3961253867797"
"343","-948.4274024143814","-948.4274024143814","-948.4274024143814"
"346","-3232.287190078447","-3232.287190078447","-3232.287190078447"
"349","-547.418802720805","-547.418802720805","-547.418802720805"
"350","-1290.2410664210715","-1290.2410664210715","-1290.2410664210715"
"351","-539.5641357948383","-539.5641357948383","-539.5641357948383"
"353","-1876.496076118201","-1876.496076118201","-1876.496076118201"
"354","-2117.1580482746162","-2117.1580482746162","-2117.1580482746162"
"355","-1790.9255832359197","-1790.9255832359197","-1790.9255832359197"
"356","-2227.8240347023143","-4204.407854318561","-251.2402150860678"
"359","-1977.418466936797","-1977.418466936797","-1977.418466936797"
"363","-153.5193187265346","-153.5193187265346","-153.5193187265346"
"365","-878.4399133565216","-1682.698619978813","-74.18120673423016"
"369","-1205.4382170706426","-2381.026024956858","-29.85040918442735"
"371","-2549.504410184454","-2589.418241016877","-2509.590579352031"
"374","-47.97493733962381","-47.97493733962381","-47.97493733962381"
"376","-2153.339594397073","-4194.461488087351","-112.21770070679486"
"377","-2188.9631633882723","-2188.9631633882723","-2188.9631633882723"
"378","-839.863442843159","-1484.447230119258","-103.3365973817805"
"379","-1479.6542168284457","-1479.6542168284457","-1479.6542168284457"
"380","-2934.791432446218","-2934.791432446218","-2934.791432446218"
"383","-631.2964342950532","-942.8291297517717","-113.41798512761795"
"385","-1741.0959580720714","-3162.952702958137","-319.2392131860058"
"386","-92.70406399574131","-92.70406399574131","-92.70406399574131"
