"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"59","-1","-1","-1"
"64","-1","-1","-1"
"65","-1","-1","-1"
"69","-1","-1","-1"
"70","-1","-1","-1"
"71","-1","-1","-1"
"73","-1","-1","-1"
"74","-1","-1","-1"
"75","-1","-1","-1"
"77","-1","-1","-1"
"78","-1","-1","-1"
"79","-1","-1","-1"
"80","-1","-1","-1"
"81","-1","-1","-1"
"82","-1","-1","-1"
"83","-1","-1","-1"
"84","-1","-1","-1"
"85","-1","-1","-1"
"87","-1","-1","-1"
"88","-1","-1","-1"
"89","-1","-1","-1"
"90","-1","-1","-1"
"91","-1","-1","-1"
"92","-1","-1","-1"
"93","-1","-1","-1"
"94","-1","-1","-1"
"95","-1","-1","-1"
"96","-1","-1","-1"
"97","-1","-1","-1"
"98","-1","-1","-1"
"100","-1","-1","-1"
"102","-1","-1","-1"
"103","-1","-1","-1"
"104","-1","-1","-1"
"105","-1","-1","-1"
"107","-1","-1","-1"
"108","-1","-1","-1"
"109","-1","-1","-1"
"111","-1","-1","-1"
"112","-1","-1","-1"
"114","-1","-1","-1"
"117","-1","-1","-1"
"125","-1","-1","-1"
"127","-1","-1","-1"
"129","-1","-1","-1"
"132","-1","-1","-1"
"139","-1","-1","-1"
"141","-1","-1","-1"
"144","-1","-1","-1"
"145","-1","-1","-1"
"148","-1","-1","-1"
"151","-1","-1","-1"
"156","-1","-1","-1"
"160","-1","-1","-1"
"161","-1","-1","-1"
"162","-1","-1","-1"
"166","-1","-1","-1"
"167","-1","-1","-1"
"170","-1","-1","-1"
"172","-1","-1","-1"
"173","-1","-1","-1"
"175","-1","-1","-1"
"176","-1","-1","-1"
"177","-1","-1","-1"
"179","-1","-1","-1"
"184","-1","-1","-1"
"188","-1","-1","-1"
"192","-1","-1","-1"
"193","-1","-1","-1"
"195","-1","-1","-1"
"196","-1","-1","-1"
"197","-1","-1","-1"
"198","-1","-1","-1"
"200","-1","-1","-1"
"201","-1","-1","-1"
"202","-1","-1","-1"
"203","-1","-1","-1"
"204","-1","-1","-1"
"208","-1","-1","-1"
"209","-1","-1","-1"
"211","-1","-1","-1"
"214","-1","-1","-1"
"215","-1","-1","-1"
"217","-1","-1","-1"
"219","-1","-1","-1"
"220","-1","-1","-1"
"224","-1","-1","-1"
"227","-1","-1","-1"
"228","-1","-1","-1"
"229","-1","-1","-1"
"235","-1","-1","-1"
"240","-1","-1","-1"
"243","-1","-1","-1"
"246","-1","-1","-1"
"248","-1","-1","-1"
"251","-1","-1","-1"
"252","-1","-1","-1"
"254","-1","-1","-1"
"255","-1","-1","-1"
"256","-1","-1","-1"
"257","-1","-1","-1"
"259","-1","-1","-1"
"260","-1","-1","-1"
"261","-1","-1","-1"
"262","-1","-1","-1"
"264","-1","-1","-1"
"268","-1","-1","-1"
