"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"55","-1","-1","-1"
"69","-1","-1","-1"
"70","-1","-1","-1"
"71","-1","-1","-1"
"74","-1","-1","-1"
"75","-1","-1","-1"
"76","-1","-1","-1"
"77","-1","-1","-1"
"78","-1","-1","-1"
"79","-1","-1","-1"
"80","-1","-1","-1"
"81","-1","-1","-1"
"82","-1","-1","-1"
"85","-1","-1","-1"
"86","-1","-1","-1"
"87","-1","-1","-1"
"90","-1","-1","-1"
"92","-1","-1","-1"
"93","-1","-1","-1"
"94","-1","-1","-1"
"96","-1","-1","-1"
"98","-1","-1","-1"
"101","-1","-1","-1"
"102","-1","-1","-1"
"103","-1","-1","-1"
"104","-1","-1","-1"
"107","-1","-1","-1"
"108","-1","-1","-1"
"109","-1","-1","-1"
"110","-1","-1","-1"
"111","-1","-1","-1"
"113","-1","-1","-1"
"114","-1","-1","-1"
"115","-1","-1","-1"
"117","-1","-1","-1"
"119","-1","-1","-1"
"121","-1","-1","-1"
"124","-1","-1","-1"
"126","-1","-1","-1"
"127","-1","-1","-1"
"128","-1","-1","-1"
"129","-1","-1","-1"
"130","-1","-1","-1"
"131","-1","-1","-1"
"139","-1","-1","-1"
"141","-1","-1","-1"
"144","-1","-1","-1"
"145","-1","-1","-1"
"149","-1","-1","-1"
"152","-1","-1","-1"
"155","-1","-1","-1"
"161","-1","-1","-1"
"166","-1","-1","-1"
"167","-1","-1","-1"
"168","-1","-1","-1"
"169","-1","-1","-1"
"171","-1","-1","-1"
"172","-1","-1","-1"
"173","-1","-1","-1"
"175","-1","-1","-1"
"176","-1","-1","-1"
"178","-1","-1","-1"
"182","-1","-1","-1"
"183","-1","-1","-1"
"191","-1","-1","-1"
"192","-1","-1","-1"
"195","-1","-1","-1"
"197","-1","-1","-1"
"201","-1","-1","-1"
"202","-1","-1","-1"
"203","-1","-1","-1"
"204","-1","-1","-1"
"206","-1","-1","-1"
"207","-1","-1","-1"
"208","-1","-1","-1"
"209","-1","-1","-1"
"210","-1","-1","-1"
"213","-1","-1","-1"
"215","-1","-1","-1"
"217","-1","-1","-1"
"218","-1","-1","-1"
"219","-1","-1","-1"
"220","-1","-1","-1"
"221","-1","-1","-1"
"222","-1","-1","-1"
"225","-1","-1","-1"
"226","-1","-1","-1"
"227","-1","-1","-1"
"229","-1","-1","-1"
"230","-1","-1","-1"
"231","-1","-1","-1"
"232","-1","-1","-1"
"233","-1","-1","-1"
"237","-1","-1","-1"
"240","-1","-1","-1"
"243","-1","-1","-1"
"244","-1","-1","-1"
"246","-1","-1","-1"
"247","-1","-1","-1"
"250","-1","-1","-1"
"251","-1","-1","-1"
"253","-1","-1","-1"
"256","-1","-1","-1"
"257","-1","-1","-1"
"258","-1","-1","-1"
"260","-1","-1","-1"
"262","-1","-1","-1"
"264","-1","-1","-1"
"265","-1","-1","-1"
"267","-1","-1","-1"
"268","-1","-1","-1"
"271","-1","-1","-1"
"277","-1","-1","-1"
"278","-1","-1","-1"
"279","-1","-1","-1"
"280","-1","-1","-1"
"284","-1","-1","-1"
"286","-1","-1","-1"
"287","-1","-1","-1"
"289","-1","-1","-1"
"292","-1","-1","-1"
"293","-1","-1","-1"
"296","-1","-1","-1"
"298","-1","-1","-1"
"299","-1","-1","-1"
"301","-1","-1","-1"
"305","-1","-1","-1"
"307","-1","-1","-1"
"308","-1","-1","-1"
"309","-1","-1","-1"
"310","-1","-1","-1"
"311","-1","-1","-1"
"312","-1","-1","-1"
"313","-1","-1","-1"
"314","-1","-1","-1"
"315","-1","-1","-1"
"316","-1","-1","-1"
"317","-1","-1","-1"
"320","-1","-1","-1"
"321","-1","-1","-1"
"322","-1","-1","-1"
"323","-1","-1","-1"
"326","-1","-1","-1"
"327","-1","-1","-1"
"328","-1","-1","-1"
"329","-1","-1","-1"
"330","-1","-1","-1"
"331","-1","-1","-1"
"333","-1","-1","-1"
"336","-1","-1","-1"
"338","-1","-1","-1"
"342","-1","-1","-1"
"344","-1","-1","-1"
"346","-1","-1","-1"
"349","-1","-1","-1"
"354","-1","-1","-1"
"355","-1","-1","-1"
"356","-1","-1","-1"
"357","-1","-1","-1"
"358","-1","-1","-1"
"360","-1","-1","-1"
"365","-1","-1","-1"
"367","-1","-1","-1"
"368","-1","-1","-1"
"369","-1","-1","-1"
"370","-1","-1","-1"
"372","-1","-1","-1"
"374","-1","-1","-1"
"376","-1","-1","-1"
"377","-1","-1","-1"
"378","-1","-1","-1"
"379","-1","-1","-1"
"380","-1","-1","-1"
"385","-1","-1","-1"
"387","-1","-1","-1"
"388","-1","-1","-1"
"389","-1","-1","-1"
"390","-1","-1","-1"
"392","-1","-1","-1"
"393","-1","-1","-1"
"394","-1","-1","-1"
"395","-1","-1","-1"
