"Step","env: PENDULUM - ep_info/Theta","env: PENDULUM - ep_info/Theta__MIN","env: PENDULUM - ep_info/Theta__MAX"
"199","-143.12536132276873","-187.43622225522995","-92.75521820489666"
"399","-131.7322951501701","-176.319540143013","-78.47398446709849"
"599","-151.5066369742155","-186.54917031526566","-111.90955881774426"
"799","-125.80145143393892","-194.59736895561218","-76.09607694251463"
"999","-153.09096953570844","-168.2857944369316","-115.0884466022253"
"1199","-154.14233682453633","-173.58338767290115","-109.89521519839764"
"1399","-144.89482921510935","-177.17314898967743","-75.52224794775248"
"1599","-116.18968644367996","-171.29341131448746","-75.16095582454"
"1799","-103.57563227310894","-157.84598726034164","-70.62401288168621"
"1999","-153.21068996563554","-189.99422144889832","-102.05540503934026"
"2199","-151.11477261558176","-180.88804721832275","-91.01056070998311"
"2399","-153.91225083316675","-182.22219371795654","-77.8914596659597"
"2599","-120.35246569656302","-179.47521376609802","-71.63197915966157"
"2799","-134.62340365806594","-185.35884886980057","-61.47151858313009"
"2999","-122.93597793660592","-179.4665623307228","-91.55246497166809"
"3199","-110.05143389669247","-157.5023078918457","-71.92191876587458"
"3399","-110.98812003685161","-164.61576396226883","-77.14529075450264"
"3599","-102.04637261729222","-181.40751773118973","-72.66344937158283"
"3799","-123.33298885158729","-168.93244338035583","-63.79237523151096"
"3999","-132.21091093798168","-178.098029255867","-86.81572523363866"
"4199","-110.66050260139164","-161.26423698663712","-87.33259310887661"
"4399","-150.34385297894477","-177.14202004671097","-113.66907313466072"
"4599","-129.2836892068386","-173.92742455005646","-107.90268632769585"
"4799","-143.47859359486029","-180.02717703580856","-76.14001217996702"
"4999","-112.6339975677547","-165.67558324337006","-67.00112085422734"
"5199","-129.95063097896053","-165.2406075000763","-97.7918490767479"
"5399","-147.16856123954057","-191.97233057022095","-99.45463940501213"
"5599","-120.80357523178682","-167.21805554628372","-69.73845204617828"
"5799","-145.21647584438324","-180.1489291191101","-99.11228284239769"
"5999","-152.74066788858036","-174.66992056369781","-91.70412240951555"
"6199","-155.93025236129762","-183.73752653598785","-118.30946403741837"
"6399","-139.68697493970393","-184.9246626496315","-111.75796423852444"
"6599","-141.05085329003632","-186.6700336933136","-93.49691111966968"
"6799","-108.74397016428993","-132.41896492242813","-84.28006460520555"
"6999","-140.75466520190238","-161.37174105644226","-117.24645382165909"
"7199","-110.60141490325331","-144.6955073773861","-71.82485059276223"
"7399","-152.01220201849938","-174.40292590856552","-100.5270859003067"
"7599","-143.89538563489913","-193.6962913274765","-76.2726437151432"
"7799","-109.95009994348511","-188.50950527191162","-62.40062131313607"
"7999","-109.41281334119849","-178.698821246624","-61.858811324229464"
"8199","-99.51540698738536","-148.87500911951065","-64.67298861849122"
"8399","-129.9518339397735","-193.77409493923187","-39.78282844013302"
"8599","-123.06377554091304","-195.4695371389389","-14.012100423940865"
"8799","-65.72564881054132","-179.39771151542664","-3.125613233249169"
"8999","-66.36177233031631","-175.7999039888382","-12.68360150976514"
"9199","-113.08178478662012","-186.9558026790619","-12.600750875011727"
"9399","-62.356329265079694","-170.413740336895","-12.453175067588745"
"9599","-81.11504162716446","-184.68378901481628","-25.46719410503283"
"9799","-157.2308043446188","-194.58554619550705","-25.635502619566978"
"9999","-17.8162814532785","-25.703403333252936","-12.38128705357667"
"10199","-12.718326036585495","-13.820747943464085","-11.581386048921559"
"10399","-79.88738947105594","-183.96782153844833","-11.989581358961004"
"10599","-43.99901067598112","-152.4557941555977","-0.6126065927383024"
"10799","-107.67532625210734","-189.26165997982025","-0.9652937276987359"
"10999","-153.92634261448984","-192.47111642360687","-12.54311547675752"
"11199","-111.7271014495971","-174.28420901298523","-12.324077962002775"
"11399","-48.17786415770242","-174.04116320610046","-0.6266044671428972"
"11599","-76.68879437247524","-181.37414580583572","-1.5365000615711324"
"11799","-46.775732236191104","-185.41526210308075","-11.437482361674483"
"11999","-19.6570461637617","-38.490418167632015","-11.520390645535372"
"12199","-20.294737964626982","-38.834213812901","-0.8384077088485355"
"12399","-47.50715139702952","-189.37337636947632","-11.93662267865875"
"12599","-77.12538742033794","-189.42281651496887","-0.5675670128039201"
"12799","-116.2395985193536","-196.6175976395607","-1.7054095485800644"
"12999","-42.71567297972361","-176.32282084226608","-0.4970459344549454"
"13199","-53.26825336759066","-189.3066029548645","-0.5753713519297889"
"13399","-44.63041316922754","-173.20780235528946","-11.815660546599247"
"13599","-41.523713554549616","-169.989572763443","-0.9944040428599692"
"13799","-80.70050789974194","-187.6617842912674","-11.556700544955675"
"13999","-80.29063130974245","-183.35138756036758","-11.411731756998051"
"14199","-145.10572480670817","-190.15975362062454","-12.417175685972325"
"14399","-80.87919430920302","-196.2150740623474","-11.925937904132297"
"14599","-79.80810836043383","-195.83597654104233","-11.50232468899776"
"14799","-40.71991547334037","-177.94372934103012","-0.5028009826783091"
"14999","-51.71786305852438","-194.55256807804108","-11.468206221681612"
"15199","-45.20546329223434","-178.30582481622696","-11.639125990870525"
"15399","-51.5900335814149","-194.0717259645462","-11.494825819099788"
"15599","-81.30635657587554","-193.4402475953102","-11.529267283818626"
"15799","-116.27500635582837","-196.27751052379608","-1.2554752785727032"
"15999","-114.27587885026878","-190.39805817604065","-11.837745536402508"
"16199","-15.807634216689621","-39.42523985727166","-3.088488621491706"
"16399","-53.5277249938852","-190.84306758642197","-12.206554314485402"
"16599","-12.25665970036789","-12.884815489182074","-11.880576588438998"
"16799","-119.70327843128617","-196.7798472046852","-11.581359309857362"
"16999","-81.13685117582354","-194.4803694486618","-11.8438692955242"
"17199","-79.81497025635618","-186.86655324697495","-12.193719234477612"
"17399","-48.00923542681994","-192.45898139476776","-11.705748126514663"
"17599","-45.313276469724954","-178.6366548538208","-11.598186070448719"
"17799","-93.57257560981961","-190.54370337724686","-11.748408732637472"
"17999","-45.49287411697878","-191.59798818826675","-0.28478623114642687"
"18199","-51.34271168006817","-192.22580540180206","-12.17586773307994"
"18399","-48.067508261492186","-192.8369602560997","-11.596887049039651"
"18599","-86.58190051587152","-193.88069194555283","-11.854518942171126"
"18799","-10.538367070436653","-24.75801439749921","-0.7274402424372965"
"18999","-50.158531222979946","-187.9496054649353","-11.777113145508338"
"19199","-79.87578574755608","-193.13380426168442","-0.6782448486046633"
"19399","-7.726687506531016","-13.037139346939512","-0.8839979461190524"
"19599","-12.038721041602548","-12.161311224102974","-11.77102113532601"
"19799","-9.613312199762731","-12.180206515302416","-0.4422324395927717"
"19999","-12.241484205603774","-24.615152913422207","-1.033737946076144"
"20199","-11.942404420324602","-12.340706302529725","-11.59913169783249"
"20399","-47.102115286026674","-196.43215095996857","-0.5383877317581209"
"20599","-45.06223773265374","-188.09101730585098","-0.804467230096634"
"20799","-45.583699557969524","-188.87642043828964","-0.7691897347176564"
"20999","-46.77559010002297","-194.27250868082047","-0.44066254168137675"
"21199","-43.652039858137144","-190.8408116698265","-0.7928242333146045"
"21399","-17.224965183984022","-26.422269943752326","-11.972414007592306"
"21599","-17.636308436274703","-25.07053930903203","-12.706788286130177"
"21799","-9.835745909131948","-12.287892722190008","-0.6813712009316077"
"21999","-17.52088733169803","-25.433587722014636","-12.049828878996777"
"22199","-14.816037369522382","-26.20247214758274","-11.459890841950255"
"22399","-85.84624280090938","-191.35169291496277","-11.637351956967905"
"22599","-14.778378080508265","-24.72585313035961","-11.901467662275536"
"22799","-17.206902305193942","-25.040932191492175","-12.036628310852393"
"22999","-85.29382132024621","-194.68036901950836","-12.28387082250265"
"23199","-7.581097915730789","-12.549581284249143","-0.4127261708708829"
"23399","-51.479923189047256","-194.8661692738533","-12.240734002974932"
"23599","-49.25850584756991","-195.2522749900818","-1.4097852859413251"
"23799","-79.6056197854734","-191.89295065402985","-0.39154620606132085"
"23999","-12.22409636812372","-13.18206474307226","-11.674945779595873"
"24199","-51.0930298960011","-195.54756808280945","-11.730080394925608"
"24399","-84.7982960483816","-194.36653453111649","-11.536688110179966"
"24599","-48.86099693605502","-195.0178273320198","-11.461341331407311"
"24799","-15.480394123298174","-26.065233153422014","-12.153646990009292"
"24999","-21.25781419116538","-41.89193770041311","-11.966793931787834"
"25199","-14.866393435992359","-24.364988890767563","-1.3384589534325642"
"25399","-9.839961005948135","-12.930664191342657","-0.6127348096852074"
"25599","-51.47063681819418","-195.62848925590515","-11.849703442007012"
"25799","-12.26490693044325","-13.232266695602448","-11.557922280335333"
"25999","-19.88904715298413","-38.27355410625751","-12.014157218618493"
"26199","-51.43590172260883","-195.9674535393715","-11.52753086865414"
"26399","-51.6158839488402","-197.15241938829422","-11.741966226240038"
"26599","-15.51227727485093","-27.05431755090831","-0.5619122233983944"
"26799","-8.56906658185908","-14.017471164814197","-0.9215048928235774"
"26999","-46.94120647909149","-195.46835321187973","-1.6872612582374131"
"27199","-15.057962894994125","-25.347475268783455","-12.133579583496612"
"27399","-14.502318697578449","-23.33979926824395","-11.976546342229994"
"27599","-12.682209073295235","-23.84961692619254","-1.8169245015087654"
"27799","-23.071774031031236","-27.63178458817856","-13.30118399579078"
"27999","-47.167169112872216","-198.05896699428558","-1.0178170345243416"
"28199","-19.420617243362358","-44.92006714021409","-0.8067667559080292"
"28399","-10.694628404571267","-13.053542745910818","-2.7833857412770158"
"28599","-31.98328496911854","-85.73162838029384","-11.59898001467809"
"28799","-14.80522771278047","-24.620563971991942","-11.737448121879424"
"28999","-12.464926654660667","-36.576983090810245","-0.38104798963468056"
"29199","-10.207884047870175","-12.850700221701118","-1.6612021519176778"
"29399","-17.943922871565157","-29.021647802634106","-11.721703027520562"
"29599","-17.10189582019957","-34.557519784480974","-0.7279428990223096"
"29799","-13.134739240596536","-25.60570315177756","-1.7941589072797797"
"29999","-9.839135875192005","-12.75442889839178","-0.5720856129846652"
"30199","-15.09105057178822","-24.949226965458365","-2.0489517921814695"
"30399","-12.371150192928326","-23.72482793339441","-1.1089095774368616"
"30599","-10.050602090642496","-12.621534177807916","-0.3908966732342378"
"30799","-14.529937207431066","-34.73769513935258","-1.107199110025249"
"30999","-12.294960001778964","-12.670229943243612","-11.572813073733414"
"31199","-15.871200344375392","-26.735327734029852","-1.2259550739181577"
"31399","-12.536502274613303","-25.639266877275077","-0.3206987456942443"
"31599","-13.918859243000043","-31.666631626314484","-0.9819273293760489"
"31799","-10.219511900217913","-25.187426292664895","-0.550716008314339"
"31999","-20.11150771960674","-38.767973498324864","-11.733144202698895"
"32199","-14.7774710144673","-24.464363541243074","-0.6380324692145223"
"32399","-27.10601673147321","-38.15269578957668","-11.698782168750768"
"32599","-12.89332327022712","-24.24762423257198","-1.3748933301176294"
"32799","-12.795503385197662","-36.56584321225819","-0.6847602090856526"
"32999","-20.080052732251353","-27.171339649226866","-12.22950875346578"
"33199","-25.677637709098054","-35.74394148796273","-13.011363887024345"
"33399","-14.534546382992994","-24.038376581804187","-0.5664222304476425"
"33599","-12.679993453972566","-26.64030743954936","-0.8330912972451188"
"33799","-27.425360627552436","-36.297513519944914","-13.184091423980135"
"33999","-18.141439415347122","-39.42279938142019","-1.303200968519377"
"34199","-26.577175055170663","-36.5795792435747","-12.0489623350295"
"34399","-11.807226854556939","-12.264065288502024","-11.216100906072825"
"34599","-17.164140975635384","-26.376158407445473","-11.327569241482706"
"34799","-12.805650949760457","-24.773266109339602","-0.8092541841397178"
"34999","-13.90454023211787","-33.05294590272388","-0.29381479294534074"
"35199","-10.090239704507985","-13.225631972796691","-0.26579086708807154"
"35399","-19.750887020614755","-34.01823578515905","-0.8550322362862062"
"35599","-12.439646077888028","-24.60827507875365","-0.42129024672613014"
"35799","-19.169304296530026","-35.701516200977494","-12.106218677945435"
"35999","-10.208562505213195","-12.595487177204632","-2.106275093421573"
"36199","-15.203530473605497","-26.15688904950366","-0.990774397891073"
"36399","-29.717094424138487","-37.87625124563783","-11.83834693038807"
"36599","-12.548669728674577","-24.95929389121011","-0.4389830184300081"
"36799","-22.152019783524157","-37.59159079949313","-1.340315596346045"
"36999","-19.284599839322617","-35.030863174913975","-11.951433513007942"
"37199","-22.581236633789377","-37.43317195474083","-11.56321803402534"
"37399","-10.507255494403944","-25.236297663970618","-0.8166331422544317"
"37599","-16.6278021239792","-34.84123097742122","-11.517298811260844"
"37799","-20.1648548175217","-35.58406486563035","-11.608105723724293"
"37999","-9.800685839820654","-12.164953257037268","-1.788568464369746"
"38199","-17.791337029560236","-26.364297078522213","-11.546398584090639"
"38399","-17.04567838442017","-35.611845716732205","-11.593399862817023"
"38599","-7.656318072823342","-12.775409809342818","-0.5527647117851302"
"38799","-16.995772012078668","-25.481939495410188","-11.584344867362233"
"38999","-22.162182625223068","-35.46042076280719","-11.481939305173"
"39199","-12.497912553796777","-26.271230126032606","-0.8639198716045939"
"39399","-17.495651858346537","-36.596793056305614","-11.941745444106346"
"39599","-19.802339564108117","-36.13644807207311","-1.5408698445025948"
"39799","-11.794474347193319","-12.09713172197371","-11.470106098488031"
"39999","-12.589133278523514","-13.142177834517497","-11.929209346642892"
"40199","-22.592804110521683","-34.61216489193612","-11.805367943787132"
"40399","-10.192795208338065","-23.780069165899477","-0.5734513477145811"
"40599","-20.36724115449033","-36.7093954485681","-12.158665644623397"
"40799","-15.328359488162096","-27.13675286812213","-0.8192565259814728"
"40999","-14.784175131529627","-38.189778802669025","-0.8422574903161149"
"41199","-19.38620843443932","-24.46853034884407","-12.21800533401256"
"41399","-17.331380872512817","-26.008132445494994","-11.906866504759819"
"41599","-15.364083722229406","-26.791042395023396","-1.2878916953413864"
"41799","-7.349757796303311","-12.077935331486515","-0.294974095231737"
"41999","-10.299517759404262","-25.203046137488855","-0.3040769055005512"
"42199","-11.974371347417764","-12.806378404988209","-11.643411299075524"
"42399","-19.49656176353601","-35.51446439314168","-11.773388160261675"
"42599","-23.118022165170988","-27.744274842640152","-11.546085048430541"
"42799","-22.998629597881518","-37.81830089770665","-0.3379928017529892"
"42999","-15.118830776015239","-25.77456552021613","-0.740986054224777"
"43199","-20.499098515939842","-36.97409158035589","-11.761260063751251"
"43399","-14.92323507372348","-25.09766074737854","-0.4191405199817382"
"43599","-17.83323156171973","-26.931197497309768","-11.80397497631202"
"43799","-9.641432291532691","-12.08038785539975","-0.9721778628518223"
"43999","-20.02586750069895","-27.413086980188382","-11.529277018576977"
"44199","-12.221244236912753","-23.980556519454694","-0.4322015566576738"
"44399","-15.404823046413366","-26.76633683178079","-1.5723589991030167"
"44599","-10.223936644168862","-13.461260139352817","-0.5423081899571116"
"44799","-15.2153609902889","-26.07259777963918","-1.0945391713394201"
"44999","-14.901096182895708","-24.576440370976343","-12.110897378923255"
"45199","-9.671278873097616","-12.478803118581709","-0.27139185334090143"
"45399","-12.229262970188575","-13.158767091939808","-11.415951166876766"
"45599","-12.468970300139336","-13.355733508935373","-11.63239518305636"
"45799","-17.62607929280057","-26.918606668572465","-1.1907007830959628"
"45999","-10.12217466039292","-13.829094953645836","-0.6745150916467537"
"46199","-12.189948050763633","-23.504545032643364","-0.6354407963226549"
"46399","-16.7771102683706","-34.46720355369325","-11.824046189518413"
"46599","-14.546645500013256","-33.79113692685496","-0.6032576860234258"
"46799","-14.864079627493629","-25.083135430119","-11.455154119510553"
"46999","-7.735525561180839","-13.052352510370838","-0.2720590246026404"
"47199","-22.24198796414712","-37.79828411876224","-11.778135220112745"
"47399","-12.023404297626985","-35.739800669951364","-0.2121070615539793"
"47599","-13.332988539821235","-41.49713632409839","-0.34306638816633495"
"47799","-10.450090255551913","-26.084438630437944","-0.23360123750171624"
"47999","-17.405829443557014","-35.12333163166477","-0.9374740547864349"
"48199","-17.06045027583459","-36.05283648623299","-11.79167585050891"
"48399","-14.569624391231628","-25.11664570254652","-11.402138908459165"
"48599","-21.19375884528854","-30.175056793734257","-11.8177008197963"
"48799","-17.85766053995612","-38.35830193748552","-0.9472587832424324"
"48999","-12.504386159652494","-25.05742393732362","-0.19253273960930528"
"49199","-14.431429628610204","-24.308039082789037","-11.4940817930692"
"49399","-12.451429143239512","-24.292318600972067","-1.085596482778783"
"49599","-21.358726025922806","-34.179699316839105","-11.433215357872541"
"49799","-14.676455024314055","-36.25642319081089","-0.2797067919818801"
"49999","-8.049779418187972","-14.40607179790095","-0.3957836700719781"
