"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"1","0","0","0","-49.8","-55","-48","-150.2","-152","-145"
"2","0","0","0","-56","-73","-46","-144","-154","-127"
"3","0.2","0","1","-49.8","-55","-44","-147.8","-151","-144"
"4","0.2","0","1","-41.4","-54","-3","-121.8","-153","-13"
"5","0.2","0","1","-52.6","-66","-44","-145.6","-154","-134"
"6","0","0","0","-58.2","-70","-51","-141.8","-149","-130"
"7","0","0","0","-51.4","-55","-46","-148.6","-154","-145"
"8","0","0","0","-54.4","-56","-50","-145.6","-150","-144"
"9","0","0","0","-51.2","-59","-47","-148.8","-153","-141"
"10","0","0","0","-49","-51","-47","-151","-153","-149"
"11","0","0","0","-43.4","-48","-33","-156.6","-167","-152"
"12","0","0","0","-41.6","-47","-31","-158.4","-169","-153"
"13","0","0","0","-45.4","-56","-37","-154.6","-163","-144"
"14","0","0","0","-48","-58","-24","-152","-176","-142"
"15","0","0","0","-40.8","-46","-36","-159.2","-164","-154"
"16","0","0","0","-45.8","-50","-41","-154.2","-159","-150"
"17","0","0","0","-41","-56","-23","-159","-177","-144"
"18","0","0","0","-39.6","-45","-31","-160.4","-169","-155"
"19","0","0","0","-42.2","-56","-20","-157.8","-180","-144"
"20","0","0","0","-46.6","-52","-38","-153.4","-162","-148"
"21","0","0","0","-36.6","-50","-26","-163.4","-174","-150"
"22","0.2","0","1","-34.6","-47","-21","-141.4","-170","-59"
"23","0","0","0","-43.8","-54","-27","-156.2","-173","-146"
"24","0","0","0","-44.2","-51","-39","-155.8","-161","-149"
"25","0","0","0","-35.4","-45","-24","-164.6","-176","-155"
"26","0","0","0","-41","-48","-34","-159","-166","-152"
"27","0","0","0","-39.8","-52","-28","-160.2","-172","-148"
"28","0","0","0","-39","-48","-30","-161","-170","-152"
"29","0.2","0","1","-36.6","-54","-19","-140","-165","-64"
"30","0.4","0","1","-37.8","-47","-32","-142.6","-165","-88"
"31","0.4","0","1","-34.6","-50","-13","-126.2","-164","-66"
"32","0","0","0","-45.4","-56","-34","-154.6","-166","-144"
"33","0","0","0","-40.8","-52","-34","-159.2","-166","-148"
"34","0","0","0","-36.4","-51","-26","-163.6","-174","-149"
"35","0","0","0","-39.8","-52","-24","-160.2","-176","-148"
"36","0","0","0","-33.4","-40","-21","-166.6","-179","-160"
"37","0.2","0","1","-42.4","-48","-37","-154","-163","-143"
"38","0.2","0","1","-37.2","-55","-27","-160.6","-173","-145"
"39","0","0","0","-42.8","-50","-26","-157.2","-174","-150"
"40","0","0","0","-38.2","-51","-26","-161.8","-174","-149"
"41","0.2","0","1","-35.4","-46","-27","-162.2","-173","-152"
"42","0.2","0","1","-37.2","-44","-28","-159.6","-172","-147"
"43","0.4","0","1","-29.2","-39","-17","-140.4","-176","-81"
"44","0","0","0","-40.4","-54","-33","-159.6","-167","-146"
"45","0.2","0","1","-39.6","-44","-33","-156.2","-161","-146"
"46","0","0","0","-36","-50","-20","-164","-180","-150"
"47","0.2","0","1","-31.4","-44","0","-131.4","-168","-14"
"48","0","0","0","-36.8","-45","-29","-163.2","-171","-155"
"49","0","0","0","-35.8","-42","-32","-164.2","-168","-158"
"50","0.2","0","1","-36.4","-56","-10","-131.8","-167","-31"
"51","0","0","0","-32.6","-44","-19","-167.4","-181","-156"
"52","0.2","0","1","-38","-48","-28","-153.2","-172","-124"
"53","0","0","0","-37.8","-45","-33","-162.2","-167","-155"
"54","0","0","0","-29","-39","-17","-171","-183","-161"
"55","0","0","0","-42.2","-47","-38","-157.8","-162","-153"
"56","0","0","0","-30.8","-43","-24","-169.2","-176","-157"
"57","0","0","0","-39.2","-46","-33","-160.8","-167","-154"
"58","0","0","0","-37.6","-46","-28","-162.4","-172","-154"
"59","0.2","0","1","-29.8","-43","-20","-152.6","-179","-92"
"60","0","0","0","-39.6","-47","-36","-160.4","-164","-153"
"61","0","0","0","-37.6","-43","-30","-162.4","-170","-157"
"62","0","0","0","-29.4","-40","-18","-170.6","-182","-160"
"63","0","0","0","-32.4","-43","-26","-167.6","-174","-157"
"64","0.2","0","1","-30.2","-38","-12","-150","-169","-89"
"65","0.2","0","1","-29.4","-40","-11","-148.4","-172","-78"
"66","0","0","0","-30.2","-40","-25","-169.8","-175","-160"
"67","0","0","0","-38","-44","-32","-162","-168","-156"
"68","0.2","0","1","-37","-47","-29","-155.2","-171","-129"
"69","0.6","0","1","-33.4","-41","-25","-137.2","-160","-114"
"70","0","0","0","-39","-48","-25","-161","-175","-152"
