"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"1","0","0","0","-48.8","-55","-41","-151.2","-159","-145"
"2","0.2","0","1","-50.6","-66","-40","-148.8","-160","-134"
"3","0","0","0","-49.8","-54","-44","-150.2","-156","-146"
"4","0","0","0","-48","-51","-44","-152","-156","-149"
"5","0","0","0","-51","-63","-45","-149","-155","-137"
"6","0","0","0","-53.4","-58","-49","-146.6","-151","-142"
"7","0","0","0","-53.6","-67","-47","-146.4","-153","-133"
"8","0.2","0","1","-50.8","-57","-44","-148.8","-156","-143"
"9","0.2","0","1","-53.2","-55","-48","-144","-152","-131"
"10","0","0","0","-53.6","-61","-45","-146.4","-155","-139"
"11","0","0","0","-54.6","-63","-51","-145.4","-149","-137"
"12","0","0","0","-52.4","-66","-42","-147.6","-158","-134"
"13","0","0","0","-63.8","-68","-57","-136.2","-143","-132"
"14","0.2","0","1","-57.8","-70","-49","-141.8","-151","-130"
"15","0","0","0","-58.2","-63","-51","-141.8","-149","-137"
"16","0.4","0","1","-61","-69","-48","-132.8","-137","-124"
"17","0","0","0","-59.6","-70","-47","-140.4","-153","-130"
"18","0","0","0","-59.4","-63","-56","-140.6","-144","-137"
"19","0.2","0","1","-54.2","-64","-35","-133.8","-146","-105"
"20","0","0","0","-56","-63","-52","-144","-148","-137"
"21","0.2","0","1","-65.6","-72","-56","-127.6","-135","-110"
"22","0.2","0","1","-54","-64","-40","-129.8","-149","-79"
"23","0","0","0","-60.6","-67","-56","-139.4","-144","-133"
"24","0.2","0","1","-54.8","-70","-28","-124","-145","-66"
"25","0.2","0","1","-55","-69","-36","-123.8","-158","-58"
"26","0","0","0","-62.8","-71","-54","-137.2","-146","-129"
"27","0","0","0","-60.8","-68","-52","-139.2","-148","-132"
"28","0","0","0","-64.6","-70","-58","-135.4","-142","-130"
"29","0.2","0","1","-53","-62","-25","-129.8","-141","-89"
"30","0","0","0","-61.4","-69","-51","-138.6","-149","-131"
"31","0.2","0","1","-60.6","-70","-52","-129.6","-148","-97"
"32","0.2","0","1","-62","-68","-47","-126.4","-140","-95"
"33","0.4","0","1","-57","-69","-47","-129.8","-153","-104"
"34","0","0","0","-65","-69","-57","-135","-143","-131"
"35","0.4","0","1","-61","-69","-48","-126.6","-146","-91"
"36","0","0","0","-64","-68","-52","-136","-148","-132"
"37","0.2","0","1","-62","-69","-45","-123.2","-137","-81"
"38","0","0","0","-66.8","-68","-65","-133.2","-135","-132"
"39","0","0","0","-64.4","-67","-54","-135.6","-146","-133"
"40","0.2","0","1","-63.4","-68","-50","-124.8","-136","-91"
"41","0.4","0","1","-56.4","-72","-28","-126.6","-147","-90"
"42","0","0","0","-64","-67","-56","-136","-144","-133"
"43","0.2","0","1","-59.2","-70","-45","-127.2","-150","-87"
"44","0.4","0","1","-53.4","-72","-29","-103.6","-134","-62"
"45","0","0","0","-65.2","-67","-61","-134.8","-139","-133"
"46","0","0","0","-70","-71","-67","-130","-133","-129"
"47","0","0","0","-65","-67","-63","-135","-137","-133"
"48","0.2","0","1","-63","-71","-52","-129.8","-140","-112"
"49","0","0","0","-66","-70","-60","-134","-140","-130"
"50","0.2","0","1","-53.8","-71","-17","-118.2","-142","-43"
"51","0","0","0","-63.2","-68","-56","-136.8","-144","-132"
"52","0","0","0","-66","-69","-62","-134","-138","-131"
"53","0","0","0","-65.4","-69","-61","-134.6","-139","-131"
"54","0","0","0","-66.8","-72","-59","-133.2","-141","-128"
"55","0","0","0","-65.2","-68","-63","-134.8","-137","-132"
"56","0","0","0","-64.8","-68","-62","-135.2","-138","-132"
"57","0.2","0","1","-63","-68","-54","-129.2","-140","-107"
"58","0.2","0","1","-64.6","-68","-57","-132.6","-135","-129"
"59","0","0","0","-65.2","-69","-62","-134.8","-138","-131"
"60","0","0","0","-64.8","-70","-61","-135.2","-139","-130"
"61","0","0","0","-64.6","-69","-60","-135.4","-140","-131"
"62","0","0","0","-66.4","-69","-63","-133.6","-137","-131"
"63","0.2","0","1","-64.8","-69","-54","-128.6","-134","-113"
"64","0","0","0","-65.8","-68","-62","-134.2","-138","-132"
"65","0","0","0","-65.8","-69","-63","-134.2","-137","-131"
"66","0","0","0","-67.6","-70","-62","-132.4","-138","-130"
"67","0","0","0","-64.4","-69","-60","-135.6","-140","-131"
"68","0.4","0","1","-53","-65","-32","-116.2","-140","-77"
"69","0.2","0","1","-64.2","-71","-48","-128.2","-134","-114"
"70","0.2","0","1","-62.8","-68","-52","-130.6","-137","-115"
"71","0.2","0","1","-61.8","-68","-47","-126.2","-137","-93"
"72","0.2","0","1","-58","-68","-33","-120.8","-137","-61"
"73","0.2","0","1","-57.2","-71","-13","-112","-138","-33"
"74","0","0","0","-67.6","-70","-65","-132.4","-135","-130"
"75","0.4","0","1","-44.8","-68","-13","-96.4","-138","-38"
"76","0.2","0","1","-60.8","-70","-45","-127.4","-141","-96"
"77","0","0","0","-62.6","-66","-57","-137.4","-143","-134"
"78","0.2","0","1","-61.6","-69","-48","-130","-140","-110"
"79","0","0","0","-69.2","-76","-64","-130.8","-136","-124"
"80","0","0","0","-64.8","-71","-60","-135.2","-140","-129"
"81","0","0","0","-67.8","-71","-65","-132.2","-135","-129"
"82","0.4","0","1","-54","-68","-36","-119.6","-136","-89"
"83","0","0","0","-67.4","-69","-67","-132.6","-133","-131"
"84","0.2","0","1","-59.2","-67","-37","-122.8","-138","-73"
"85","0.4","0","1","-64.2","-69","-58","-130.2","-138","-116"
"86","0.2","0","1","-63.4","-68","-56","-132","-137","-121"
"87","0","0","0","-65","-70","-56","-135","-144","-130"
"88","0.2","0","1","-59.6","-70","-31","-121.6","-135","-75"
"89","0.2","0","1","-57.6","-70","-20","-116.4","-135","-50"
"90","0","0","0","-67.8","-71","-64","-132.2","-136","-129"
"91","0.2","0","1","-63.6","-68","-58","-134.2","-142","-127"
"92","0.2","0","1","-59.6","-70","-39","-124.4","-143","-81"
"93","0.2","0","1","-59.8","-67","-36","-122.8","-136","-77"
"94","0.2","0","1","-63","-65","-57","-134","-137","-128"
"95","0","0","0","-64.4","-67","-63","-135.6","-137","-133"
"96","0.2","0","1","-58","-71","-15","-111.4","-132","-32"
"97","0.4","0","1","-60.2","-71","-51","-119.6","-138","-96"
"98","0.2","0","1","-63.8","-70","-61","-130.6","-138","-111"
"99","0","0","0","-64.8","-68","-60","-135.2","-140","-132"
"100","0","0","0","-63.4","-68","-59","-136.6","-141","-132"
"101","0","0","0","-65.6","-68","-63","-134.4","-137","-132"
"102","0.2","0","1","-60.4","-65","-46","-127.4","-138","-93"
"103","0.2","0","1","-63","-68","-47","-128.4","-135","-110"
"104","0","0","0","-67.6","-70","-65","-132.4","-135","-130"
"105","0","0","0","-65.2","-68","-63","-134.8","-137","-132"
"106","0","0","0","-64.8","-69","-62","-135.2","-138","-131"
"107","0.2","0","1","-64","-69","-58","-135","-141","-131"
"108","0","0","0","-65","-66","-63","-135","-137","-134"
"109","0","0","0","-68.2","-70","-67","-131.8","-133","-130"
"110","0.4","0","1","-59.6","-68","-43","-125.2","-137","-99"
"111","0.4","0","1","-55","-69","-26","-111.4","-136","-56"
"112","0.2","0","1","-65.6","-69","-61","-133","-136","-131"
"113","0","0","0","-66","-68","-63","-134","-137","-132"
"114","0.4","0","1","-56.2","-72","-19","-116.2","-140","-47"
"115","0.2","0","1","-67","-69","-63","-131.8","-134","-131"
"116","0.2","0","1","-58.4","-66","-33","-122.8","-137","-73"
"117","0.2","0","1","-57.6","-71","-28","-118.4","-138","-52"
"118","0.2","0","1","-66.4","-71","-63","-129.6","-135","-117"
"119","0.2","0","1","-60.8","-68","-39","-125.6","-136","-93"
"120","0.2","0","1","-63.2","-69","-51","-129.2","-138","-111"
