"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"1","0.2","0","1","-41.8","-55","-15","-131.8","-160","-53"
"2","0","0","0","-49.6","-58","-42","-150.4","-158","-142"
"3","0","0","0","-52.2","-57","-48","-147.8","-152","-143"
"4","0","0","0","-49.6","-55","-40","-150.4","-160","-145"
"5","0","0","0","-55.8","-66","-44","-144.2","-156","-134"
"6","0","0","0","-54.2","-58","-51","-145.8","-149","-142"
"7","0","0","0","-59.8","-73","-46","-140.2","-154","-127"
"8","0","0","0","-56.2","-67","-51","-143.8","-149","-133"
"9","0","0","0","-54.8","-66","-50","-145.2","-150","-134"
"10","0","0","0","-58.2","-69","-39","-141.8","-161","-131"
"11","0","0","0","-59.4","-66","-51","-140.6","-149","-134"
"12","0.2","0","1","-50.2","-64","-26","-133","-149","-90"
"13","0","0","0","-53.2","-62","-47","-146.8","-153","-138"
"14","0","0","0","-53.8","-60","-46","-146.2","-154","-140"
"15","0","0","0","-63.6","-71","-58","-136.4","-142","-129"
"16","0.2","0","1","-47.6","-58","-18","-123","-147","-35"
"17","0.2","0","1","-48.4","-71","-3","-116.8","-150","-23"
"18","0","0","0","-61","-65","-54","-139","-146","-135"
"19","0.2","0","1","-56.2","-61","-50","-139.6","-150","-121"
"20","0","0","0","-64.2","-71","-54","-135.8","-146","-129"
"21","0","0","0","-62","-72","-55","-138","-145","-128"
"22","0","0","0","-67.4","-70","-64","-132.6","-136","-130"
"23","0.2","0","1","-49","-65","-10","-116.8","-149","-19"
"24","0","0","0","-62.8","-71","-58","-137.2","-142","-129"
"25","0.2","0","1","-63.6","-66","-57","-136","-141","-134"
"26","0","0","0","-62.2","-64","-59","-137.8","-141","-136"
"27","0.2","0","1","-53","-68","-26","-124.8","-153","-63"
"28","0","0","0","-62.8","-72","-50","-137.2","-150","-128"
"29","0.2","0","1","-57.6","-66","-37","-127.8","-140","-90"
"30","0.2","0","1","-56.2","-72","-42","-136.8","-150","-123"
"31","0.2","0","1","-55.4","-67","-37","-128","-148","-80"
"32","0","0","0","-65.4","-71","-62","-134.6","-138","-129"
"33","0","0","0","-59.6","-63","-50","-140.4","-150","-137"
"34","0","0","0","-65.8","-71","-61","-134.2","-139","-129"
