"objective_1","objective_2","objective_3"
"-160.01789576622073","0.19984005598880145","0"
"-158.41845565423472","0","-39.60461391355868"
"-39.804613913558676","0","-158.2184556542347"
"-79.20922782711736","0","-118.81384174067603"
"-158.6184556542347","0","-39.40461391355868"
"-79.60922782711735","0","-118.41384174067602"
"-119.01384174067603","0","-79.00922782711736"
"-39.60461391355868","0","-158.41845565423472"
"0","0","-198.02306956779339"
"-119.21384174067603","0","-78.80922782711735"
"-0.5999800000000001","0","-197.4230895677934"
"-40.60459391355867","0","-157.4184756542347"
"-0.9999600000000001","0","-197.0231095677934"
"-0.2","0","-197.8230695677934"
