"objective_1","objective_2","objective_3"
"-198.02306956779339","0","0"
"-159.21833566223452","0","-38.80473390555888"
"-158.41845565423472","0","-39.60461391355868"
"-40.204593913558675","0","-157.81847565423473"
"0","0","-198.02306956779339"
"-158.6184556542347","0","-39.40461391355868"
"-158.81843565423472","0","-39.20463391355868"
"-159.4182556742337","0","-38.60481389355967"
"-79.20922782711736","0","-118.81384174067603"
"-0.2","0","-197.8230695677934"
"-39.60461391355868","0","-158.41845565423472"
"-39.804613913558676","0","-158.2184556542347"
"-118.81384174067603","0","-79.20922782711736"
"-119.21384174067603","0","-78.80922782711735"
"-40.00461391355868","0","-158.0184556542347"
"-80.60910783111736","0","-117.41396173667604"
"-0.39998","0","-197.62308956779341"
"-0.9999600000000001","0","-197.02310956779337"
