"Step","env: TAXI - losses/qf_update_0","env: TAXI - losses/qf_update_0__MIN","env: TAXI - losses/qf_update_0__MAX"
"1","-0.580002","-1","0"
"2","-0.70200960002","-0.90001","0"
"3","-0.7078084600740002","-1","0"
"4","-0.720008","-0.90001","0"
"5","-0.36200360002","-1","0"
"6","-0.4878104600740002","-0.90001","0"
"7","-0.70200960002","-0.90001","0"
"8","-0.46390942119980183","-1","0"
"9","-0.52200760002","-0.90001","0"
"10","-0.6228355522052011","-1","0"
"11","-0.5951352532970026","-1","0"
"12","-0.8716117201080003","-1","-0.729024300270001"
"13","-0.6532334321172006","-0.90001","0"
"14","-0.5995247181940335","-1","0"
"15","-0.6552330321372006","-1","0"
"16","-0.6732314321172007","-1","0"
"17","-0.6698120600940002","-1","0"
"18","-0.3078084600740002","-0.8100180001","0"
"19","-0.33543148829101593","-0.6561291604860036","0"
"20","-0.7240195823656035","-0.90001","-0.5905228057290082"
"21","-0.6878104600740003","-1","0"
"22","-0.5258068600540001","-1","0"
"23","-0.72200760002","-1","0"
"24","-0.72200760002","-1","0"
"25","-0.5440175823656035","-0.8100180001","0"
"26","-0.717780581607812","-0.90001","-0.478334102110052"
"27","-0.39513525329700255","-0.729024300270001","0"
"28","-0.6239134211998018","-0.90001","0"
"29","-0.6498140600940002","-0.90001","0"
"30","-0.3995247181940337","-0.8100180001","0"
"31","-0.4671716377924935","-0.90001","0"
"32","-0.4801081611658017","-1","0"
"33","-0.6370458363680672","-0.8100180001","-0.5314764303841646"
"34","-0.1312258320972007","-0.6561291604860036","0"
"35","-0.6497282047244123","-0.729024300270001","-0.478334102110052"
"36","-0.43109830871302635","-0.6561291604860036","0"
"37","-0.3726975125732113","-0.729024300270001","0"
"38","-0.5066812117696607","-0.90001","0"
"39","-0.2394954465741627","-0.8100180001","0"
"40","-0.5258068600540001","-1","0"
"41","-0.5477669665528435","-1","0"
"42","-0.3477669665528435","-0.729024300270001","0"
"43","-0.5754454117616261","-0.6561291604860036","-0.4305054752400679"
"44","-0.48189369377679725","-0.90001","0"
"45","-0.4666940035675456","-0.5314764303841646","-0.3138489528492947"
"46","-0.2610770776612328","-0.478334102110052","0"
"47","-0.5165261387253637","-0.8100180001","0"
"48","-0.5439677065188434","-0.90001","0"
"49","-0.3691015666621631","-0.729024300270001","0"
"50","-0.5307259496986741","-0.8100180001","-0.3138489528492947"
"51","-0.4694270732760474","-0.729024300270001","0"
"52","-0.5834772804960107","-0.90001","0"
"53","-0.45011169032769943","-0.6561291604860036","0"
"54","-0.44905738253569627","-0.8100180001","0"
"55","-0.3189451034051801","-0.6561291604860036","0"
"56","-0.3108744856378725","-0.8100180001","0"
"57","-0.26213981794205843","-0.5314764303841646","0"
"58","-0.4523437068182557","-0.8100180001","0"
"59","-0.564615373517904","-0.90001","-0.3138489528492947"
"60","-0.4491617943617651","-0.6561291604860036","-0.3138489528492947"
"61","-0.5151642669961731","-0.90001","0"
"62","-0.515982233642609","-0.6561291604860036","-0.3487171840860598"
"63","-0.34499721366501274","-0.6561291604860036","0"
"64","-0.3382012411788467","-0.729024300270001","0"
"65","-0.24495498161451756","-0.478334102110052","0"
"66","-0.6224429493904233","-0.90001","-0.3487171840860598"
"67","-0.16734594999297164","-0.3874592327708135","0"
"68","-0.5001843707318596","-0.729024300270001","0"
"69","-0.2037287225821534","-0.3874592327708135","0"
"70","-0.3769336502226481","-0.8100180001","0"
"71","-0.2774347358920344","-0.478334102110052","0"
"72","-0.20871767865136343","-0.6561291604860036","0"
"73","-0.2588576057365475","-0.5314764303841646","0"
"74","-0.3030503624116333","-0.5314764303841646","0"
"75","-0.2602221617929321","-0.3874592327708135","0"
"76","-0.3886292950477107","-0.5314764303841646","0"
"77","-0.41101070355993097","-0.5314764303841646","-0.3138489528492947"
"78","-0.3440740923412937","-0.8100180001","0"
"79","-0.2101343113603784","-0.5905228057290082","0"
"80","-0.45575036403747804","-0.8100180001","-0.2542233011204649"
"81","-0.4473831640877629","-0.729024300270001","-0.3138489528492947"
"82","-0.2494049639183396","-0.4305054752400679","0"
"83","-0.348552759242415","-0.6561291604860036","0"
"84","-0.1719975786762766","-0.3487171840860598","0"
"85","-0.3687921525190462","-0.6561291604860036","0"
"86","-0.15211361679817956","-0.3487171840860598","0"
"87","-0.1652224619243297","-0.4305054752400679","0"
"88","-0.09660536287237889","-0.2542233011204649","0"
"89","-0.1837871326309956","-0.5314764303841646","0"
"90","-0.241084788156339","-0.4305054752400679","0"
"91","-0.3987171828336437","-0.5314764303841646","-0.2824671960538937"
"92","-0.23995601145773637","-0.478334102110052","0"
"93","-0.285397800509242","-0.6561291604860036","0"
"94","-0.318392482386612","-0.4305054752400679","-0.20592544995241902"
"95","-0.34906707664669184","-0.90001","0"
"96","-0.29981946050172503","-0.90001","0"
"97","-0.2519218702432392","-0.3874592327708135","-0.1501246570593474"
"98","-0.21512857969805416","-0.478334102110052","0"
"99","-0.2923163407001036","-0.729024300270001","0"
"100","-0.30392451282735633","-0.3874592327708135","-0.20592544995241902"
"101","-0.35685549214289136","-0.5314764303841646","-0.2542233011204649"
"102","-0.14757328409783083","-0.3874592327708135","0"
"103","-0.2834572359182099","-0.478334102110052","0"
"104","-0.24720130420271375","-0.5905228057290082","0"
"105","-0.3930676851666165","-0.6561291604860036","0"
"106","-0.21945458615520116","-0.3487171840860598","-0.121603674476911"
"107","-0.13219518806356795","-0.3138489528492947","0"
"108","-0.13787524930218958","-0.3874592327708135","0"
"109","-0.24961073870517705","-0.6561291604860036","0"
"110","-0.4020138451067444","-0.729024300270001","-0.2542233011204649"
"111","-0.15216025963278915","-0.478334102110052","0"
"112","-0.26163554789280913","-0.729024300270001","0"
"113","-0.21058913163546822","-0.4305054752400679","0"
"114","-0.23686699999640054","-0.3874592327708135","0"
"115","-0.2040227849538483","-0.3138489528492947","-0.1351136925999833"
"116","-0.344189456710954","-0.729024300270001","-0.16680332114015106"
"117","-0.44528542084231953","-0.8100180001","0"
"118","-0.28545051113877334","-0.5905228057290082","0"
"119","-0.3851817384942603","-0.729024300270001","-0.16680332114015106"
"120","-0.11352124604359781","-0.3487171840860598","0"
"121","-0.1908880023140842","-0.5905228057290082","0"
"122","-0.16307704818590346","-0.2542233011204649","0"
"123","-0.0738112203979209","-0.20592544995241902","0"
"124","-0.25654724946147645","-0.3874592327708135","-0.05816718444419622"
"125","-0.23303841354674565","-0.6561291604860036","0"
"126","-0.06738648481945761","-0.1853349642116766","0"
"127","-0.24496408307799253","-0.5905228057290082","0"
"128","-0.12600451179202646","-0.1853349642116766","-0.07978771684654895"
"129","-0.34918988148849844","-0.478334102110052","-0.20592544995241902"
"130","-0.19659349845371524","-0.4305054752400679","0"
"131","-0.12199926409664474","-0.2824671960538937","0"
"132","-0.3731548775637098","-0.5905228057290082","0"
