"Step","env: TAXI - losses/qf_update_1","env: TAXI - losses/qf_update_1__MIN","env: TAXI - losses/qf_update_1__MAX"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0","0","0"
"8","0.2","0","1"
"9","0","0","0"
"10","0","0","0"
"11","0","0","0"
"12","0","0","0"
"13","0","0","0"
"14","0","0","0"
"15","0","0","0"
"16","0","0","0"
"17","0","0","0"
"18","0.2","0","1"
"19","0.2","0","1"
"20","0","0","0"
"21","0","0","0"
"22","0.2","0","1"
"23","0.2","0","1"
"24","0","0","0"
"25","0.2","0","1"
"26","0","0","0"
"27","0.2","0","1"
"28","0","0","0"
"29","0","0","0"
"30","0","0","0"
"31","0","0","0"
"32","0.2","0","1"
"33","0","0","0"
"34","0.4","0","1"
"35","0","0","0"
"36","0","0","0"
"37","0.2","0","1"
"38","0.2","0","1"
"39","0","0","0"
"40","0","0","0"
"41","0.180002","0","0.90001"
"42","0","0","0"
"43","0","0","0"
"44","0","0","0"
"45","0","0","0"
"46","0.2","0","1"
"47","0","0","0"
"48","0","0","0"
"49","0","0","0"
"50","0","0","0"
"51","0","0","0"
"52","0","0","0"
"53","0","0","0"
"54","0.2","0","1"
"55","0.2","0","1"
"56","0.180002","0","0.90001"
"57","0.180002","0","0.90001"
"58","0","0","0"
"59","0","0","0"
"60","0","0","0"
"61","0","0","0"
"62","0","0","0"
"63","0","0","0"
"64","0.180002","0","0.90001"
"65","0","0","0"
"66","0","0","0"
"67","0.180002","0","0.90001"
"68","0","0","0"
"69","0","0","0"
"70","0.2","0","1"
"71","0","0","0"
"72","0.16200360002","0","0.8100180001"
"73","0.16200360002","0","0.8100180001"
"74","0","0","0"
"75","0.180002","0","0.90001"
"76","0.2","0","1"
"77","0","0","0"
"78","0","0","0"
"79","0.180002","0","0.90001"
"80","0","0","0"
"81","0","0","0"
"82","0.2","0","1"
"83","0","0","0"
"84","0.2","0","1"
"85","0.180002","0","0.90001"
"86","0.180002","0","0.90001"
"87","0","0","0"
"88","0.380002","0","1"
"89","0.34200560001999997","0","0.90001"
