"Step","env: TAXI - losses/qf_update","env: TAXI - losses/qf_update__MIN","env: TAXI - losses/qf_update__MAX"
"1","-0.580002","-1","1"
"2","-0.980002","-1","-0.90001"
"3","-0.960004","-1","-0.90001"
"4","-0.9980003999800001","-1","-0.9900019999"
"5","-0.19800039998000002","-1","1"
"6","-0.9980003999800001","-1","-0.9900019999"
"7","-0.58200160002","-1","1"
"8","-0.9980003999800001","-1","-0.9900019999"
"9","-0.9984002799919995","-1","-0.9920013999599979"
"10","-1","-1","-1"
"11","-0.980002","-1","-0.90001"
"12","-0.9868787290486007","-1","-0.9343936452430045"
"13","-0.9980003999800001","-1","-0.9900019999"
"14","-0.980002","-1","-0.90001"
"15","-0.9998000599940002","-1","-0.999000299970001"
"16","-0.9654229720432005","-1","-0.90001"
"17","-0.60199960002","-1.0099980001","1"
"18","-0.9820016000199999","-1","-0.9100080001"
"19","-0.9961485799971985","-1","-0.9807428999859927"
"20","-0.9965806279767995","-1","-0.9829031398839974"
"21","-0.5668807290486009","-1","1"
"22","-0.9825614360355995","-1.0027991800779978","-0.9100080001"
"23","-0.983801260034","-1","-0.919006300170001"
"24","-0.9980003999800001","-1","-0.9900019999"
"25","-0.960004","-1","-0.90001"
"26","-0.6","-1","1"
"27","-0.5984319244010483","-1.005039389980002","1"
"28","-0.6181983399859998","-1.080993699829999","1"
"29","-1","-1","-1"
"30","-0.58200160002","-1","1"
"31","-0.9868787290486007","-1","-0.9343936452430045"
"32","-1","-1","-1"
"33","-0.6017996600140002","-1.008998300070001","1"
"34","-1","-1","-1"
"35","-0.6032701925539163","-1.0163509627695817","1"
"36","-0.9949049379643993","-1","-0.9845226899219969"
"37","-0.18426085615397508","-1.018996300170001","1"
"38","-0.9783822879907996","-1","-0.8919114399539984"
"39","-0.580002","-1","1"
"40","-0.5964006799719996","-1","1"
"41","-0.5474245720632005","-1","1"
"42","-0.9583842879907996","-1","-0.8919114399539984"
"43","-0.5818016600140001","-1","0.90001"
"44","-0.9850410840324008","-1","-0.9271048602160026"
"45","-0.5903197085086417","-1.024493682327206","1"
"46","-0.6055989200480004","-1","0.90001"
"47","-0.9612998020016004","-1","-0.90001"
"48","-0.9879211936864912","-1.0336548396281544","-0.9100080001"
"49","-0.9838012600340003","-1","-0.919006300170001"
"50","-0.6037992600340002","-1","0.90001"
"51","-0.9868787290486007","-1","-0.9343936452430045"
"52","-0.9595036045229595","-1","-0.90001"
"53","-0.5881907249310313","-1","1"
"54","-0.6441244320570612","-1.0180965601460017","0.8100180001"
"55","-0.619998","-1","0.90001"
"56","-0.2583542959895998","-1.0917914799479989","0.90001"
"57","-1.00199960002","-1.0099980001","-1"
"58","-0.6180162130869741","-1","0.90001"
"59","-0.6022351442627402","-1","0.90001"
"60","-0.6078036576264557","-1","0.90001"
"61","-0.6117397414748428","-1.0397024072042127","0.90001"
"62","-1","-1","-1"
"63","-1","-1","-1"
"64","-1.0083506799348314","-1.0246565395581535","-1"
"65","-1","-1","-1"
"66","-1.0068363969708651","-1.035630994949892","-0.9960474685636852"
"67","-0.9952398425730491","-1","-0.9761992128652457"
"68","-0.2391266836546615","-1","0.90001"
"69","-0.23443126683382953","-1","0.90001"
"70","-0.6585679073896524","-1.1838512368782617","0.8100180001"
"71","-0.9912072019159283","-1","-0.9570357096096399"
"72","-0.966322872047197","-1.0088983400640015","-0.9088292695301305"
"73","-0.9767403866309863","-1","-0.883701933154932"
"74","-0.24179566001400019","-1","0.90001"
"75","-1.0289743658839623","-1.1448718294198115","-1"
"76","-0.9350849145635959","-1","-0.819016300170001"
"77","-0.24351780133478024","-1","0.90001"
"78","-1.0221530345066951","-1.0587657969072781","-1"
"79","-0.6129962164024583","-1.0272575110679951","0.90001"
"80","-0.580002","-1","0.8100180001"
"81","-0.9808278362562067","-1.0473282462083813","-0.8568109350726523"
"82","-0.2364712555497089","-1","0.90001"
"83","-0.9703125188094692","-1.0246898235511663","-0.9100080001"
"84","-0.63799639998","-1","0.8100180001"
"85","-0.6342044354343263","-1","0.8100180001"
"86","-0.30831110960801983","-1.1705898483101","0.90001"
"87","-0.96292485361042","-1","-0.90001"
"88","-0.9848545012062064","-1","-0.9468576717258874"
"89","-0.23961611198920033","-1","1"
"90","-0.9957839928491442","-1.0401608525658352","-0.9387591116798857"
"91","-1.022007548456075","-1.110037742280375","-1"
"92","-0.9181628343968466","-1.018996300170001","-0.7918853576205777"
"93","-0.619998","-1","0.90001"
"94","-0.6469565158875993","-1.0637968797079969","0.8100180001"
"95","-0.63799639998","-1","0.8100180001"
"96","-0.9895987834963946","-1","-0.9479939174819735"
"97","-0.684296710136854","-1.1801059168271757","0.8100180001"
"98","-0.9834938405431035","-1","-0.9371590784031387"
"99","-0.6479619036021951","-1.0755713344521645","0.8100180001"
"100","-0.9428866175415292","-1.0599581865362961","-0.7928054613031933"
"101","-0.9582819185700124","-1","-0.7914095928500627"
"102","-0.3047256159350761","-1","0.729024300270001"
"103","-0.2944317602981898","-1","0.729024300270001"
"104","-0.6660044150149684","-1.0590463753448434","0.729024300270001"
"105","-0.30954032077063004","-1.0072887850270018","0.8100180001"
"106","-0.9995963470394897","-1.0197246661322081","-0.978257069065241"
"107","-0.6145832658025465","-1.0640456445543396","0.90001"
"108","-1","-1","-1"
"109","-0.6330382833558144","-1","0.729024300270001"
"110","-0.9555883372130234","-1","-0.8371128603160025"
"111","-0.9773043555024807","-1","-0.9425180925551762"
"112","-0.24026819227116825","-1","0.8100180001"
"113","-0.9384710313872228","-1","-0.8888283899503749"
"114","-0.6962090683049318","-1.1214046344249904","0.6561291604860036"
"115","-0.9982003399859998","-1","-0.991001699929999"
"116","-1.0055000688518205","-1.0256386840620468","-1"
"117","-0.9867329679256308","-1","-0.9336648396281545"
"118","-0.9930354539109981","-1","-0.9660059352458195"
"119","-0.3440482945143536","-1","0.729024300270001"
"120","-0.6829283713225982","-1.0145849292092817","0.5905228057290082"
"121","-0.6569834496761502","-1.0139415486507515","0.729024300270001"
"122","-0.6551834926584477","-1.004941763562239","0.729024300270001"
"123","-1.0122214017173041","-1.076872041075696","-0.921967230535084"
"124","-0.9861696071361654","-1.0226761301000054","-0.9102947367467387"
"125","-0.6488770817109561","-1","0.6561291604860036"
"126","-0.29219153992599983","-1","0.8100180001"
"127","-0.7511305871941056","-1.198969983426592","0.729024300270001"
"128","-0.7000969067925632","-1.0910073396918238","0.5905228057290082"
"129","0.00825652424840162","-1","0.729024300270001"
"130","-0.30016233353669264","-1","0.729024300270001"
"131","-0.3339989508777202","-1","0.6561291604860036"
"132","-0.6037554713307105","-1","0.5905228057290082"
"133","-0.9842071066082576","-1","-0.9210355330412883"
"134","-0.9890457598453732","-1.012644600469799","-0.9343936452430045"
"135","-1.00199960002","-1.0099980001","-1"
"136","-0.6508309843866839","-1","0.729024300270001"
"137","-0.3229693078487991","-1","0.729024300270001"
"138","-0.9991681503860737","-1","-0.9958407519303681"
"139","-0.3259109306760364","-1.0300954592091898","0.8100180001"
"140","-0.6769811234997712","-1","0.5314764303841646"
"141","-0.733203428712031","-1.1481190273198938","0.478334102110052"
"142","-1.0256719069872227","-1.19998","-0.8927402055748479"
"143","-1","-1","-1"
"144","-0.9811245059208755","-1.037863824290823","-0.8867380530788728"
"145","-0.3229693078487991","-1","0.729024300270001"
"146","-0.9339794194902019","-1","-0.6855553369391617"
"147","-0.307130195015746","-1","0.6561291604860036"
"148","-0.9884796162167632","-1.0062049557928123","-0.9361931252910033"
