"Step","env: TAXI - losses/qf_update_0","env: TAXI - losses/qf_update_0__MIN","env: TAXI - losses/qf_update_0__MAX"
"1","-0.54200560002","-1","0"
"2","-0.72200760002","-1","0"
"3","-0.7420056000199999","-1","0"
"4","-0.8298160600940001","-0.90001","-0.729024300270001"
"5","-0.960004","-1","-0.90001"
"6","-0.560004","-1","0"
"7","-0.560004","-1","0"
"8","-0.6860108000599999","-1","0"
"9","-0.5620036000199999","-1","0"
"10","-0.32400720004","-0.8100180001","0"
"11","-0.5040092000399999","-0.90001","0"
"12","-0.180002","-0.90001","0"
"13","-0.380002","-1","0"
"14","-0.48601080006","-0.8100180001","0"
"15","-0.5078084600740003","-1","0"
"16","-0.5526995125732113","-0.90001","0"
"17","-0.6483008860968329","-1","0"
"18","-0.5994181801820005","-0.8100180001","0"
"19","-0.6532334321172006","-0.90001","0"
"20","-0.2932294321172007","-0.8100180001","0"
"21","-0.529130838282034","-0.729024300270001","0"
"22","-0.5913359932630022","-0.90001","0"
"23","-0.26829888609683294","-0.8100180001","0"
"24","-0.6902164562538152","-0.8100180001","-0.4305054752400679"
"25","-0.5620036000199999","-1","0"
"26","-0.2756688204220104","-0.90001","0"
"27","-0.4536133201280004","-0.8100180001","0"
"28","-0.360004","-0.90001","0"
"29","-0.43903429217120093","-0.8100180001","0"
"30","-0.5702601242684017","-0.8100180001","0"
"31","-0.4912298320972007","-0.90001","0"
"32","-0.24933039324300235","-0.6561291604860036","0"
"33","-0.3078084600740002","-0.8100180001","0"
"34","-0.40347528049601067","-0.8100180001","0"
"35","-0.54200560002","-1","0"
"36","-0.2862972860768329","-0.90001","0"
"37","-0.4801081611658017","-1","0"
"38","-0.333187938596044","-0.6561291604860036","0"
"39","-0.4552330321372007","-0.8100180001","0"
"40","-0.4162111222916033","-0.90001","0"
"41","-0.52200760002","-0.90001","0"
"42","-0.5736794962916021","-0.90001","0"
"43","-0.35957624162181223","-0.729024300270001","0"
"44","-0.5347011125932113","-0.8100180001","0"
"45","-0.437068088175975","-0.729024300270001","0"
"46","-0.35957624162181223","-0.729024300270001","0"
"47","-0.2941432840398465","-0.5905228057290082","0"
"48","-0.16200360002","-0.8100180001","0"
"49","-0.5491035666621631","-0.90001","0"
"50","-0.4535360494368176","-0.6561291604860036","0"
"51","-0.1312258320972007","-0.6561291604860036","0"
"52","-0.3042414710458695","-0.729024300270001","0"
"53","-0.36313178719921446","-0.729024300270001","0"
"54","-0.22689265251921112","-0.6561291604860036","0"
"55","-0.25767042044201044","-0.8100180001","0"
"56","-0.42518114430733167","-0.5314764303841646","0"
"57","-0.40138638196812115","-0.6561291604860036","0"
"58","-0.512959149697233","-0.729024300270001","-0.3138489528492947"
"59","-0.2852917336884241","-0.729024300270001","0"
