"Step","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"1","-150.2","-152","-145"
"2","-144","-154","-127"
"3","-147.8","-151","-144"
"4","-121.8","-153","-13"
"5","-145.6","-154","-134"
"6","-141.8","-149","-130"
"7","-148.6","-154","-145"
"8","-145.6","-150","-144"
"9","-148.8","-153","-141"
"10","-151","-153","-149"
"11","-156.6","-167","-152"
"12","-158.4","-169","-153"
"13","-154.6","-163","-144"
"14","-152","-176","-142"
"15","-159.2","-164","-154"
"16","-154.2","-159","-150"
"17","-159","-177","-144"
"18","-160.4","-169","-155"
"19","-157.8","-180","-144"
"20","-153.4","-162","-148"
"21","-163.4","-174","-150"
"22","-141.4","-170","-59"
"23","-156.2","-173","-146"
"24","-155.8","-161","-149"
"25","-164.6","-176","-155"
"26","-159","-166","-152"
"27","-160.2","-172","-148"
"28","-161","-170","-152"
"29","-140","-165","-64"
"30","-142.6","-165","-88"
"31","-126.2","-164","-66"
"32","-154.6","-166","-144"
"33","-159.2","-166","-148"
"34","-163.6","-174","-149"
"35","-160.2","-176","-148"
"36","-166.6","-179","-160"
"37","-154","-163","-143"
"38","-160.6","-173","-145"
"39","-157.2","-174","-150"
"40","-161.8","-174","-149"
"41","-162.2","-173","-152"
"42","-159.6","-172","-147"
"43","-140.4","-176","-81"
"44","-159.6","-167","-146"
"45","-156.2","-161","-146"
"46","-164","-180","-150"
"47","-131.4","-168","-14"
"48","-163.2","-171","-155"
"49","-164.2","-168","-158"
"50","-131.8","-167","-31"
"51","-167.4","-181","-156"
"52","-153.2","-172","-124"
"53","-162.2","-167","-155"
"54","-171","-183","-161"
"55","-157.8","-162","-153"
"56","-169.2","-176","-157"
"57","-160.8","-167","-154"
"58","-162.4","-172","-154"
"59","-152.6","-179","-92"
"60","-160.4","-164","-153"
"61","-162.4","-170","-157"
"62","-170.6","-182","-160"
"63","-167.6","-174","-157"
"64","-150","-169","-89"
"65","-148.4","-172","-78"
"66","-169.8","-175","-160"
"67","-162","-168","-156"
"68","-155.2","-171","-129"
"69","-137.2","-160","-114"
"70","-161","-175","-152"
"71","-148.8","-184","-78"
"72","-167.6","-173","-162"
"73","-117","-161","-13"
"74","-145.4","-173","-48"
"75","-167.2","-176","-154"
"76","-167","-175","-157"
"77","-171.8","-187","-155"
"78","-131.4","-176","-16"
"79","-160.2","-170","-137"
"80","-147","-177","-67"
"81","-158.6","-190","-101"
"82","-152","-177","-100"
"83","-168.8","-174","-164"
"84","-165.4","-183","-152"
"85","-171.6","-182","-164"
"86","-171.4","-188","-162"
"87","-165.4","-178","-145"
"88","-169","-185","-150"
"89","-172.6","-185","-159"
"90","-174.2","-186","-158"
"91","-160.6","-178","-129"
"92","-146.2","-180","-44"
"93","-154.4","-180","-100"
"94","-174.8","-196","-159"
"95","-165","-171","-160"
"96","-164.8","-192","-152"
"97","-173.6","-182","-157"
"98","-142.8","-176","-25"
"99","-169.6","-179","-159"
"100","-171.2","-177","-163"
"101","-173.4","-180","-166"
"102","-173.2","-177","-168"
"103","-174.6","-191","-165"
"104","-161.6","-172","-131"
"105","-152.8","-182","-79"
"106","-170.2","-180","-159"
"107","-157.6","-182","-100"
"108","-180.6","-190","-173"
"109","-165","-180","-157"
"110","-154.6","-176","-88"
"111","-178","-191","-164"
"112","-149","-176","-49"
"113","-165","-175","-159"
"114","-164.2","-178","-154"
"115","-175","-188","-157"
"116","-167.6","-185","-157"
"117","-173","-184","-158"
"118","-164.2","-170","-160"
"119","-160.6","-190","-100"
"120","-159.2","-185","-116"
"121","-176.6","-184","-162"
"122","-168.2","-193","-131"
"123","-171","-192","-157"
"124","-179","-185","-171"
"125","-134.8","-172","-29"
"126","-147.8","-182","-52"
"127","-179.2","-191","-159"
"128","-166","-186","-127"
"129","-163.4","-178","-149"
"130","-168","-183","-148"
"131","-173.8","-186","-164"
"132","-169.6","-183","-160"
"133","-132.8","-181","-45"
"134","-179.6","-198","-169"
"135","-161.4","-184","-135"
"136","-173.8","-183","-166"
"137","-152.4","-182","-73"
"138","-159.2","-180","-123"
"139","-164.8","-179","-153"
"140","-167.6","-181","-138"
"141","-154.2","-186","-83"
"142","-177.4","-185","-162"
"143","-174.2","-181","-163"
"144","-176.6","-190","-160"
"145","-173.2","-188","-164"
"146","-139.6","-184","-71"
"147","-131.4","-178","-64"
"148","-169.8","-182","-165"
"149","-182.4","-187","-175"
"150","-151.4","-189","-63"
"151","-172.4","-181","-157"
"152","-178.4","-190","-169"
"153","-174.8","-186","-164"
"154","-176.4","-189","-161"
"155","-180","-195","-158"
"156","-155.2","-195","-56"
"157","-168","-182","-162"
"158","-180.6","-186","-173"
"159","-172.8","-178","-165"
"160","-168","-178","-163"
"161","-148.4","-188","-24"
"162","-178.2","-186","-165"
"163","-153.6","-179","-127"
"164","-163.4","-190","-95"
"165","-177","-195","-160"
"166","-153.6","-178","-71"
"167","-174.6","-190","-165"
"168","-147","-178","-52"
"169","-148","-189","-37"
"170","-178.8","-196","-168"
"171","-173","-187","-154"
"172","-174","-179","-167"
"173","-176","-193","-145"
"174","-166.6","-183","-143"
"175","-174.4","-185","-161"
"176","-173.8","-193","-162"
"177","-178","-185","-169"
"178","-147.4","-188","-48"
"179","-170","-191","-113"
"180","-179","-192","-156"
"181","-167.6","-188","-128"
"182","-154.8","-178","-86"
"183","-179.4","-191","-165"
"184","-175.2","-194","-143"
"185","-185.6","-197","-175"
"186","-173.8","-199","-154"
"187","-159","-189","-50"
"188","-179.6","-194","-156"
"189","-179","-194","-165"
"190","-174.4","-195","-159"
"191","-143.4","-174","-62"
"192","-168.4","-185","-148"
"193","-144.2","-195","-31"
"194","-183","-195","-173"
"195","-178.4","-187","-172"
"196","-151.6","-183","-65"
"197","-171.2","-179","-159"
"198","-156.6","-185","-95"
"199","-175","-187","-166"
"200","-176","-193","-138"
"201","-157.4","-198","-68"
"202","-167.4","-184","-142"
"203","-165.8","-196","-104"
"204","-162.8","-189","-126"
"205","-153.8","-182","-89"
"206","-152.6","-195","-39"
"207","-149.2","-193","-48"
"208","-183.2","-196","-170"
"209","-176","-186","-161"
"210","-161.2","-196","-72"
"211","-161","-196","-50"
"212","-173.8","-182","-157"
"213","-175","-188","-145"
"214","-183.4","-193","-174"
"215","-182.2","-190","-167"
"216","-127.6","-187","-48"
"217","-182","-196","-166"
"218","-180.2","-195","-174"
"219","-156.6","-195","-67"
"220","-178.4","-192","-157"
"221","-176.2","-193","-130"
"222","-159.8","-194","-53"
"223","-175","-195","-120"
"224","-184.4","-193","-176"
"225","-139.4","-196","-43"
"226","-160.4","-192","-98"
"227","-183.6","-188","-174"
"228","-183.6","-191","-173"
"229","-148.4","-189","-66"
"230","-179","-188","-161"
"231","-96.4","-196","-7"
"232","-176.4","-192","-145"
"233","-169.2","-173","-167"
"234","-162.6","-187","-108"
"235","-175.6","-195","-146"
"236","-153.4","-197","-39"
"237","-172.8","-192","-139"
"238","-147.8","-196","-19"
"239","-145.6","-185","-7"
"240","-163.8","-194","-57"
"241","-156.8","-197","-71"
"242","-152.2","-190","-96"
"243","-156","-195","-94"
"244","-178.8","-182","-172"
"245","-183.2","-196","-165"
"246","-177.4","-190","-144"
"247","-183.6","-198","-169"
"248","-154.4","-190","-52"
"249","-149.4","-194","-73"
"250","-178.6","-192","-170"
"251","-144.6","-197","-54"
"252","-180","-191","-161"
"253","-168.4","-199","-74"
"254","-185.2","-193","-175"
"255","-172.8","-195","-110"
"256","-185.2","-194","-175"
"257","-186.8","-197","-171"
"258","-181.4","-198","-130"
"259","-160.8","-184","-110"
"260","-177","-197","-158"
"261","-158.8","-195","-58"
"262","-181.8","-190","-170"
"263","-179.6","-192","-175"
"264","-170.4","-200","-115"
"265","-183.8","-196","-170"
"266","-187.8","-196","-180"
"267","-160.6","-198","-34"
"268","-186.4","-196","-171"
"269","-160.8","-197","-46"
"270","-124.4","-171","-53"
"271","-170.4","-187","-124"
"272","-179.8","-194","-163"
"273","-177.4","-190","-160"
"274","-188.4","-195","-176"
"275","-184.8","-199","-164"
"276","-158","-192","-48"
"277","-175.2","-199","-127"
"278","-141.8","-189","-102"
"279","-185.4","-197","-163"
"280","-190.4","-198","-173"
"281","-125.2","-182","-9"
"282","-188.2","-195","-181"
"283","-153.6","-195","-59"
"284","-177.6","-197","-133"
"285","-182.2","-194","-168"
"286","-187.8","-196","-179"
"287","-187.6","-196","-176"
"288","-175.8","-196","-158"
"289","-171.8","-186","-162"
"290","-175.6","-195","-133"
"291","-167","-199","-58"
"292","-152.2","-193","-24"
"293","-171.8","-195","-139"
"294","-183.6","-196","-168"
"295","-160.2","-196","-55"
"296","-153.8","-199","-87"
"297","-191.2","-198","-182"
"298","-186.6","-198","-178"
"299","-172.4","-196","-109"
"300","-187.6","-198","-166"
"301","-140.6","-198","-59"
"302","-187.4","-192","-178"
"303","-181","-192","-165"
"304","-188.8","-198","-169"
"305","-173","-199","-149"
"306","-173","-192","-157"
"307","-188","-197","-178"
"308","-172.6","-182","-157"
"309","-187.2","-200","-178"
"310","-176.8","-196","-154"
"311","-160.4","-182","-90"
"312","-180","-187","-164"
"313","-156","-197","-65"
"314","-170","-180","-158"
"315","-178.2","-197","-128"
"316","-180.6","-194","-162"
"317","-154","-192","-19"
"318","-148.6","-194","-9"
"319","-180.2","-187","-172"
"320","-184.2","-198","-173"
"321","-176.6","-188","-154"
"322","-154.2","-184","-60"
"323","-186","-197","-177"
"324","-193.6","-198","-187"
"325","-180.2","-194","-168"
"326","-187.6","-199","-165"
"327","-162.4","-197","-115"
"328","-153.4","-190","-50"
"329","-168.2","-195","-104"
"330","-160.2","-197","-72"
"331","-144.2","-193","-46"
"332","-179.6","-196","-147"
"333","-151.4","-194","-32"
"334","-187.2","-196","-171"
"335","-173","-195","-123"
"336","-177.6","-197","-130"
"337","-139.8","-193","-47"
"338","-183.8","-196","-167"
"339","-191.6","-200","-181"
"340","-181","-196","-146"
"341","-169.6","-196","-70"
"342","-163.8","-198","-77"
"343","-170.8","-199","-64"
"344","-183.8","-194","-157"
"345","-181.6","-199","-171"
"346","-147.6","-191","-36"
"347","-189.8","-196","-177"
"348","-151.8","-192","-41"
"349","-187.2","-197","-171"
"350","-165.6","-196","-87"
"351","-196.2","-199","-193"
"352","-183.4","-194","-167"
"353","-191.8","-199","-180"
"354","-161.6","-197","-56"
"355","-182","-189","-165"
