"Step","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX"
"1","-49.8","-55","-48"
"2","-56","-73","-46"
"3","-49.8","-55","-44"
"4","-41.4","-54","-3"
"5","-52.6","-66","-44"
"6","-58.2","-70","-51"
"7","-51.4","-55","-46"
"8","-54.4","-56","-50"
"9","-51.2","-59","-47"
"10","-49","-51","-47"
"11","-43.4","-48","-33"
"12","-41.6","-47","-31"
"13","-45.4","-56","-37"
"14","-48","-58","-24"
"15","-40.8","-46","-36"
"16","-45.8","-50","-41"
"17","-41","-56","-23"
"18","-39.6","-45","-31"
"19","-42.2","-56","-20"
"20","-46.6","-52","-38"
"21","-36.6","-50","-26"
"22","-34.6","-47","-21"
"23","-43.8","-54","-27"
"24","-44.2","-51","-39"
"25","-35.4","-45","-24"
"26","-41","-48","-34"
"27","-39.8","-52","-28"
"28","-39","-48","-30"
"29","-36.6","-54","-19"
"30","-37.8","-47","-32"
"31","-34.6","-50","-13"
"32","-45.4","-56","-34"
"33","-40.8","-52","-34"
"34","-36.4","-51","-26"
"35","-39.8","-52","-24"
"36","-33.4","-40","-21"
"37","-42.4","-48","-37"
"38","-37.2","-55","-27"
"39","-42.8","-50","-26"
"40","-38.2","-51","-26"
"41","-35.4","-46","-27"
"42","-37.2","-44","-28"
"43","-29.2","-39","-17"
"44","-40.4","-54","-33"
"45","-39.6","-44","-33"
"46","-36","-50","-20"
"47","-31.4","-44","0"
"48","-36.8","-45","-29"
"49","-35.8","-42","-32"
"50","-36.4","-56","-10"
"51","-32.6","-44","-19"
"52","-38","-48","-28"
"53","-37.8","-45","-33"
"54","-29","-39","-17"
"55","-42.2","-47","-38"
"56","-30.8","-43","-24"
"57","-39.2","-46","-33"
"58","-37.6","-46","-28"
"59","-29.8","-43","-20"
"60","-39.6","-47","-36"
"61","-37.6","-43","-30"
"62","-29.4","-40","-18"
"63","-32.4","-43","-26"
"64","-30.2","-38","-12"
"65","-29.4","-40","-11"
"66","-30.2","-40","-25"
"67","-38","-44","-32"
"68","-37","-47","-29"
"69","-33.4","-41","-25"
"70","-39","-48","-25"
"71","-30.6","-49","-16"
"72","-32.4","-38","-27"
"73","-28.2","-43","-2"
"74","-26.2","-36","-10"
"75","-32.8","-46","-24"
"76","-33","-43","-25"
"77","-28.2","-45","-13"
"78","-27.4","-49","-7"
"79","-31","-39","-19"
"80","-29","-42","-13"
"81","-25.6","-35","-10"
"82","-35.2","-51","-23"
"83","-31.2","-36","-26"
"84","-34.6","-48","-17"
"85","-28.4","-36","-18"
"86","-28.6","-38","-12"
"87","-30","-41","-22"
"88","-26.2","-34","-15"
"89","-27.4","-41","-15"
"90","-25.8","-42","-14"
"91","-28.8","-35","-22"
"92","-24.6","-36","-10"
"93","-30","-37","-20"
"94","-25.2","-41","-4"
"95","-35","-40","-29"
"96","-35.2","-48","-8"
"97","-26.4","-43","-18"
"98","-24.4","-34","-11"
"99","-30.4","-41","-21"
"100","-28.8","-37","-23"
"101","-26.6","-34","-20"
"102","-26.8","-32","-23"
"103","-25.4","-35","-9"
"104","-30.8","-32","-28"
"105","-26.2","-41","-16"
"106","-28.8","-41","-20"
"107","-27.2","-35","-18"
"108","-19.4","-27","-10"
"109","-35","-43","-20"
"110","-25.6","-34","-13"
"111","-22","-36","-9"
"112","-23.2","-31","-12"
"113","-35","-41","-25"
"114","-35.8","-46","-22"
