"Step","env: ROBUSTNESS_TEST2 - ep_info/Energy","env: ROBUSTNESS_TEST2 - ep_info/Energy__MIN","env: ROBUSTNESS_TEST2 - ep_info/Energy__MAX"
"52","-26.485358975093824","-26.485358975093824","-26.485358975093824"
"399","-200.49650511448692","-204.84163038475174","-197.73490232818347"
"1199","-200.09125986004435","-200.09125986004435","-200.09125986004435"
"1262","-206.0783114014798","-206.0783114014798","-206.0783114014798"
"1549","-196.53582995702635","-196.53582995702635","-196.53582995702635"
"1570","-201.84289112476026","-201.84289112476026","-201.84289112476026"
"1599","-199.3531172083772","-199.3531172083772","-199.3531172083772"
"1636","-194.82190359568642","-194.82190359568642","-194.82190359568642"
"1652","-204.51563964406512","-204.51563964406512","-204.51563964406512"
"1662","-204.14590885469073","-204.14590885469073","-204.14590885469073"
"1849","-206.52788280450483","-206.52788280450483","-206.52788280450483"
"1922","-37.54465489315829","-37.54465489315829","-37.54465489315829"
"1969","-198.25514144363424","-198.25514144363424","-198.25514144363424"
"1999","-197.56435353528286","-204.0518519603523","-192.76478270035633"
"2052","-201.3712910395586","-201.3712910395586","-201.3712910395586"
"2071","-37.07510143747305","-37.07510143747305","-37.07510143747305"
"2185","-147.77539734027076","-198.5462705710393","-97.00452410950223"
"2299","-195.56323423486955","-195.56323423486955","-195.56323423486955"
"2369","-200.7862709869087","-200.7862709869087","-200.7862709869087"
"2399","-199.89549731113084","-204.17722090731968","-197.48465648865246"
"2446","-206.6728738019583","-206.6728738019583","-206.6728738019583"
"2521","-202.49620229859562","-202.49620229859562","-202.49620229859562"
"2530","-200.97975308297842","-200.97975308297842","-200.97975308297842"
"2566","-199.45160111281288","-199.45160111281288","-199.45160111281288"
"2581","-202.77727718524167","-202.77727718524167","-202.77727718524167"
"2585","-196.78638273678482","-196.78638273678482","-196.78638273678482"
"2688","-202.55630748942565","-202.55630748942565","-202.55630748942565"
"2749","-190.4486854561253","-190.4486854561253","-190.4486854561253"
"2769","-204.26364944527128","-204.26364944527128","-204.26364944527128"
"2799","-202.72878782177364","-202.72878782177364","-202.72878782177364"
"2845","-150.96670187675113","-150.96670187675113","-150.96670187675113"
"2921","-199.42629089811643","-199.42629089811643","-199.42629089811643"
"2930","-203.0869205457312","-203.0869205457312","-203.0869205457312"
"2933","-198.9153545382659","-198.9153545382659","-198.9153545382659"
"2946","-75.82369833882463","-75.82369833882463","-75.82369833882463"
"2981","-203.32770566775335","-203.32770566775335","-203.32770566775335"
"3099","-195.79518388039327","-195.79518388039327","-195.79518388039327"
"3169","-198.85482778482074","-201.90818649231036","-195.80146907733112"
"3181","-197.33057308405185","-197.33057308405185","-197.33057308405185"
"3199","-201.82880853629712","-203.63520078994898","-200.02241628264528"
"3236","-202.13853036465954","-202.13853036465954","-202.13853036465954"
"3252","-203.09579256295513","-203.09579256295513","-203.09579256295513"
"3321","-200.38429134407","-200.38429134407","-200.38429134407"
"3385","-199.57340480443395","-199.57340480443395","-199.57340480443395"
"3499","-200.22932025451763","-200.22932025451763","-200.22932025451763"
"3581","-200.77789802065377","-200.77789802065377","-200.77789802065377"
"3599","-202.6384383231248","-204.08682379844734","-200.52462306040366"
"3631","-206.60857948236645","-206.60857948236645","-206.60857948236645"
"3645","-204.5147280420565","-204.5147280420565","-204.5147280420565"
"3662","-194.08008097299714","-194.08008097299714","-194.08008097299714"
"3671","-198.84144170530865","-198.84144170530865","-198.84144170530865"
"3676","-199.2397452653499","-199.2397452653499","-199.2397452653499"
"3730","-199.69651407928737","-199.69651407928737","-199.69651407928737"
