"Step","env: ROBUSTNESS_TEST1 - ep_info/Goal","env: ROBUSTNESS_TEST1 - ep_info/Goal__MIN","env: ROBUSTNESS_TEST1 - ep_info/Goal__MAX"
"91","1","1","1"
"103","-1","-1","-1"
"276","-1","-1","-1"
"399","0","0","0"
"1285","-1","-1","-1"
"1298","0","0","0"
"1378","0","0","0"
"1655","0","0","0"
"1685","0","0","0"
"1698","0","0","0"
"1778","0","0","0"
"1798","0","0","0"
"1876","0","0","0"
"1889","0","0","0"
"2098","0","0","0"
"2100","-1","-1","-1"
"2117","1","1","1"
"2127","0","0","0"
"2167","0","0","0"
"2262","0","0","0"
"2267","1","1","1"
"2335","0","0","0"
"2485","0","0","0"
"2491","0","0","0"
"2498","0","0","0"
"2567","0","0","0"
"2577","0","0","0"
"2662","0","0","0"
"2781","0","0","0"
"2799","0","0","0"
"2830","0","0","0"
"2977","0","0","0"
"3086","0","0","0"
"3089","0","0","0"
"3135","0","0","0"
"3199","0","0","0"
"3318","1","1","1"
"3327","0","0","0"
"3364","1","1","1"
"3511","0","0","0"
"3599","0","0","0"
"3718","0","0","0"
"3749","0","0","0"
"3764","0","0","0"
"3767","0","0","0"
"3778","0","0","0"
"3832","0","0","0"
"3862","0","0","0"
"3867","0","0","0"
"3886","0","0","0"
"3999","0","0","0"
"4030","0","0","0"
"4065","0","0","0"
"4085","0","0","0"
"4134","-1","-1","-1"
"4224","0","0","0"
"4262","0","0","0"
"4273","0","0","0"
"4276","0","0","0"
"4311","0","0","0"
"4399","0","0","0"
"4465","0","0","0"
"4503","0","0","0"
"4564","0","0","0"
"4574","0","0","0"
"4647","1","1","1"
"4673","0","0","0"
"4735","0","0","0"
"4762","0","0","0"
"4779","0","0","0"
"4799","0","0","0"
"4900","0","0","0"
"4918","0","0","0"
"4927","0","0","0"
"4934","0","0","0"
"4964","0","0","0"
"4974","0","0","0"
"4977","0","0","0"
"4981","0","0","0"
"5045","0","0","0"
"5062","0","0","0"
"5073","0","0","0"
"5089","0","0","0"
"5162","0","0","0"
"5179","0","0","0"
"5199","0","0","0"
"5300","0","0","0"
"5352","0","0","0"
"5374","0","0","0"
"5381","0","0","0"
"5403","0","0","0"
"5424","0","0","0"
"5447","0","0","0"
"5718","0","0","0"
"5727","0","0","0"
"5734","0","0","0"
"5774","0","0","0"
"5783","0","0","0"
"5845","0","0","0"
"5889","0","0","0"
"5976","-1","-1","-1"
"5999","0","0","0"
"6065","0","0","0"
"6091","0","0","0"
"6149","0","0","0"
"6174","0","0","0"
"6289","0","0","0"
"6343","0","0","0"
"6367","0","0","0"
"6399","0","0","0"
"6454","0","0","0"
"6500","0","0","0"
"6518","0","0","0"
"6549","0","0","0"
"6552","0","0","0"
"6581","0","0","0"
"6583","0","0","0"
"6601","1","1","1"
"6624","0","0","0"
"6627","0","0","0"
"6632","0","0","0"
"6650","0","0","0"
"6664","0","0","0"
"6686","0","0","0"
"6741","0","0","0"
"6776","0","0","0"
"6799","0","0","0"
"6865","0","0","0"
"6873","0","0","0"
"6900","0","0","0"
"6934","0","0","0"
"6949","0","0","0"
"6964","0","0","0"
"6978","0","0","0"
"6995","-1","-1","-1"
"7024","0","0","0"
"7027","0","0","0"
"7032","0","0","0"
"7047","0","0","0"
"7062","0","0","0"
"7064","1","1","1"
"7071","0","0","0"
"7103","0","0","0"
"7111","0","0","0"
"7265","0","0","0"
"7285","0","0","0"
"7300","0","0","0"
"7321","0","0","0"
"7352","0","0","0"
"7377","0","0","0"
"7383","0","0","0"
"7401","0","0","0"
"7424","0","0","0"
"7427","0","0","0"
"7467","0","0","0"
"7473","0","0","0"
"7486","0","0","0"
"7489","0","0","0"
"7503","0","0","0"
"7576","0","0","0"
"7599","0","0","0"
"7665","0","0","0"
"7673","0","0","0"
"7685","0","0","0"
"7691","0","0","0"
"7730","0","0","0"
"7749","0","0","0"
"7752","0","0","0"
"7774","0","0","0"
"7783","0","0","0"
"7847","0","0","0"
"7873","0","0","0"
"7889","0","0","0"
"7903","0","0","0"
"7935","0","0","0"
"7938","0","0","0"
"7976","0","0","0"
"7999","0","0","0"
"8098","0","0","0"
"8099","-1","-1","-1"
"8141","0","0","0"
"8163","0","0","0"
"8201","0","0","0"
"8232","0","0","0"
"8247","0","0","0"
"8250","0","0","0"
"8260","0","0","0"
"8264","0","0","0"
"8338","0","0","0"
"8399","0","0","0"
"8478","0","0","0"
"8497","0","0","0"
"8510","-1","-1","-1"
"8527","0","0","0"
"8544","0","0","0"
"8574","0","0","0"
"8603","0","0","0"
"8615","-1","-1","-1"
"8647","0","0","0"
"8674","1","1","1"
"8686","0","0","0"
"8779","0","0","0"
"8865","0","0","0"
"8883","0","0","0"
"8923","-1","-1","-1"
"8927","0","0","0"
"8941","0","0","0"
"8944","0","0","0"
"8974","0","0","0"
"9032","0","0","0"
"9086","0","0","0"
"9141","0","0","0"
"9179","0","0","0"
"9197","0","0","0"
"9199","0","0","0"
"9265","0","0","0"
"9278","0","0","0"
"9300","0","0","0"
"9318","0","0","0"
"9323","0","0","0"
"9330","0","0","0"
"9349","0","0","0"
"9427","0","0","0"
"9450","0","0","0"
"9459","0","0","0"
"9462","0","0","0"
"9549","1","1","1"
"9553","0","0","0"
"9567","0","0","0"
"9654","0","0","0"
"9683","0","0","0"
"9718","0","0","0"
"9721","0","0","0"
"9723","0","0","0"
"9734","0","0","0"
"9741","0","0","0"
"9744","0","0","0"
