"Step","env: VSS - ep_info/Goal","env: VSS - ep_info/Goal__MIN","env: VSS - ep_info/Goal__MAX"
"71","1","1","1"
"176","1","1","1"
"185","1","1","1"
"399","0","0","0"
"754","1","1","1"
"799","0","0","0"
"871","0","0","0"
"991","1","1","1"
"1106","-1","-1","-1"
"1268","-1","-1","-1"
"1318","0","0","0"
"1327","1","1","1"
"1376","0","0","0"
"1385","0","0","0"
"1391","0","0","0"
"1501","0","0","0"
"1506","0","0","0"
"1552","0","0","0"
"1599","0","0","0"
"1668","0","0","0"
"1671","0","0","0"
"1689","1","1","1"
"1774","0","0","0"
"1785","0","0","0"
"1794","0","0","0"
"1901","0","0","0"
"1906","-0.5","-1","0"
"1952","0","0","0"
"1999","0","0","0"
"2043","-1","-1","-1"
"2057","-1","-1","-1"
"2071","0","0","0"
"2081","0","0","0"
"2185","0","0","0"
"2194","0","0","0"
"2210","0","0","0"
"2309","1","1","1"
"2352","0","0","0"
"2399","0","0","0"
"2468","0","0","0"
"2502","0","0","0"
"2515","0","0","0"
"2518","0","0","0"
"2585","0","0","0"
"2594","0","0","0"
"2610","0","0","0"
"2700","1","1","1"
"2706","0","0","0"
"2741","0","0","0"
"2799","0","0","0"
"2836","0","0","0"
"2843","0","0","0"
"2859","-1","-1","-1"
"2899","0","0","0"
"2918","0","0","0"
"2976","0","0","0"
"2988","0","0","0"
"2994","0","0","0"
"3100","0","0","0"
"3101","0","0","0"
"3106","0","0","0"
"3109","0","0","0"
"3141","0","0","0"
"3199","0","0","0"
"3236","0","0","0"
"3243","0","0","0"
"3257","0","0","0"
"3268","0","0","0"
"3289","0","0","0"
"3315","0","0","0"
"3342","1","1","1"
"3376","0","0","0"
"3385","0","0","0"
"3394","0","0","0"
"3410","0","0","0"
"3599","0","0","0"
"3632","1","1","1"
"3659","0","0","0"
"3671","0","0","0"
"3689","0","0","0"
"3700","1","1","1"
"3720","1","1","1"
"3742","0","0","0"
"3774","0","0","0"
"3785","0","0","0"
"3826","1","1","1"
"3900","0","0","0"
"3952","0","0","0"
"3996","0","0","0"
"3999","0","0","0"
"4032","0","0","0"
"4036","0","0","0"
"4043","0","0","0"
"4057","0","0","0"
"4068","0","0","0"
"4071","0","0","0"
"4099","0","0","0"
"4100","0","0","0"
"4118","0","0","0"
"4142","0","0","0"
"4174","0","0","0"
"4176","0","0","0"
"4191","0","0","0"
"4194","0","0","0"
"4226","0","0","0"
"4266","0","0","0"
"4300","0","0","0"
"4352","0","0","0"
"4377","0","0","0"
"4396","0","0","0"
"4399","0","0","0"
"4443","0","0","0"
"4457","0","0","0"
"4459","0","0","0"
"4468","0","0","0"
"4489","0","0","0"
"4500","0","0","0"
"4509","-1","-1","-1"
"4518","0","0","0"
"4520","0","0","0"
"4528","0","0","0"
"4574","0","0","0"
"4576","0","0","0"
"4582","0","0","0"
"4591","0","0","0"
"4594","0","0","0"
"4657","0","0","0"
"4701","0","0","0"
"4709","0","0","0"
"4710","0","0","0"
"4788","0","0","0"
"4796","0","0","0"
"4799","0","0","0"
"4836","0","0","0"
"4857","0","0","0"
"4859","0","0","0"
"4868","0","0","0"
"4880","0","0","0"
"4881","0","0","0"
"4887","-1","-1","-1"
"4902","0","0","0"
"4909","0","0","0"
"4920","0","0","0"
"4960","0","0","0"
"4974","0","0","0"
"4976","0","0","0"
"4982","0","0","0"
"4985","0","0","0"
"5010","0","0","0"
"5026","0","0","0"
"5057","0","0","0"
"5100","0","0","0"
"5177","0","0","0"
"5188","0","0","0"
"5199","0","0","0"
"5259","0","0","0"
"5264","0","0","0"
"5271","0","0","0"
"5282","0","0","0"
"5289","0","0","0"
"5309","0","0","0"
"5315","0","0","0"
"5318","0","0","0"
"5320","0","0","0"
"5328","0","0","0"
"5345","0","0","0"
"5370","0","0","0"
"5391","0","0","0"
"5394","0","0","0"
"5457","0","0","0"
"5500","0","0","0"
"5509","0","0","0"
"5510","0","0","0"
"5553","0","0","0"
"5557","0","0","0"
"5588","0","0","0"
"5593","1","1","1"
"5599","0","0","0"
"5605","0","0","0"
"5643","0","0","0"
"5664","0","0","0"
"5671","0","0","0"
"5699","0","0","0"
"5709","0","0","0"
"5715","0","0","0"
"5718","0","0","0"
"5745","0","0","0"
"5749","1","1","1"
"5776","0","0","0"
"5826","0","0","0"
"5900","0","0","0"
"5909","0","0","0"
"5910","0","0","0"
"5952","0","0","0"
"5953","0","0","0"
"5999","0","0","0"
"6005","0","0","0"
"6043","0","0","0"
"6057","0","0","0"
"6059","0","0","0"
"6064","0","0","0"
"6082","0","0","0"
"6087","0","0","0"
"6089","0","0","0"
"6099","0","0","0"
"6120","0","0","0"
"6160","0","0","0"
"6170","0","0","0"
"6182","0","0","0"
"6194","0","0","0"
"6249","-1","-1","-1"
"6269","0","0","0"
"6309","0","0","0"
"6338","0","0","0"
"6356","-1","-1","-1"
"6377","0","0","0"
"6388","0","0","0"
"6399","0","0","0"
"6405","0","0","0"
"6443","0","0","0"
"6459","0","0","0"
"6487","0","0","0"
"6502","0","0","0"
"6508","-1","-1","-1"
"6509","0","0","0"
"6518","0","0","0"
"6536","0","0","0"
"6570","0","0","0"
"6576","0","0","0"
"6582","0","0","0"
"6610","0","0","0"
"6613","0","0","0"
"6626","0","0","0"
"6669","0","0","0"
"6686","0","0","0"
"6688","1","1","1"
"6709","0","0","0"
"6710","0","0","0"
"6729","0","0","0"
"6738","0","0","0"
"6752","0","0","0"
"6777","0","0","0"
"6793","0","0","0"
"6796","0","0","0"
"6799","0","0","0"
"6805","0","0","0"
"6844","1","1","1"
"6857","0","0","0"
"6859","0","0","0"
"6882","0","0","0"
"6902","0","0","0"
"6928","0","0","0"
"6936","0","0","0"
"6942","0","0","0"
"6974","0","0","0"
"7010","0","0","0"
"7013","0","0","0"
"7021","0","0","0"
"7026","0","0","0"
"7057","0","0","0"
"7086","0","0","0"
"7088","0","0","0"
"7110","0","0","0"
"7129","0","0","0"
"7143","0","0","0"
"7157","0","0","0"
"7177","0","0","0"
"7188","0","0","0"
"7199","0","0","0"
"7205","0.5","0","1"
"7243","0","0","0"
"7244","0","0","0"
"7257","0","0","0"
"7259","0","0","0"
"7280","0","0","0"
"7287","0","0","0"
"7289","0","0","0"
"7302","0","0","0"
"7308","0","0","0"
"7315","0","0","0"
"7320","0","0","0"
"7328","0","0","0"
"7342","0","0","0"
"7376","0","0","0"
"7382","0","0","0"
"7391","0","0","0"
"7394","0","0","0"
"7410","0","0","0"
"7421","0","0","0"
"7469","0","0","0"
"7486","0","0","0"
"7543","0","0","0"
"7552","0","0","0"
"7556","0","0","0"
"7577","0","0","0"
"7593","0","0","0"
"7596","0","0","0"
"7599","0","0","0"
"7605","0","0","0"
"7643","0","0","0"
"7644","0","0","0"
"7657","0","0","0"
"7671","0","0","0"
"7681","0","0","0"
"7708","0","0","0"
"7715","0","0","0"
"7718","0","0","0"
"7720","0","0","0"
"7728","0","0","0"
"7742","0","0","0"
"7749","0","0","0"
"7760","0","0","0"
"7774","0","0","0"
"7791","0","0","0"
"7813","0","0","0"
"7826","0","0","0"
"7828","0","0","0"
"7843","0","0","0"
"7869","0","0","0"
"7888","0","0","0"
"7910","0","0","0"
"7943","0","0","0"
"7957","0","0","0"
"7967","0","0","0"
"7977","0","0","0"
"7988","0","0","0"
"7989","1","1","1"
"7993","0","0","0"
"7999","0","0","0"
"8005","0","0","0"
"8043","0","0","0"
"8044","0","0","0"
"8051","0","0","0"
"8068","0","0","0"
"8071","0","0","0"
"8081","0","0","0"
"8102","0","0","0"
"8108","0","0","0"
"8118","0","0","0"
"8149","0","0","0"
"8160","0","0","0"
"8210","0","0","0"
"8213","0","0","0"
"8243","0","0","0"
"8275","0","0","0"
"8286","0","0","0"
"8288","0","0","0"
"8343","0","0","0"
"8357","0","0","0"
"8387","-1","-1","-1"
"8388","0","0","0"
"8398","-1","-1","-1"
"8399","0","0","0"
"8405","0","0","0"
"8443","0","0","0"
"8444","0","0","0"
"8498","1","1","1"
"8502","0","0","0"
"8518","0","0","0"
"8531","-1","-1","-1"
"8542","0","0","0"
"8560","0","0","0"
"8570","0","0","0"
"8591","0","0","0"
"8594","0","0","0"
"8609","0","0","0"
"8610","0","0","0"
"8613","0","0","0"
"8628","0","0","0"
"8643","0","0","0"
"8657","0","0","0"
"8669","0","0","0"
"8686","0","0","0"
"8710","0","0","0"
"8756","0","0","0"
"8793","0","0","0"
"8799","0","0","0"
"8871","0","0","0"
"8882","0","0","0"
"8887","0","0","0"
"8908","0","0","0"
"8918","0","0","0"
"8931","0","0","0"
"8942","0","0","0"
"8949","0","0","0"
"8976","0","0","0"
"8991","0","0","0"
"9009","0","0","0"
"9010","0","0","0"
"9019","1","1","1"
"9021","0","0","0"
"9069","0","0","0"
"9107","-1","-1","-1"
"9152","0","0","0"
"9156","0","0","0"
"9167","0","0","0"
"9199","0","0","0"
"9205","0","0","0"
"9232","0","0","0"
"9244","0","0","0"
"9251","0","0","0"
"9268","0","0","0"
"9282","0","0","0"
"9302","0","0","0"
"9309","0","0","0"
"9328","0","0","0"
"9335","1","1","1"
"9355","-1","-1","-1"
"9379","1","1","1"
"9403","1","1","1"
"9409","-1","-1","-1"
"9410","0","0","0"
"9428","0","0","0"
"9443","0","0","0"
"9469","0","0","0"
"9470","0","0","0"
"9488","0","0","0"
"9529","0","0","0"
"9567","0","0","0"
"9577","0","0","0"
"9587","0","0","0"
"9599","0","0","0"
"9605","0","0","0"
"9643","0","0","0"
"9644","0","0","0"
"9651","0","0","0"
"9668","0","0","0"
"9681","0","0","0"
"9682","0","0","0"
"9698","0","0","0"
"9708","0","0","0"
"9720","0","0","0"
"9728","0","0","0"
"9735","0","0","0"
"9749","0","0","0"
"9755","0","0","0"
"9769","1","1","1"
"9770","0","0","0"
"9803","0","0","0"
"9810","0","0","0"
"9821","0","0","0"
"9828","0","0","0"
