"Step","env: VSS - ep_info/Goal","env: VSS - ep_info/Goal__MIN","env: VSS - ep_info/Goal__MAX"
"314","-1","-1","-1"
"500","0","0","0"
"799","0","0","0"
"869","0","0","0"
"900","0","0","0"
"922","0","0","0"
"1199","0","0","0"
"1269","0","0","0"
"1345","1","1","1"
"1398","0","0","0"
"1415","0","0","0"
"1489","0","0","0"
"1582","1","1","1"
"1669","0","0","0"
"1700","0","0","0"
"1798","0","0","0"
"1815","0","0","0"
"1900","0","0","0"
"1999","0","0","0"
"2044","0","0","0"
"2122","0","0","0"
"2387","0","0","0"
"2399","0","0","0"
"2431","0","0","0"
"2469","0","0","0"
"2522","0","0","0"
"2540","0","0","0"
"2578","0","0","0"
"2643","-1","-1","-1"
"2665","0","0","0"
"2689","0","0","0"
"2700","0","0","0"
"2722","1","1","1"
"2787","0","0","0"
"2799","0","0","0"
"2808","0","0","0"
"2844","0","0","0"
"2900","0","0","0"
"2913","0","0","0"
"2922","0","0","0"
"3065","0","0","0"
"3100","0","0","0"
"3114","0","0","0"
"3122","0","0","0"
"3199","0","0","0"
"3313","0","0","0"
"3322","0","0","0"
"3357","-1","-1","-1"
"3443","0","0","0"
"3465","0","0","0"
"3500","0","0","0"
"3504","0","0","0"
"3582","0","0","0"
"3587","0","0","0"
"3599","0","0","0"
"3608","0","0","0"
"3631","0","0","0"
"3644","0","0","0"
"3702","0","0","0"
"3816","0","0","0"
"3872","0","0","0"
"3888","0","0","0"
"3922","0","0","0"
"4065","0","0","0"
"4069","0","0","0"
"4079","0","0","0"
"4157","0","0","0"
"4265","0","0","0"
"4272","0","0","0"
"4287","0","0","0"
"4382","0","0","0"
"4399","0","0","0"
"4408","0","0","0"
"4431","0","0","0"
"4465","0","0","0"
"4479","0","0","0"
"4492","0","0","0"
"4500","0","0","0"
"4528","0","0","0"
"4538","-1","-1","-1"
"4578","0","0","0"
"4583","0","0","0"
"4602","1","1","1"
"4633","0","0","0"
"4643","0","0","0"
"4700","0","0","0"
"4709","1","1","1"
"4782","0","0","0"
"4787","0","0","0"
"4799","0","0","0"
"4808","0","0","0"
"4922","0","0","0"
"4955","1","1","1"
"4963","1","1","1"
"4998","0","0","0"
"5002","0","0","0"
"5065","0","0","0"
"5072","0","0","0"
"5100","0","0","0"
"5186","0","0","0"
"5187","0","0","0"
"5199","0","0","0"
"5244","0","0","0"
"5279","0","0","0"
"5302","0","0","0"
"5322","0","0","0"
"5323","0","0","0"
"5338","0","0","0"
"5355","0","0","0"
"5363","0","0","0"
"5378","0","0","0"
"5398","0","0","0"
"5433","0","0","0"
"5465","0","0","0"
"5488","0","0","0"
"5500","0","0","0"
"5513","0","0","0"
"5514","0","0","0"
"5582","0","0","0"
"5586","0","0","0"
"5587","0","0","0"
"5599","0","0","0"
"5700","0","0","0"
"5728","0","0","0"
"5755","0","0","0"
"5757","0","0","0"
"5759","0","0","0"
"5813","0","0","0"
"5843","0","0","0"
"5853","0","0","0"
"5872","0","0","0"
"5909","0","0","0"
"5914","0","0","0"
"5917","0","0","0"
"5922","0","0","0"
"5986","0","0","0"
"5999","0","0","0"
"6044","0","0","0"
"6069","0","0","0"
"6094","0","0","0"
"6122","0","0","0"
"6132","0","0","0"
"6159","0","0","0"
"6198","0","0","0"
"6243","0","0","0"
"6253","0","0","0"
"6288","0","0","0"
"6304","0","0","0"
"6309","0","0","0"
"6322","0","0","0"
"6386","0","0","0"
"6387","0","0","0"
"6399","0","0","0"
"6444","0","0","0"
"6469","0","0","0"
"6491","1","1","1"
"6523","0","0","0"
"6555","0","0","0"
"6557","0","0","0"
"6568","-1","-1","-1"
"6672","0","0","0"
"6704","0","0","0"
"6722","0","0","0"
"6765","0","0","0"
"6767","0","0","0"
"6787","0","0","0"
"6799","0","0","0"
"6827","0","0","0"
"6891","0","0","0"
"6892","0","0","0"
"6894","0","0","0"
"6897","0","0","0"
"6922","0","0","0"
"6959","0","0","0"
"6971","1","1","1"
"7004","0","0","0"
"7087","0","0","0"
"7088","0","0","0"
"7100","0","0","0"
"7113","0","0","0"
"7128","1","1","1"
"7165","0","0","0"
"7199","0","0","0"
"7227","0","0","0"
"7235","0","0","0"
"7291","0","0","0"
"7323","0","0","0"
"7324","0","0","0"
"7338","0","0","0"
"7357","0","0","0"
"7371","0","0","0"
"7383","0","0","0"
"7384","0","0","0"
