"Step","env: VSS - ep_info/Goal","env: VSS - ep_info/Goal__MIN","env: VSS - ep_info/Goal__MAX"
"127","-1","-1","-1"
"156","-1","-1","-1"
"252","-1","-1","-1"
"399","0","0","0"
"527","0","0","0"
"536","-1","-1","-1"
"556","0","0","0"
"570","-1","-1","-1"
"652","0","0","0"
"867","-1","-1","-1"
"936","0","0","0"
"1052","0","0","0"
"1092","1","1","1"
"1199","0","0","0"
"1263","-1","-1","-1"
"1289","0","0","0"
"1336","0","0","0"
"1356","0","0","0"
"1363","1","1","1"
"1452","0","0","0"
"1497","0","0","0"
"1599","0","0","0"
"1610","0","0","0"
"1667","0","0","0"
"1736","0","0","0"
"1761","1","1","1"
"1763","0","0","0"
"1770","0","0","0"
"1830","0","0","0"
"1968","0","0","0"
"2010","0","0","0"
"2063","0","0","0"
"2089","0","0","0"
"2120","0","0","0"
"2147","0","0","0"
"2161","0","0","0"
"2163","0","0","0"
"2227","0","0","0"
"2252","0","0","0"
"2344","0","0","0"
"2399","0","0","0"
"2467","0","0","0"
"2527","0","0","0"
"2538","1","1","1"
"2547","0","0","0"
"2561","0","0","0"
"2570","0","0","0"
"2610","1","1","1"
"2768","0","0","0"
"2799","0","0","0"
"2927","0","0","0"
"2938","0","0","0"
"2939","0","0","0"
"2947","0","0","0"
"2950","-1","-1","-1"
"2956","0","0","0"
"2961","0","0","0"
"2963","0","0","0"
"3092","0","0","0"
"3199","0","0","0"
"3210","0","0","0"
"3267","0","0","0"
"3271","0","0","0"
"3289","0","0","0"
"3297","1","1","1"
"3320","0","0","0"
"3327","0","0","0"
"3331","0","0","0"
"3336","0","0","0"
"3347","0","0","0"
"3350","0","0","0"
"3359","-1","-1","-1"
"3363","0","0","0"
"3420","0","0","0"
"3451","-1","-1","-1"
"3467","0","0","0"
"3501","0","0","0"
"3568","0","0","0"
"3599","0","0","0"
"3663","0","0","0"
"3671","0","0","0"
"3689","0","0","0"
"3720","0","0","0"
"3736","0","0","0"
"3738","0","0","0"
"3739","0","0","0"
"3747","0","0","0"
"3750","0","0","0"
"3759","0","0","0"
"3820","0","0","0"
"3827","0","0","0"
"3867","0","0","0"
"3878","0","0","0"
"3887","-1","-1","-1"
"3892","0","0","0"
"3999","0","0","0"
"4120","0","0","0"
"4138","0","0","0"
"4140","0","0","0"
"4150","0","0","0"
"4159","0","0","0"
"4163","0","0","0"
"4184","0","0","0"
"4210","0","0","0"
"4252","0","0","0"
"4267","0","0","0"
"4270","0","0","0"
"4287","0","0","0"
"4292","0","0","0"
"4301","0","0","0"
"4399","0","0","0"
"4497","0","0","0"
"4505","1","1","1"
"4520","0","0","0"
"4536","0","0","0"
"4550","0","0","0"
"4559","0","0","0"
"4570","0","0","0"
"4627","0","0","0"
"4630","0","0","0"
"4644","1","1","1"
"4651","0","0","0"
"4652","-1","-1","-1"
"4667","0","0","0"
"4692","0","0","0"
"4717","0","0","0"
"4768","0","0","0"
"4799","0","0","0"
"4821","0","0","0"
"4859","0","0","0"
"4867","0","0","0"
"4871","0","0","0"
"4889","0","0","0"
"4897","0","0","0"
"4938","0","0","0"
"4939","0","0","0"
"4947","0","0","0"
"4961","0","0","0"
"4970","0","0","0"
"5010","0","0","0"
"5027","0","0","0"
"5030","0","0","0"
"5044","0","0","0"
"5052","0","0","0"
"5067","0","0","0"
"5117","0","0","0"
"5124","1","1","1"
"5168","0","0","0"
"5187","1","1","1"
"5199","0","0","0"
"5267","0","0","0"
"5289","0","0","0"
"5347","0","0","0"
"5356","0","0","0"
"5359","0","0","0"
"5370","0","0","0"
"5404","1","1","1"
"5410","0","0","0"
"5430","0","0","0"
"5467","0","0","0"
"5478","0","0","0"
"5524","0","0","0"
"5549","0","0","0"
"5599","0","0","0"
"5621","0","0","0"
"5671","0","0","0"
"5705","0","0","0"
"5731","0","0","0"
"5738","0","0","0"
"5740","0","0","0"
"5756","0","0","0"
"5759","0","0","0"
"5761","0","0","0"
"5844","0","0","0"
"5852","0","0","0"
"5892","0","0","0"
"5917","1","1","1"
"5944","0","0","0"
"5947","0","0","0"
"5987","0","0","0"
"5999","0","0","0"
"6010","0","0","0"
"6021","0","0","0"
"6063","0","0","0"
"6071","0","0","0"
"6105","0","0","0"
"6163","0","0","0"
"6227","0","0","0"
"6244","0","0","0"
"6251","0","0","0"
"6272","1","1","1"
"6292","0","0","0"
"6324","0","0","0"
"6344","0","0","0"
"6368","0","0","0"
"6399","0","0","0"
"6471","0","0","0"
"6497","1","1","1"
"6505","0","0","0"
"6531","0","0","0"
"6570","0","0","0"
"6584","0","0","0"
"6627","0","0","0"
"6651","0","0","0"
"6652","0","0","0"
"6667","0","0","0"
"6670","0","0","0"
"6701","0","0","0"
"6747","0","0","0"
"6768","0","0","0"
"6787","0","0","0"
"6799","0","0","0"
"6808","0","0","0"
"6863","0","0","0"
"6923","0","0","0"
"6931","0","0","0"
"6940","0","0","0"
"6947","0","0","0"
"6963","0","0","0"
"7027","0","0","0"
"7051","0","0","0"
"7052","0","0","0"
"7070","0","0","0"
"7078","0","0","0"
"7087","0","0","0"
"7088","0","0","0"
"7092","0","0","0"
"7135","0","0","0"
"7168","0","0","0"
"7187","0","0","0"
"7199","0","0","0"
"7210","0","0","0"
"7230","0","0","0"
"7263","0","0","0"
"7289","0","0","0"
"7330","1","1","1"
"7335","-1","-1","-1"
"7340","0","0","0"
"7347","0","0","0"
"7356","0","0","0"
"7359","0","0","0"
"7384","0","0","0"
"7404","0","0","0"
"7467","0","0","0"
"7470","0","0","0"
"7478","0","0","0"
"7492","0","0","0"
"7520","1","1","1"
"7524","0","0","0"
"7529","0","0","0"
"7535","0","0","0"
"7599","0","0","0"
"7621","0","0","0"
"7667","0","0","0"
"7677","0","0","0"
"7697","0","0","0"
"7723","0","0","0"
"7740","0","0","0"
"7761","0","0","0"
"7763","0","0","0"
"7827","0","0","0"
"7851","0","0","0"
"7852","0","0","0"
"7887","0","0","0"
"7888","0","0","0"
"7920","0","0","0"
"7924","0","0","0"
"7968","0","0","0"
"7999","0","0","0"
"8010","0","0","0"
"8050","0","0","0"
"8071","0","0","0"
"8077","0","0","0"
"8097","0","0","0"
"8100","0","0","0"
"8105","0","0","0"
"8123","0","0","0"
"8135","0","0","0"
"8140","0","0","0"
"8161","0","0","0"
"8184","0","0","0"
"8227","0","0","0"
"8252","0","0","0"
"8270","0","0","0"
"8287","0","0","0"
"8301","0","0","0"
"8317","0","0","0"
"8324","0","0","0"
"8344","0","0","0"
"8347","0","0","0"
"8349","0","0","0"
"8368","0","0","0"
"8399","0","0","0"
"8410","0","0","0"
"8430","0","0","0"
"8450","0","0","0"
"8463","0","0","0"
"8471","0","0","0"
"8477","0","0","0"
"8505","0","0","0"
"8509","0","0","0"
"8523","0","0","0"
"8531","0","0","0"
"8540","0","0","0"
"8596","1","1","1"
"8627","0","0","0"
"8651","0","0","0"
"8653","-1","-1","-1"
"8667","0","0","0"
"8678","0","0","0"
"8687","0","0","0"
"8717","0","0","0"
"8724","0","0","0"
"8729","0","0","0"
"8742","-1","-1","-1"
"8744","0","0","0"
"8749","0","0","0"
"8787","0","0","0"
"8821","0","0","0"
"8830","0","0","0"
"8867","0","0","0"
"8888","0","0","0"
"8900","0","0","0"
"8905","0","0","0"
"8931","0","0","0"
"8935","0","0","0"
"8938","0","0","0"
"8956","0","0","0"
"8959","0","0","0"
"8961","0","0","0"
"8972","1","1","1"
"8996","0","0","0"
"9033","0","0","0"
"9051","0","0","0"
"9052","0","0","0"
"9074","0","0","0"
"9078","0","0","0"
"9120","0","0","0"
"9135","0","0","0"
"9142","0","0","0"
"9187","0","0","0"
"9199","0","0","0"
"9221","0","0","0"
"9250","0","0","0"
"9267","0","0","0"
"9277","0","0","0"
"9289","0","0","0"
"9292","-1","-1","-1"
"9296","-1","-1","-1"
"9297","0","0","0"
"9300","0","0","0"
"9317","1","1","1"
"9330","0","0","0"
"9331","0","0","0"
"9335","0","0","0"
"9347","0","0","0"
"9361","0","0","0"
"9363","0","0","0"
"9381","-1","-1","-1"
"9394","0","0","0"
"9396","0","0","0"
"9404","0","0","0"
"9433","0","0","0"
"9451","0","0","0"
"9452","0","0","0"
"9478","0","0","0"
"9481","-1","-1","-1"
"9487","0","0","0"
"9492","0","0","0"
"9501","0","0","0"
"9516","0","0","0"
"9517","0","0","0"
"9547","0","0","0"
"9593","1","1","1"
"9599","0","0","0"
"9621","0","0","0"
"9630","0","0","0"
"9705","0","0","0"
"9717","0","0","0"
"9735","0","0","0"
"9738","0","0","0"
"9759","0","0","0"
"9763","0","0","0"
"9793","0","0","0"
"9827","0","0","0"
"9851","0","0","0"
"9878","0","0","0"
"9883","1","1","1"
"9917","0","0","0"
"9929","0","0","0"
"9935","0","0","0"
