"Step","env: VSS_TUNED - ep_info/Goal","env: VSS_TUNED - ep_info/Goal__MIN","env: VSS_TUNED - ep_info/Goal__MAX"
"145","-1","-1","-1"
"168","1","1","1"
"171","-1","-1","-1"
"333","1","1","1"
"380","-1","-1","-1"
"399","0","0","0"
"1050","0","0","0"
"1345","0","0","0"
"1404","-1","-1","-1"
"1416","1","1","1"
"1599","0","0","0"
"1680","1","1","1"
"1741","0","0","0"
"1804","0","0","0"
"1816","0","0","0"
"1821","0","0","0"
"1834","0","0","0"
"1864","0","0","0"
"1999","0","0","0"
"2080","0","0","0"
"2095","0","0","0"
"2126","0","0","0"
"2176","0","0","0"
"2190","0","0","0"
"2195","-1","-1","-1"
"2215","-1","-1","-1"
"2216","0","0","0"
"2234","0","0","0"
"2247","1","1","1"
"2399","0","0","0"
"2446","-1","-1","-1"
"2461","0","0","0"
"2560","0","0","0"
"2580","1","1","1"
"2604","0","0","0"
"2664","0","0","0"
"2674","0","0","0"
"2732","0","0","0"
"2744","0","0","0"
"2754","0","0","0"
"2757","0","0","0"
"2764","-1","-1","-1"
"2799","0","0","0"
"2844","0","0","0"
"2846","0","0","0"
"2861","0","0","0"
"2996","0","0","0"
"3028","0","0","0"
"3095","-1","-1","-1"
"3132","0","0","0"
"3144","0","0","0"
"3199","0","0","0"
"3246","0","0","0"
"3261","0","0","0"
"3265","0","0","0"
"3279","1","1","1"
"3292","1","1","1"
"3295","0","0","0"
"3341","0","0","0"
"3366","0","0","0"
"3376","0","0","0"
"3380","0","0","0"
"3421","0","0","0"
"3474","0","0","0"
"3532","0","0","0"
"3557","0","0","0"
"3564","0","0","0"
"3599","0","0","0"
"3602","-1","-1","-1"
"3634","0","0","0"
"3657","1","1","1"
"3661","0","0","0"
"3665","0","0","0"
"3679","0","0","0"
"3692","0","0","0"
"3737","1","1","1"
"3745","0","0","0"
"3760","0","0","0"
"3780","0","0","0"
"3790","0","0","0"
"3804","0","0","0"
"3847","0","0","0"
"3917","1","1","1"
"3935","0","0","0"
"3946","0","0","0"
"3964","0","0","0"
"3999","0","0","0"
"4046","0","0","0"
"4061","0","0","0"
"4081","0","0","0"
"4095","0","0","0"
"4145","0","0","0"
"4157","0","0","0"
"4160","0","0","0"
"4215","0","0","0"
"4224","-1","-1","-1"
"4247","0","0","0"
"4262","0","0","0"
"4317","0","0","0"
"4336","0","0","0"
"4342","-1","-1","-1"
"4399","0","0","0"
"4434","0","0","0"
"4444","0","0","0"
"4457","0","0","0"
"4464","0","0","0"
"4465","0","0","0"
"4469","-1","-1","-1"
"4481","0","0","0"
"4489","0","0","0"
"4526","0","0","0"
"4527","0","0","0"
"4537","0","0","0"
"4545","0","0","0"
"4553","1","1","1"
"4571","0","0","0"
"4590","0","0","0"
"4596","0","0","0"
"4604","0","0","0"
"4647","0","0","0"
"4678","0","0","0"
"4697","-1","-1","-1"
"4719","-1","-1","-1"
"4742","0","0","0"
"4744","0","0","0"
"4746","0","0","0"
"4757","0","0","0"
"4799","0","0","0"
"4846","0","0","0"
"4869","0","0","0"
"4881","0","0","0"
"4889","0","0","0"
"4893","0","0","0"
"4919","0","0","0"
"4925","0","0","0"
"4947","0","0","0"
"4952","0","0","0"
"4980","0","0","0"
"5015","0","0","0"
"5021","0","0","0"
"5038","0","0","0"
"5047","0","0","0"
"5064","0","0","0"
"5066","1","1","1"
"5078","0","0","0"
"5097","0","0","0"
"5119","0","0","0"
"5132","-0.5","-1","0"
"5143","0","0","0"
"5146","0","0","0"
"5164","0","0","0"
"5199","0","0","0"
"5246","0","0","0"
"5249","0","0","0"
"5251","1","1","1"
"5264","0","0","0"
"5265","0","0","0"
"5274","0","0","0"
"5289","0","0","0"
"5292","0","0","0"
"5309","0","0","0"
"5311","-1","-1","-1"
"5319","0","0","0"
"5326","0","0","0"
"5341","0","0","0"
"5353","0","0","0"
"5357","0","0","0"
"5376","0","0","0"
"5396","0","0","0"
"5415","0","0","0"
"5453","1","1","1"
"5464","0","0","0"
"5474","0","0","0"
"5517","0","0","0"
"5536","0","0","0"
"5557","0","0","0"
"5654","-0.5","-1","0"
"5657","0","0","0"
"5664","0","0","0"
"5674","0","0","0"
"5694","0","0","0"
"5711","0","0","0"
"5719","0","0","0"
"5725","0","0","0"
"5734","0","0","0"
"5741","0","0","0"
"5757","0","0","0"
"5804","0","0","0"
"5815","0","0","0"
"5821","0","0","0"
"5824","0","0","0"
"5826","0","0","0"
"5838","0","0","0"
"5864","0","0","0"
"5866","0","0","0"
"5914","-1","-1","-1"
"5919","0","0","0"
"5928","-1","-1","-1"
"5932","0","0","0"
"5936","0","0","0"
"5963","-1","-1","-1"
"5999","0","0","0"
"6044","0","0","0"
"6049","0","0","0"
"6054","0","0","0"
"6057","0","0","0"
"6065","0","0","0"
"6070","-1","-1","-1"
"6081","0","0","0"
"6093","0","0","0"
"6095","0","0","0"
"6119","0","0","0"
"6125","0","0","0"
"6126","0","0","0"
"6134","0","0","0"
"6137","0","0","0"
"6141","0","0","0"
"6145","0","0","0"
"6147","0","0","0"
"6166","0","0","0"
"6180","0","0","0"
"6204","0","0","0"
"6226","0","0","0"
"6253","0","0","0"
"6264","0","0","0"
"6266","0","0","0"
"6274","0","0","0"
"6278","0","0","0"
"6319","0","0","0"
"6328","0","0","0"
"6357","0","0","0"
"6375","0","0","0"
"6378","0","0","0"
"6399","0","0","0"
"6449","0","0","0"
"6454","0","0","0"
"6481","0","0","0"
"6519","0","0","0"
"6557","0","0","0"
"6604","0","0","0"
"6621","0","0","0"
"6626","0","0","0"
"6644","0","0","0"
"6662","0","0","0"
"6674","0","0","0"
"6678","0","0","0"
"6717","0","0","0"
"6728","0","0","0"
"6736","0","0","0"
"6746","0","0","0"
"6763","0","0","0"
"6778","0","0","0"
"6799","0","0","0"
"6834","0","0","0"
"6854","0","0","0"
"6861","0","0","0"
"6865","0","0","0"
"6870","0","0","0"
"6874","0","0","0"
"6893","0","0","0"
"6911","0.5","0","1"
"6947","0","0","0"
"6953","0","0","0"
"6966","0","0","0"
"7004","0","0","0"
"7015","0","0","0"
"7024","0","0","0"
"7044","0","0","0"
"7053","0","0","0"
"7066","0","0","0"
"7119","0","0","0"
"7142","0","0","0"
"7163","0","0","0"
"7175","0","0","0"
"7199","0","0","0"
"7206","0","0","0"
"7234","0","0","0"
"7244","0","0","0"
"7246","0","0","0"
"7257","0","0","0"
"7269","0","0","0"
"7274","0","0","0"
"7294","0","0","0"
"7319","0","0","0"
"7323","1","1","1"
"7327","0","0","0"
"7337","0","0","0"
"7347","0","0","0"
"7352","0","0","0"
"7402","-1","-1","-1"
"7438","0","0","0"
"7444","0","0","0"
"7446","-1","-1","-1"
"7447","0","0","0"
"7471","0","0","0"
"7493","1","1","1"
"7497","0","0","0"
"7501","-1","-1","-1"
"7535","0","0","0"
"7536","0","0","0"
"7546","0","0","0"
"7556","0","0","0"
"7557","0","0","0"
"7564","0","0","0"
"7575","0","0","0"
"7599","0","0","0"
"7606","0","0","0"
"7634","-1","-1","-1"
"7644","0","0","0"
"7646","0","0","0"
"7654","0","0","0"
"7661","0","0","0"
"7669","0","0","0"
"7670","0","0","0"
"7674","0","0","0"
"7692","0","0","0"
"7694","0","0","0"
"7711","0","0","0"
"7719","0","0","0"
"7727","0","0","0"
"7745","0","0","0"
"7752","0","0","0"
"7753","0","0","0"
"7757","0","0","0"
"7782","1","1","1"
"7792","0","0","0"
"7838","0","0","0"
"7844","0","0","0"
"7846","0","0","0"
"7847","0","0","0"
"7864","0","0","0"
"7866","0","0","0"
"7871","0","0","0"
"7893","0","0","0"
"7897","0","0","0"
"7901","0","0","0"
"7919","0","0","0"
"7935","0","0","0"
"7946","0","0","0"
"7956","0","0","0"
"7964","0","0","0"
"7975","0","0","0"
"7999","0","0","0"
"8034","0","0","0"
"8037","1","1","1"
"8049","0","0","0"
"8061","0","0","0"
"8064","0","0","0"
"8070","0","0","0"
"8079","0","0","0"
"8089","0","0","0"
"8092","0","0","0"
