"Step","env: VSS - ep_info/Goal","env: VSS - ep_info/Goal__MIN","env: VSS - ep_info/Goal__MAX"
"49","1","1","1"
"71","1","1","1"
"88","-1","-1","-1"
"299","1","1","1"
"312","1","1","1"
"399","0","0","0"
"449","0","0","0"
"471","0","0","0"
"488","0","0","0"
"673","1","1","1"
"680","-1","-1","-1"
"773","-1","-1","-1"
"799","0","0","0"
"849","0","0","0"
"938","0","0","0"
"1073","0","0","0"
"1076","1","1","1"
"1080","0","0","0"
"1112","0","0","0"
"1143","1","1","1"
"1173","0","0","0"
"1199","0","0","0"
"1271","0","0","0"
"1288","0","0","0"
"1338","0","0","0"
"1392","1","1","1"
"1512","0","0","0"
"1543","0","0","0"
"1572","0","0","0"
"1599","0","0","0"
"1641","0","0","0"
"1688","0","0","0"
"1738","0","0","0"
"1792","0","0","0"
"1820","1","1","1"
"1880","0","0","0"
"1899","0","0","0"
"1973","0","0","0"
"1975","0","0","0"
"1999","0","0","0"
"2071","0","0","0"
"2088","0","0","0"
"2220","0","0","0"
"2239","0","0","0"
"2276","0","0","0"
"2280","0","0","0"
"2312","0","0","0"
"2441","0","0","0"
"2449","0","0","0"
"2471","0","0","0"
"2488","0","0","0"
"2514","0","0","0"
"2515","-1","-1","-1"
"2592","0","0","0"
"2644","0","0","0"
"2772","0","0","0"
"2799","0","0","0"
"2841","0","0","0"
"2842","0","0","0"
"2849","0","0","0"
"2871","0","0","0"
"2914","0","0","0"
"2952","0","0","0"
"3020","0","0","0"
"3039","0","0","0"
"3048","0","0","0"
"3080","0","0","0"
"3143","0","0","0"
"3173","0","0","0"
"3260","0","0","0"
"3271","0","0","0"
"3288","0","0","0"
"3305","-1","-1","-1"
"3338","-1","-1","-1"
"3448","0","0","0"
"3477","1","1","1"
"3499","0","0","0"
"3515","0","0","0"
"3543","0","0","0"
"3573","0","0","0"
"3599","0","0","0"
"3660","0","0","0"
"3669","-1","-1","-1"
"3688","0","0","0"
"3736","0","0","0"
"3820","0","0","0"
"3848","0","0","0"
"3877","0","0","0"
"3880","0","0","0"
"3975","0","0","0"
"3999","0","0","0"
"4040","1","1","1"
"4041","0","0","0"
"4049","0","0","0"
"4060","0","0","0"
"4067","1","1","1"
"4069","0","0","0"
"4088","0","0","0"
"4105","0","0","0"
"4115","0","0","0"
