"Step","env: VSS - ep_info/Ball","env: VSS - ep_info/Ball__MIN","env: VSS - ep_info/Ball__MAX"
"100","-23.407184466218304","-23.407184466218304","-23.407184466218304"
"314","-26.58908710241554","-26.58908710241554","-26.58908710241554"
"399","1.636737154064863","0","3.273474308129726"
"500","-8.702840821881738","-8.702840821881738","-8.702840821881738"
"700","0","0","0"
"799","0","0","0"
"1015","0","0","0"
"1100","0","0","0"
"1300","16.502147269187887","16.502147269187887","16.502147269187887"
"1322","0","0","0"
"1489","4.861295887973384","4.861295887973384","4.861295887973384"
"1500","0","0","0"
"1536","20.048789568953612","20.048789568953612","20.048789568953612"
"1599","0","0","0"
"1740","15.461910784948591","15.461910784948591","15.461910784948591"
"1798","9.777631385757713","9.777631385757713","9.777631385757713"
"1889","0","0","0"
"1936","0","0","0"
"1982","0","0","0"
"1999","0","0","0"
"2100","0","0","0"
"2140","0","0","0"
"2288","14.275763073090985","14.275763073090985","14.275763073090985"
"2300","1.3936354734795606","0","2.7872709469591213"
"2336","-20.79863230840138","-20.79863230840138","-20.79863230840138"
"2387","-11.620434049869356","-11.620434049869356","-11.620434049869356"
"2399","0","0","0"
"2500","0","0","0"
"2545","0","0","0"
"2559","38.984694221912534","38.984694221912534","38.984694221912534"
"2665","0","0","0"
"2700","5.862340075520626","5.862340075520626","5.862340075520626"
"2704","3.5256927252896553","3.5256927252896553","3.5256927252896553"
"2782","0","0","0"
"2787","0","0","0"
"2831","0","0","0"
"2844","-19.78790215871","-19.78790215871","-19.78790215871"
"2869","0","0","0"
"2913","0","0","0"
"3089","17.036293686920672","17.036293686920672","17.036293686920672"
"3100","-0.28795664887426664","-0.28795664887426664","-0.28795664887426664"
"3104","0","0","0"
"3199","0","0","0"
"3302","0","0","0"
"3322","0","0","0"
"3328","0","0","0"
"3398","0","0","0"
"3488","-9.199027271312868","-9.199027271312868","-9.199027271312868"
"3500","8.888785140875722","8.888785140875722","8.888785140875722"
"3582","0","0","0"
"3587","0","0","0"
"3599","0","0","0"
"3679","0","0","0"
"3723","0","0","0"
"3843","0","0","0"
"3887","21.094328877745223","21.094328877745223","21.094328877745223"
"3888","0","0","0"
"3914","0","0","0"
"3999","-17.277642926109532","-17.277642926109532","-17.277642926109532"
"4031","0","0","0"
"4074","0","0","0"
"4079","0","0","0"
"4122","0","0","0"
"4216","0","0","0"
"4233","12.953592579214435","12.953592579214435","12.953592579214435"
"4271","0","0","0"
"4300","11.206074490684705","11.206074490684705","11.206074490684705"
"4399","0","0","0"
"4444","-20.715974844901535","-20.715974844901535","-20.715974844901535"
"4474","-8.311175448309182","-8.311175448309182","-8.311175448309182"
"4494","32.19230456149285","32.19230456149285","32.19230456149285"
"4500","0","0","0"
"4528","13.620443549368858","13.620443549368858","13.620443549368858"
"4578","0","0","0"
"4583","0","0","0"
"4602","21.564000834758893","21.564000834758893","21.564000834758893"
"4616","0","0","0"
"4633","0","0","0"
"4643","0","0","0"
"4687","10.571436713026452","10.571436713026452","10.571436713026452"
"4704","0","0","0"
"4713","24.450455573210842","24.450455573210842","24.450455573210842"
"4799","-2.6862120898029316","-5.372424179605863","0"
"4844","0","0","0"
"4902","0","0","0"
"4913","-0.9507371177256918","-0.9507371177256918","-0.9507371177256918"
"4978","15.729795668483998","15.729795668483998","15.729795668483998"
"5002","2.2541476667284788","2.2541476667284788","2.2541476667284788"
"5062","9.312531074661615","9.312531074661615","9.312531074661615"
"5071","0","0","0"
"5104","0","0","0"
"5113","0","0","0"
"5114","0","0","0"
"5122","0","0","0"
"5186","7.275491141459909","7.275491141459909","7.275491141459909"
"5199","0","0","0"
"5244","0","0","0"
"5294","0","0","0"
"5300","-14.713294491794437","-14.713294491794437","-14.713294491794437"
"5322","0","0","0"
"5338","0","0","0"
"5416","0","0","0"
"5488","0","0","0"
"5500","0","0","0"
"5517","0","0","0"
"5522","0","0","0"
"5586","0","0","0"
"5587","-4.451961481597443","-4.451961481597443","-4.451961481597443"
"5599","0","0","0"
"5608","0","0","0"
"5722","0","0","0"
"5745","0","0","0"
"5757","0","0","0"
"5784","0","0","0"
"5843","0","0","0"
"5853","0","0","0"
"5900","0","0","0"
"5999","5.259706254143627","0","15.77911876243088"
"6044","-17.684510341379784","-17.684510341379784","-17.684510341379784"
"6094","6.790053941295561","6.790053941295561","6.790053941295561"
"6100","0","0","0"
"6122","-8.357416687717212","-8.357416687717212","-8.357416687717212"
"6204","-18.91436930309268","-18.91436930309268","-18.91436930309268"
"6265","0","0","0"
"6272","2.3566373474792854","2.3566373474792854","2.3566373474792854"
"6322","18.857451597493366","18.857451597493366","18.857451597493366"
"6367","-12.93741858719044","-12.93741858719044","-12.93741858719044"
"6368","0","0","0"
"6387","0","0","0"
"6399","0","0","0"
"6469","0","0","0"
"6497","19.753431714721856","19.753431714721856","19.753431714721856"
"6522","-11.987239227757286","-11.987239227757286","-11.987239227757286"
"6523","2.6551417429780955","2.6551417429780955","2.6551417429780955"
"6598","0","0","0"
"6665","0","0","0"
"6700","0","0","0"
"6717","1.0978318000865097","1.0978318000865097","1.0978318000865097"
"6722","26.853425896355215","26.853425896355215","26.853425896355215"
"6767","0","0","0"
"6768","0","0","0"
"6835","-6.7396793909014505","-6.7396793909014505","-6.7396793909014505"
"6891","0","0","0"
"6892","0","0","0"
"6922","0","0","0"
"6923","0","0","0"
"6935","32.42561299845368","32.42561299845368","32.42561299845368"
"6959","-21.718037380048035","-21.718037380048035","-21.718037380048035"
"6968","0","0","0"
"6984","0","0","0"
"7053","0","0","0"
"7071","0","0","0"
"7087","0","0","0"
"7100","0","0","0"
"7168","0","0","0"
"7186","-19.803502678531274","-19.803502678531274","-19.803502678531274"
"7199","-20.65846384824034","-20.65846384824034","-20.65846384824034"
"7244","0","0","0"
"7292","-7.445561745451912","-7.445561745451912","-7.445561745451912"
"7345","11.20511072511983","11.20511072511983","11.20511072511983"
"7384","0","0","0"
"7404","0","0","0"
"7462","0","0","0"
"7487","34.72122652266021","34.72122652266021","34.72122652266021"
"7517","-11.785896404232066","-11.785896404232066","-11.785896404232066"
"7568","0","0","0"
"7587","0","0","0"
"7635","0","0","0"
"7637","33.5868876033517","33.5868876033517","33.5868876033517"
"7665","2.7441483063984835","2.7441483063984835","2.7441483063984835"
"7669","0","0","0"
"7674","0","0","0"
"7692","-1.4905198305201095","-1.4905198305201095","-1.4905198305201095"
"7722","0","0","0"
"7735","0","0","0"
"7738","0","0","0"
"7804","0","0","0"
"7813","0","0","0"
"7817","0","0","0"
"7821","-2.4981305874815956","-2.4981305874815956","-2.4981305874815956"
"7822","-5.531388656051667","-5.531388656051667","-5.531388656051667"
"7859","0","0","0"
"7900","0","0","0"
"7909","12.980396065194608","12.980396065194608","12.980396065194608"
"7967","8.62749301328195","8.62749301328195","8.62749301328195"
"7979","0","0","0"
"7982","0","0","0"
"7986","-1.6577697696526172","-1.6577697696526172","-1.6577697696526172"
"7987","33.170059303576274","33.170059303576274","33.170059303576274"
"7999","0","0","0"
"8008","0","0","0"
"8065","0","0","0"
"8086","0","0","0"
"8091","0","0","0"
"8122","0","0","0"
"8128","10.153056588147258","10.153056588147258","10.153056588147258"
"8159","2.5606150433816426","2.5606150433816426","2.5606150433816426"
"8168","0","0","0"
"8171","0","0","0"
"8189","0","0","0"
"8198","0","0","0"
"8204","0","0","0"
"8241","31.00130195136773","31.00130195136773","31.00130195136773"
"8243","0","0","0"
"8253","0","0","0"
"8300","0","0","0"
"8408","0","0","0"
"8444","0","0","0"
"8474","0","0","0"
"8486","0","0","0"
"8492","0","0","0"
"8494","0","0","0"
"8497","0","0","0"
"8545","0","0","0"
"8559","0","0","0"
"8568","0","0","0"
"8589","13.417964361657543","13.417964361657543","13.417964361657543"
"8598","-3.016260603072629","-3.016260603072629","-3.016260603072629"
"8621","0.8554452136013867","0.8554452136013867","0.8554452136013867"
"8641","0","0","0"
"8643","0","0","0"
"8659","0","0","0"
"8662","0","0","0"
"8665","0","0","0"
"8700","-5.300183186068829","-5.300183186068829","-5.300183186068829"
"8713","0","0","0"
"8765","-10.351331577082863","-10.351331577082863","-10.351331577082863"
"8874","-20.733532086322455","-20.733532086322455","-20.733532086322455"
"8924","0","0","0"
"8928","0","0","0"
"8998","-6.827824586677708","-6.827824586677708","-6.827824586677708"
"9013","0","0","0"
"9059","0","0","0"
"9168","0","0","0"
"9187","0.2154043223653368","0.2154043223653368","0.2154043223653368"
"9208","0","0","0"
"9255","5.493625160655896","5.493625160655896","5.493625160655896"
"9265","0","0","0"
"9286","0","0","0"
"9297","0","0","0"
"9357","0","0","0"
"9384","-1.7149239479498146","-1.7149239479498146","-1.7149239479498146"
"9391","-14.779742360223413","-14.779742360223413","-14.779742360223413"
"9404","8.226571638585838","8.226571638585838","8.226571638585838"
"9417","0","0","0"
"9443","5.823086988903595","5.823086988903595","5.823086988903595"
"9472","0","0","0"
"9500","13.206916032451975","13.206916032451975","13.206916032451975"
"9568","0","0","0"
"9599","0","0","0"
"9674","-12.609727122331755","-25.21945424466351","0"
"9686","0","0","0"
"9694","0","0","0"
"9728","0","0","0"
"9735","-5.296910825764811","-5.296910825764811","-5.296910825764811"
"9745","16.057320947771046","16.057320947771046","16.057320947771046"
"9755","-16.41325403255977","-16.41325403255977","-16.41325403255977"
"9757","0","0","0"
"9759","0","0","0"
"9804","-2.077191475610413","-2.077191475610413","-2.077191475610413"
"9821","7.578403338914181","7.578403338914181","7.578403338914181"
"9822","10.172403395536998","10.172403395536998","10.172403395536998"
"9841","0","0","0"
"9843","0","0","0"
"9845","0","0","0"
"9888","0","0","0"
"9986","0","0","0"
"9987","0","0","0"
"9996","0","0","0"
"9999","0","0","0"
"10037","-1.1648604018658248","-1.1648604018658248","-1.1648604018658248"
"10074","0","0","0"
"10079","8.441339226588033","8.441339226588033","8.441339226588033"
"10135","0","0","0"
"10184","-21.43403269827203","-21.43403269827203","-21.43403269827203"
"10186","0","0","0"
"10241","4.581572166001484","4.581572166001484","4.581572166001484"
"10288","0","0","0"
"10294","1.4396714562157602","1.4396714562157602","1.4396714562157602"
"10303","-7.411380424190659","-7.411380424190659","-7.411380424190659"
"10399","1.3062821381554797","1.3062821381554797","1.3062821381554797"
"10437","-0.049091849007767974","-0.049091849007767974","-0.049091849007767974"
"10455","0","0","0"
"10494","0","0","0"
"10503","22.563896300576378","22.563896300576378","22.563896300576378"
"10518","0","0","0"
"10523","0","0","0"
"10535","10.196228978228454","10.196228978228454","10.196228978228454"
"10538","5.968485879074393","5.968485879074393","5.968485879074393"
"10545","0","0","0"
"10555","0","0","0"
"10557","0","0","0"
"10584","4.792540972850284","4.792540972850284","4.792540972850284"
"10621","0","0","0"
"10686","21.66258688284015","21.66258688284015","21.66258688284015"
"10700","-10.66864458333387","-10.66864458333387","-10.66864458333387"
"10713","0","0","0"
"10752","0","0","0"
"10763","6.4438221099411725","6.4438221099411725","6.4438221099411725"
"10779","0","0","0"
"10787","0","0","0"
"10799","0","0","0"
"10808","-3.4036066516993095","-3.4036066516993095","-3.4036066516993095"
"10837","0","0","0"
"10844","0","0","0"
"10873","0","0","0"
"10874","0","0","0"
"10877","8.941944154662364","8.941944154662364","8.941944154662364"
"10903","0","0","0"
"10906","-11.036822875273653","-11.036822875273653","-11.036822875273653"
"11017","0","0","0"
"11022","6.591834738471681","6.591834738471681","6.591834738471681"
"11059","9.320091702982173","9.320091702982173","9.320091702982173"
"11065","0","0","0"
"11078","6.907953314843568","6.907953314843568","6.907953314843568"
"11100","0","0","0"
"11152","0","0","0"
"11163","0","0","0"
"11208","0","0","0"
"11244","0","0","0"
"11273","0","0","0"
"11277","0","0","0"
"11283","14.776383361989623","14.776383361989623","14.776383361989623"
"11286","13.312441625673237","13.312441625673237","13.312441625673237"
"11318","0","0","0"
"11328","-2.795118186021828","-2.795118186021828","-2.795118186021828"
"11335","0","0","0"
"11359","0","0","0"
"11383","-17.223597261036424","-17.223597261036424","-17.223597261036424"
"11384","0","0","0"
"11391","-3.678108462377933","-3.678108462377933","-3.678108462377933"
"11445","0","0","0"
"11453","-9.414439158211879","-9.414439158211879","-9.414439158211879"
"11471","0","0","0"
"11476","0","0","0"
"11503","-3.0979888177802515","-3.0979888177802515","-3.0979888177802515"
"11586","-4.486594341728178","-4.486594341728178","-4.486594341728178"
"11587","0","0","0"
"11599","0","0","0"
"11608","0","0","0"
"11644","0","0","0"
"11665","-0.5344718370365487","-0.5344718370365487","-0.5344718370365487"
"11674","0","0","0"
"11683","-1.0748060020688526","-1.0748060020688526","-1.0748060020688526"
"11757","0","0","0"
"11777","0","0","0"
"11783","0","0","0"
"11791","0","0","0"
"11798","0","0","0"
"11813","-5.381472902271574","-5.381472902271574","-5.381472902271574"
"11878","0.10137263066062607","0.10137263066062607","0.10137263066062607"
"11952","0","0","0"
"11979","0","0","0"
"11986","0","0","0"
"11999","-0.0002917828239329401","-0.0005835656478658802","0"
"12055","0","0","0"
"12069","0","0","0"
"12073","0","0","0"
"12074","11.90787289232581","11.90787289232581","11.90787289232581"
"12079","0","0","0"
"12099","2.5728934667160708","2.5728934667160708","2.5728934667160708"
"12123","0","0","0"
"12128","0","0","0"
"12145","0","0","0"
"12159","0","0","0"
"12259","0","0","0"
"12303","-7.827661001789723","-7.827661001789723","-7.827661001789723"
"12309","-2.404593146028411","-2.404593146028411","-2.404593146028411"
"12465","0","0","0"
"12494","3.70903420143405","3.70903420143405","3.70903420143405"
"12505","0","0","0"
"12512","8.172276719814354","8.172276719814354","8.172276719814354"
"12528","-2.0353754076602035","-2.0353754076602035","-2.0353754076602035"
"12530","0","0","0"
"12535","0","0","0"
"12560","0","0","0"
"12584","0","0","0"
"12586","0","0","0"
"12686","0","0","0"
"12703","-24.770529755904192","-24.770529755904192","-24.770529755904192"
"12713","0","0","0"
"12719","-8.37166565927348","-8.37166565927348","-8.37166565927348"
"12763","-24.492189936831263","-24.492189936831263","-24.492189936831263"
"12765","0","0","0"
"12799","-2.1193978053231124","-4.238795610646225","0"
"12855","0","0","0"
"12873","21.956138647034617","21.956138647034617","21.956138647034617"
"12883","0","0","0"
"12897","0","0","0"
"12902","-18.398422651603845","-18.398422651603845","-18.398422651603845"
"12928","0","0","0"
"12930","0.5839649731325169","0.5839649731325169","0.5839649731325169"
"12938","0","0","0"
"13045","0","0","0"
"13076","0","0","0"
"13152","0","0","0"
"13165","0","0","0"
"13182","4.004784201333378","4.004784201333378","4.004784201333378"
"13199","2.870382584942452","0","5.740765169884904"
"13244","6.209132791134127","6.209132791134127","6.209132791134127"
"13265","0","0","0"
"13274","-6.803380286182238","-6.803380286182238","-6.803380286182238"
"13318","0","0","0"
"13345","0","0","0"
"13359","0","0","0"
"13369","5.560003396952914","5.560003396952914","5.560003396952914"
"13445","0","0","0"
"13498","0","0","0"
"13579","0","0","0"
"13589","14.513356329581493","14.513356329581493","14.513356329581493"
"13599","0.2690000918391074","0","0.8070002755173222"
"13644","0","0","0"
"13655","0","0","0"
"13674","0","0","0"
"13677","0","0","0"
"13702","0","0","0"
"13703","0","0","0"
"13718","0","0","0"
"13723","0","0","0"
"13763","0","0","0"
"13783","-7.457967781989859","-7.457967781989859","-7.457967781989859"
"13884","0","0","0"
"13998","0","0","0"
"13999","0","0","0"
"14035","0","0","0"
"14050","1.09591802598267","1.09591802598267","1.09591802598267"
"14055","3.5557090626064207","3.5557090626064207","3.5557090626064207"
"14102","15.234934738686805","15.234934738686805","15.234934738686805"
"14145","-3.8483938913912947","-3.8483938913912947","-3.8483938913912947"
"14159","0","0","0"
"14183","-20.994559301993217","-20.994559301993217","-20.994559301993217"
"14206","28.932480404290676","28.932480404290676","28.932480404290676"
"14278","8.6981800801697","8.6981800801697","8.6981800801697"
"14298","0","0","0"
"14300","0","0","0"
"14309","6.3676618815551045","6.3676618815551045","6.3676618815551045"
"14367","0","0","0"
"14379","0","0","0"
"14387","0","0","0"
"14394","-10.088930046153889","-10.088930046153889","-10.088930046153889"
"14398","0","0","0"
"14399","0","0","0"
"14419","15.084462393383745","15.084462393383745","15.084462393383745"
"14429","-1.6982828349554668","-1.6982828349554668","-1.6982828349554668"
"14450","0","0","0"
"14523","11.904760541555445","11.904760541555445","11.904760541555445"
"14545","0","0","0"
"14569","5.493659812702733","5.493659812702733","5.493659812702733"
"14572","0","0","0"
"14584","0","0","0"
"14598","0","0","0"
"14622","-28.458179707692363","-28.458179707692363","-28.458179707692363"
"14700","-9.74893759932462","-9.74893759932462","-9.74893759932462"
"14737","0","0","0"
"14779","5.005750868000607","5.005750868000607","5.005750868000607"
"14819","0","0","0"
"14877","19.799364730229648","19.799364730229648","19.799364730229648"
"14879","0","0","0"
"14899","0","0","0"
"14902","0","0","0"
"14905","0","0","0"
"14923","0","0","0"
"14928","-5.8554641261419444","-5.8554641261419444","-5.8554641261419444"
"14973","0","0","0"
"14998","0","0","0"
"15064","-7.038495756912826","-7.038495756912826","-7.038495756912826"
"15075","0","0","0"
"15163","3.9338741726492126","3.9338741726492126","3.9338741726492126"
"15194","-5.882594914643886","-5.882594914643886","-5.882594914643886"
"15198","0","0","0"
"15208","0","0","0"
"15229","1.8960763912405556","1.8960763912405556","1.8960763912405556"
"15250","4.626976382613765","4.626976382613765","4.626976382613765"
"15270","0","0","0"
"15279","0","0","0"
"15296","-4.788795371654757","-4.788795371654757","-4.788795371654757"
"15345","0","0","0"
"15359","0","0","0"
"15383","0","0","0"
"15384","0","0","0"
"15398","0","0","0"
"15404","3.643555474510215","3.643555474510215","3.643555474510215"
"15417","0","0","0"
"15422","0","0","0"
"15498","0","0","0"
"15500","0","0","0"
"15549","6.932045609631225","6.932045609631225","6.932045609631225"
"15578","0","0","0"
"15587","0","0","0"
"15594","0","0","0"
"15599","0","0","0"
"15679","0","0","0"
"15683","3.2701888231361718","3.2701888231361718","3.2701888231361718"
"15694","0","0","0"
"15696","0","0","0"
"15712","0","0","0"
"15728","0","0","0"
"15738","0","0","0"
"15757","2.8576981557669128","2.8576981557669128","2.8576981557669128"
"15759","0","0","0"
"15769","0","0","0"
"15804","0","0","0"
"15806","21.58736794566556","21.58736794566556","21.58736794566556"
"15827","0","0","0"
"15864","0.4550096447522578","0.4550096447522578","0.4550096447522578"
"15872","0","0","0"
"15882","0","0","0"
"15884","2.1806671226278405","2.1806671226278405","2.1806671226278405"
"15886","10.434648939390971","10.434648939390971","10.434648939390971"
"15937","12.09538168337536","12.09538168337536","12.09538168337536"
"15967","0","0","0"
"15979","-3.509656187624144","-3.509656187624144","-3.509656187624144"
"15989","0","0","0"
"15994","0","0","0"
"15999","-1.691816885349951","-3.383633770699902","0"
"16019","-6.1496773960289595","-12.299354792057919","0"
"16044","0","0","0"
"16054","0","0","0"
"16103","0","0","0"
"16123","0","0","0"
"16137","-2.1748896005119676","-2.1748896005119676","-2.1748896005119676"
"16138","0","0","0"
"16157","0","0","0"
"16172","-31.680697466681135","-31.680697466681135","-31.680697466681135"
"16186","0","0","0"
"16204","-10.73871153391475","-10.73871153391475","-10.73871153391475"
"16222","2.058392002345159","2.058392002345159","2.058392002345159"
"16255","0","0","0"
"16259","28.25579549945081","28.25579549945081","28.25579549945081"
"16275","24.060950753222443","24.060950753222443","24.060950753222443"
"16276","0","0","0"
"16282","0","0","0"
"16284","0","0","0"
"16286","-12.929428883564587","-12.929428883564587","-12.929428883564587"
"16313","-27.351487533651678","-27.351487533651678","-27.351487533651678"
"16319","0","0","0"
"16393","4.694847081211264","4.694847081211264","4.694847081211264"
