"Step","env: VSS - ep_info/Energy","env: VSS - ep_info/Energy__MIN","env: VSS - ep_info/Energy__MAX"
"544","-22.119140279113246","-22.119140279113246","-22.119140279113246"
"1266","-32.99783840565541","-32.99783840565541","-32.99783840565541"
"1599","-198.1172762663774","-198.1172762663774","-198.1172762663774"
"1707","-196.24300849867916","-196.24300849867916","-196.24300849867916"
"1946","-178.0772162353445","-178.0772162353445","-178.0772162353445"
"1999","-210.84962114621692","-210.84962114621692","-210.84962114621692"
"2066","-191.8884724388584","-191.8884724388584","-191.8884724388584"
"2092","-71.79402724070775","-71.79402724070775","-71.79402724070775"
"2107","-198.82972033056947","-198.82972033056947","-198.82972033056947"
"2399","-194.89471076431806","-194.89471076431806","-194.89471076431806"
"2488","-202.41600026666555","-202.41600026666555","-202.41600026666555"
"2632","-202.41290071759298","-202.41290071759298","-202.41290071759298"
"2894","-199.51118630775824","-199.51118630775824","-199.51118630775824"
"2907","-199.9361040369288","-199.9361040369288","-199.9361040369288"
"2998","-198.80463901548453","-198.80463901548453","-198.80463901548453"
"3127","-196.75228977543279","-196.75228977543279","-196.75228977543279"
"3146","-207.8760579795755","-207.8760579795755","-207.8760579795755"
"3199","-200.53376353115158","-200.53376353115158","-200.53376353115158"
"3289","-202.6374116080361","-202.6374116080361","-202.6374116080361"
"3432","-201.74262210560588","-201.74262210560588","-201.74262210560588"
"3448","-204.04618476344663","-204.04618476344663","-204.04618476344663"
"3732","-164.35775801155037","-164.35775801155037","-164.35775801155037"
"3832","-198.2572199345738","-198.2572199345738","-198.2572199345738"
"3834","-206.87162364892566","-206.87162364892566","-206.87162364892566"
"3927","-203.78110755190087","-203.78110755190087","-203.78110755190087"
"4346","-196.61934133608582","-196.61934133608582","-196.61934133608582"
"4399","-207.87457484591863","-207.87457484591863","-207.87457484591863"
"4489","-196.97177012091134","-196.97177012091134","-196.97177012091134"
"4490","-198.01172256463815","-198.01172256463815","-198.01172256463815"
"4492","-198.51060873732786","-198.51060873732786","-198.51060873732786"
"4532","-198.44303617453465","-198.44303617453465","-198.44303617453465"
"4634","-206.56624873958444","-206.56624873958444","-206.56624873958444"
"4746","-202.6069544199403","-202.6069544199403","-202.6069544199403"
"4889","-200.99756009024014","-200.99756009024014","-200.99756009024014"
"5127","-198.5267775390726","-198.5267775390726","-198.5267775390726"
"5161","-205.77649391133284","-205.77649391133284","-205.77649391133284"
"5250","-204.68011662467944","-204.68011662467944","-204.68011662467944"
"5288","-201.46406559418546","-201.46406559418546","-201.46406559418546"
"5292","-200.2916962000201","-200.2916962000201","-200.2916962000201"
"5432","-211.18990047848706","-211.18990047848706","-211.18990047848706"
"5689","-207.16844710311557","-207.16844710311557","-207.16844710311557"
"5744","-207.6499205221673","-207.6499205221673","-207.6499205221673"
"6210","-209.3529396476975","-209.3529396476975","-209.3529396476975"
"6232","-207.83430589187697","-207.83430589187697","-207.83430589187697"
"6248","-197.6418924128506","-197.6418924128506","-197.6418924128506"
"6473","-200.93469263140096","-200.93469263140096","-200.93469263140096"
"6494","-202.09913254449611","-202.09913254449611","-202.09913254449611"
"6518","-202.31090928413377","-202.31090928413377","-202.31090928413377"
"6532","-198.93346809021605","-198.93346809021605","-198.93346809021605"
"6618","-198.7752458500266","-198.7752458500266","-198.7752458500266"
"6799","-198.97398227105273","-199.23653394475647","-198.711430597349"
"6873","-201.9366838045605","-201.9366838045605","-201.9366838045605"
"6889","-201.8801844790046","-201.8801844790046","-201.8801844790046"
"7192","-198.5714176445041","-198.5714176445041","-198.5714176445041"
"7289","-203.6230257710132","-203.6230257710132","-203.6230257710132"
"7292","-121.60554510531415","-121.60554510531415","-121.60554510531415"
"7692","-195.65940886434566","-195.65940886434566","-195.65940886434566"
"7694","-202.57852167572113","-202.57852167572113","-202.57852167572113"
"7707","-201.4371617001096","-201.4371617001096","-201.4371617001096"
"7718","-201.20012895515822","-201.20012895515822","-201.20012895515822"
"7832","-197.12718078316934","-197.12718078316934","-197.12718078316934"
"8059","-198.13939031224137","-198.13939031224137","-198.13939031224137"
"8076","-193.50375395798235","-193.50375395798235","-193.50375395798235"
"8089","-202.1777129798205","-202.1777129798205","-202.1777129798205"
"8255","-199.34784074815568","-199.34784074815568","-199.34784074815568"
"8305","-214.2249516370114","-214.2249516370114","-214.2249516370114"
"8532","-199.17612245365154","-199.17612245365154","-199.17612245365154"
"8655","-193.11628481910276","-193.11628481910276","-193.11628481910276"
"8725","-201.73638996501768","-201.73638996501768","-201.73638996501768"
"8748","-173.48946275806836","-173.48946275806836","-173.48946275806836"
"8873","-205.44036505133803","-205.44036505133803","-205.44036505133803"
"8894","-194.79740929051587","-194.79740929051587","-194.79740929051587"
"9079","-202.51323108822422","-202.51323108822422","-202.51323108822422"
"9148","-194.5698941367488","-194.5698941367488","-194.5698941367488"
"9158","-145.21545694442608","-145.21545694442608","-145.21545694442608"
"9192","-192.96268386029084","-192.96268386029084","-192.96268386029084"
"9294","-200.50365678699006","-200.50365678699006","-200.50365678699006"
"9307","-204.6193305636195","-204.6193305636195","-204.6193305636195"
"9505","-203.90920673567103","-203.90920673567103","-203.90920673567103"
"9509","-161.7200889001913","-161.7200889001913","-161.7200889001913"
"9546","-198.01560424941982","-198.01560424941982","-198.01560424941982"
"9659","-192.09135152585918","-192.09135152585918","-192.09135152585918"
"9707","-201.1817302400217","-201.1817302400217","-201.1817302400217"
"9774","-199.00171267398437","-199.00171267398437","-199.00171267398437"
"9832","-196.3979263061264","-196.3979263061264","-196.3979263061264"
"9879","-201.8404510905367","-201.8404510905367","-201.8404510905367"
"9999","-198.08924766612566","-198.08924766612566","-198.08924766612566"
"10107","-210.6169076885204","-210.6169076885204","-210.6169076885204"
"10218","-191.2500885888597","-191.2500885888597","-191.2500885888597"
"10230","-196.52461117071923","-196.52461117071923","-196.52461117071923"
"10348","-194.33926161599095","-194.33926161599095","-194.33926161599095"
"10358","-208.4132319198579","-208.4132319198579","-208.4132319198579"
"10490","-202.0504997514513","-202.0504997514513","-202.0504997514513"
"10679","-200.46044721410865","-200.46044721410865","-200.46044721410865"
"10705","-204.77002882683826","-204.77002882683826","-204.77002882683826"
"10746","-201.42469724168689","-201.42469724168689","-201.42469724168689"
"10799","-205.05958128491227","-205.05958128491227","-205.05958128491227"
"10810","-205.39070885491182","-205.39070885491182","-205.39070885491182"
"11018","-204.20886026111245","-204.20886026111245","-204.20886026111245"
"11034","-199.9253072069101","-199.9253072069101","-199.9253072069101"
"11105","-206.12035398281395","-206.12035398281395","-206.12035398281395"
"11116","-204.8661334384264","-204.8661334384264","-204.8661334384264"
"11192","-204.19612171086717","-204.19612171086717","-204.19612171086717"
"11199","-204.60553358985402","-204.60553358985402","-204.60553358985402"
"11294","-204.10742255630896","-204.10742255630896","-204.10742255630896"
"11307","-204.60302640166918","-204.60302640166918","-204.60302640166918"
"11318","-209.96763254181937","-209.96763254181937","-209.96763254181937"
"11430","-199.14134221321618","-199.14134221321618","-199.14134221321618"
"11470","-204.12889877854047","-204.12889877854047","-204.12889877854047"
"11525","-198.9831941254185","-198.9831941254185","-198.9831941254185"
"11599","-198.57648692804833","-198.57648692804833","-198.57648692804833"
"11673","-205.92528680474413","-205.92528680474413","-205.92528680474413"
"11690","-202.56859034314837","-202.56859034314837","-202.56859034314837"
"11732","-210.31588190911492","-210.31588190911492","-210.31588190911492"
"11925","-207.5025728242403","-207.5025728242403","-207.5025728242403"
"11946","-200.32079304883442","-200.32079304883442","-200.32079304883442"
"11948","-203.53358861321038","-203.53358861321038","-203.53358861321038"
"11999","-202.28006042088217","-202.28006042088217","-202.28006042088217"
"12048","-200.77641411084505","-200.77641411084505","-200.77641411084505"
"12058","-29.95631647517631","-29.95631647517631","-29.95631647517631"
"12094","-201.77046136762158","-201.77046136762158","-201.77046136762158"
"12270","-200.77086344872166","-200.77086344872166","-200.77086344872166"
"12295","-203.48199107903653","-203.48199107903653","-203.48199107903653"
"12489","-198.68229373564714","-198.68229373564714","-198.68229373564714"
"12532","-198.11302036426764","-198.11302036426764","-198.11302036426764"
"12630","-203.66276950879995","-203.66276950879995","-203.66276950879995"
"12679","-202.33334552460244","-202.33334552460244","-202.33334552460244"
"12705","-198.32799861251652","-198.32799861251652","-198.32799861251652"
"12725","-206.51022519349033","-206.51022519349033","-206.51022519349033"
"12758","-195.59470404044242","-195.59470404044242","-195.59470404044242"
"12799","-203.85609120629078","-203.85609120629078","-203.85609120629078"
"12858","-195.15414534156508","-195.15414534156508","-195.15414534156508"
"12876","-196.7245391608253","-196.7245391608253","-196.7245391608253"
"12889","-203.71900093122798","-203.71900093122798","-203.71900093122798"
"12894","-209.4368264362997","-209.4368264362997","-209.4368264362997"
"12974","-200.72323200215482","-200.72323200215482","-200.72323200215482"
"13030","-208.70781729053377","-208.70781729053377","-208.70781729053377"
"13079","-208.6911984548198","-208.6911984548198","-208.6911984548198"
"13199","-206.52209801866786","-206.52209801866786","-206.52209801866786"
"13290","-205.1927922055158","-205.1927922055158","-205.1927922055158"
"13373","-202.31825839363006","-202.31825839363006","-202.31825839363006"
"13426","-106.49970635838892","-106.49970635838892","-106.49970635838892"
"13430","-210.5404881207558","-210.5404881207558","-210.5404881207558"
"13470","-205.37477936180122","-205.37477936180122","-205.37477936180122"
"13505","-196.4486632441813","-196.4486632441813","-196.4486632441813"
"13689","-194.87308316627767","-194.87308316627767","-194.87308316627767"
"13752","-197.89199026291038","-197.89199026291038","-197.89199026291038"
"13785","-195.85145575042847","-195.85145575042847","-195.85145575042847"
"13808","-203.06805609260252","-203.06805609260252","-203.06805609260252"
"13826","-203.9283135143525","-203.9283135143525","-203.9283135143525"
"13830","-200.44435875718207","-200.44435875718207","-200.44435875718207"
"13901","-72.92258579214506","-72.92258579214506","-72.92258579214506"
"14089","-203.9450952468849","-203.9450952468849","-203.9450952468849"
"14090","-203.64629986596654","-203.64629986596654","-203.64629986596654"
"14107","-199.85558374339664","-199.85558374339664","-199.85558374339664"
"14230","-200.78586303494427","-200.78586303494427","-200.78586303494427"
