"Step","env: VSSEF - ep_info/Goal","env: VSSEF - ep_info/Goal__MIN","env: VSSEF - ep_info/Goal__MAX"
"192","1","1","1"
"682","0","0","0"
"932","0","0","0"
"1199","0","0","0"
"1250","0","0","0"
"1558","0","0","0"
"1599","0","0","0"
"1723","1","1","1"
"1740","1","1","1"
"1752","-1","-1","-1"
"1792","0","0","0"
"1999","0","0","0"
"2096","0","0","0"
"2123","0","0","0"
"2209","0","0","0"
"2230","0","0","0"
"2399","0","0","0"
"2526","-1","-1","-1"
"2609","0","0","0"
"2639","0","0","0"
"2799","0","0","0"
"2950","0","0","0"
"2958","0","0","0"
"2992","0","0","0"
"3175","0","0","0"
"3306","1","1","1"
"3352","0","0","0"
"3423","0","0","0"
"3436","0","0","0"
"3480","0","0","0"
"3495","1","1","1"
"3527","0","0","0"
"3629","0","0","0"
"3730","0","0","0"
"3809","0","0","0"
"3841","0","0","0"
"3958","0","0","0"
"4056","0","0","0"
"4088","-1","-1","-1"
"4096","0","0","0"
"4236","0","0","0"
"4292","1","1","1"
"4363","0","0","0"
"4399","0","0","0"
"4485","1","1","1"
"4488","0","0","0"
"4497","0","0","0"
"4550","0","0","0"
"4554","0","0","0"
"4581","-1","-1","-1"
"4636","0","0","0"
"4641","0","0","0"
"4703","0","0","0"
"4799","0","0","0"
"4926","0","0","0"
"4950","0","0","0"
"4952","0","0","0"
"4962","0","0","0"
"5063","0","0","0"
"5088","0","0","0"
"5132","0","0","0"
"5199","0","0","0"
"5335","0","0","0"
"5350","0","0","0"
"5392","0","0","0"
"5399","0","0","0"
"5441","0","0","0"
"5492","0","0","0"
"5497","0","0","0"
"5532","0","0","0"
"5599","0","0","0"
"5665","0","0","0"
"5697","0","0","0"
"5709","0","0","0"
"5730","0","0","0"
"5750","0","0","0"
"5754","0","0","0"
"5758","0","0","0"
"5762","0","0","0"
"5781","0","0","0"
"5839","0","0","0"
"5841","0","0","0"
"5858","0","0","0"
"5880","0","0","0"
"5902","0","0","0"
"5952","0","0","0"
"5958","0","0","0"
"5999","0","0","0"
"6029","0","0","0"
"6097","0","0","0"
"6126","0","0","0"
"6145","-1","-1","-1"
"6154","0","0","0"
"6192","0","0","0"
"6280","0","0","0"
"6288","0","0","0"
"6297","0","0","0"
"6352","0","0","0"
"6399","0","0","0"
"6509","0","0","0"
"6535","0","0","0"
"6562","0","0","0"
"6581","0","0","0"
"6631","0","0","0"
"6636","0","0","0"
"6708","0","0","0"
"6724","0","0","0"
"6775","0","0","0"
"6799","0","0","0"
"6881","1","1","1"
"6917","0","0","0"
"6923","0","0","0"
"6935","0","0","0"
"6959","0","0","0"
"6981","0","0","0"
"7036","0","0","0"
"7063","0","0","0"
"7092","0","0","0"
"7095","0","0","0"
"7097","0","0","0"
"7108","0","0","0"
"7124","0","0","0"
"7132","0","0","0"
"7181","0","0","0"
"7199","0","0","0"
"7229","0","0","0"
"7297","0","0","0"
"7358","0","0","0"
"7362","0","0","0"
"7399","0","0","0"
"7495","0","0","0"
"7532","0","0","0"
"7546","0","0","0"
"7584","1","1","1"
"7635","0","0","0"
"7698","0","0","0"
"7709","0","0","0"
"7735","0","0","0"
"7740","0","0","0"
"7751","0","0","0"
"7759","0","0","0"
"7792","0","0","0"
"7809","0","0","0"
"7841","0","0","0"
"7932","0","0","0"
"7952","0","0","0"
"7968","0","0","0"
"7984","0","0","0"
"7999","0","0","0"
"8096","0","0","0"
"8100","0","0","0"
"8109","0","0","0"
"8151","0","0","0"
"8154","0","0","0"
"8162","0","0","0"
"8181","0","0","0"
"8192","0","0","0"
"8209","0","0","0"
"8236","0","0","0"
"8262","0","0","0"
"8346","0","0","0"
"8352","0","0","0"
"8399","0","0","0"
"8500","0","0","0"
"8581","0","0","0"
"8623","0","0","0"
"8631","0","0","0"
"8636","0","0","0"
"8648","-1","-1","-1"
"8688","0","0","0"
"8711","0","0","0"
"8799","0","0","0"
"8856","-1","-1","-1"
"8885","0","0","0"
"8906","0","0","0"
"8940","0","0","0"
"8950","0","0","0"
"8974","0","0","0"
"8979","-1","-1","-1"
"8981","0","0","0"
"9051","0","0","0"
"9058","0","0","0"
"9073","0","0","0"
"9132","0","0","0"
"9155","0","0","0"
"9199","0","0","0"
"9297","0","0","0"
"9298","0","0","0"
"9300","0","0","0"
"9339","0","0","0"
"9350","0","0","0"
"9381","0","0","0"
"9450","0","0","0"
"9483","0","0","0"
"9524","0","0","0"
"9559","0","0","0"
"9684","0","0","0"
"9698","0","0","0"
"9700","0","0","0"
"9739","0","0","0"
"9750","0","0","0"
"9751","0","0","0"
"9774","0","0","0"
"9781","0","0","0"
"9873","0","0","0"
"9897","0","0","0"
"9999","0","0","0"
"10081","0","0","0"
"10097","0","0","0"
"10098","0","0","0"
"10158","0","0","0"
"10162","0","0","0"
"10174","0","0","0"
"10179","0","0","0"
"10181","0","0","0"
"10199","0","0","0"
"10231","0","0","0"
"10248","0","0","0"
"10258","0","0","0"
"10292","0","0","0"
"10295","0","0","0"
"10297","0","0","0"
"10359","0","0","0"
"10497","0","0","0"
"10498","0","0","0"
"10522","0","0","0"
"10540","0","0","0"
"10550","0","0","0"
"10558","0","0","0"
"10623","0","0","0"
"10634","0","0","0"
"10641","0","0","0"
"10648","0","0","0"
"10663","0","0","0"
"10671","0","0","0"
"10697","0","0","0"
"10705","0","0","0"
"10732","0","0","0"
"10768","0","0","0"
"10781","0","0","0"
"10799","0","0","0"
"10896","0","0","0"
"10999","0","0","0"
"11023","0","0","0"
"11152","0","0","0"
"11159","0","0","0"
"11199","0","0","0"
"11288","0","0","0"
"11330","0","0","0"
"11339","0","0","0"
"11362","0","0","0"
"11374","0","0","0"
"11399","0","0","0"
"11436","0","0","0"
"11443","0","0","0"
"11450","0","0","0"
"11451","0","0","0"
"11455","0","0","0"
"11473","0","0","0"
"11489","1","1","1"
"11526","1","1","1"
"11552","0","0","0"
"11559","0","0","0"
"11599","0","0","0"
"11657","0","0","0"
"11750","0","0","0"
"11774","0","0","0"
"11781","0","0","0"
"11799","0","0","0"
"11823","0","0","0"
"11831","0","0","0"
"11834","0","0","0"
"11848","0","0","0"
"11871","0","0","0"
"11895","0","0","0"
"11897","0","0","0"
"11955","0","0","0"
"12057","0","0","0"
"12069","-1","-1","-1"
"12084","0","0","0"
"12150","0","0","0"
"12159","0","0","0"
"12181","0","0","0"
"12227","0","0","0"
"12231","0","0","0"
"12234","0","0","0"
"12243","0","0","0"
"12255","0","0","0"
"12257","0","0","0"
"12283","0","0","0"
"12295","0","0","0"
"12297","0","0","0"
"12311","0","0","0"
"12326","0","0","0"
"12359","0","0","0"
"12399","0","0","0"
"12432","0","0","0"
"12485","0","0","0"
"12488","0","0","0"
"12579","0","0","0"
"12581","0","0","0"
"12599","0","0","0"
"12605","0","0","0"
"12627","0","0","0"
"12658","0","0","0"
"12671","0","0","0"
"12672","0","0","0"
"12683","0","0","0"
"12726","0","0","0"
"12755","0","0","0"
"12759","0","0","0"
"12799","0","0","0"
"12857","0","0","0"
"12869","0","0","0"
"12888","0","0","0"
"12950","0","0","0"
"12974","0","0","0"
"13031","0","0","0"
"13073","0","0","0"
"13083","0","0","0"
"13165","-1","-1","-1"
"13199","0","0","0"
"13257","0","0","0"
"13262","0","0","0"
"13281","0","0","0"
"13303","0","0","0"
"13322","0","0","0"
"13330","0","0","0"
"13340","0","0","0"
"13350","0","0","0"
"13374","0","0","0"
"13450","0","0","0"
"13451","0","0","0"
"13455","0","0","0"
"13513","0","0","0"
"13552","0","0","0"
"13568","0","0","0"
"13581","0","0","0"
"13599","0","0","0"
"13671","0","0","0"
"13684","0","0","0"
"13709","0","0","0"
"13735","0","0","0"
"13762","0","0","0"
"13799","0","0","0"
"13834","0","0","0"
"13857","0","0","0"
"13863","0","0","0"
"13871","0","0","0"
"13913","0","0","0"
"13970","0","0","0"
"13981","0","0","0"
"13999","0","0","0"
"14023","0","0","0"
"14097","0","0","0"
"14121","0","0","0"
"14150","0","0","0"
"14194","0","0","0"
"14231","0","0","0"
"14248","0","0","0"
"14249","0","0","0"
"14290","1","1","1"
"14355","0","0","0"
"14365","0","0","0"
"14399","0","0","0"
"14432","0","0","0"
"14436","0","0","0"
"14485","0","0","0"
"14495","0","0","0"
"14497","0","0","0"
"14509","0","0","0"
"14599","0","0","0"
"14657","0","0","0"
"14699","0","0","0"
"14711","0","0","0"
"14713","0","0","0"
"14752","0","0","0"
"14755","0","0","0"
"14822","0","0","0"
"14840","0","0","0"
"14842","0","0","0"
"14856","0","0","0"
"14896","0","0","0"
"14909","0","0","0"
"14935","0","0","0"
"14959","0","0","0"
"14974","0","0","0"
"15023","0","0","0"
"15071","0","0","0"
"15090","0","0","0"
"15095","0","0","0"
"15152","0","0","0"
"15162","0","0","0"
"15165","0","0","0"
"15199","0","0","0"
"15242","0","0","0"
"15256","0","0","0"
"15257","0","0","0"
"15303","0","0","0"
"15321","0","0","0"
"15359","0","0","0"
"15362","0","0","0"
"15388","0","0","0"
"15423","0","0","0"
"15427","0","0","0"
"15436","0","0","0"
"15449","0","0","0"
"15451","0","0","0"
"15457","0","0","0"
"15472","0","0","0"
"15495","0","0","0"
"15505","1","1","1"
"15552","0","0","0"
"15575","0","0","0"
"15651","0","0","0"
"15656","0","0","0"
"15676","0","0","0"
"15688","0","0","0"
"15696","0","0","0"
"15697","0","0","0"
"15735","0","0","0"
"15750","0","0","0"
"15759","0","0","0"
"15781","0","0","0"
"15794","0","0","0"
"15823","0","0","0"
"15843","0","0","0"
"15849","-1","-1","-1"
"15857","0","0","0"
"15863","0","0","0"
"15873","0","0","0"
"15883","0","0","0"
"15965","0","0","0"
"15999","0","0","0"
"16036","0","0","0"
"16056","0","0","0"
"16072","0","0","0"
"16097","0","0","0"
"16179","0","0","0"
"16205","0","0","0"
"16274","0","0","0"
"16325","0","0","0"
"16341","0","0","0"
"16359","0","0","0"
"16375","0","0","0"
"16389","0","0","0"
"16399","0","0","0"
"16414","0","0","0"
"16423","0","0","0"
"16426","-1","-1","-1"
"16469","0","0","0"
"16476","0","0","0"
"16521","0","0","0"
"16556","1","1","1"
"16584","0","0","0"
"16599","0","0","0"
"16643","0","0","0"
"16657","0","0","0"
"16658","0","0","0"
"16663","0","0","0"
"16673","0","0","0"
"16690","0","0","0"
"16765","0","0","0"
"16799","0","0","0"
"16826","0","0","0"
"16875","0","0","0"
"16903","0","0","0"
"16909","0","0","0"
"16922","0","0","0"
"16956","0","0","0"
"16974","0","0","0"
"16979","0","0","0"
"16981","0","0","0"
"16988","0","0","0"
"17007","0","0","0"
"17048","0","0","0"
"17071","0","0","0"
"17072","0","0","0"
"17073","0","0","0"
"17090","0","0","0"
"17126","0","0","0"
"17131","0","0","0"
"17170","0","0","0"
"17199","0","0","0"
"17222","0","0","0"
"17236","0","0","0"
"17276","0","0","0"
"17295","0","0","0"
"17296","0","0","0"
"17297","0","0","0"
"17309","0","0","0"
"17374","0","0","0"
"17381","0","0","0"
"17405","0","0","0"
"17436","0","0","0"
"17462","0","0","0"
"17570","0","0","0"
"17575","0","0","0"
"17589","0","0","0"
"17599","0","0","0"
"17623","0","0","0"
"17632","0","0","0"
"17636","0","0","0"
"17681","0","0","0"
"17697","0","0","0"
"17709","0","0","0"
"17722","0","0","0"
"17730","0","0","0"
"17735","0","0","0"
"17762","0","0","0"
"17863","0","0","0"
"17889","0","0","0"
"17890","0","0","0"
"17940","0","0","0"
"17959","0","0","0"
"17970","0","0","0"
"17999","0","0","0"
"18032","0","0","0"
"18056","0","0","0"
"18097","0","0","0"
"18150","0","0","0"
