"Step","env: VSSEF - ep_info/Goal","env: VSSEF - ep_info/Goal__MIN","env: VSSEF - ep_info/Goal__MAX"
"81","-1","-1","-1"
"399","0","0","0"
"494","-1","-1","-1"
"512","1","1","1"
"1150","0","0","0"
"1155","0","0","0"
"1199","0","0","0"
"1294","0","0","0"
"1301","-1","-1","-1"
"1372","0","0","0"
"1599","0","0","0"
"1772","0","0","0"
"1955","0","0","0"
"2161","0","0","0"
"2172","0","0","0"
"2495","0","0","0"
"2512","0","0","0"
"2633","-1","-1","-1"
"2715","0","0","0"
"2755","0","0","0"
"2779","0","0","0"
"2790","0","0","0"
"2799","0","0","0"
"2944","0","0","0"
"3016","0","0","0"
"3033","0","0","0"
"3091","0","0","0"
"3137","-1","-1","-1"
"3179","0","0","0"
"3197","0","0","0"
"3199","0","0","0"
"3258","1","1","1"
"3515","0","0","0"
"3579","0","0","0"
"3597","0","0","0"
"3658","0","0","0"
"3701","0","0","0"
"3744","0","0","0"
"3746","0","0","0"
"3889","0","0","0"
"3955","0","0","0"
"4081","-1","-1","-1"
"4144","0","0","0"
"4153","-1","-1","-1"
"4154","0","0","0"
"4203","0","0","0"
"4216","0","0","0"
"4231","0","0","0"
"4291","0","0","0"
"4399","0.3333333333333333","0","1"
"4449","0","0","0"
"4458","0","0","0"
"4491","0","0","0"
"4500","0","0","0"
"4514","0","0","0"
"4544","0","0","0"
"4554","0","0","0"
"4662","0","0","0"
"4755","0","0","0"
"4790","0","0","0"
"4799","0","0","0"
"4849","0","0","0"
"4895","0","0","0"
"4901","0","0","0"
"5004","0","0","0"
"5016","0","0","0"
"5150","0","0","0"
"5159","-1","-1","-1"
"5197","0","0","0"
"5199","0","0","0"
"5258","0","0","0"
"5291","0","0","0"
"5294","0","0","0"
"5295","0","0","0"
"5309","0","0","0"
"5389","1","1","1"
"5422","-1","-1","-1"
"5438","0","0","0"
"5460","0","0","0"
"5461","0","0","0"
"5473","0","0","0"
"5500","0","0","0"
"5559","0","0","0"
"5599","0","0","0"
"5672","0","0","0"
"5694","0","0","0"
"5696","0","0","0"
"5700","0","0","0"
"5711","0","0","0"
"5753","0","0","0"
"5822","0","0","0"
"5857","0","0","0"
"5860","0","0","0"
"5862","0","0","0"
"5932","0","0","0"
"5999","0","0","0"
"6035","0","0","0"
"6058","0","0","0"
"6101","0","0","0"
"6103","0","0","0"
"6194","0","0","0"
"6203","0","0","0"
"6231","0","0","0"
"6359","0","0","0"
"6390","0","0","0"
"6399","0","0","0"
"6447","0","0","0"
"6458","0","0","0"
"6491","0","0","0"
"6495","0","0","0"
"6503","0","0","0"
"6509","0","0","0"
"6514","0","0","0"
"6572","0","0","0"
"6594","0","0","0"
"6660","0","0","0"
"6772","0","0","0"
"6784","0","0","0"
"6799","0","0","0"
"6837","1","1","1"
"6872","0","0","0"
"6894","0","0","0"
"6901","0","0","0"
"6903","0","0","0"
"6914","0","0","0"
"6946","0","0","0"
"6969","0","0","0"
"6972","0","0","0"
"7001","0","0","0"
"7014","-1","-1","-1"
"7031","0","0","0"
"7070","0","0","0"
"7100","-1","-1","-1"
"7159","0","0","0"
"7184","0","0","0"
"7190","0","0","0"
"7199","0","0","0"
"7236","0","0","0"
"7237","0","0","0"
"7282","0","0","0"
"7314","0","0","0"
"7323","0","0","0"
"7349","0","0","0"
"7372","0","0","0"
"7438","0","0","0"
"7460","0","0","0"
"7500","0","0","0"
"7505","0","0","0"
"7532","0","0","0"
"7567","0","0","0"
"7599","0","0","0"
"7637","0","0","0"
"7681","0","0","0"
"7698","0","0","0"
"7703","0","0","0"
"7709","0","0","0"
"7746","0","0","0"
"7753","0","0","0"
"7795","0","0","0"
"7801","0","0","0"
"7823","0","0","0"
"7831","0","0","0"
"7873","0","0","0"
"7959","0","0","0"
"7984","0","0","0"
"7990","0","0","0"
"7997","0","0","0"
"7999","0","0","0"
"8047","0","0","0"
"8049","0","0","0"
"8058","0","0","0"
"8082","0","0","0"
"8094","0","0","0"
"8098","0","0","0"
"8114","0","0","0"
"8149","0","0","0"
"8153","0","0","0"
"8154","0","0","0"
"8172","0","0","0"
"8194","0","0","0"
"8195","0","0","0"
"8223","0","0","0"
"8237","-1","-1","-1"
"8252","0","0","0"
"8291","0","0","0"
"8399","0","0","0"
"8411","0","0","0"
"8449","0","0","0"
"8458","0","0","0"
