_step,ep_info/Ball,seed,method
84,-6.57833638746696,1778554757,DyLam
1430,0.0,1778554757,DyLam
1981,0.0,1778554757,DyLam
2084,0.0,1778554757,DyLam
2230,-3.6608558096506902,1778554757,DyLam
2960,-8.093191389550297,1778554757,DyLam
3360,0.0,1778554757,DyLam
3406,0.0,1778554757,DyLam
3581,8.98984255833504,1778554757,DyLam
3806,0.0,1778554757,DyLam
4064,0.0,1778554757,DyLam
4206,0.0,1778554757,DyLam
4396,-21.801870418580986,1778554757,DyLam
4484,0.0,1778554757,DyLam
4603,18.324546325014808,1778554757,DyLam
5129,0.0,1778554757,DyLam
5581,0.0,1778554757,DyLam
6084,4.211269726060419,1778554757,DyLam
6160,0.5082696522533375,1778554757,DyLam
6484,0.0,1778554757,DyLam
6725,0.2588958281508791,1778554757,DyLam
6729,13.69459031987618,1778554757,DyLam
6781,3.2173876237215384,1778554757,DyLam
6799,0.5497841905665046,1778554757,DyLam
6884,0.0,1778554757,DyLam
7403,25.174364279698832,1778554757,DyLam
7525,0.0,1778554757,DyLam
7536,0.0,1778554757,DyLam
8144,0.0,1778554757,DyLam
8664,0.0,1778554757,DyLam
9003,-3.9341215117756896,1778554757,DyLam
9264,0.0,1778554757,DyLam
9525,0.0,1778554757,DyLam
10203,0.0,1778554757,DyLam
10383,0.0,1778554757,DyLam
10396,0.0,1778554757,DyLam
10484,-3.0443770831964363,1778554757,DyLam
10935,0.0,1778554757,DyLam
11183,-7.51456188882347,1778554757,DyLam
11199,2.4930701433929263,1778554757,DyLam
11403,0.0,1778554757,DyLam
11852,0.0,1778554757,DyLam
11983,0.0,1778554757,DyLam
11996,0.0,1778554757,DyLam
12203,0.0,1778554757,DyLam
12264,-11.699931830436162,1778554757,DyLam
12436,0.0,1778554757,DyLam
12544,0.0,1778554757,DyLam
12566,0.0,1778554757,DyLam
12935,14.587562542515556,1778554757,DyLam
13236,0.0,1778554757,DyLam
13344,13.93809021385073,1778554757,DyLam
13374,0.0,1778554757,DyLam
13636,0.0,1778554757,DyLam
14085,-8.781958106341934,1778554757,DyLam
14264,0.0,1778554757,DyLam
14566,0.0,1778554757,DyLam
14740,0.0,1778554757,DyLam
14875,1.6101033377733442,1778554757,DyLam
14944,-9.9690668358485,1778554757,DyLam
15069,0.0,1778554757,DyLam
15685,-9.653710645260833,1778554757,DyLam
15774,0.0,1778554757,DyLam
15999,0.0,1778554757,DyLam
16125,-6.04576151133564,1778554757,DyLam
16329,0.0,1778554757,DyLam
16485,-25.732473173083363,1778554757,DyLam
16740,0.0,1778554757,DyLam
16799,0.0,1778554757,DyLam
16885,0.0,1778554757,DyLam
17064,-6.769240179169284,1778554757,DyLam
17531,0.0,1778554757,DyLam
17684,0.0,1778554757,DyLam
17766,0.0,1778554757,DyLam
17851,0.0,1778554757,DyLam
18084,0.0,1778554757,DyLam
18195,0.0,1778554757,DyLam
18264,0.0,1778554757,DyLam
18329,0.0,1778554757,DyLam
18651,0.0,1778554757,DyLam
18858,0.0,1778554757,DyLam
18917,-7.95207602603233,1778554757,DyLam
18974,9.66549539016783,1778554757,DyLam
19183,0.0,1778554757,DyLam
19685,0.0,1778554757,DyLam
19803,0.0,1778554757,DyLam
19869,0.0,1778554757,DyLam
19999,0.0,1778554757,DyLam
20318,0.5124053626862163,1778554757,DyLam
20445,0.0,1778554757,DyLam
20718,0.0,1778554757,DyLam
21152,-1.2440902579471946,1778554757,DyLam
21258,0.0,1778554757,DyLam
21464,0.0,1778554757,DyLam
21531,0.0,1778554757,DyLam
