_step,ep_info/Energy,seed,method
84,-40.75142764483392,1778554757,DyLam
1430,-202.37351074850818,1778554757,DyLam
1981,-200.20575431512503,1778554757,DyLam
2084,-202.04686143704276,1778554757,DyLam
2230,-205.21673675421343,1778554757,DyLam
2960,-206.14055678362146,1778554757,DyLam
3360,-198.15120659957867,1778554757,DyLam
3406,-204.92958788292518,1778554757,DyLam
3581,-195.7126436748931,1778554757,DyLam
3806,-194.29948993299197,1778554757,DyLam
4064,-196.2387114082595,1778554757,DyLam
4206,-201.21313139903324,1778554757,DyLam
4396,-199.50177215378707,1778554757,DyLam
4484,-200.82383609145833,1778554757,DyLam
4603,-102.43046286928853,1778554757,DyLam
5129,-203.22851213440808,1778554757,DyLam
5581,-212.69557881107943,1778554757,DyLam
6084,-196.71760009106845,1778554757,DyLam
6160,-213.2143742124523,1778554757,DyLam
6484,-196.81225086501587,1778554757,DyLam
6725,-199.88166994428866,1778554757,DyLam
6729,-203.5660252805931,1778554757,DyLam
6781,-206.4161213979129,1778554757,DyLam
6799,-211.91161965345336,1778554757,DyLam
6884,-209.92319879400068,1778554757,DyLam
7403,-198.53005351911864,1778554757,DyLam
7525,-203.32907112851996,1778554757,DyLam
7536,-202.0627980237369,1778554757,DyLam
8144,-198.6749019806898,1778554757,DyLam
8664,-193.78499972872538,1778554757,DyLam
9003,-206.11724283250447,1778554757,DyLam
9264,-202.01753003166078,1778554757,DyLam
9525,-200.88958081011282,1778554757,DyLam
10203,-200.0003497481203,1778554757,DyLam
10383,-207.78439987517794,1778554757,DyLam
10396,-196.05999322799235,1778554757,DyLam
10484,-202.52107660865218,1778554757,DyLam
10935,-204.14827988412938,1778554757,DyLam
11183,-214.8075507103481,1778554757,DyLam
11199,-203.69123372823174,1778554757,DyLam
11403,-200.19751425747938,1778554757,DyLam
11852,-204.173038765794,1778554757,DyLam
11983,-200.73941791656367,1778554757,DyLam
11996,-196.9241324091541,1778554757,DyLam
12203,-203.13395055826518,1778554757,DyLam
12264,-204.6082910983335,1778554757,DyLam
12436,-201.9482019356241,1778554757,DyLam
12544,-193.3110124193702,1778554757,DyLam
12566,-206.02361017626708,1778554757,DyLam
12935,-201.28367218631206,1778554757,DyLam
13236,-202.0009620768314,1778554757,DyLam
13344,-200.17599042875543,1778554757,DyLam
13374,-201.78466211966727,1778554757,DyLam
13636,-206.841991715901,1778554757,DyLam
14085,-200.2416474739236,1778554757,DyLam
14264,-195.363997913958,1778554757,DyLam
14566,-194.07532635388765,1778554757,DyLam
14740,-204.57213945285037,1778554757,DyLam
14875,-200.0879992649779,1778554757,DyLam
14944,-203.2196637263923,1778554757,DyLam
15069,-201.04014261233314,1778554757,DyLam
15685,-196.0070861869119,1778554757,DyLam
15774,-195.33688977803033,1778554757,DyLam
15999,-207.99606682099036,1778554757,DyLam
16125,-24.648628338746832,1778554757,DyLam
16329,-206.77147297060003,1778554757,DyLam
16485,-198.82512412301455,1778554757,DyLam
16740,-192.84406082565224,1778554757,DyLam
16799,-194.381693430214,1778554757,DyLam
16885,-198.80540130707055,1778554757,DyLam
17064,-200.28614057873173,1778554757,DyLam
17531,-193.67988665384115,1778554757,DyLam
17684,-196.35465418022483,1778554757,DyLam
17766,-194.9883758752871,1778554757,DyLam
17851,-194.23243565332461,1778554757,DyLam
18084,-190.60510776007342,1778554757,DyLam
18195,-195.411475734621,1778554757,DyLam
18264,-199.60751608932227,1778554757,DyLam
18329,-190.4294659711819,1778554757,DyLam
18651,-188.9267945214276,1778554757,DyLam
18858,-199.72420365586444,1778554757,DyLam
18917,-66.30722183249596,1778554757,DyLam
18974,-196.14683056309312,1778554757,DyLam
19183,-195.97861255476823,1778554757,DyLam
19685,-193.12324583195212,1778554757,DyLam
19803,-197.04656903800648,1778554757,DyLam
19869,-190.3870004129937,1778554757,DyLam
19999,-198.2861742008621,1778554757,DyLam
20318,-186.9227991820218,1778554757,DyLam
20445,-199.88313553056085,1778554757,DyLam
20718,-190.36438999537867,1778554757,DyLam
21152,-193.5212156297353,1778554757,DyLam
21258,-188.4100043187137,1778554757,DyLam
21464,-195.8765991427674,1778554757,DyLam
21531,-195.12000828692933,1778554757,DyLam
22150,-195.3579064267099,1778554757,DyLam
22214,-131.51333534418242,1778554757,DyLam
23044,-187.10496725641121,1778554757,DyLam
23366,-189.03427695776924,1778554757,DyLam
23531,-191.50522669511588,1778554757,DyLam
23685,-189.12413072835096,1778554757,DyLam
23929,-186.29723310017286,1778554757,DyLam
24383,-187.6887236809616,1778554757,DyLam
24458,-187.72741805904425,1778554757,DyLam
24885,-180.974240623953,1778554757,DyLam
24966,-183.7616840657762,1778554757,DyLam
25072,-185.92540783970543,1778554757,DyLam
25183,-183.66345121860635,1778554757,DyLam
25423,-176.94063139090426,1778554757,DyLam
25488,-179.33074274849773,1778554757,DyLam
25888,-179.10848453546942,1778554757,DyLam
25973,-183.70912371287434,1778554757,DyLam
26085,-178.27563665046125,1778554757,DyLam
26195,-186.2219887519153,1778554757,DyLam
26318,-182.0761359948586,1778554757,DyLam
26458,-186.6328235530558,1778554757,DyLam
26469,-183.0261150995114,1778554757,DyLam
27064,-180.7850887614971,1778554757,DyLam
27135,-180.08729191973578,1778554757,DyLam
27476,-185.57476948512226,1778554757,DyLam
27666,-177.8520752492082,1778554757,DyLam
27869,-175.70039132991303,1778554757,DyLam
27935,-179.4921034181362,1778554757,DyLam
28237,-177.97316584348886,1778554757,DyLam
28292,-75.52639941488768,1778554757,DyLam
28672,-177.19861614933717,1778554757,DyLam
29573,-176.99511207506822,1778554757,DyLam
29795,-166.80224060837762,1778554757,DyLam
29869,-168.59782079815736,1778554757,DyLam
29876,-177.19699008239346,1778554757,DyLam
30168,-167.47341898791734,1778554757,DyLam
30174,-168.12536859667287,1778554757,DyLam
30237,-164.6837384607565,1778554757,DyLam
30250,-161.81862519676926,1778554757,DyLam
30335,-172.10732041241667,1778554757,DyLam
30568,-169.62544245516312,1778554757,DyLam
30574,-162.57699474914435,1778554757,DyLam
30637,-164.37812949673486,1778554757,DyLam
31045,-169.1895134260776,1778554757,DyLam
31050,-163.3932338100565,1778554757,DyLam
31072,-166.34875567034243,1778554757,DyLam
31183,-170.40100499441348,1778554757,DyLam
31266,-163.87177203773706,1778554757,DyLam
31463,-162.3319880212397,1778554757,DyLam
32085,-157.35164136175962,1778554757,DyLam
32168,-158.9779137713531,1778554757,DyLam
32276,-158.77740222670266,1778554757,DyLam
32676,-159.25403639433213,1778554757,DyLam
32692,-168.00500424954228,1778554757,DyLam
32750,-156.5591544029685,1778554757,DyLam
32885,-161.78190869715968,1778554757,DyLam
33072,-152.53063445990776,1778554757,DyLam
33235,-154.26669367387785,1778554757,DyLam
33524,-160.1431706910359,1778554757,DyLam
33795,-156.34835084257182,1778554757,DyLam
33901,-159.82456309486776,1778554757,DyLam
33950,-166.9017007257648,1778554757,DyLam
34210,-151.9848428676429,1778554757,DyLam
34724,-149.43341572104143,1778554757,DyLam
34735,-143.92361452256372,1778554757,DyLam
35025,-152.8681277339833,1778554757,DyLam
35076,-152.63480520573697,1778554757,DyLam
35153,-146.48028489850304,1778554757,DyLam
35285,-159.7913579490702,1778554757,DyLam
35444,-147.36053974669827,1778554757,DyLam
35492,-151.0781738811709,1778554757,DyLam
35550,-141.79209302363608,1778554757,DyLam
35636,-143.81619624378789,1778554757,DyLam
35872,-145.00211584381364,1778554757,DyLam
35950,-147.22140377312826,1778554757,DyLam
36261,-143.3774571741497,1778554757,DyLam
36485,-142.9399577689099,1778554757,DyLam
36554,-139.96939743456142,1778554757,DyLam
36576,-89.37329357796811,1778554757,DyLam
36724,-141.11763502210533,1778554757,DyLam
36754,-140.03999486789422,1778554757,DyLam
36839,-101.18569713357746,1778554757,DyLam
36885,-129.89319230590294,1778554757,DyLam
37239,-151.73382305879272,1778554757,DyLam
37425,-143.12039970309067,1778554757,DyLam
37463,-140.6965413148287,1778554757,DyLam
37768,-132.42875734284218,1778554757,DyLam
37872,-142.74374775516566,1778554757,DyLam
38183,-139.6894120025995,1778554757,DyLam
38225,-140.4700561971866,1778554757,DyLam
38510,-146.35428132206803,1778554757,DyLam
39052,-130.17912294840085,1778554757,DyLam
39424,-129.92681421747096,1778554757,DyLam
39444,-130.29745263853633,1778554757,DyLam
39636,-132.93713016510821,1778554757,DyLam
39716,-87.82802938927043,1778554757,DyLam
39794,-123.52103488977203,1778554757,DyLam
39832,-49.25950882453917,1778554757,DyLam
39852,-131.19727737269668,1778554757,DyLam
40042,-129.8073900668425,1778554757,DyLam
40202,-159.9492357362508,1778554757,DyLam
40724,-120.55200636464757,1778554757,DyLam
40773,-128.4286929528018,1778554757,DyLam
40980,-130.5167539409905,1778554757,DyLam
40986,-134.42754520255744,1778554757,DyLam
41239,-127.80979775398751,1778554757,DyLam
41265,-70.68608902080615,1778554757,DyLam
41332,-139.84320551806732,1778554757,DyLam
41357,-57.00299241406691,1778554757,DyLam
41642,-123.49237802599414,1778554757,DyLam
41696,-134.5180999431001,1778554757,DyLam
41757,-108.71183797367942,1778554757,DyLam
41780,-120.35593728410589,1778554757,DyLam
41919,-127.94078651899011,1778554757,DyLam
42097,-124.58938729274901,1778554757,DyLam
42496,-126.6364366648721,1778554757,DyLam
42522,-139.90601228403952,1778554757,DyLam
42598,-26.346864924210188,1778554757,DyLam
42641,-118.14110290892158,1778554757,DyLam
43224,-118.63522659463185,1778554757,DyLam
43723,-120.89677635709613,1778554757,DyLam
43768,-99.23365354669318,1778554757,DyLam
44168,-137.67681523950992,1778554757,DyLam
44560,-123.73132661694252,1778554757,DyLam
44700,-149.22459452624798,1778554757,DyLam
44887,-28.426139014448594,1778554757,DyLam
44942,-136.3472781591086,1778554757,DyLam
44993,-134.47384118402968,1778554757,DyLam
45212,-38.72747200182251,1778554757,DyLam
45619,-160.91820578072765,1778554757,DyLam
45921,-16.61933469951089,1778554757,DyLam
45946,-73.74239444440843,1778554757,DyLam
46069,-102.53055061398106,1778554757,DyLam
46234,-35.06234364144981,1778554757,DyLam
46241,-120.25821658547396,1778554757,DyLam
46641,-125.87007344774037,1778554757,DyLam
46810,-88.48249054833593,1778554757,DyLam
46970,-120.82223596026931,1778554757,DyLam
47098,-135.06207896985768,1778554757,DyLam
47109,-154.18850806682806,1778554757,DyLam
47212,-139.8757308925621,1778554757,DyLam
47488,-120.40845850288936,1778554757,DyLam
47555,-88.44967042069678,1778554757,DyLam
47610,-135.7707508427077,1778554757,DyLam
47734,-17.80536225932872,1778554757,DyLam
47909,-135.45381033201028,1778554757,DyLam
48012,-187.77775049117594,1778554757,DyLam
48148,-45.971129627026095,1778554757,DyLam
48264,-150.26943829636178,1778554757,DyLam
48273,-147.89744694994712,1778554757,DyLam
48348,-149.7769790654138,1778554757,DyLam
48355,-133.36957585276082,1778554757,DyLam
49012,-156.67938859160634,1778554757,DyLam
49013,-120.28093539013808,1778554757,DyLam
49016,-153.74936145755615,1778554757,DyLam
49253,-142.98142458334235,1778554757,DyLam
49323,-148.42670744901721,1778554757,DyLam
49332,-41.30649324894574,1778554757,DyLam
49412,-187.83381882274733,1778554757,DyLam
49489,-87.79053289956475,1778554757,DyLam
49555,-151.23013905061265,1778554757,DyLam
49765,-124.45636014671314,1778554757,DyLam
49829,-126.84317031423828,1778554757,DyLam
50367,-160.55922086585787,1778554757,DyLam
50428,-159.32320033603435,1778554757,DyLam
50560,-55.636864177046505,1778554757,DyLam
50713,-118.00189643050241,1778554757,DyLam
50894,-151.58867222062028,1778554757,DyLam
51142,-166.00540273599336,1778554757,DyLam
51274,-163.11208095369312,1778554757,DyLam
51318,-126.89228074316662,1778554757,DyLam
51430,-144.48332273917964,1778554757,DyLam
51599,-100.37976581109167,1778554757,DyLam
51830,-116.9042367836139,1778554757,DyLam
51837,-33.182998798833204,1778554757,DyLam
51904,-162.63954959960557,1778554757,DyLam
51939,-107.95148443996118,1778554757,DyLam
52032,-31.52295085363361,1778554757,DyLam
52075,-19.901778028301386,1778554757,DyLam
52475,-144.33630687432435,1778554757,DyLam
52496,-187.8315263302147,1778554757,DyLam
52519,-175.41760321778418,1778554757,DyLam
52727,-169.1555944552973,1778554757,DyLam
53037,-150.36750227631137,1778554757,DyLam
53381,-36.9754424292067,1778554757,DyLam
53600,-157.11509082378086,1778554757,DyLam
53688,-144.1738610953349,1778554757,DyLam
54237,-125.55328385947436,1778554757,DyLam
54354,-138.40686683050808,1778554757,DyLam
54483,-120.08989767362564,1778554757,DyLam
54631,-162.30271395597086,1778554757,DyLam
54751,-87.20118872363471,1778554757,DyLam
54775,-147.1826945903146,1778554757,DyLam
55000,-141.19160763930876,1778554757,DyLam
55120,-140.253781782148,1778554757,DyLam
55175,-191.7672639683207,1778554757,DyLam
55195,-189.06300776310886,1778554757,DyLam
55313,-125.439038004466,1778554757,DyLam
55445,-100.59583770450043,1778554757,DyLam
55711,-43.1450599704521,1778554757,DyLam
55778,-149.72406796632617,1778554757,DyLam
55837,-145.85993532098016,1778554757,DyLam
56041,-82.00516147648364,1778554757,DyLam
56113,-172.22826290341527,1778554757,DyLam
56178,-127.80737077815202,1778554757,DyLam
56206,-57.38099320265216,1778554757,DyLam
56382,-145.62493270671328,1778554757,DyLam
56731,-148.07562434240492,1778554757,DyLam
56920,-105.97524647104613,1778554757,DyLam
56985,-123.07054580985442,1778554757,DyLam
57227,-157.46326230345227,1778554757,DyLam
58151,-119.61997092975619,1778554757,DyLam
58179,-63.26606675149589,1778554757,DyLam
58301,-141.54985983473972,1778554757,DyLam
58378,-111.25539591601475,1778554757,DyLam
58466,-166.51928335289708,1778554757,DyLam
58528,-115.78063366202242,1778554757,DyLam
58801,-117.45122462426114,1778554757,DyLam
58853,-136.38298907325515,1778554757,DyLam
