"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"1","18","0","30"
"2","15","0","30"
"3","15","0","30"
"4","21","0","30"
"5","24","0","30"
"6","27","0","30"
"7","21","0","30"
"8","27","0","30"
"9","24","0","30"
"10","27","0","30"
"11","27","0","30"
"12","24","0","30"
"13","27","0","30"
"14","30","30","30"
"15","30","30","30"
"16","30","30","30"
"17","30","30","30"
"18","30","30","30"
"19","30","30","30"
"20","30","30","30"
"21","30","30","30"
"22","30","30","30"
"23","27","0","30"
"24","30","30","30"
"25","27","0","30"
"26","30","30","30"
"27","30","30","30"
"28","30","30","30"
"29","30","30","30"
"30","27","0","30"
"31","30","30","30"
"32","30","30","30"
"33","30","30","30"
"34","30","30","30"
"35","27","0","30"
"36","30","30","30"
"37","30","30","30"
"38","27","0","30"
"39","30","30","30"
"40","30","30","30"
"41","30","30","30"
"42","30","30","30"
"43","30","30","30"
"44","30","30","30"
"45","30","30","30"
"46","27","0","30"
"47","30","30","30"
"48","27","0","30"
"49","30","30","30"
"50","30","30","30"
"51","30","30","30"
"52","30","30","30"
"53","30","30","30"
"54","30","30","30"
"55","30","30","30"
"56","30","30","30"
"57","30","30","30"
"58","30","30","30"
"59","30","30","30"
"60","30","30","30"
"61","30","30","30"
"62","30","30","30"
"63","30","30","30"
"64","30","30","30"
"65","30","30","30"
"66","30","30","30"
"67","30","30","30"
"68","30","30","30"
"69","30","30","30"
"70","30","30","30"
"71","30","30","30"
"72","30","30","30"
"73","27","0","30"
"74","27","0","30"
"75","30","30","30"
"76","30","30","30"
"77","30","30","30"
"78","30","30","30"
"79","30","30","30"
"80","30","30","30"
"81","30","30","30"
"82","30","30","30"
"83","30","30","30"
"84","30","30","30"
"85","30","30","30"
"86","30","30","30"
"87","30","30","30"
"88","30","30","30"
"89","30","30","30"
"90","30","30","30"
"91","30","30","30"
"92","30","30","30"
"93","30","30","30"
"94","30","30","30"
"95","30","30","30"
"96","30","30","30"
"97","30","30","30"
"98","30","30","30"
"99","30","30","30"
"100","27","0","30"
"101","30","30","30"
"102","30","30","30"
"103","30","30","30"
"104","30","30","30"
"105","30","30","30"
"106","30","30","30"
"107","30","30","30"
"108","30","30","30"
"109","30","30","30"
"110","30","30","30"
"111","30","30","30"
"112","30","30","30"
"113","30","30","30"
"114","30","30","30"
"115","30","30","30"
"116","30","30","30"
"117","30","30","30"
"118","30","30","30"
"119","30","30","30"
"120","30","30","30"
"121","30","30","30"
"122","30","30","30"
"123","30","30","30"
"124","30","30","30"
"125","30","30","30"
"126","30","30","30"
"127","30","30","30"
"128","30","30","30"
"129","30","30","30"
"130","30","30","30"
"131","30","30","30"
"132","30","30","30"
"133","30","30","30"
"134","30","30","30"
"135","30","30","30"
"136","30","30","30"
"137","30","30","30"
"138","30","30","30"
"139","30","30","30"
"140","30","30","30"
"141","30","30","30"
"142","30","30","30"
"143","30","30","30"
"144","30","30","30"
"145","30","30","30"
"146","30","30","30"
"147","30","30","30"
"148","30","30","30"
"149","30","30","30"
"150","30","30","30"
"151","30","30","30"
"152","30","30","30"
"153","30","30","30"
"154","30","30","30"
"155","30","30","30"
"156","30","30","30"
"157","30","30","30"
"158","30","30","30"
"159","30","30","30"
"160","30","30","30"
"161","30","30","30"
"162","30","30","30"
"163","30","30","30"
"164","30","30","30"
"165","30","30","30"
"166","30","30","30"
"167","30","30","30"
"168","30","30","30"
"169","30","30","30"
"170","30","30","30"
"171","30","30","30"
"172","30","30","30"
"173","30","30","30"
"174","30","30","30"
"175","30","30","30"
"176","30","30","30"
"177","30","30","30"
"178","30","30","30"
"179","30","30","30"
"180","30","30","30"
"181","30","30","30"
"182","30","30","30"
"183","30","30","30"
"184","30","30","30"
"185","30","30","30"
"186","30","30","30"
"187","30","30","30"
"188","30","30","30"
"189","30","30","30"
"190","30","30","30"
"191","30","30","30"
"192","30","30","30"
"193","27","0","30"
"194","30","30","30"
"195","30","30","30"
"196","30","30","30"
"197","30","30","30"
"198","30","30","30"
"199","30","30","30"
"200","30","30","30"
"201","30","30","30"
"202","30","30","30"
"203","30","30","30"
"204","30","30","30"
"205","30","30","30"
"206","30","30","30"
"207","30","30","30"
"208","30","30","30"
"209","30","30","30"
"210","30","30","30"
"211","30","30","30"
"212","30","30","30"
"213","30","30","30"
"214","30","30","30"
"215","30","30","30"
"216","30","30","30"
"217","30","30","30"
"218","30","30","30"
"219","30","30","30"
"220","30","30","30"
"221","30","30","30"
"222","30","30","30"
"223","30","30","30"
"224","30","30","30"
"225","30","30","30"
"226","30","30","30"
"227","30","30","30"
"228","30","30","30"
"229","30","30","30"
"230","30","30","30"
"231","30","30","30"
"232","27","0","30"
"233","30","30","30"
"234","30","30","30"
"235","30","30","30"
"236","30","30","30"
"237","30","30","30"
"238","30","30","30"
"239","30","30","30"
"240","30","30","30"
"241","30","30","30"
"242","30","30","30"
"243","30","30","30"
"244","30","30","30"
"245","30","30","30"
"246","30","30","30"
"247","30","30","30"
"248","30","30","30"
"249","30","30","30"
"250","30","30","30"
"251","30","30","30"
"252","30","30","30"
"253","30","30","30"
"254","30","30","30"
"255","30","30","30"
"256","30","30","30"
"257","30","30","30"
"258","30","30","30"
"259","30","30","30"
"260","30","30","30"
"261","30","30","30"
"262","30","30","30"
"263","30","30","30"
"264","30","30","30"
"265","30","30","30"
"266","30","30","30"
"267","30","30","30"
"268","30","30","30"
"269","30","30","30"
"270","30","30","30"
"271","30","30","30"
"272","30","30","30"
"273","30","30","30"
"274","30","30","30"
"275","30","30","30"
"276","30","30","30"
"277","30","30","30"
"278","30","30","30"
"279","30","30","30"
"280","30","30","30"
"281","30","30","30"
"282","30","30","30"
"283","30","30","30"
"284","30","30","30"
"285","30","30","30"
"286","30","30","30"
"287","30","30","30"
"288","30","30","30"
"289","30","30","30"
"290","30","30","30"
"291","30","30","30"
"292","30","30","30"
"293","30","30","30"
"294","27","0","30"
"295","30","30","30"
"296","30","30","30"
"297","30","30","30"
"298","30","30","30"
"299","30","30","30"
"300","30","30","30"
"301","30","30","30"
"302","30","30","30"
"303","30","30","30"
"304","30","30","30"
"305","30","30","30"
"306","30","30","30"
"307","30","30","30"
"308","30","30","30"
"309","30","30","30"
"310","30","30","30"
"311","30","30","30"
"312","30","30","30"
"313","30","30","30"
"314","30","30","30"
"315","30","30","30"
"316","30","30","30"
"317","30","30","30"
"318","30","30","30"
"319","30","30","30"
"320","30","30","30"
"321","30","30","30"
"322","30","30","30"
"323","30","30","30"
"324","30","30","30"
"325","30","30","30"
"326","30","30","30"
"327","30","30","30"
"328","30","30","30"
"329","30","30","30"
"330","30","30","30"
"331","30","30","30"
"332","30","30","30"
"333","30","30","30"
"334","30","30","30"
"335","30","30","30"
"336","30","30","30"
"337","30","30","30"
"338","30","30","30"
"339","30","30","30"
"340","30","30","30"
"341","30","30","30"
"342","30","30","30"
"343","30","30","30"
"344","30","30","30"
"345","30","30","30"
"346","30","30","30"
"347","30","30","30"
"348","30","30","30"
"349","30","30","30"
"350","30","30","30"
"351","30","30","30"
"352","30","30","30"
"353","30","30","30"
"354","30","30","30"
"355","30","30","30"
"356","30","30","30"
"357","27","0","30"
"358","30","30","30"
"359","30","30","30"
"360","30","30","30"
"361","30","30","30"
"362","30","30","30"
"363","30","30","30"
"364","30","30","30"
"365","30","30","30"
"366","30","30","30"
"367","30","30","30"
"368","30","30","30"
"369","27","0","30"
"370","30","30","30"
"371","30","30","30"
"372","30","30","30"
"373","30","30","30"
"374","30","30","30"
"375","30","30","30"
"376","30","30","30"
"377","30","30","30"
"378","30","30","30"
"379","30","30","30"
"380","30","30","30"
"381","30","30","30"
"382","30","30","30"
"383","30","30","30"
"384","30","30","30"
"385","30","30","30"
"386","30","30","30"
"387","30","30","30"
"388","30","30","30"
"389","30","30","30"
"390","30","30","30"
"391","30","30","30"
"392","30","30","30"
"393","30","30","30"
"394","30","30","30"
"395","30","30","30"
"396","30","30","30"
"397","30","30","30"
"398","30","30","30"
"399","30","30","30"
"400","30","30","30"
"401","30","30","30"
"402","30","30","30"
"403","30","30","30"
"404","27","0","30"
"405","30","30","30"
"406","30","30","30"
"407","30","30","30"
"408","30","30","30"
"409","30","30","30"
"410","30","30","30"
"411","30","30","30"
"412","30","30","30"
"413","30","30","30"
"414","30","30","30"
"415","30","30","30"
"416","30","30","30"
"417","30","30","30"
"418","30","30","30"
"419","30","30","30"
"420","30","30","30"
"421","30","30","30"
"422","30","30","30"
"423","30","30","30"
"424","30","30","30"
"425","30","30","30"
"426","30","30","30"
"427","30","30","30"
"428","30","30","30"
"429","30","30","30"
"430","30","30","30"
"431","30","30","30"
"432","30","30","30"
"433","30","30","30"
"434","30","30","30"
"435","30","30","30"
"436","30","30","30"
"437","27","0","30"
"438","30","30","30"
"439","30","30","30"
"440","30","30","30"
"441","30","30","30"
"442","30","30","30"
"443","30","30","30"
"444","30","30","30"
"445","30","30","30"
"446","30","30","30"
"447","30","30","30"
"448","30","30","30"
"449","30","30","30"
"450","30","30","30"
"451","30","30","30"
"452","30","30","30"
"453","30","30","30"
"454","30","30","30"
"455","30","30","30"
"456","30","30","30"
"457","30","30","30"
"458","30","30","30"
"459","30","30","30"
"460","30","30","30"
"461","30","30","30"
"462","30","30","30"
"463","30","30","30"
"464","30","30","30"
"465","30","30","30"
"466","30","30","30"
"467","30","30","30"
"468","30","30","30"
"469","30","30","30"
"470","30","30","30"
"471","30","30","30"
"472","30","30","30"
"473","30","30","30"
"474","30","30","30"
"475","30","30","30"
"476","30","30","30"
"477","30","30","30"
"478","30","30","30"
"479","30","30","30"
"480","27","0","30"
"481","30","30","30"
"482","30","30","30"
"483","30","30","30"
"484","30","30","30"
"485","30","30","30"
"486","30","30","30"
"487","30","30","30"
"488","30","30","30"
"489","30","30","30"
"490","30","30","30"
"491","30","30","30"
"492","30","30","30"
"493","30","30","30"
"494","30","30","30"
"495","30","30","30"
"496","30","30","30"
"497","30","30","30"
"498","30","30","30"
"499","30","30","30"
"500","30","30","30"
"501","30","30","30"
"502","30","30","30"
"503","30","30","30"
"504","30","30","30"
"505","30","30","30"
"506","30","30","30"
"507","27","0","30"
"508","30","30","30"
"509","30","30","30"
"510","30","30","30"
"511","30","30","30"
"512","30","30","30"
"513","30","30","30"
"514","30","30","30"
"515","30","30","30"
"516","30","30","30"
"517","30","30","30"
"518","30","30","30"
"519","30","30","30"
"520","30","30","30"
"521","30","30","30"
"522","30","30","30"
"523","30","30","30"
"524","30","30","30"
"525","30","30","30"
"526","30","30","30"
"527","27","0","30"
"528","30","30","30"
"529","30","30","30"
"530","30","30","30"
"531","30","30","30"
"532","30","30","30"
"533","30","30","30"
"534","30","30","30"
"535","30","30","30"
"536","30","30","30"
"537","30","30","30"
"538","30","30","30"
"539","30","30","30"
"540","30","30","30"
"541","30","30","30"
"542","30","30","30"
"543","27","0","30"
"544","30","30","30"
"545","30","30","30"
"546","27","0","30"
"547","30","30","30"
"548","30","30","30"
"549","30","30","30"
"550","30","30","30"
"551","30","30","30"
"552","30","30","30"
"553","30","30","30"
"554","30","30","30"
"555","30","30","30"
"556","30","30","30"
"557","30","30","30"
"558","30","30","30"
"559","30","30","30"
"560","30","30","30"
"561","30","30","30"
"562","30","30","30"
"563","30","30","30"
"564","30","30","30"
"565","30","30","30"
"566","30","30","30"
"567","30","30","30"
"568","30","30","30"
"569","30","30","30"
"570","30","30","30"
"571","30","30","30"
"572","30","30","30"
"573","30","30","30"
"574","30","30","30"
"575","30","30","30"
"576","30","30","30"
"577","30","30","30"
"578","30","30","30"
"579","30","30","30"
"580","30","30","30"
"581","30","30","30"
"582","30","30","30"
"583","30","30","30"
"584","30","30","30"
"585","30","30","30"
"586","30","30","30"
"587","30","30","30"
"588","30","30","30"
"589","30","30","30"
"590","27","0","30"
"591","30","30","30"
"592","30","30","30"
"593","30","30","30"
"594","30","30","30"
"595","30","30","30"
"596","30","30","30"
"597","30","30","30"
"598","30","30","30"
"599","30","30","30"
"600","30","30","30"
"601","30","30","30"
"602","30","30","30"
"603","30","30","30"
"604","30","30","30"
"605","30","30","30"
"606","30","30","30"
"607","30","30","30"
"608","30","30","30"
"609","30","30","30"
"610","30","30","30"
"611","30","30","30"
"612","30","30","30"
"613","30","30","30"
"614","30","30","30"
"615","30","30","30"
"616","30","30","30"
"617","30","30","30"
"618","30","30","30"
"619","30","30","30"
"620","30","30","30"
"621","30","30","30"
"622","30","30","30"
"623","30","30","30"
"624","30","30","30"
"625","30","30","30"
"626","30","30","30"
"627","30","30","30"
"628","30","30","30"
"629","30","30","30"
"630","30","30","30"
"631","30","30","30"
"632","30","30","30"
"633","30","30","30"
"634","30","30","30"
"635","30","30","30"
"636","30","30","30"
"637","30","30","30"
"638","30","30","30"
"639","30","30","30"
"640","30","30","30"
"641","30","30","30"
"642","30","30","30"
"643","30","30","30"
"644","30","30","30"
"645","30","30","30"
"646","30","30","30"
"647","30","30","30"
"648","30","30","30"
"649","30","30","30"
"650","30","30","30"
"651","30","30","30"
"652","30","30","30"
"653","30","30","30"
"654","30","30","30"
"655","30","30","30"
"656","30","30","30"
"657","30","30","30"
"658","30","30","30"
"659","30","30","30"
"660","30","30","30"
"661","30","30","30"
"662","30","30","30"
"663","30","30","30"
"664","30","30","30"
"665","30","30","30"
"666","30","30","30"
"667","30","30","30"
"668","30","30","30"
"669","30","30","30"
"670","30","30","30"
"671","30","30","30"
"672","30","30","30"
"673","30","30","30"
"674","30","30","30"
"675","30","30","30"
"676","30","30","30"
"677","30","30","30"
"678","30","30","30"
"679","30","30","30"
"680","30","30","30"
"681","30","30","30"
"682","30","30","30"
"683","30","30","30"
"684","30","30","30"
"685","30","30","30"
"686","30","30","30"
"687","30","30","30"
"688","30","30","30"
"689","30","30","30"
"690","30","30","30"
"691","30","30","30"
"692","30","30","30"
"693","30","30","30"
"694","30","30","30"
"695","30","30","30"
"696","30","30","30"
"697","30","30","30"
"698","30","30","30"
"699","30","30","30"
"700","30","30","30"
"701","30","30","30"
"702","30","30","30"
"703","30","30","30"
"704","30","30","30"
"705","30","30","30"
"706","30","30","30"
"707","30","30","30"
"708","30","30","30"
"709","30","30","30"
"710","30","30","30"
"711","30","30","30"
"712","30","30","30"
"713","30","30","30"
"714","30","30","30"
"715","30","30","30"
