"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"1","7","0","70"
"2","21","0","70"
"3","28","0","70"
"4","14","0","70"
"5","14","0","70"
"6","14","0","70"
"7","14","0","70"
"8","0","0","0"
"9","7","0","70"
"10","0","0","0"
"11","14","0","70"
"12","7","0","70"
"13","7","0","70"
"14","14","0","70"
"15","0","0","0"
"16","7","0","70"
"17","14","0","70"
"18","7","0","70"
"19","0","0","0"
"20","0","0","0"
"21","14","0","70"
"22","7","0","70"
"23","7","0","70"
"24","7","0","70"
"25","7","0","70"
"26","7","0","70"
"27","7","0","70"
"28","7","0","70"
"29","7","0","70"
"30","7","0","70"
"31","7","0","70"
"32","7","0","70"
"33","7","0","70"
"34","7","0","70"
"35","7","0","70"
"36","7","0","70"
"37","7","0","70"
"38","7","0","70"
"39","7","0","70"
"40","7","0","70"
"41","7","0","70"
"42","7","0","70"
"43","7","0","70"
"44","7","0","70"
"45","7","0","70"
"46","7","0","70"
"47","7","0","70"
"48","7","0","70"
"49","7","0","70"
"50","14","0","70"
"51","7","0","70"
"52","7","0","70"
"53","7","0","70"
"54","7","0","70"
"55","7","0","70"
"56","7","0","70"
"57","7","0","70"
"58","7","0","70"
"59","7","0","70"
"60","7","0","70"
"61","7","0","70"
"62","7","0","70"
"63","7","0","70"
"64","7","0","70"
"65","7","0","70"
"66","7","0","70"
"67","7","0","70"
"68","7","0","70"
"69","7","0","70"
"70","7","0","70"
"71","7","0","70"
"72","7","0","70"
"73","7","0","70"
"74","7","0","70"
"75","7","0","70"
"76","7","0","70"
"77","7","0","70"
"78","7","0","70"
"79","7","0","70"
"80","7","0","70"
"81","7","0","70"
"82","7","0","70"
"83","7","0","70"
"84","7","0","70"
"85","7","0","70"
"86","7","0","70"
"87","7","0","70"
"88","7","0","70"
"89","7","0","70"
"90","7","0","70"
"91","7","0","70"
"92","14","0","70"
"93","7","0","70"
"94","7","0","70"
"95","14","0","70"
"96","7","0","70"
"97","7","0","70"
"98","7","0","70"
"99","7","0","70"
"100","7","0","70"
"101","7","0","70"
"102","7","0","70"
"103","7","0","70"
"104","7","0","70"
"105","7","0","70"
"106","7","0","70"
"107","7","0","70"
"108","7","0","70"
"109","7","0","70"
"110","7","0","70"
"111","7","0","70"
"112","7","0","70"
"113","7","0","70"
"114","7","0","70"
"115","7","0","70"
"116","7","0","70"
"117","7","0","70"
"118","7","0","70"
"119","7","0","70"
"120","7","0","70"
"121","7","0","70"
"122","7","0","70"
"123","7","0","70"
"124","7","0","70"
"125","7","0","70"
"126","7","0","70"
"127","7","0","70"
"128","7","0","70"
"129","7","0","70"
"130","7","0","70"
"131","7","0","70"
"132","7","0","70"
"133","7","0","70"
"134","7","0","70"
"135","7","0","70"
"136","7","0","70"
"137","7","0","70"
"138","7","0","70"
"139","7","0","70"
"140","7","0","70"
"141","7","0","70"
"142","7","0","70"
"143","7","0","70"
"144","7","0","70"
"145","7","0","70"
"146","7","0","70"
"147","7","0","70"
"148","7","0","70"
"149","7","0","70"
"150","7","0","70"
"151","7","0","70"
"152","7","0","70"
"153","7","0","70"
"154","7","0","70"
"155","7","0","70"
"156","7","0","70"
"157","7","0","70"
"158","7","0","70"
"159","7","0","70"
"160","7","0","70"
"161","7","0","70"
"162","7","0","70"
"163","14","0","70"
"164","7","0","70"
"165","7","0","70"
"166","7","0","70"
"167","7","0","70"
"168","7","0","70"
"169","7","0","70"
"170","7","0","70"
"171","7","0","70"
"172","7","0","70"
"173","7","0","70"
"174","7","0","70"
"175","14","0","70"
"176","7","0","70"
"177","7","0","70"
"178","7","0","70"
"179","7","0","70"
"180","7","0","70"
"181","7","0","70"
"182","7","0","70"
"183","7","0","70"
"184","7","0","70"
"185","7","0","70"
"186","14","0","70"
"187","7","0","70"
"188","7","0","70"
"189","7","0","70"
"190","7","0","70"
"191","7","0","70"
"192","7","0","70"
"193","7","0","70"
"194","7","0","70"
"195","7","0","70"
"196","7","0","70"
"197","7","0","70"
"198","7","0","70"
"199","7","0","70"
"200","7","0","70"
"201","7","0","70"
"202","0","0","0"
"203","7","0","70"
"204","7","0","70"
"205","7","0","70"
"206","7","0","70"
"207","7","0","70"
"208","7","0","70"
"209","7","0","70"
"210","7","0","70"
"211","7","0","70"
"212","7","0","70"
"213","7","0","70"
"214","7","0","70"
"215","7","0","70"
"216","7","0","70"
"217","7","0","70"
"218","7","0","70"
"219","7","0","70"
"220","7","0","70"
"221","7","0","70"
"222","7","0","70"
"223","7","0","70"
"224","7","0","70"
"225","7","0","70"
"226","7","0","70"
"227","14","0","70"
"228","7","0","70"
"229","7","0","70"
"230","7","0","70"
"231","7","0","70"
"232","7","0","70"
"233","7","0","70"
"234","7","0","70"
"235","7","0","70"
"236","7","0","70"
"237","7","0","70"
"238","7","0","70"
"239","7","0","70"
"240","7","0","70"
"241","7","0","70"
"242","7","0","70"
"243","7","0","70"
"244","7","0","70"
"245","7","0","70"
"246","7","0","70"
"247","7","0","70"
"248","7","0","70"
"249","7","0","70"
"250","7","0","70"
"251","7","0","70"
"252","7","0","70"
"253","7","0","70"
"254","7","0","70"
"255","7","0","70"
"256","7","0","70"
"257","7","0","70"
"258","7","0","70"
"259","7","0","70"
"260","7","0","70"
"261","7","0","70"
"262","7","0","70"
