"Step","env: MINECART - ep_info/Fuel","env: MINECART - ep_info/Fuel__MIN","env: MINECART - ep_info/Fuel__MAX"
"49","-3.679999954998493","-3.679999954998493","-3.679999954998493"
"196","-12.219999823719263","-12.219999823719263","-12.219999823719263"
"233","-11.179999854415655","-11.179999854415655","-11.179999854415655"
"294","-10.539999850094318","-10.539999850094318","-10.539999850094318"
"526","-8.939999867230654","-8.939999867230654","-8.939999867230654"
"623","-4.179999936372042","-4.179999936372042","-4.179999936372042"
"645","-2.499999973922968","-2.499999973922968","-2.499999973922968"
"700","-10.839999835938215","-10.839999835938215","-10.839999835938215"
"774","-11.819999855011702","-11.819999855011702","-11.819999855011702"
"814","-4.499999936670065","-4.499999936670065","-4.499999936670065"
"1109","-3.2399999536573887","-3.2399999536573887","-3.2399999536573887"
"1391","-5.779999926686287","-5.779999926686287","-5.779999926686287"
"1781","-11.879999846220016","-11.879999846220016","-11.879999846220016"
"1789","-7.259999889880419","-7.259999889880419","-7.259999889880419"
"1809","-2.9999999552965164","-2.9999999552965164","-2.9999999552965164"
"1811","-21.85999972373247","-21.85999972373247","-21.85999972373247"
"1816","-13.4799998216331","-13.4799998216331","-13.4799998216331"
"1841","-4.159999944269657","-4.159999944269657","-4.159999944269657"
"1850","-6.859999909996986","-6.859999909996986","-6.859999909996986"
"1897","-44.43999941647053","-44.43999941647053","-44.43999941647053"
"1951","-8.159999880939722","-8.159999880939722","-8.159999880939722"
"1960","-12.879999838769436","-12.879999838769436","-12.879999838769436"
"1974","-8.45999987795949","-8.45999987795949","-8.45999987795949"
"2087","-2.939999967813492","-2.939999967813492","-2.939999967813492"
"2188","-14.679999805986881","-14.679999805986881","-14.679999805986881"
"2488","-4.4799999333918095","-4.4799999333918095","-4.4799999333918095"
"2714","-19.259999748319387","-19.259999748319387","-19.259999748319387"
"2996","-5.779999930411577","-5.779999930411577","-5.779999930411577"
"3093","-6.2399999015033245","-6.2399999015033245","-6.2399999015033245"
"3170","-23.459999680519104","-23.459999680519104","-23.459999680519104"
"3325","-6.159999907016754","-6.159999907016754","-6.159999907016754"
"3335","-16.399999778717756","-16.399999778717756","-16.399999778717756"
"3458","-24.13999966159463","-24.13999966159463","-24.13999966159463"
"3490","-11.899999853223562","-11.899999853223562","-11.899999853223562"
"3498","-3.4399999491870403","-3.4399999491870403","-3.4399999491870403"
"3573","-5.859999917447567","-5.859999917447567","-5.859999917447567"
"3627","-3.059999957680702","-3.059999957680702","-3.059999957680702"
"3656","-21.31999969854951","-21.31999969854951","-21.31999969854951"
"3714","-24.09999966993928","-24.09999966993928","-24.09999966993928"
"3724","-5.119999915361404","-5.119999915361404","-5.119999915361404"
"3970","-21.499999716877937","-21.499999716877937","-21.499999716877937"
"4206","-7.639999900013208","-7.639999900013208","-7.639999900013208"
"4469","-3.399999938905239","-3.399999938905239","-3.399999938905239"
"4535","-18.239999756217003","-18.239999756217003","-18.239999756217003"
"4681","-25.439999658614397","-25.439999658614397","-25.439999658614397"
"4775","-10.959999848157167","-10.959999848157167","-10.959999848157167"
"4935","-10.11999985948205","-10.11999985948205","-10.11999985948205"
"5060","-3.2199999503791332","-3.2199999503791332","-3.2199999503791332"
"5285","-5.639999929815531","-5.639999929815531","-5.639999929815531"
"5574","-18.279999747872353","-18.279999747872353","-18.279999747872353"
"5631","-2.379999965429306","-2.379999965429306","-2.379999965429306"
"5700","-8.499999903142452","-8.499999903142452","-8.499999903142452"
"6114","-42.239999420940876","-42.239999420940876","-42.239999420940876"
"6227","-5.419999923557043","-5.419999923557043","-5.419999923557043"
"6317","-18.379999741911888","-18.379999741911888","-18.379999741911888"
"6377","-12.419999834150076","-12.419999834150076","-12.419999834150076"
"6605","-23.13999968022108","-23.13999968022108","-23.13999968022108"
"6832","-40.1399994045496","-40.1399994045496","-40.1399994045496"
"6869","-3.9999999441206455","-3.9999999441206455","-3.9999999441206455"
"6910","-15.699999783188105","-15.699999783188105","-15.699999783188105"
"7097","-16.45999975502491","-16.45999975502491","-16.45999975502491"
"7256","-7.479999907314777","-7.479999907314777","-7.479999907314777"
"7269","-2.719999961555004","-2.719999961555004","-2.719999961555004"
"7450","-0.4599999897181988","-0.4599999897181988","-0.4599999897181988"
"7509","-54.69999924302101","-54.69999924302101","-54.69999924302101"
"7576","-10.499999843537807","-10.499999843537807","-10.499999843537807"
"7649","-11.019999843090773","-11.019999843090773","-11.019999843090773"
"7660","-9.65999985486269","-9.65999985486269","-9.65999985486269"
"7665","-4.479999929666519","-4.479999929666519","-4.479999929666519"
"7714","-27.759999606758356","-27.759999606758356","-27.759999606758356"
"7891","-11.759999834001064","-11.759999834001064","-11.759999834001064"
"8248","-14.199999798089266","-14.199999798089266","-14.199999798089266"
"8272","-13.739999793469906","-13.739999793469906","-13.739999793469906"
"8285","-9.03999986127019","-9.03999986127019","-9.03999986127019"
"8296","-8.479999873787165","-8.479999873787165","-8.479999873787165"
"8299","-9.239999864250422","-9.239999864250422","-9.239999864250422"
"8450","-4.139999944716692","-4.139999944716692","-4.139999944716692"
"8562","-7.139999903738499","-7.139999903738499","-7.139999903738499"
"8686","-6.859999913722277","-6.859999913722277","-6.859999913722277"
"8806","-11.519999835640192","-11.519999835640192","-11.519999835640192"
"9405","-18.879999727010727","-18.879999727010727","-18.879999727010727"
"9428","-12.81999984011054","-12.81999984011054","-12.81999984011054"
"9540","-21.799999702721834","-21.799999702721834","-21.799999702721834"
"9713","-9.799999859184027","-9.799999859184027","-9.799999859184027"
"9832","-3.8199999444186687","-3.8199999444186687","-3.8199999444186687"
"9945","-24.919999666512012","-24.919999666512012","-24.919999666512012"
"9997","-10.439999863505363","-10.439999863505363","-10.439999863505363"
"10069","-10.039999857544899","-10.039999857544899","-10.039999857544899"
"10464","-13.099999818950891","-13.099999818950891","-13.099999818950891"
"10614","-8.219999872148037","-8.219999872148037","-8.219999872148037"
"10852","-4.719999935477972","-4.719999935477972","-4.719999935477972"
"10856","-3.5799999460577965","-3.5799999460577965","-3.5799999460577965"
"10870","-4.339999925345182","-4.339999925345182","-4.339999925345182"
"10890","-4.379999935626984","-4.379999935626984","-4.379999935626984"
"10961","-13.379999812692404","-13.379999812692404","-13.379999812692404"
"11121","-3.0599999614059925","-3.0599999614059925","-3.0599999614059925"
"11199","-5.05999993160367","-5.05999993160367","-5.05999993160367"
"11323","-10.899999864399433","-10.899999864399433","-10.899999864399433"
"11451","-8.559999883174896","-8.559999883174896","-8.559999883174896"
"11475","-11.379999812692404","-11.379999812692404","-11.379999812692404"
"11562","-21.13999969139695","-21.13999969139695","-21.13999969139695"
"11570","-4.459999945014715","-4.459999945014715","-4.459999945014715"
"11587","-5.459999922662973","-5.459999922662973","-5.459999922662973"
"11645","-3.459999952465296","-3.459999952465296","-3.459999952465296"
"11682","-13.35999983549118","-13.35999983549118","-13.35999983549118"
"11805","-5.779999911785126","-5.779999911785126","-5.779999911785126"
"11856","-7.359999913722277","-7.359999913722277","-7.359999913722277"
"11859","-4.859999928623438","-4.859999928623438","-4.859999928623438"
"11880","-6.559999905526638","-6.559999905526638","-6.559999905526638"
"11933","-3.3799999356269836","-3.3799999356269836","-3.3799999356269836"
"12008","-8.439999878406525","-8.439999878406525","-8.439999878406525"
"12069","-7.679999880492687","-7.679999880492687","-7.679999880492687"
"12345","-7.259999893605709","-7.259999893605709","-7.259999893605709"
"12556","-9.719999846071005","-9.719999846071005","-9.719999846071005"
"12612","-12.119999825954437","-12.119999825954437","-12.119999825954437"
"12677","-9.339999873191118","-9.339999873191118","-9.339999873191118"
"12807","-8.879999849945307","-8.879999849945307","-8.879999849945307"
"12880","-7.95999988541007","-7.95999988541007","-7.95999988541007"
"13006","-7.41999989002943","-7.41999989002943","-7.41999989002943"
"13008","-7.059999901801348","-7.059999901801348","-7.059999901801348"
"13019","-11.43999982625246","-11.43999982625246","-11.43999982625246"
"13040","-3.979999952018261","-3.979999952018261","-3.979999952018261"
"13058","-1.7399999760091305","-1.7399999760091305","-1.7399999760091305"
"13077","-5.439999911934137","-5.439999911934137","-5.439999911934137"
"13222","-6.459999915212393","-6.459999915212393","-6.459999915212393"
"13225","-3.1399999484419823","-3.1399999484419823","-3.1399999484419823"
"13252","-3.9999999441206455","-3.9999999441206455","-3.9999999441206455"
"13339","-2.2599999643862247","-2.2599999643862247","-2.2599999643862247"
"13515","-2.27999996393919","-2.27999996393919","-2.27999996393919"
"13546","-4.01999993994832","-4.01999993994832","-4.01999993994832"
"13584","-1.9799999743700027","-1.9799999743700027","-1.9799999743700027"
"13625","-7.459999889135361","-7.459999889135361","-7.459999889135361"
"13632","-4.299999944865704","-4.299999944865704","-4.299999944865704"
"13665","-1.7399999722838402","-1.7399999722838402","-1.7399999722838402"
"13732","-2.7199999503791332","-2.7199999503791332","-2.7199999503791332"
"13771","-2.419999960809946","-2.419999960809946","-2.419999960809946"
"13779","-3.5399999618530273","-3.5399999618530273","-3.5399999618530273"
"13813","-1.2399999760091305","-1.2399999760091305","-1.2399999760091305"
"13824","-4.039999943226576","-4.039999943226576","-4.039999943226576"
"13827","-3.099999938160181","-3.099999938160181","-3.099999938160181"
"13897","-8.019999872893095","-8.019999872893095","-8.019999872893095"
"13959","-1.6999999731779099","-1.6999999731779099","-1.6999999731779099"
"14099","-5.139999937266111","-5.139999937266111","-5.139999937266111"
"14103","-1.1799999810755253","-1.1799999810755253","-1.1799999810755253"
"14122","-3.0999999567866325","-3.0999999567866325","-3.0999999567866325"
"14208","-4.859999924898148","-4.859999924898148","-4.859999924898148"
"14227","-5.559999916702509","-5.559999916702509","-5.559999916702509"
"14277","-2.099999964237213","-2.099999964237213","-2.099999964237213"
"14281","-7.639999907463789","-7.639999907463789","-7.639999907463789"
"14286","-1.879999965429306","-1.879999965429306","-1.879999965429306"
"14321","-9.359999872744083","-9.359999872744083","-9.359999872744083"
"14343","-1.559999980032444","-1.559999980032444","-1.559999980032444"
"14483","-4.279999937862158","-4.279999937862158","-4.279999937862158"
"14493","-2.359999965876341","-2.359999965876341","-2.359999965876341"
"14571","-4.019999943673611","-4.019999943673611","-4.019999943673611"
"14582","-2.899999961256981","-2.899999961256981","-2.899999961256981"
"14612","-4.43999994173646","-4.43999994173646","-4.43999994173646"
"14662","-3.2999999560415745","-3.2999999560415745","-3.2999999560415745"
"14664","-1.779999978840351","-1.779999978840351","-1.779999978840351"
"14666","-1.1599999852478504","-1.1599999852478504","-1.1599999852478504"
"14670","-5.419999923557043","-5.419999923557043","-5.419999923557043"
"14705","-4.51999993249774","-4.51999993249774","-4.51999993249774"
"14711","-2.399999964982271","-2.399999964982271","-2.399999964982271"
"14725","-1.4999999776482582","-1.4999999776482582","-1.4999999776482582"
"14735","-2.0599999614059925","-2.0599999614059925","-2.0599999614059925"
"14742","-4.05999993532896","-4.05999993532896","-4.05999993532896"
"14770","-1.4999999776482582","-1.4999999776482582","-1.4999999776482582"
"14781","-3.0799999572336674","-3.0799999572336674","-3.0799999572336674"
"14839","-8.159999880939722","-8.159999880939722","-8.159999880939722"
"14841","-1.7199999690055847","-1.7199999690055847","-1.7199999690055847"
"14874","-2.199999962002039","-2.199999962002039","-2.199999962002039"
"14902","-1.7399999722838402","-1.7399999722838402","-1.7399999722838402"
"14937","-6.419999908655882","-6.419999908655882","-6.419999908655882"
"14960","-4.119999933987856","-4.119999933987856","-4.119999933987856"
"14968","-4.219999942928553","-4.219999942928553","-4.219999942928553"
"15068","-3.739999935030937","-3.739999935030937","-3.739999935030937"
"15095","-4.01999993622303","-4.01999993622303","-4.01999993622303"
"15107","-5.759999915957451","-5.759999915957451","-5.759999915957451"
"15109","-3.639999944716692","-3.639999944716692","-3.639999944716692"
"15149","-0.9199999794363976","-0.9199999794363976","-0.9199999794363976"
"15156","-3.2799999602138996","-3.2799999602138996","-3.2799999602138996"
"15260","-1.7999999709427357","-1.7999999709427357","-1.7999999709427357"
"15262","-1.1399999745190144","-1.1399999745190144","-1.1399999745190144"
"15298","-8.57999986037612","-8.57999986037612","-8.57999986037612"
"15300","-1.2799999751150608","-1.2799999751150608","-1.2799999751150608"
"15355","-5.119999911636114","-5.119999911636114","-5.119999911636114"
"15359","-3.459999941289425","-3.459999941289425","-3.459999941289425"
"15409","-5.979999914765358","-5.979999914765358","-5.979999914765358"
"15426","-2.559999965131283","-2.559999965131283","-2.559999965131283"
"15501","-4.799999944865704","-4.799999944865704","-4.799999944865704"
"15590","-0.8399999812245369","-0.8399999812245369","-0.8399999812245369"
"15645","-4.419999934732914","-4.419999934732914","-4.419999934732914"
"15668","-6.259999912232161","-6.259999912232161","-6.259999912232161"
"15749","-1.2199999764561653","-1.2199999764561653","-1.2199999764561653"
"15797","-0.8399999849498272","-0.8399999849498272","-0.8399999849498272"
"15818","-7.2799998968839645","-7.2799998968839645","-7.2799998968839645"
"15873","-3.0799999572336674","-3.0799999572336674","-3.0799999572336674"
"15896","-4.659999914467335","-4.659999914467335","-4.659999914467335"
"15913","-3.5999999530613422","-3.5999999530613422","-3.5999999530613422"
"15917","-6.899999897927046","-6.899999897927046","-6.899999897927046"
"15949","-1.719999972730875","-1.719999972730875","-1.719999972730875"
"16000","-0.8799999803304672","-0.8799999803304672","-0.8799999803304672"
"16055","-11.759999822825193","-11.759999822825193","-11.759999822825193"
"16114","-4.099999941885471","-4.099999941885471","-4.099999941885471"
"16147","-4.05999993160367","-4.05999993160367","-4.05999993160367"
