"Step","env: MINECART - ep_info/First_minerium","env: MINECART - ep_info/First_minerium__MIN","env: MINECART - ep_info/First_minerium__MAX"
"25","0","0","0"
"112","0","0","0"
"170","0.10128152370452881","0.10128152370452881","0.10128152370452881"
"176","0","0","0"
"211","0","0","0"
"248","0","0","0"
"256","0","0","0"
"309","0","0","0"
"329","0.8112524747848511","0.8112524747848511","0.8112524747848511"
"469","0.6059238314628601","0.6059238314628601","0.6059238314628601"
"556","0","0","0"
"576","0.8112524747848511","0.8112524747848511","0.8112524747848511"
"628","0","0","0"
"635","0","0","0"
"707","0","0","0"
"785","0.9351838231086731","0.9351838231086731","0.9351838231086731"
"807","0.9353229999542236","0.9353229999542236","0.9353229999542236"
"869","0","0","0"
"876","0","0","0"
"906","0","0","0"
"978","1.3150635957717896","1.3150635957717896","1.3150635957717896"
"1031","0.11646880954504013","0.11646880954504013","0.11646880954504013"
"1048","0","0","0"
"1058","0","0","0"
"1100","0.01678283140063286","0.01678283140063286","0.01678283140063286"
"1114","0","0","0"
"1186","0","0","0"
"1294","0.05924573540687561","0.05924573540687561","0.05924573540687561"
"1346","0","0","0"
"1462","0","0","0"
"1479","0","0","0"
"1491","0.7701239585876465","0.7701239585876465","0.7701239585876465"
"1502","0.16450235247612","0.16450235247612","0.16450235247612"
"1526","0","0","0"
"1563","0.11133088916540146","0.11133088916540146","0.11133088916540146"
"1566","0","0","0"
"1572","0.8159527778625488","0.8159527778625488","0.8159527778625488"
"1577","0","0","0"
"1585","0.9189271926879883","0.9189271926879883","0.9189271926879883"
"1593","0","0","0"
"1612","0","0","0"
"1613","0","0","0"
"1654","0","0","0"
"1687","0","0","0"
"1720","0","0","0"
"1732","0","0","0"
"1744","0","0","0"
"1747","0","0","0"
"1776","0.7716292142868042","0.7716292142868042","0.7716292142868042"
"1829","0","0","0"
"1908","0","0","0"
"1917","0","0","0"
"2136","0.8655210137367249","0.8655210137367249","0.8655210137367249"
"2236","0","0","0"
"2260","0","0","0"
"2285","0.08896878361701965","0.08896878361701965","0.08896878361701965"
"2315","0","0","0"
"2329","1.3921128511428833","1.3921128511428833","1.3921128511428833"
"2362","0","0","0"
"2391","1.3857530355453491","1.3857530355453491","1.3857530355453491"
"2471","0.7644587159156799","0.7644587159156799","0.7644587159156799"
"2503","0.09884116053581238","0.09884116053581238","0.09884116053581238"
"2520","0.7275256514549255","0.7275256514549255","0.7275256514549255"
"2545","0.7812222242355347","0.7812222242355347","0.7812222242355347"
"2641","1.273882508277893","1.273882508277893","1.273882508277893"
"2706","0","0","0"
"2758","0","0","0"
"2809","0.5908647775650024","0.5908647775650024","0.5908647775650024"
"2851","0","0","0"
"2852","0.5211319923400879","0.5211319923400879","0.5211319923400879"
"2881","0","0","0"
"2895","0","0","0"
"2927","0","0","0"
"2933","0.8545023202896118","0.8545023202896118","0.8545023202896118"
"2963","0","0","0"
"3050","0.11006167531013489","0.11006167531013489","0.11006167531013489"
"3119","0.8928964138031006","0.8928964138031006","0.8928964138031006"
"3128","0","0","0"
"3132","0","0","0"
"3161","0","0","0"
"3220","0","0","0"
"3253","0.7120847702026367","0.7120847702026367","0.7120847702026367"
"3267","0.7731421589851379","0.7731421589851379","0.7731421589851379"
"3389","0.8490350842475891","0.8490350842475891","0.8490350842475891"
"3433","0","0","0"
"3594","0","0","0"
"3673","0","0","0"
"3711","0.1029377430677414","0.1029377430677414","0.1029377430677414"
"3770","0.5488159656524658","0.5488159656524658","0.5488159656524658"
"3805","0","0","0"
"3859","0","0","0"
"3900","0","0","0"
"3961","0.25469279289245605","0.25469279289245605","0.25469279289245605"
"4005","0.717067539691925","0.717067539691925","0.717067539691925"
"4044","0","0","0"
"4111","0","0","0"
"4198","0.9942231178283691","0.9942231178283691","0.9942231178283691"
"4302","1.2963534593582153","1.2963534593582153","1.2963534593582153"
"4333","0","0","0"
"4377","0","0","0"
"4466","0.3708971440792084","0.3708971440792084","0.3708971440792084"
"4500","0","0","0"
"4568","0","0","0"
"4580","0","0","0"
"4615","0","0","0"
"4616","0","0","0"
"4617","0.10247911512851715","0.10247911512851715","0.10247911512851715"
"4618","0","0","0"
"4653","0.7934642434120178","0.7934642434120178","0.7934642434120178"
"4694","0","0","0"
"4726","0","0","0"
"4763","0","0","0"
"4782","0","0","0"
"4802","0","0","0"
"4803","0","0","0"
"4837","0","0","0"
"4869","0.0068096281029284","0.0068096281029284","0.0068096281029284"
"4909","0.013535980135202408","0.013535980135202408","0.013535980135202408"
"4961","0.31898126006126404","0.31898126006126404","0.31898126006126404"
"4969","0.7147838473320007","0.7147838473320007","0.7147838473320007"
"4993","0","0","0"
"5075","0","0","0"
"5131","0","0","0"
"5186","0.4256819188594818","0.4256819188594818","0.4256819188594818"
"5253","0.5524385571479797","0.5524385571479797","0.5524385571479797"
"5325","0.8327061533927917","0.8327061533927917","0.8327061533927917"
"5339","0.814237654209137","0.814237654209137","0.814237654209137"
"5380","1.3425730466842651","1.3425730466842651","1.3425730466842651"
"5388","0.0830264538526535","0.0830264538526535","0.0830264538526535"
"5516","0.5963891744613647","0.5963891744613647","0.5963891744613647"
"5560","0","0","0"
"5671","0.2607339918613434","0.2607339918613434","0.2607339918613434"
"5686","0.7628003358840942","0.7628003358840942","0.7628003358840942"
