"Step","env: MINECART - ep_info/Fuel","env: MINECART - ep_info/Fuel__MIN","env: MINECART - ep_info/Fuel__MAX"
"25","-1.1999999806284904","-1.1999999806284904","-1.1999999806284904"
"112","-4.459999941289425","-4.459999941289425","-4.459999941289425"
"170","-10.599999848753214","-10.599999848753214","-10.599999848753214"
"176","-12.219999838620424","-12.219999838620424","-12.219999838620424"
"211","-4.399999942630529","-4.399999942630529","-4.399999942630529"
"248","-6.019999895244837","-6.019999895244837","-6.019999895244837"
"256","-6.9999999068677425","-6.9999999068677425","-6.9999999068677425"
"309","-3.039999958127737","-3.039999958127737","-3.039999958127737"
"329","-3.7399999499320984","-3.7399999499320984","-3.7399999499320984"
"469","-22.379999693483114","-22.379999693483114","-22.379999693483114"
"556","-6.259999915957451","-6.259999915957451","-6.259999915957451"
"576","-26.69999960809946","-26.69999960809946","-26.69999960809946"
"628","-2.8999999575316906","-2.8999999575316906","-2.8999999575316906"
"635","-8.899999860674143","-8.899999860674143","-8.899999860674143"
"707","-4.239999946206808","-4.239999946206808","-4.239999946206808"
"785","-20.85999970138073","-20.85999970138073","-20.85999970138073"
"807","-39.479999486356974","-39.479999486356974","-39.479999486356974"
"869","-5.139999911189079","-5.139999911189079","-5.139999911189079"
"876","-5.619999919086695","-5.619999919086695","-5.619999919086695"
"906","-3.6399999484419823","-3.6399999484419823","-3.6399999484419823"
"978","-39.51999943330884","-39.51999943330884","-39.51999943330884"
"1031","-26.979999650269747","-26.979999650269747","-26.979999650269747"
"1048","-4.899999938905239","-4.899999938905239","-4.899999938905239"
"1058","-3.3799999579787254","-3.3799999579787254","-3.3799999579787254"
"1100","-4.139999940991402","-4.139999940991402","-4.139999940991402"
"1114","-4.119999948889017","-4.119999948889017","-4.119999948889017"
"1186","-4.05999992787838","-4.05999992787838","-4.05999992787838"
"1294","-18.259999752044678","-18.259999752044678","-18.259999752044678"
"1346","-7.739999894052744","-7.739999894052744","-7.739999894052744"
"1462","-4.639999937266111","-4.639999937266111","-4.639999937266111"
"1479","-4.919999931007624","-4.919999931007624","-4.919999931007624"
"1491","-32.77999955788255","-32.77999955788255","-32.77999955788255"
"1502","-5.859999924898148","-5.859999924898148","-5.859999924898148"
"1526","-15.839999791234732","-15.839999791234732","-15.839999791234732"
"1563","-26.359999641776085","-26.359999641776085","-26.359999641776085"
"1566","-13.63999979197979","-13.63999979197979","-13.63999979197979"
"1572","-15.459999784827232","-15.459999784827232","-15.459999784827232"
"1577","-6.71999991312623","-6.71999991312623","-6.71999991312623"
"1585","-14.199999805539846","-14.199999805539846","-14.199999805539846"
"1593","-4.819999925792217","-4.819999925792217","-4.819999925792217"
"1612","-6.219999928027391","-6.219999928027391","-6.219999928027391"
"1613","-9.439999863505363","-9.439999863505363","-9.439999863505363"
"1654","-3.6999999471008778","-3.6999999471008778","-3.6999999471008778"
"1687","-5.59999992698431","-5.59999992698431","-5.59999992698431"
"1720","-8.639999881386757","-8.639999881386757","-8.639999881386757"
"1732","-10.679999854415655","-10.679999854415655","-10.679999854415655"
"1744","-3.93999994546175","-3.93999994546175","-3.93999994546175"
"1747","-11.039999850094318","-11.039999850094318","-11.039999850094318"
"1776","-6.3799999095499516","-6.3799999095499516","-6.3799999095499516"
"1829","-1.1199999824166298","-1.1199999824166298","-1.1199999824166298"
"1908","-6.719999894499779","-6.719999894499779","-6.719999894499779"
"1917","-6.439999919384718","-6.439999919384718","-6.439999919384718"
"2136","-21.23999971523881","-21.23999971523881","-21.23999971523881"
"2236","-10.779999870806932","-10.779999870806932","-10.779999870806932"
"2260","-4.819999933242798","-4.819999933242798","-4.819999933242798"
"2285","-9.079999879002571","-9.079999879002571","-9.079999879002571"
"2315","-3.9999999441206455","-3.9999999441206455","-3.9999999441206455"
"2329","-18.87999975308776","-18.87999975308776","-18.87999975308776"
"2362","-13.55999981611967","-13.55999981611967","-13.55999981611967"
"2391","-7.919999893754721","-7.919999893754721","-7.919999893754721"
"2471","-14.599999815225601","-14.599999815225601","-14.599999815225601"
"2503","-1.9799999706447124","-1.9799999706447124","-1.9799999706447124"
"2520","-23.339999679476023","-23.339999679476023","-23.339999679476023"
"2545","-5.63999991491437","-5.63999991491437","-5.63999991491437"
"2641","-36.33999950066209","-36.33999950066209","-36.33999950066209"
"2706","-5.71999991312623","-5.71999991312623","-5.71999991312623"
"2758","-3.179999954998493","-3.179999954998493","-3.179999954998493"
"2809","-6.439999904483557","-6.439999904483557","-6.439999904483557"
"2851","-8.91999989002943","-8.91999989002943","-8.91999989002943"
"2852","-19.439999736845493","-19.439999736845493","-19.439999736845493"
"2881","-2.379999976605177","-2.379999976605177","-2.379999976605177"
"2895","-3.6399999484419823","-3.6399999484419823","-3.6399999484419823"
"2927","-3.299999952316284","-3.299999952316284","-3.299999952316284"
"2933","-6.119999930262566","-6.119999930262566","-6.119999930262566"
"2963","-3.2999999597668648","-3.2999999597668648","-3.2999999597668648"
"3050","-8.619999889284372","-8.619999889284372","-8.619999889284372"
"3119","-10.919999841600657","-10.919999841600657","-10.919999841600657"
"3128","-4.3599999360740185","-4.3599999360740185","-4.3599999360740185"
"3132","-14.039999809116125","-14.039999809116125","-14.039999809116125"
"3161","-11.65999984741211","-11.65999984741211","-11.65999984741211"
"3220","-17.67999977618456","-17.67999977618456","-17.67999977618456"
"3253","-24.43999968096614","-24.43999968096614","-24.43999968096614"
"3267","-8.599999878555536","-8.599999878555536","-8.599999878555536"
"3389","-29.23999958857894","-29.23999958857894","-29.23999958857894"
"3433","-7.279999893158674","-7.279999893158674","-7.279999893158674"
"3594","-3.2999999560415745","-3.2999999560415745","-3.2999999560415745"
"3673","-2.8599999472498894","-2.8599999472498894","-2.8599999472498894"
"3711","-4.739999927580357","-4.739999927580357","-4.739999927580357"
"3770","-6.2999999187886715","-6.2999999187886715","-6.2999999187886715"
"3805","-8.519999880343676","-8.519999880343676","-8.519999880343676"
"3859","-12.039999835193157","-12.039999835193157","-12.039999835193157"
