"Step","env: MINECART - ep_info/Fuel","env: MINECART - ep_info/Fuel__MIN","env: MINECART - ep_info/Fuel__MAX"
"281","-7.499999910593033","-7.499999910593033","-7.499999910593033"
"424","-28.779999621212482","-28.779999621212482","-28.779999621212482"
"446","-17.33999977633357","-17.33999977633357","-17.33999977633357"
"577","-8.41999988630414","-8.41999988630414","-8.41999988630414"
"647","-5.419999919831753","-5.419999919831753","-5.419999919831753"
"749","-9.559999883174896","-9.559999883174896","-9.559999883174896"
"762","-7.099999900907278","-7.099999900907278","-7.099999900907278"
"833","-5.5999999195337296","-5.5999999195337296","-5.5999999195337296"
"912","-9.799999848008156","-9.799999848008156","-9.799999848008156"
"945","-4.6999999433755875","-4.6999999433755875","-4.6999999433755875"
"965","-24.159999664872885","-24.159999664872885","-24.159999664872885"
"1177","-8.519999869167805","-8.519999869167805","-8.519999869167805"
"1300","-11.179999828338623","-11.179999828338623","-11.179999828338623"
"1468","-7.279999893158674","-7.279999893158674","-7.279999893158674"
"1484","-2.3199999667704105","-2.3199999667704105","-2.3199999667704105"
"1525","-22.519999712705612","-22.519999712705612","-22.519999712705612"
"1608","-14.259999796748161","-14.259999796748161","-14.259999796748161"
"1757","-27.639999605715275","-27.639999605715275","-27.639999605715275"
"1904","-2.5799999684095383","-2.5799999684095383","-2.5799999684095383"
"1942","-11.579999841749668","-11.579999841749668","-11.579999841749668"
"1979","-11.93999982997775","-11.93999982997775","-11.93999982997775"
"2003","-9.779999867081642","-9.779999867081642","-9.779999867081642"
"2116","-57.71999918669462","-57.71999918669462","-57.71999918669462"
"2228","-2.6999999694526196","-2.6999999694526196","-2.6999999694526196"
"2382","-11.319999858736992","-11.319999858736992","-11.319999858736992"
"2423","-8.499999884516","-8.499999884516","-8.499999884516"
"2453","-9.259999878704548","-9.259999878704548","-9.259999878704548"
"2490","-13.139999806880951","-13.139999806880951","-13.139999806880951"
"2965","-2.3399999663233757","-2.3399999663233757","-2.3399999663233757"
"3043","-6.619999885559082","-6.619999885559082","-6.619999885559082"
"3118","-5.899999924004078","-5.899999924004078","-5.899999924004078"
"3127","-3.5999999456107616","-3.5999999456107616","-3.5999999456107616"
"3164","-6.559999909251928","-6.559999909251928","-6.559999909251928"
"3396","-5.839999921619892","-5.839999921619892","-5.839999921619892"
"3542","-2.879999954253435","-2.879999954253435","-2.879999954253435"
"3684","-3.259999956935644","-3.259999956935644","-3.259999956935644"
"3820","-5.119999933987856","-5.119999933987856","-5.119999933987856"
"3862","-16.819999743252993","-16.819999743252993","-16.819999743252993"
"3866","-11.599999852478504","-11.599999852478504","-11.599999852478504"
"3922","-14.559999763965607","-14.559999763965607","-14.559999763965607"
"3965","-11.959999829530716","-11.959999829530716","-11.959999829530716"
"4042","-12.399999812245369","-12.399999812245369","-12.399999812245369"
"4309","-21.63999968022108","-21.63999968022108","-21.63999968022108"
"4412","-4.379999928176403","-4.379999928176403","-4.379999928176403"
"4491","-7.959999900311232","-7.959999900311232","-7.959999900311232"
"4692","-22.999999664723873","-22.999999664723873","-22.999999664723873"
"4708","-8.059999879449606","-8.059999879449606","-8.059999879449606"
"4709","-4.219999939203262","-4.219999939203262","-4.219999939203262"
"4913","-10.639999821782112","-10.639999821782112","-10.639999821782112"
"5024","-12.419999804347754","-12.419999804347754","-12.419999804347754"
"5441","-7.479999892413616","-7.479999892413616","-7.479999892413616"
"5552","-4.899999924004078","-4.899999924004078","-4.899999924004078"
"5562","-23.659999683499336","-23.659999683499336","-23.659999683499336"
"5582","-8.559999860823154","-8.559999860823154","-8.559999860823154"
"5678","-50.459999319165945","-50.459999319165945","-50.459999319165945"
"5919","-2.8199999667704105","-2.8199999667704105","-2.8199999667704105"
"6209","-10.859999850392342","-10.859999850392342","-10.859999850392342"
"6227","-0.939999982714653","-0.939999982714653","-0.939999982714653"
"6282","-13.759999807924032","-13.759999807924032","-13.759999807924032"
"6429","-10.979999847710133","-10.979999847710133","-10.979999847710133"
"6448","-4.879999931901693","-4.879999931901693","-4.879999931901693"
"6542","-6.859999891370535","-6.859999891370535","-6.859999891370535"
"6574","-9.699999861419201","-9.699999861419201","-9.699999861419201"
"6630","-5.299999922513962","-5.299999922513962","-5.299999922513962"
"6700","-31.359999544918537","-31.359999544918537","-31.359999544918537"
"6856","-11.679999835789204","-11.679999835789204","-11.679999835789204"
"6860","-4.59999992698431","-4.59999992698431","-4.59999992698431"
"6869","-7.659999880939722","-7.659999880939722","-7.659999880939722"
"7028","-6.899999901652336","-6.899999901652336","-6.899999901652336"
"7093","-14.55999980121851","-14.55999980121851","-14.55999980121851"
"7171","-4.259999938309193","-4.259999938309193","-4.259999938309193"
"7508","-25.019999619573355","-25.019999619573355","-25.019999619573355"
"7661","-6.159999914467335","-6.159999914467335","-6.159999914467335"
"7826","-7.4399998895823956","-7.4399998895823956","-7.4399998895823956"
"7859","-17.739999756217003","-17.739999756217003","-17.739999756217003"
"8003","-5.479999911040068","-5.479999911040068","-5.479999911040068"
"8117","-17.45999973639846","-17.45999973639846","-17.45999973639846"
"8239","-4.379999931901693","-4.379999931901693","-4.379999931901693"
"8350","-3.1399999633431435","-3.1399999633431435","-3.1399999633431435"
"8445","-10.259999863803387","-10.259999863803387","-10.259999863803387"
"8447","-7.659999884665012","-7.659999884665012","-7.659999884665012"
"8453","-1.519999973475933","-1.519999973475933","-1.519999973475933"
"8580","-3.7199999429285526","-3.7199999429285526","-3.7199999429285526"
"8658","-3.9599999338388443","-3.9599999338388443","-3.9599999338388443"
"8726","-4.419999942183495","-4.419999942183495","-4.419999942183495"
"8974","-17.619999784976244","-17.619999784976244","-17.619999784976244"
"9078","-5.139999933540821","-5.139999933540821","-5.139999933540821"
"9229","-3.7999999411404133","-3.7999999411404133","-3.7999999411404133"
"9346","-1.6199999786913395","-1.6199999786913395","-1.6199999786913395"
"9349","-2.399999964982271","-2.399999964982271","-2.399999964982271"
"9359","-6.879999902099371","-6.879999902099371","-6.879999902099371"
"9485","-20.299999721348286","-20.299999721348286","-20.299999721348286"
"9692","-4.619999926537275","-4.619999926537275","-4.619999926537275"
"9936","-8.099999904632568","-8.099999904632568","-8.099999904632568"
"10190","-2.6199999637901783","-2.6199999637901783","-2.6199999637901783"
"10196","-7.239999890327454","-7.239999890327454","-7.239999890327454"
"10265","-2.499999962747097","-2.499999962747097","-2.499999962747097"
"10331","-2.799999963492155","-2.799999963492155","-2.799999963492155"
"10343","-3.1599999517202377","-3.1599999517202377","-3.1599999517202377"
"10450","-21.599999703466892","-21.599999703466892","-21.599999703466892"
"10545","-11.939999841153622","-11.939999841153622","-11.939999841153622"
"10580","-3.7799999453127384","-3.7799999453127384","-3.7799999453127384"
"10647","-2.079999975860119","-2.079999975860119","-2.079999975860119"
"10715","-3.6599999368190765","-3.6599999368190765","-3.6599999368190765"
"10728","-7.359999902546406","-7.359999902546406","-7.359999902546406"
"10729","-3.8999999426305294","-3.8999999426305294","-3.8999999426305294"
"10845","-6.519999913871288","-6.519999913871288","-6.519999913871288"
"10853","-3.2399999387562275","-3.2399999387562275","-3.2399999387562275"
"10890","-4.639999929815531","-4.639999929815531","-4.639999929815531"
"10900","-3.339999955147505","-3.339999955147505","-3.339999955147505"
"10936","-14.499999806284904","-14.499999806284904","-14.499999806284904"
"10985","-5.13999992236495","-5.13999992236495","-5.13999992236495"
"10997","-5.739999916404486","-5.739999916404486","-5.739999916404486"
"11075","-8.279999874532223","-8.279999874532223","-8.279999874532223"
"11078","-0.8399999849498272","-0.8399999849498272","-0.8399999849498272"
"11088","-3.3399999514222145","-3.3399999514222145","-3.3399999514222145"
"11214","-7.559999898076057","-7.559999898076057","-7.559999898076057"
"11368","-1.9599999636411667","-1.9599999636411667","-1.9599999636411667"
"11473","-10.979999855160713","-10.979999855160713","-10.979999855160713"
"11481","-3.259999953210354","-3.259999953210354","-3.259999953210354"
"11552","-4.499999936670065","-4.499999936670065","-4.499999936670065"
"11566","-4.819999925792217","-4.819999925792217","-4.819999925792217"
"11632","-9.379999872297049","-9.379999872297049","-9.379999872297049"
"11642","-6.839999910444021","-6.839999910444021","-6.839999910444021"
"11735","-5.419999931007624","-5.419999931007624","-5.419999931007624"
"11746","-5.779999900609255","-5.779999900609255","-5.779999900609255"
"11804","-3.5399999506771564","-3.5399999506771564","-3.5399999506771564"
"11879","-2.599999964237213","-2.599999964237213","-2.599999964237213"
"11882","-4.679999925196171","-4.679999925196171","-4.679999925196171"
"11994","-6.199999917298555","-6.199999917298555","-6.199999917298555"
"12103","-2.1799999698996544","-2.1799999698996544","-2.1799999698996544"
"12150","-15.159999791532755","-15.159999791532755","-15.159999791532755"
"12198","-1.7999999709427357","-1.7999999709427357","-1.7999999709427357"
"12214","-6.739999905228615","-6.739999905228615","-6.739999905228615"
"12230","-5.899999927729368","-5.899999927729368","-5.899999927729368"
"12262","-5.0199999287724495","-5.0199999287724495","-5.0199999287724495"
"12292","-1.5799999684095383","-1.5799999684095383","-1.5799999684095383"
"12296","-2.719999946653843","-2.719999946653843","-2.719999946653843"
"12305","-3.539999946951866","-3.539999946951866","-3.539999946951866"
"12451","-4.139999937266111","-4.139999937266111","-4.139999937266111"
"12452","-6.019999910145998","-6.019999910145998","-6.019999910145998"
"12501","-12.35999983549118","-12.35999983549118","-12.35999983549118"
"12537","-3.719999946653843","-3.719999946653843","-3.719999946653843"
"12606","-1.4799999743700027","-1.4799999743700027","-1.4799999743700027"
"12613","-1.1999999806284904","-1.1999999806284904","-1.1999999806284904"
"12657","-4.4799999333918095","-4.4799999333918095","-4.4799999333918095"
"12663","-3.6199999414384365","-3.6199999414384365","-3.6199999414384365"
"12692","-3.97999994084239","-3.97999994084239","-3.97999994084239"
"12706","-2.659999966621399","-2.659999966621399","-2.659999966621399"
"12714","-7.679999880492687","-7.679999880492687","-7.679999880492687"
"12733","-1.2999999709427357","-1.2999999709427357","-1.2999999709427357"
"12814","-3.459999945014715","-3.459999945014715","-3.459999945014715"
"12842","-2.5399999655783176","-2.5399999655783176","-2.5399999655783176"
"13003","-5.13999992236495","-5.13999992236495","-5.13999992236495"
"13006","-1.7999999709427357","-1.7999999709427357","-1.7999999709427357"
"13141","-1.2999999783933163","-1.2999999783933163","-1.2999999783933163"
