"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"1","14","0","70"
"2","28","0","70"
"3","14","0","70"
"4","28","0","70"
"5","14","0","70"
"6","14","0","70"
"7","21","0","70"
"8","0","0","0"
"9","7","0","70"
"10","28","0","70"
"11","7","0","70"
"12","14","0","70"
"13","0","0","0"
"14","14","0","70"
"15","14","0","70"
"16","0","0","0"
"17","21","0","70"
"18","14","0","70"
"19","7","0","70"
"20","0","0","0"
"21","7","0","70"
"22","14","0","70"
"23","14","0","70"
"24","7","0","70"
"25","28","0","70"
"26","7","0","70"
"27","0","0","0"
"28","14","0","70"
"29","0","0","0"
"30","0","0","0"
"31","14","0","70"
"32","14","0","70"
"33","7","0","70"
"34","7","0","70"
"35","28","0","70"
"36","7","0","70"
"37","0","0","0"
"38","7","0","70"
"39","14","0","70"
"40","14","0","70"
"41","14","0","70"
"42","28","0","70"
"43","14","0","70"
"44","7","0","70"
"45","35","0","70"
"46","7","0","70"
"47","7","0","70"
"48","7","0","70"
"49","7","0","70"
"50","21","0","70"
"51","7","0","70"
"52","14","0","70"
"53","14","0","70"
"54","0","0","0"
"55","21","0","70"
"56","7","0","70"
"57","14","0","70"
"58","7","0","70"
"59","14","0","70"
"60","7","0","70"
"61","21","0","70"
"62","14","0","70"
"63","7","0","70"
"64","7","0","70"
"65","7","0","70"
"66","14","0","70"
"67","14","0","70"
"68","28","0","70"
"69","7","0","70"
"70","21","0","70"
"71","7","0","70"
"72","0","0","0"
"73","7","0","70"
"74","7","0","70"
"75","14","0","70"
"76","0","0","0"
"77","7","0","70"
"78","14","0","70"
"79","7","0","70"
"80","14","0","70"
"81","7","0","70"
"82","14","0","70"
"83","7","0","70"
"84","7","0","70"
"85","7","0","70"
"86","0","0","0"
"87","7","0","70"
"88","7","0","70"
"89","7","0","70"
"90","7","0","70"
"91","7","0","70"
"92","0","0","0"
"93","7","0","70"
"94","14","0","70"
"95","7","0","70"
"96","7","0","70"
"97","7","0","70"
"98","7","0","70"
"99","7","0","70"
"100","7","0","70"
"101","7","0","70"
"102","14","0","70"
"103","14","0","70"
"104","7","0","70"
"105","14","0","70"
"106","0","0","0"
"107","7","0","70"
"108","7","0","70"
"109","0","0","0"
"110","14","0","70"
"111","14","0","70"
"112","21","0","70"
"113","7","0","70"
"114","0","0","0"
"115","7","0","70"
"116","7","0","70"
"117","7","0","70"
"118","7","0","70"
"119","14","0","70"
"120","7","0","70"
"121","14","0","70"
"122","7","0","70"
"123","14","0","70"
"124","7","0","70"
"125","0","0","0"
"126","7","0","70"
"127","0","0","0"
"128","7","0","70"
"129","7","0","70"
"130","7","0","70"
"131","14","0","70"
"132","14","0","70"
"133","0","0","0"
"134","0","0","0"
"135","7","0","70"
"136","7","0","70"
"137","7","0","70"
"138","7","0","70"
"139","7","0","70"
"140","7","0","70"
"141","0","0","0"
"142","7","0","70"
"143","7","0","70"
"144","7","0","70"
"145","7","0","70"
"146","0","0","0"
"147","7","0","70"
"148","7","0","70"
"149","14","0","70"
"150","14","0","70"
"151","0","0","0"
"152","7","0","70"
"153","0","0","0"
"154","7","0","70"
"155","7","0","70"
"156","14","0","70"
"157","7","0","70"
"158","7","0","70"
"159","7","0","70"
"160","14","0","70"
"161","7","0","70"
"162","7","0","70"
"163","0","0","0"
"164","7","0","70"
"165","0","0","0"
"166","7","0","70"
"167","7","0","70"
"168","0","0","0"
"169","14","0","70"
"170","0","0","0"
"171","0","0","0"
"172","7","0","70"
"173","0","0","0"
"174","0","0","0"
"175","0","0","0"
"176","7","0","70"
"177","0","0","0"
"178","0","0","0"
"179","7","0","70"
"180","7","0","70"
"181","0","0","0"
"182","0","0","0"
"183","0","0","0"
"184","7","0","70"
"185","0","0","0"
"186","0","0","0"
"187","0","0","0"
"188","0","0","0"
"189","7","0","70"
"190","7","0","70"
"191","0","0","0"
"192","14","0","70"
"193","0","0","0"
"194","0","0","0"
"195","0","0","0"
"196","0","0","0"
"197","0","0","0"
"198","0","0","0"
"199","7","0","70"
"200","0","0","0"
"201","0","0","0"
"202","7","0","70"
"203","0","0","0"
"204","0","0","0"
"205","14","0","70"
"206","7","0","70"
"207","0","0","0"
"208","14","0","70"
"209","0","0","0"
"210","0","0","0"
"211","0","0","0"
"212","0","0","0"
"213","0","0","0"
"214","14","0","70"
