"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"1","20","0","100"
"2","30","0","100"
"3","10","0","100"
"4","20","0","100"
"5","40","0","100"
"6","40","0","100"
"7","10","0","100"
"8","30","0","100"
"9","50","0","100"
"10","20","0","100"
"11","40","0","100"
"12","50","0","100"
"13","50","0","100"
"14","40","0","100"
"15","40","0","100"
"16","80","0","100"
"17","50","0","100"
"18","60","0","100"
"19","40","0","100"
"20","80","0","100"
"21","70","0","100"
"22","80","0","100"
"23","50","0","100"
"24","60","0","100"
"25","50","0","100"
"26","90","0","100"
"27","100","100","100"
"28","60","0","100"
"29","80","0","100"
"30","90","0","100"
"31","80","0","100"
"32","70","0","100"
"33","80","0","100"
"34","80","0","100"
"35","60","0","100"
"36","70","0","100"
"37","100","100","100"
"38","80","0","100"
"39","80","0","100"
"40","80","0","100"
"41","80","0","100"
"42","30","0","100"
"43","80","0","100"
"44","90","0","100"
"45","40","0","100"
"46","90","0","100"
"47","90","0","100"
"48","90","0","100"
"49","90","0","100"
"50","60","0","100"
"51","90","0","100"
"52","80","0","100"
"53","80","0","100"
"54","100","100","100"
"55","70","0","100"
"56","90","0","100"
"57","70","0","100"
"58","80","0","100"
"59","80","0","100"
"60","90","0","100"
"61","70","0","100"
"62","80","0","100"
"63","80","0","100"
"64","80","0","100"
"65","90","0","100"
"66","80","0","100"
"67","80","0","100"
"68","70","0","100"
"69","90","0","100"
"70","80","0","100"
"71","90","0","100"
"72","90","0","100"
"73","80","0","100"
"74","90","0","100"
"75","80","0","100"
"76","100","100","100"
"77","100","100","100"
"78","70","0","100"
"79","90","0","100"
"80","80","0","100"
"81","90","0","100"
"82","80","0","100"
"83","100","100","100"
"84","90","0","100"
"85","90","0","100"
"86","100","100","100"
"87","80","0","100"
"88","90","0","100"
"89","90","0","100"
"90","80","0","100"
"91","90","0","100"
"92","100","100","100"
"93","80","0","100"
"94","70","0","100"
"95","90","0","100"
"96","80","0","100"
"97","80","0","100"
"98","80","0","100"
"99","90","0","100"
"100","90","0","100"
"101","90","0","100"
"102","70","0","100"
"103","80","0","100"
"104","90","0","100"
"105","80","0","100"
"106","90","0","100"
"107","90","0","100"
"108","90","0","100"
"109","100","100","100"
"110","80","0","100"
"111","80","0","100"
"112","70","0","100"
"113","90","0","100"
"114","100","100","100"
"115","80","0","100"
"116","90","0","100"
"117","90","0","100"
"118","90","0","100"
"119","80","0","100"
"120","90","0","100"
"121","80","0","100"
"122","90","0","100"
"123","90","0","100"
"124","90","0","100"
"125","100","100","100"
"126","100","100","100"
"127","90","0","100"
"128","90","0","100"
"129","100","100","100"
"130","100","100","100"
"131","90","0","100"
"132","90","0","100"
"133","100","100","100"
"134","100","100","100"
"135","90","0","100"
"136","80","0","100"
"137","90","0","100"
"138","100","100","100"
"139","100","100","100"
"140","90","0","100"
"141","100","100","100"
"142","100","100","100"
"143","100","100","100"
"144","100","100","100"
"145","100","100","100"
"146","100","100","100"
"147","100","100","100"
"148","90","0","100"
"149","90","0","100"
"150","80","0","100"
"151","100","100","100"
"152","100","100","100"
"153","100","100","100"
"154","100","100","100"
"155","100","100","100"
"156","90","0","100"
"157","100","100","100"
"158","100","100","100"
"159","90","0","100"
"160","90","0","100"
"161","90","0","100"
"162","100","100","100"
"163","100","100","100"
"164","100","100","100"
"165","100","100","100"
"166","100","100","100"
"167","90","0","100"
"168","100","100","100"
"169","80","0","100"
"170","100","100","100"
"171","90","0","100"
"172","100","100","100"
"173","100","100","100"
"174","100","100","100"
"175","100","100","100"
"176","90","0","100"
"177","100","100","100"
"178","100","100","100"
"179","90","0","100"
"180","90","0","100"
"181","100","100","100"
"182","100","100","100"
"183","100","100","100"
"184","100","100","100"
"185","100","100","100"
"186","100","100","100"
"187","100","100","100"
"188","100","100","100"
"189","90","0","100"
"190","90","0","100"
"191","90","0","100"
"192","90","0","100"
"193","100","100","100"
"194","100","100","100"
"195","100","100","100"
"196","100","100","100"
"197","90","0","100"
"198","100","100","100"
"199","90","0","100"
"200","100","100","100"
"201","100","100","100"
"202","100","100","100"
"203","100","100","100"
"204","100","100","100"
"205","90","0","100"
"206","100","100","100"
"207","100","100","100"
"208","90","0","100"
"209","100","100","100"
"210","100","100","100"
"211","100","100","100"
"212","100","100","100"
"213","100","100","100"
"214","90","0","100"
"215","100","100","100"
"216","90","0","100"
"217","100","100","100"
"218","100","100","100"
"219","100","100","100"
"220","100","100","100"
"221","100","100","100"
"222","100","100","100"
"223","100","100","100"
"224","100","100","100"
"225","100","100","100"
"226","100","100","100"
"227","90","0","100"
"228","90","0","100"
"229","100","100","100"
"230","100","100","100"
"231","100","100","100"
"232","90","0","100"
"233","90","0","100"
"234","100","100","100"
"235","90","0","100"
"236","100","100","100"
"237","90","0","100"
"238","90","0","100"
"239","100","100","100"
"240","100","100","100"
"241","100","100","100"
"242","100","100","100"
"243","100","100","100"
"244","100","100","100"
"245","100","100","100"
"246","100","100","100"
"247","100","100","100"
"248","100","100","100"
"249","100","100","100"
"250","100","100","100"
"251","90","0","100"
"252","100","100","100"
"253","100","100","100"
"254","100","100","100"
"255","90","0","100"
"256","100","100","100"
"257","100","100","100"
"258","90","0","100"
"259","100","100","100"
"260","100","100","100"
"261","100","100","100"
"262","100","100","100"
"263","100","100","100"
"264","100","100","100"
"265","100","100","100"
"266","100","100","100"
"267","100","100","100"
"268","100","100","100"
"269","100","100","100"
"270","100","100","100"
"271","100","100","100"
"272","100","100","100"
"273","100","100","100"
"274","100","100","100"
"275","100","100","100"
"276","100","100","100"
"277","100","100","100"
"278","100","100","100"
"279","100","100","100"
"280","100","100","100"
"281","100","100","100"
"282","100","100","100"
"283","100","100","100"
"284","100","100","100"
"285","90","0","100"
"286","100","100","100"
"287","100","100","100"
"288","100","100","100"
"289","100","100","100"
"290","100","100","100"
"291","100","100","100"
"292","100","100","100"
"293","100","100","100"
"294","100","100","100"
"295","100","100","100"
"296","100","100","100"
"297","100","100","100"
"298","100","100","100"
"299","100","100","100"
"300","100","100","100"
"301","90","0","100"
"302","100","100","100"
"303","100","100","100"
"304","100","100","100"
"305","100","100","100"
"306","100","100","100"
"307","100","100","100"
"308","100","100","100"
"309","100","100","100"
"310","100","100","100"
"311","90","0","100"
"312","100","100","100"
"313","100","100","100"
"314","100","100","100"
"315","100","100","100"
"316","100","100","100"
"317","100","100","100"
"318","100","100","100"
"319","100","100","100"
"320","100","100","100"
"321","100","100","100"
"322","90","0","100"
"323","100","100","100"
"324","100","100","100"
"325","100","100","100"
"326","90","0","100"
"327","100","100","100"
"328","100","100","100"
"329","100","100","100"
"330","100","100","100"
"331","100","100","100"
"332","100","100","100"
"333","90","0","100"
"334","100","100","100"
"335","90","0","100"
"336","100","100","100"
"337","100","100","100"
"338","100","100","100"
"339","90","0","100"
"340","90","0","100"
"341","100","100","100"
"342","90","0","100"
"343","100","100","100"
"344","100","100","100"
"345","90","0","100"
"346","100","100","100"
"347","100","100","100"
"348","100","100","100"
"349","100","100","100"
