"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"1","20","0","100"
"2","30","0","100"
"3","70","0","100"
"4","40","0","100"
"5","20","0","100"
"6","30","0","100"
"7","40","0","100"
"8","30","0","100"
"9","60","0","100"
"10","50","0","100"
"11","30","0","100"
"12","60","0","100"
"13","60","0","100"
"14","20","0","100"
"15","40","0","100"
"16","80","0","100"
"17","70","0","100"
"18","90","0","100"
"19","50","0","100"
"20","60","0","100"
"21","60","0","100"
"22","90","0","100"
"23","90","0","100"
"24","90","0","100"
"25","80","0","100"
"26","90","0","100"
"27","90","0","100"
"28","60","0","100"
"29","90","0","100"
"30","60","0","100"
"31","90","0","100"
"32","80","0","100"
"33","90","0","100"
"34","80","0","100"
"35","80","0","100"
"36","90","0","100"
"37","80","0","100"
"38","90","0","100"
"39","80","0","100"
"40","90","0","100"
"41","90","0","100"
"42","80","0","100"
"43","100","100","100"
"44","80","0","100"
"45","80","0","100"
"46","90","0","100"
"47","90","0","100"
"48","70","0","100"
"49","60","0","100"
"50","70","0","100"
"51","60","0","100"
"52","100","100","100"
"53","80","0","100"
"54","90","0","100"
"55","80","0","100"
"56","90","0","100"
"57","80","0","100"
"58","80","0","100"
"59","90","0","100"
"60","80","0","100"
"61","90","0","100"
"62","80","0","100"
"63","90","0","100"
"64","90","0","100"
"65","90","0","100"
"66","70","0","100"
"67","80","0","100"
"68","80","0","100"
"69","80","0","100"
"70","90","0","100"
"71","90","0","100"
"72","90","0","100"
"73","80","0","100"
"74","80","0","100"
"75","70","0","100"
"76","90","0","100"
"77","80","0","100"
"78","90","0","100"
"79","90","0","100"
"80","90","0","100"
"81","70","0","100"
"82","90","0","100"
"83","100","100","100"
"84","90","0","100"
"85","80","0","100"
"86","90","0","100"
"87","80","0","100"
"88","90","0","100"
"89","90","0","100"
"90","90","0","100"
"91","70","0","100"
"92","80","0","100"
"93","80","0","100"
"94","90","0","100"
"95","80","0","100"
"96","70","0","100"
"97","90","0","100"
"98","90","0","100"
"99","90","0","100"
"100","80","0","100"
"101","100","100","100"
"102","90","0","100"
"103","90","0","100"
"104","90","0","100"
"105","90","0","100"
"106","90","0","100"
"107","90","0","100"
"108","100","100","100"
"109","80","0","100"
"110","90","0","100"
"111","90","0","100"
"112","90","0","100"
"113","90","0","100"
"114","90","0","100"
"115","80","0","100"
"116","90","0","100"
"117","80","0","100"
"118","90","0","100"
"119","90","0","100"
"120","90","0","100"
"121","90","0","100"
"122","90","0","100"
"123","90","0","100"
"124","90","0","100"
"125","90","0","100"
"126","90","0","100"
"127","80","0","100"
"128","90","0","100"
"129","90","0","100"
"130","90","0","100"
"131","90","0","100"
"132","90","0","100"
"133","90","0","100"
"134","90","0","100"
"135","90","0","100"
"136","90","0","100"
"137","90","0","100"
"138","90","0","100"
"139","90","0","100"
"140","90","0","100"
"141","90","0","100"
"142","80","0","100"
"143","90","0","100"
"144","90","0","100"
"145","90","0","100"
"146","90","0","100"
"147","90","0","100"
"148","90","0","100"
"149","90","0","100"
"150","90","0","100"
"151","100","100","100"
"152","90","0","100"
"153","90","0","100"
"154","80","0","100"
"155","90","0","100"
"156","90","0","100"
"157","90","0","100"
"158","90","0","100"
"159","90","0","100"
"160","80","0","100"
"161","90","0","100"
"162","90","0","100"
"163","90","0","100"
"164","90","0","100"
"165","90","0","100"
"166","90","0","100"
"167","100","100","100"
"168","90","0","100"
"169","90","0","100"
"170","90","0","100"
"171","90","0","100"
"172","80","0","100"
"173","90","0","100"
"174","90","0","100"
"175","90","0","100"
"176","90","0","100"
"177","90","0","100"
"178","90","0","100"
"179","90","0","100"
"180","90","0","100"
"181","90","0","100"
"182","80","0","100"
"183","90","0","100"
"184","90","0","100"
"185","90","0","100"
"186","90","0","100"
"187","90","0","100"
"188","90","0","100"
"189","90","0","100"
"190","90","0","100"
"191","90","0","100"
"192","90","0","100"
"193","90","0","100"
"194","90","0","100"
"195","90","0","100"
"196","90","0","100"
"197","80","0","100"
"198","90","0","100"
"199","90","0","100"
"200","90","0","100"
"201","90","0","100"
"202","90","0","100"
"203","100","100","100"
"204","90","0","100"
"205","80","0","100"
"206","90","0","100"
"207","80","0","100"
"208","90","0","100"
"209","90","0","100"
"210","90","0","100"
"211","90","0","100"
"212","90","0","100"
"213","90","0","100"
"214","90","0","100"
"215","90","0","100"
"216","90","0","100"
"217","90","0","100"
"218","80","0","100"
"219","90","0","100"
"220","90","0","100"
"221","90","0","100"
"222","90","0","100"
"223","90","0","100"
"224","100","100","100"
"225","90","0","100"
"226","90","0","100"
"227","90","0","100"
"228","90","0","100"
"229","90","0","100"
"230","90","0","100"
"231","90","0","100"
"232","90","0","100"
"233","90","0","100"
"234","90","0","100"
"235","90","0","100"
"236","90","0","100"
"237","90","0","100"
"238","90","0","100"
"239","100","100","100"
"240","90","0","100"
"241","90","0","100"
"242","90","0","100"
"243","90","0","100"
"244","90","0","100"
"245","90","0","100"
"246","90","0","100"
"247","90","0","100"
"248","90","0","100"
"249","90","0","100"
"250","90","0","100"
"251","90","0","100"
"252","90","0","100"
"253","90","0","100"
"254","90","0","100"
"255","90","0","100"
"256","90","0","100"
"257","90","0","100"
"258","90","0","100"
"259","90","0","100"
"260","90","0","100"
"261","100","100","100"
"262","90","0","100"
"263","90","0","100"
"264","90","0","100"
"265","90","0","100"
"266","90","0","100"
"267","90","0","100"
"268","90","0","100"
"269","90","0","100"
"270","90","0","100"
"271","90","0","100"
"272","90","0","100"
"273","80","0","100"
"274","90","0","100"
"275","90","0","100"
"276","90","0","100"
"277","90","0","100"
"278","90","0","100"
"279","90","0","100"
"280","90","0","100"
"281","90","0","100"
"282","90","0","100"
"283","90","0","100"
"284","90","0","100"
"285","90","0","100"
"286","90","0","100"
"287","90","0","100"
"288","90","0","100"
"289","90","0","100"
"290","90","0","100"
"291","80","0","100"
"292","90","0","100"
"293","90","0","100"
"294","90","0","100"
"295","90","0","100"
"296","90","0","100"
"297","90","0","100"
"298","90","0","100"
"299","90","0","100"
"300","90","0","100"
"301","90","0","100"
"302","90","0","100"
"303","90","0","100"
"304","90","0","100"
"305","90","0","100"
"306","90","0","100"
"307","100","100","100"
"308","90","0","100"
"309","90","0","100"
"310","90","0","100"
"311","100","100","100"
"312","90","0","100"
"313","90","0","100"
"314","90","0","100"
"315","90","0","100"
"316","90","0","100"
"317","90","0","100"
"318","90","0","100"
"319","90","0","100"
"320","90","0","100"
"321","90","0","100"
"322","90","0","100"
"323","90","0","100"
"324","90","0","100"
"325","90","0","100"
"326","90","0","100"
"327","90","0","100"
"328","90","0","100"
"329","90","0","100"
"330","90","0","100"
"331","90","0","100"
"332","90","0","100"
"333","90","0","100"
"334","90","0","100"
"335","90","0","100"
"336","90","0","100"
"337","90","0","100"
"338","90","0","100"
"339","90","0","100"
"340","90","0","100"
"341","90","0","100"
"342","90","0","100"
"343","100","100","100"
"344","100","100","100"
"345","90","0","100"
"346","90","0","100"
"347","90","0","100"
"348","90","0","100"
"349","90","0","100"
