env,method_a,method_b,metric,n_a,n_b,median_a,median_b,U,p,significant
MINECART,DyLam,GPI-LS,HV,10,10,1111.389,416.3173,100.0,0.000183,True
MINECART,DyLam,GPI-LS,Cardinality,10,10,5002.5,60.0,100.0,0.00018,True
MINECART,DyLam,GPI-LS,Wall-time (min),10,10,40.2071,438.118,0.0,0.000183,True
MINECART,DyLam,DynMORL,HV,10,10,1111.389,1116.4513,11.0,0.003611,True
MINECART,DyLam,DynMORL,Cardinality,10,10,5002.5,3092.5,100.0,0.000183,True
MINECART,DyLam,DynMORL,Wall-time (min),10,10,40.2071,1329.3391,0.0,0.000183,True
HALFCHEETAH,DyLam,GPI-LS,HV,10,10,461138.7864,581124.3893,27.0,0.088973,False
HALFCHEETAH,DyLam,GPI-LS,Cardinality,10,10,19.5,8.5,88.0,0.004525,True
HALFCHEETAH,DyLam,GPI-LS,Wall-time (min),10,10,147.6111,8191.5012,0.0,0.000183,True
HALFCHEETAH,DyLam,PGMORL,HV,10,10,461138.7864,106738.074,100.0,0.000183,True
HALFCHEETAH,DyLam,PGMORL,Cardinality,10,10,19.5,20.0,52.0,0.909314,False
HALFCHEETAH,DyLam,PGMORL,Wall-time (min),10,10,147.6111,442.5168,0.0,0.000183,True
