"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"1","12","0","30"
"2","3","0","30"
"3","15","0","30"
"4","21","0","30"
"5","15","0","30"
"6","21","0","30"
"7","24","0","30"
"8","21","0","30"
"9","15","0","30"
"10","15","0","30"
"11","21","0","30"
"12","24","0","30"
"13","21","0","30"
"14","24","0","30"
"15","24","0","30"
"16","27","0","30"
"17","18","0","30"
"18","15","0","30"
"19","21","0","30"
"20","21","0","30"
"21","30","30","30"
"22","27","0","30"
"23","21","0","30"
"24","21","0","30"
"25","21","0","30"
"26","21","0","30"
"27","15","0","30"
"28","18","0","30"
"29","18","0","30"
"30","24","0","30"
"31","21","0","30"
"32","27","0","30"
"33","21","0","30"
"34","27","0","30"
"35","15","0","30"
"36","24","0","30"
"37","21","0","30"
"38","24","0","30"
"39","21","0","30"
"40","27","0","30"
"41","12","0","30"
"42","24","0","30"
"43","24","0","30"
"44","24","0","30"
"45","27","0","30"
"46","21","0","30"
"47","24","0","30"
"48","27","0","30"
"49","30","30","30"
"50","21","0","30"
"51","27","0","30"
"52","27","0","30"
"53","15","0","30"
"54","24","0","30"
"55","18","0","30"
"56","18","0","30"
"57","27","0","30"
"58","24","0","30"
"59","27","0","30"
"60","21","0","30"
"61","27","0","30"
"62","30","30","30"
"63","24","0","30"
"64","27","0","30"
"65","24","0","30"
"66","27","0","30"
"67","27","0","30"
"68","30","30","30"
"69","27","0","30"
"70","21","0","30"
"71","30","30","30"
"72","30","30","30"
"73","30","30","30"
"74","27","0","30"
"75","27","0","30"
"76","24","0","30"
"77","27","0","30"
"78","30","30","30"
"79","24","0","30"
"80","24","0","30"
"81","30","30","30"
"82","27","0","30"
"83","24","0","30"
"84","30","30","30"
"85","27","0","30"
"86","30","30","30"
"87","27","0","30"
"88","27","0","30"
"89","21","0","30"
"90","27","0","30"
"91","27","0","30"
"92","24","0","30"
"93","30","30","30"
"94","30","30","30"
"95","30","30","30"
"96","27","0","30"
"97","21","0","30"
"98","30","30","30"
"99","30","30","30"
"100","21","0","30"
"101","27","0","30"
"102","21","0","30"
"103","27","0","30"
"104","21","0","30"
"105","30","30","30"
"106","24","0","30"
"107","27","0","30"
"108","27","0","30"
"109","24","0","30"
"110","18","0","30"
"111","30","30","30"
"112","30","30","30"
"113","27","0","30"
"114","24","0","30"
"115","27","0","30"
"116","24","0","30"
"117","27","0","30"
"118","27","0","30"
"119","30","30","30"
"120","24","0","30"
"121","27","0","30"
"122","27","0","30"
"123","24","0","30"
"124","27","0","30"
"125","27","0","30"
"126","24","0","30"
"127","27","0","30"
"128","24","0","30"
"129","30","30","30"
"130","27","0","30"
"131","30","30","30"
