"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"1","21","0","70"
"2","21","0","70"
"3","7","0","70"
"4","14","0","70"
"5","7","0","70"
"6","7","0","70"
"7","14","0","70"
"8","14","0","70"
"9","7","0","70"
"10","21","0","70"
"11","7","0","70"
"12","7","0","70"
"13","21","0","70"
"14","14","0","70"
"15","14","0","70"
"16","0","0","0"
"17","7","0","70"
"18","7","0","70"
"19","7","0","70"
"20","7","0","70"
"21","14","0","70"
"22","0","0","0"
"23","0","0","0"
"24","7","0","70"
"25","7","0","70"
"26","14","0","70"
"27","7","0","70"
"28","7","0","70"
"29","7","0","70"
"30","0","0","0"
"31","0","0","0"
"32","7","0","70"
"33","7","0","70"
"34","0","0","0"
"35","7","0","70"
"36","0","0","0"
"37","7","0","70"
"38","7","0","70"
"39","7","0","70"
"40","0","0","0"
"41","7","0","70"
"42","0","0","0"
"43","0","0","0"
"44","0","0","0"
"45","14","0","70"
"46","0","0","0"
"47","7","0","70"
"48","0","0","0"
"49","7","0","70"
"50","7","0","70"
"51","0","0","0"
"52","7","0","70"
"53","7","0","70"
"54","0","0","0"
"55","7","0","70"
"56","0","0","0"
"57","7","0","70"
"58","7","0","70"
"59","7","0","70"
"60","0","0","0"
"61","0","0","0"
"62","7","0","70"
"63","7","0","70"
"64","0","0","0"
"65","0","0","0"
"66","7","0","70"
"67","7","0","70"
"68","0","0","0"
"69","0","0","0"
"70","0","0","0"
"71","0","0","0"
"72","0","0","0"
"73","0","0","0"
"74","0","0","0"
"75","7","0","70"
"76","0","0","0"
"77","7","0","70"
"78","0","0","0"
"79","14","0","70"
"80","0","0","0"
"81","0","0","0"
"82","0","0","0"
"83","7","0","70"
"84","0","0","0"
"85","7","0","70"
"86","14","0","70"
"87","0","0","0"
"88","14","0","70"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","7","0","70"
"93","7","0","70"
"94","7","0","70"
"95","0","0","0"
"96","0","0","0"
"97","7","0","70"
"98","0","0","0"
"99","7","0","70"
"100","7","0","70"
"101","0","0","0"
"102","0","0","0"
"103","0","0","0"
"104","7","0","70"
"105","7","0","70"
"106","0","0","0"
"107","0","0","0"
"108","0","0","0"
"109","0","0","0"
"110","14","0","70"
"111","0","0","0"
"112","0","0","0"
"113","0","0","0"
"114","0","0","0"
"115","7","0","70"
