_step,ep_info/Goal,seed,condition
84,-1,1778554757,nominal
1430,0,1778554757,nominal
1981,0,1778554757,nominal
2084,0,1778554757,nominal
2230,0,1778554757,nominal
2960,0,1778554757,nominal
3360,0,1778554757,nominal
3406,0,1778554757,nominal
3581,0,1778554757,nominal
3806,0,1778554757,nominal
4064,0,1778554757,nominal
4206,0,1778554757,nominal
4396,0,1778554757,nominal
4484,0,1778554757,nominal
4603,1,1778554757,nominal
5129,0,1778554757,nominal
5581,0,1778554757,nominal
6084,0,1778554757,nominal
6160,0,1778554757,nominal
6484,0,1778554757,nominal
6725,0,1778554757,nominal
6729,0,1778554757,nominal
6781,0,1778554757,nominal
6799,0,1778554757,nominal
6884,0,1778554757,nominal
7403,0,1778554757,nominal
7525,0,1778554757,nominal
7536,0,1778554757,nominal
8144,0,1778554757,nominal
8664,0,1778554757,nominal
9003,0,1778554757,nominal
9264,0,1778554757,nominal
9525,0,1778554757,nominal
10203,0,1778554757,nominal
10383,0,1778554757,nominal
10396,0,1778554757,nominal
10484,0,1778554757,nominal
10935,0,1778554757,nominal
11183,0,1778554757,nominal
11199,0,1778554757,nominal
11403,0,1778554757,nominal
11852,0,1778554757,nominal
11983,0,1778554757,nominal
11996,0,1778554757,nominal
12203,0,1778554757,nominal
12264,0,1778554757,nominal
12436,0,1778554757,nominal
12544,0,1778554757,nominal
12566,0,1778554757,nominal
12935,0,1778554757,nominal
13236,0,1778554757,nominal
13344,0,1778554757,nominal
13374,0,1778554757,nominal
13636,0,1778554757,nominal
14085,0,1778554757,nominal
14264,0,1778554757,nominal
14566,0,1778554757,nominal
14740,0,1778554757,nominal
14875,0,1778554757,nominal
14944,0,1778554757,nominal
15069,0,1778554757,nominal
15685,0,1778554757,nominal
15774,0,1778554757,nominal
15999,0,1778554757,nominal
16125,-1,1778554757,nominal
16329,0,1778554757,nominal
16485,0,1778554757,nominal
16740,0,1778554757,nominal
16799,0,1778554757,nominal
16885,0,1778554757,nominal
17064,0,1778554757,nominal
17531,0,1778554757,nominal
17684,0,1778554757,nominal
17766,0,1778554757,nominal
17851,0,1778554757,nominal
18084,0,1778554757,nominal
18195,0,1778554757,nominal
18264,0,1778554757,nominal
18329,0,1778554757,nominal
18651,0,1778554757,nominal
18858,0,1778554757,nominal
18917,-1,1778554757,nominal
18974,0,1778554757,nominal
19183,0,1778554757,nominal
19685,0,1778554757,nominal
19803,0,1778554757,nominal
19869,0,1778554757,nominal
19999,0,1778554757,nominal
20318,0,1778554757,nominal
20445,0,1778554757,nominal
20718,0,1778554757,nominal
21152,0,1778554757,nominal
21258,0,1778554757,nominal
21464,0,1778554757,nominal
21531,0,1778554757,nominal
22150,0,1778554757,nominal
22214,-1,1778554757,nominal
23044,0,1778554757,nominal
23366,0,1778554757,nominal
23531,0,1778554757,nominal
23685,0,1778554757,nominal
23929,0,1778554757,nominal
24383,0,1778554757,nominal
24458,0,1778554757,nominal
24885,0,1778554757,nominal
24966,0,1778554757,nominal
25072,0,1778554757,nominal
25183,0,1778554757,nominal
25423,0,1778554757,nominal
25488,0,1778554757,nominal
25888,0,1778554757,nominal
25973,0,1778554757,nominal
26085,0,1778554757,nominal
26195,0,1778554757,nominal
26318,0,1778554757,nominal
26458,0,1778554757,nominal
26469,0,1778554757,nominal
27064,0,1778554757,nominal
27135,0,1778554757,nominal
27476,0,1778554757,nominal
27666,0,1778554757,nominal
27869,0,1778554757,nominal
27935,0,1778554757,nominal
28237,0,1778554757,nominal
28292,1,1778554757,nominal
28672,0,1778554757,nominal
29573,0,1778554757,nominal
29795,0,1778554757,nominal
29869,0,1778554757,nominal
29876,0,1778554757,nominal
30168,0,1778554757,nominal
30174,0,1778554757,nominal
30237,0,1778554757,nominal
30250,0,1778554757,nominal
30335,0,1778554757,nominal
30568,0,1778554757,nominal
30574,0,1778554757,nominal
30637,0,1778554757,nominal
31045,0,1778554757,nominal
31050,0,1778554757,nominal
31072,0,1778554757,nominal
31183,0,1778554757,nominal
31266,0,1778554757,nominal
31463,0,1778554757,nominal
32085,0,1778554757,nominal
32168,0,1778554757,nominal
32276,0,1778554757,nominal
32676,0,1778554757,nominal
32692,0,1778554757,nominal
32750,0,1778554757,nominal
32885,0,1778554757,nominal
33072,0,1778554757,nominal
33235,0,1778554757,nominal
33524,0,1778554757,nominal
33795,0,1778554757,nominal
33901,0,1778554757,nominal
33950,0,1778554757,nominal
34210,0,1778554757,nominal
34724,0,1778554757,nominal
34735,0,1778554757,nominal
35025,0,1778554757,nominal
35076,0,1778554757,nominal
35153,0,1778554757,nominal
35285,0,1778554757,nominal
35444,0,1778554757,nominal
35492,0,1778554757,nominal
35550,0,1778554757,nominal
35636,0,1778554757,nominal
35872,0,1778554757,nominal
35950,0,1778554757,nominal
36261,0,1778554757,nominal
36485,0,1778554757,nominal
36554,0,1778554757,nominal
36576,-1,1778554757,nominal
36724,0,1778554757,nominal
36754,0,1778554757,nominal
36839,1,1778554757,nominal
36885,0,1778554757,nominal
37239,0,1778554757,nominal
37425,0,1778554757,nominal
37463,0,1778554757,nominal
37768,0,1778554757,nominal
37872,0,1778554757,nominal
38183,0,1778554757,nominal
38225,0,1778554757,nominal
38510,0,1778554757,nominal
39052,0,1778554757,nominal
39424,0,1778554757,nominal
39444,0,1778554757,nominal
39636,0,1778554757,nominal
39716,1,1778554757,nominal
39794,0,1778554757,nominal
39832,-1,1778554757,nominal
39852,0,1778554757,nominal
40042,0,1778554757,nominal
40202,0,1778554757,nominal
40724,0,1778554757,nominal
40773,0,1778554757,nominal
40980,0,1778554757,nominal
40986,0,1778554757,nominal
41239,0,1778554757,nominal
41265,1,1778554757,nominal
41332,0,1778554757,nominal
41357,1,1778554757,nominal
41642,0,1778554757,nominal
41696,0,1778554757,nominal
41757,0,1778554757,nominal
41780,0,1778554757,nominal
41919,0,1778554757,nominal
42097,-1,1778554757,nominal
42496,0,1778554757,nominal
42522,0,1778554757,nominal
42598,-1,1778554757,nominal
42641,0,1778554757,nominal
43224,-1,1778554757,nominal
43723,0,1778554757,nominal
43768,0,1778554757,nominal
44168,0,1778554757,nominal
44560,0,1778554757,nominal
44700,0,1778554757,nominal
44887,1,1778554757,nominal
44942,0,1778554757,nominal
44993,0,1778554757,nominal
45212,-1,1778554757,nominal
45619,0,1778554757,nominal
45921,-1,1778554757,nominal
45946,1,1778554757,nominal
46069,1,1778554757,nominal
46234,-1,1778554757,nominal
46241,0,1778554757,nominal
46641,0,1778554757,nominal
46810,1,1778554757,nominal
46970,1,1778554757,nominal
47098,0,1778554757,nominal
47109,0,1778554757,nominal
47212,0,1778554757,nominal
47488,0,1778554757,nominal
47555,1,1778554757,nominal
47610,0,1778554757,nominal
47734,1,1778554757,nominal
47909,0,1778554757,nominal
48012,0,1778554757,nominal
48148,-1,1778554757,nominal
48264,0,1778554757,nominal
48273,1,1778554757,nominal
48348,0,1778554757,nominal
48355,0,1778554757,nominal
49012,0,1778554757,nominal
49013,0,1778554757,nominal
49016,1,1778554757,nominal
49253,0,1778554757,nominal
49323,0,1778554757,nominal
49332,1,1778554757,nominal
49412,0,1778554757,nominal
49489,-1,1778554757,nominal
49555,0,1778554757,nominal
49765,0,1778554757,nominal
49829,1,1778554757,nominal
50367,0,1778554757,nominal
50428,0,1778554757,nominal
50560,-1,1778554757,nominal
50713,0,1778554757,nominal
50894,0,1778554757,nominal
51142,0,1778554757,nominal
51274,0,1778554757,nominal
51318,0,1778554757,nominal
51430,0,1778554757,nominal
51599,0,1778554757,nominal
51830,0,1778554757,nominal
51837,-1,1778554757,nominal
51904,0,1778554757,nominal
51939,-1,1778554757,nominal
52032,-1,1778554757,nominal
52075,1,1778554757,nominal
52475,0,1778554757,nominal
52496,0,1778554757,nominal
52519,0,1778554757,nominal
52727,0,1778554757,nominal
53037,0,1778554757,nominal
53381,-1,1778554757,nominal
53600,-1,1778554757,nominal
53688,0,1778554757,nominal
54237,0,1778554757,nominal
54354,0,1778554757,nominal
54483,0,1778554757,nominal
54631,0,1778554757,nominal
54751,-1,1778554757,nominal
54775,0,1778554757,nominal
55000,0,1778554757,nominal
55120,0,1778554757,nominal
55175,0,1778554757,nominal
55195,0,1778554757,nominal
55313,0,1778554757,nominal
55445,-1,1778554757,nominal
55711,-1,1778554757,nominal
55778,0,1778554757,nominal
55837,0,1778554757,nominal
56041,-1,1778554757,nominal
56113,0,1778554757,nominal
56178,0,1778554757,nominal
56206,1,1778554757,nominal
56382,0,1778554757,nominal
56731,0,1778554757,nominal
56920,0,1778554757,nominal
56985,0,1778554757,nominal
57227,0,1778554757,nominal
58151,0,1778554757,nominal
58179,1,1778554757,nominal
58301,0,1778554757,nominal
58378,0,1778554757,nominal
58466,0,1778554757,nominal
58528,0,1778554757,nominal
58801,0,1778554757,nominal
58853,0,1778554757,nominal
59005,1,1778554757,nominal
59101,0,1778554757,nominal
59115,0,1778554757,nominal
59125,1,1778554757,nominal
59331,1,1778554757,nominal
59446,0,1778554757,nominal
59515,0,1778554757,nominal
59824,0,1778554757,nominal
