"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"1","18","0","30"
"2","24","0","30"
"3","18","0","30"
"4","21","0","30"
"5","27","0","30"
"6","21","0","30"
"7","21","0","30"
"8","18","0","30"
"9","21","0","30"
"10","21","0","30"
"11","27","0","30"
"12","30","30","30"
"13","27","0","30"
"14","24","0","30"
"15","18","0","30"
"16","30","30","30"
"17","30","30","30"
"18","24","0","30"
"19","27","0","30"
"20","30","30","30"
"21","30","30","30"
"22","21","0","30"
"23","27","0","30"
"24","27","0","30"
"25","30","30","30"
"26","27","0","30"
"27","30","30","30"
"28","27","0","30"
"29","24","0","30"
"30","18","0","30"
"31","27","0","30"
"32","27","0","30"
"33","27","0","30"
"34","21","0","30"
"35","27","0","30"
"36","24","0","30"
"37","21","0","30"
"38","24","0","30"
"39","21","0","30"
"40","21","0","30"
"41","18","0","30"
"42","27","0","30"
"43","24","0","30"
"44","24","0","30"
"45","24","0","30"
"46","27","0","30"
"47","27","0","30"
"48","24","0","30"
"49","27","0","30"
"50","24","0","30"
"51","27","0","30"
"52","27","0","30"
"53","27","0","30"
"54","30","30","30"
"55","30","30","30"
"56","24","0","30"
"57","27","0","30"
"58","27","0","30"
"59","24","0","30"
"60","24","0","30"
"61","24","0","30"
"62","21","0","30"
"63","21","0","30"
"64","30","30","30"
"65","27","0","30"
"66","27","0","30"
"67","30","30","30"
"68","24","0","30"
"69","27","0","30"
"70","24","0","30"
"71","27","0","30"
"72","24","0","30"
"73","30","30","30"
"74","27","0","30"
"75","24","0","30"
"76","30","30","30"
"77","30","30","30"
"78","30","30","30"
"79","30","30","30"
"80","30","30","30"
"81","27","0","30"
"82","27","0","30"
"83","27","0","30"
"84","24","0","30"
"85","24","0","30"
"86","27","0","30"
"87","24","0","30"
"88","27","0","30"
"89","27","0","30"
"90","27","0","30"
"91","27","0","30"
"92","21","0","30"
"93","27","0","30"
"94","30","30","30"
"95","24","0","30"
"96","30","30","30"
"97","24","0","30"
"98","30","30","30"
"99","21","0","30"
"100","24","0","30"
"101","27","0","30"
"102","30","30","30"
"103","27","0","30"
"104","24","0","30"
"105","24","0","30"
"106","30","30","30"
"107","30","30","30"
"108","18","0","30"
"109","27","0","30"
"110","21","0","30"
"111","27","0","30"
"112","30","30","30"
"113","30","30","30"
"114","30","30","30"
"115","27","0","30"
"116","30","30","30"
"117","30","30","30"
"118","27","0","30"
"119","30","30","30"
"120","27","0","30"
"121","27","0","30"
"122","27","0","30"
"123","18","0","30"
"124","30","30","30"
"125","30","30","30"
"126","30","30","30"
"127","27","0","30"
"128","27","0","30"
"129","27","0","30"
"130","27","0","30"
"131","24","0","30"
"132","27","0","30"
"133","27","0","30"
"134","30","30","30"
"135","24","0","30"
"136","30","30","30"
"137","30","30","30"
"138","27","0","30"
"139","24","0","30"
"140","30","30","30"
"141","30","30","30"
"142","30","30","30"
"143","27","0","30"
"144","24","0","30"
"145","30","30","30"
"146","30","30","30"
"147","30","30","30"
"148","27","0","30"
"149","24","0","30"
"150","27","0","30"
"151","24","0","30"
"152","30","30","30"
"153","30","30","30"
"154","27","0","30"
"155","27","0","30"
"156","30","30","30"
"157","30","30","30"
"158","30","30","30"
"159","27","0","30"
"160","27","0","30"
"161","27","0","30"
"162","27","0","30"
"163","30","30","30"
"164","24","0","30"
"165","24","0","30"
"166","21","0","30"
"167","27","0","30"
"168","27","0","30"
"169","30","30","30"
"170","30","30","30"
"171","27","0","30"
"172","30","30","30"
"173","30","30","30"
"174","30","30","30"
"175","27","0","30"
"176","30","30","30"
"177","30","30","30"
"178","27","0","30"
"179","27","0","30"
"180","27","0","30"
"181","30","30","30"
"182","30","30","30"
"183","24","0","30"
"184","30","30","30"
"185","30","30","30"
"186","30","30","30"
"187","30","30","30"
"188","27","0","30"
"189","24","0","30"
"190","27","0","30"
"191","30","30","30"
"192","30","30","30"
"193","24","0","30"
"194","30","30","30"
"195","30","30","30"
"196","24","0","30"
"197","30","30","30"
"198","27","0","30"
"199","30","30","30"
"200","24","0","30"
"201","30","30","30"
"202","27","0","30"
"203","21","0","30"
"204","30","30","30"
"205","30","30","30"
"206","24","0","30"
"207","27","0","30"
"208","30","30","30"
"209","30","30","30"
"210","30","30","30"
"211","27","0","30"
"212","30","30","30"
"213","27","0","30"
"214","30","30","30"
"215","30","30","30"
"216","24","0","30"
"217","30","30","30"
"218","30","30","30"
"219","30","30","30"
"220","27","0","30"
"221","30","30","30"
"222","30","30","30"
"223","30","30","30"
"224","27","0","30"
"225","30","30","30"
"226","30","30","30"
"227","27","0","30"
"228","21","0","30"
"229","24","0","30"
"230","27","0","30"
"231","30","30","30"
"232","27","0","30"
"233","30","30","30"
"234","30","30","30"
"235","30","30","30"
"236","30","30","30"
"237","27","0","30"
"238","27","0","30"
"239","27","0","30"
"240","27","0","30"
"241","27","0","30"
"242","27","0","30"
"243","27","0","30"
"244","27","0","30"
"245","24","0","30"
"246","27","0","30"
"247","27","0","30"
"248","27","0","30"
"249","27","0","30"
"250","21","0","30"
"251","27","0","30"
"252","30","30","30"
"253","27","0","30"
"254","30","30","30"
"255","27","0","30"
"256","24","0","30"
"257","27","0","30"
"258","27","0","30"
"259","27","0","30"
"260","24","0","30"
"261","18","0","30"
"262","27","0","30"
"263","27","0","30"
"264","30","30","30"
"265","24","0","30"
"266","30","30","30"
"267","27","0","30"
"268","24","0","30"
"269","24","0","30"
"270","27","0","30"
"271","27","0","30"
"272","27","0","30"
"273","27","0","30"
"274","27","0","30"
"275","30","30","30"
"276","24","0","30"
"277","30","30","30"
"278","27","0","30"
"279","24","0","30"
"280","21","0","30"
"281","27","0","30"
"282","30","30","30"
"283","30","30","30"
"284","27","0","30"
"285","27","0","30"
"286","24","0","30"
"287","30","30","30"
"288","27","0","30"
"289","27","0","30"
"290","21","0","30"
"291","27","0","30"
"292","30","30","30"
"293","30","30","30"
"294","24","0","30"
"295","27","0","30"
"296","27","0","30"
"297","27","0","30"
"298","30","30","30"
"299","24","0","30"
"300","21","0","30"
"301","24","0","30"
"302","24","0","30"
"303","24","0","30"
"304","24","0","30"
"305","24","0","30"
"306","27","0","30"
"307","27","0","30"
"308","21","0","30"
"309","24","0","30"
"310","24","0","30"
"311","30","30","30"
"312","24","0","30"
"313","24","0","30"
"314","24","0","30"
"315","24","0","30"
"316","24","0","30"
"317","24","0","30"
"318","21","0","30"
"319","24","0","30"
"320","24","0","30"
"321","21","0","30"
"322","24","0","30"
"323","24","0","30"
"324","24","0","30"
"325","24","0","30"
"326","27","0","30"
"327","24","0","30"
"328","24","0","30"
"329","24","0","30"
"330","24","0","30"
"331","27","0","30"
"332","24","0","30"
"333","21","0","30"
"334","27","0","30"
"335","21","0","30"
"336","27","0","30"
"337","27","0","30"
"338","24","0","30"
"339","24","0","30"
"340","24","0","30"
"341","27","0","30"
"342","27","0","30"
"343","24","0","30"
"344","27","0","30"
"345","24","0","30"
"346","27","0","30"
"347","24","0","30"
"348","24","0","30"
"349","24","0","30"
"350","21","0","30"
"351","24","0","30"
"352","24","0","30"
"353","27","0","30"
"354","27","0","30"
"355","24","0","30"
"356","24","0","30"
"357","24","0","30"
"358","30","30","30"
"359","27","0","30"
"360","24","0","30"
"361","30","30","30"
"362","27","0","30"
"363","30","30","30"
"364","30","30","30"
"365","24","0","30"
"366","24","0","30"
"367","27","0","30"
"368","24","0","30"
"369","24","0","30"
"370","27","0","30"
"371","24","0","30"
"372","24","0","30"
"373","24","0","30"
"374","24","0","30"
"375","24","0","30"
"376","24","0","30"
"377","21","0","30"
"378","27","0","30"
"379","27","0","30"
"380","27","0","30"
"381","24","0","30"
"382","27","0","30"
"383","24","0","30"
"384","21","0","30"
"385","24","0","30"
"386","24","0","30"
"387","24","0","30"
"388","24","0","30"
"389","21","0","30"
"390","21","0","30"
"391","24","0","30"
"392","24","0","30"
"393","24","0","30"
"394","21","0","30"
"395","24","0","30"
"396","21","0","30"
"397","15","0","30"
"398","18","0","30"
"399","18","0","30"
"400","27","0","30"
"401","27","0","30"
"402","21","0","30"
"403","27","0","30"
"404","24","0","30"
"405","21","0","30"
"406","24","0","30"
"407","24","0","30"
"408","27","0","30"
"409","30","30","30"
"410","27","0","30"
"411","21","0","30"
"412","27","0","30"
"413","24","0","30"
"414","27","0","30"
"415","27","0","30"
"416","24","0","30"
"417","21","0","30"
"418","27","0","30"
"419","21","0","30"
"420","21","0","30"
"421","30","30","30"
"422","24","0","30"
"423","30","30","30"
"424","30","30","30"
"425","27","0","30"
"426","24","0","30"
"427","27","0","30"
"428","27","0","30"
"429","27","0","30"
"430","24","0","30"
"431","24","0","30"
"432","27","0","30"
"433","24","0","30"
"434","24","0","30"
"435","27","0","30"
"436","30","30","30"
"437","27","0","30"
"438","27","0","30"
"439","21","0","30"
"440","24","0","30"
"441","27","0","30"
"442","27","0","30"
"443","30","30","30"
"444","21","0","30"
"445","21","0","30"
"446","24","0","30"
"447","27","0","30"
"448","21","0","30"
"449","27","0","30"
"450","24","0","30"
"451","27","0","30"
"452","27","0","30"
"453","27","0","30"
"454","21","0","30"
"455","24","0","30"
"456","24","0","30"
"457","30","30","30"
"458","21","0","30"
"459","24","0","30"
"460","21","0","30"
"461","21","0","30"
"462","24","0","30"
"463","18","0","30"
"464","18","0","30"
"465","21","0","30"
"466","21","0","30"
"467","24","0","30"
"468","24","0","30"
"469","21","0","30"
"470","18","0","30"
"471","24","0","30"
"472","18","0","30"
"473","21","0","30"
"474","24","0","30"
"475","24","0","30"
"476","27","0","30"
"477","24","0","30"
"478","15","0","30"
"479","24","0","30"
"480","18","0","30"
"481","21","0","30"
"482","18","0","30"
"483","21","0","30"
"484","18","0","30"
"485","18","0","30"
"486","21","0","30"
"487","15","0","30"
"488","18","0","30"
"489","21","0","30"
"490","18","0","30"
"491","18","0","30"
"492","18","0","30"
"493","15","0","30"
"494","24","0","30"
"495","24","0","30"
"496","24","0","30"
"497","21","0","30"
"498","21","0","30"
"499","27","0","30"
"500","24","0","30"
"501","24","0","30"
"502","24","0","30"
"503","21","0","30"
"504","21","0","30"
"505","21","0","30"
"506","21","0","30"
"507","15","0","30"
"508","24","0","30"
"509","21","0","30"
"510","24","0","30"
"511","18","0","30"
"512","21","0","30"
"513","18","0","30"
"514","21","0","30"
"515","21","0","30"
"516","27","0","30"
"517","24","0","30"
"518","18","0","30"
"519","18","0","30"
"520","24","0","30"
"521","24","0","30"
"522","18","0","30"
"523","15","0","30"
"524","21","0","30"
"525","21","0","30"
"526","18","0","30"
"527","21","0","30"
"528","18","0","30"
"529","21","0","30"
"530","24","0","30"
"531","21","0","30"
"532","24","0","30"
"533","24","0","30"
"534","24","0","30"
"535","21","0","30"
"536","21","0","30"
"537","24","0","30"
"538","30","30","30"
"539","27","0","30"
"540","24","0","30"
"541","21","0","30"
"542","24","0","30"
"543","21","0","30"
"544","21","0","30"
"545","18","0","30"
"546","18","0","30"
"547","18","0","30"
"548","21","0","30"
"549","21","0","30"
"550","15","0","30"
"551","21","0","30"
"552","18","0","30"
"553","27","0","30"
"554","24","0","30"
"555","21","0","30"
"556","24","0","30"
"557","24","0","30"
"558","18","0","30"
"559","24","0","30"
"560","30","30","30"
"561","18","0","30"
"562","18","0","30"
"563","27","0","30"
"564","18","0","30"
"565","24","0","30"
"566","24","0","30"
"567","27","0","30"
"568","24","0","30"
"569","24","0","30"
"570","21","0","30"
"571","24","0","30"
"572","18","0","30"
"573","18","0","30"
"574","21","0","30"
"575","15","0","30"
"576","15","0","30"
"577","18","0","30"
"578","18","0","30"
"579","24","0","30"
"580","21","0","30"
"581","18","0","30"
"582","27","0","30"
"583","21","0","30"
"584","21","0","30"
"585","18","0","30"
"586","18","0","30"
"587","18","0","30"
"588","21","0","30"
"589","18","0","30"
"590","24","0","30"
"591","18","0","30"
"592","21","0","30"
"593","18","0","30"
"594","24","0","30"
"595","18","0","30"
"596","24","0","30"
"597","21","0","30"
"598","21","0","30"
"599","21","0","30"
"600","18","0","30"
"601","15","0","30"
"602","18","0","30"
"603","21","0","30"
"604","18","0","30"
"605","18","0","30"
"606","21","0","30"
"607","18","0","30"
"608","18","0","30"
"609","21","0","30"
"610","21","0","30"
"611","15","0","30"
"612","30","30","30"
"613","18","0","30"
"614","24","0","30"
"615","24","0","30"
"616","21","0","30"
"617","27","0","30"
"618","27","0","30"
"619","24","0","30"
"620","21","0","30"
"621","21","0","30"
"622","21","0","30"
"623","24","0","30"
"624","27","0","30"
"625","18","0","30"
"626","24","0","30"
"627","21","0","30"
"628","21","0","30"
"629","24","0","30"
"630","24","0","30"
"631","24","0","30"
"632","24","0","30"
"633","27","0","30"
"634","24","0","30"
"635","24","0","30"
"636","27","0","30"
"637","24","0","30"
"638","24","0","30"
"639","27","0","30"
"640","24","0","30"
"641","24","0","30"
"642","24","0","30"
"643","21","0","30"
"644","24","0","30"
"645","21","0","30"
"646","21","0","30"
"647","21","0","30"
"648","21","0","30"
"649","18","0","30"
"650","21","0","30"
"651","21","0","30"
"652","21","0","30"
"653","21","0","30"
"654","21","0","30"
"655","21","0","30"
"656","21","0","30"
"657","24","0","30"
"658","21","0","30"
"659","24","0","30"
"660","21","0","30"
"661","21","0","30"
"662","21","0","30"
"663","27","0","30"
"664","27","0","30"
"665","24","0","30"
"666","27","0","30"
"667","21","0","30"
"668","21","0","30"
"669","15","0","30"
"670","15","0","30"
"671","12","0","30"
"672","15","0","30"
"673","15","0","30"
"674","15","0","30"
"675","15","0","30"
"676","18","0","30"
"677","15","0","30"
"678","21","0","30"
"679","18","0","30"
"680","18","0","30"
"681","18","0","30"
"682","21","0","30"
"683","18","0","30"
"684","21","0","30"
"685","18","0","30"
"686","15","0","30"
"687","15","0","30"
"688","18","0","30"
"689","15","0","30"
"690","21","0","30"
"691","18","0","30"
"692","21","0","30"
"693","21","0","30"
"694","24","0","30"
"695","27","0","30"
"696","21","0","30"
"697","24","0","30"
"698","21","0","30"
"699","24","0","30"
