"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"1","15","0","30"
"2","18","0","30"
"3","20.25","0","30"
"4","21","0","30"
"5","20.25","0","30"
"6","24","0","30"
"7","24.75","0","30"
"8","24","0","30"
"9","24","0","30"
"10","24.75","0","30"
"11","23.25","0","30"
"12","27.75","0","30"
"13","25.5","0","30"
"14","24","0","30"
"15","22.5","0","30"
"16","25.5","0","30"
"17","26.25","0","30"
"18","27","0","30"
"19","23.25","0","30"
"20","23.25","0","30"
"21","21.75","0","30"
"22","25.5","0","30"
"23","24","0","30"
"24","25.5","0","30"
"25","25.5","0","30"
"26","26.25","0","30"
"27","27","0","30"
"28","24","0","30"
"29","27","0","30"
"30","23.25","0","30"
"31","26.25","0","30"
"32","24.75","0","30"
"33","27.75","0","30"
"34","22.5","0","30"
"35","24.75","0","30"
"36","26.25","0","30"
"37","21.75","0","30"
"38","25.5","0","30"
"39","26.25","0","30"
"40","25.5","0","30"
"41","23.25","0","30"
"42","27","0","30"
"43","24.75","0","30"
"44","24.75","0","30"
"45","22.5","0","30"
"46","26.25","0","30"
"47","27","0","30"
"48","27","0","30"
"49","24","0","30"
"50","22.5","0","30"
"51","24.75","0","30"
"52","24.75","0","30"
"53","26.25","0","30"
"54","28.5","0","30"
"55","27","0","30"
"56","25.5","0","30"
"57","25.5","0","30"
"58","27.75","0","30"
"59","21","0","30"
"60","26.25","0","30"
"61","24.75","0","30"
"62","25.5","0","30"
"63","24","0","30"
"64","24.75","0","30"
"65","27","0","30"
"66","24.75","0","30"
"67","25.5","0","30"
"68","24","0","30"
"69","25.5","0","30"
"70","26.25","0","30"
"71","25.5","0","30"
"72","22.5","0","30"
"73","24","0","30"
"74","24.75","0","30"
"75","24.75","0","30"
"76","27","0","30"
"77","27","0","30"
"78","27","0","30"
"79","27.75","0","30"
"80","27.75","0","30"
"81","25.5","0","30"
"82","27","0","30"
"83","24","0","30"
"84","27","0","30"
"85","21","0","30"
"86","25.5","0","30"
"87","23.25","0","30"
"88","27.75","0","30"
"89","26.25","0","30"
"90","27","0","30"
"91","26.25","0","30"
"92","24.75","0","30"
"93","26.25","0","30"
"94","27.75","0","30"
"95","24","0","30"
"96","25.5","0","30"
"97","23.25","0","30"
