"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"1","0","0","0"
"2","7","0","70"
"3","0","0","0"
"4","7","0","70"
"5","7","0","70"
"6","0","0","0"
"7","7","0","70"
"8","7","0","70"
"9","0","0","0"
"10","14","0","70"
"11","14","0","70"
"12","0","0","0"
"13","14","0","70"
"14","7","0","70"
"15","21","0","70"
"16","0","0","0"
"17","7","0","70"
"18","7","0","70"
"19","14","0","70"
"20","7","0","70"
"21","0","0","0"
"22","7","0","70"
"23","7","0","70"
"24","7","0","70"
"25","7","0","70"
"26","7","0","70"
"27","7","0","70"
"28","14","0","70"
"29","7","0","70"
"30","0","0","0"
"31","14","0","70"
"32","7","0","70"
"33","0","0","0"
"34","14","0","70"
"35","0","0","0"
"36","7","0","70"
"37","14","0","70"
"38","14","0","70"
"39","7","0","70"
"40","7","0","70"
"41","7","0","70"
"42","7","0","70"
"43","14","0","70"
"44","0","0","0"
"45","7","0","70"
"46","14","0","70"
"47","14","0","70"
"48","0","0","0"
"49","21","0","70"
"50","14","0","70"
"51","7","0","70"
"52","7","0","70"
"53","0","0","0"
"54","14","0","70"
"55","7","0","70"
"56","0","0","0"
"57","0","0","0"
"58","7","0","70"
"59","14","0","70"
"60","7","0","70"
"61","21","0","70"
"62","7","0","70"
"63","0","0","0"
"64","0","0","0"
"65","7","0","70"
"66","7","0","70"
"67","14","0","70"
"68","0","0","0"
"69","0","0","0"
"70","7","0","70"
"71","0","0","0"
"72","0","0","0"
"73","14","0","70"
"74","14","0","70"
"75","14","0","70"
"76","14","0","70"
"77","7","0","70"
"78","7","0","70"
"79","7","0","70"
"80","0","0","0"
"81","7","0","70"
"82","7","0","70"
"83","0","0","0"
"84","0","0","0"
"85","7","0","70"
"86","0","0","0"
"87","7","0","70"
"88","14","0","70"
"89","21","0","70"
"90","7","0","70"
"91","7","0","70"
"92","0","0","0"
"93","7","0","70"
"94","21","0","70"
"95","0","0","0"
"96","21","0","70"
"97","0","0","0"
"98","7","0","70"
"99","0","0","0"
"100","14","0","70"
"101","7","0","70"
"102","7","0","70"
"103","0","0","0"
"104","7","0","70"
"105","7","0","70"
"106","0","0","0"
"107","7","0","70"
"108","7","0","70"
"109","7","0","70"
"110","7","0","70"
"111","7","0","70"
"112","7","0","70"
"113","7","0","70"
"114","7","0","70"
"115","7","0","70"
"116","14","0","70"
"117","7","0","70"
"118","14","0","70"
"119","7","0","70"
"120","0","0","0"
"121","7","0","70"
"122","0","0","0"
"123","0","0","0"
"124","7","0","70"
"125","14","0","70"
"126","7","0","70"
"127","7","0","70"
"128","14","0","70"
"129","7","0","70"
"130","35","0","70"
"131","7","0","70"
"132","7","0","70"
"133","0","0","0"
"134","7","0","70"
"135","0","0","0"
"136","7","0","70"
"137","7","0","70"
"138","7","0","70"
"139","7","0","70"
"140","14","0","70"
"141","14","0","70"
"142","21","0","70"
"143","14","0","70"
"144","14","0","70"
"145","0","0","0"
"146","14","0","70"
"147","7","0","70"
"148","0","0","0"
"149","7","0","70"
"150","0","0","0"
"151","7","0","70"
"152","7","0","70"
"153","0","0","0"
"154","7","0","70"
"155","7","0","70"
"156","21","0","70"
"157","14","0","70"
"158","7","0","70"
"159","14","0","70"
"160","14","0","70"
"161","0","0","0"
"162","21","0","70"
"163","7","0","70"
"164","7","0","70"
"165","7","0","70"
"166","0","0","0"
"167","7","0","70"
"168","7","0","70"
"169","7","0","70"
"170","14","0","70"
"171","7","0","70"
"172","7","0","70"
"173","7","0","70"
"174","21","0","70"
"175","7","0","70"
"176","14","0","70"
"177","0","0","0"
"178","7","0","70"
"179","0","0","0"
"180","0","0","0"
"181","7","0","70"
"182","14","0","70"
"183","21","0","70"
"184","7","0","70"
"185","0","0","0"
"186","14","0","70"
"187","7","0","70"
"188","21","0","70"
"189","7","0","70"
"190","7","0","70"
"191","7","0","70"
"192","14","0","70"
"193","14","0","70"
"194","7","0","70"
"195","14","0","70"
"196","7","0","70"
"197","21","0","70"
"198","7","0","70"
"199","14","0","70"
"200","0","0","0"
"201","21","0","70"
"202","0","0","0"
"203","21","0","70"
"204","7","0","70"
"205","7","0","70"
"206","7","0","70"
"207","7","0","70"
"208","14","0","70"
"209","14","0","70"
"210","21","0","70"
"211","14","0","70"
"212","14","0","70"
"213","7","0","70"
"214","7","0","70"
"215","0","0","0"
"216","21","0","70"
"217","14","0","70"
"218","0","0","0"
"219","7","0","70"
"220","0","0","0"
"221","7","0","70"
"222","7","0","70"
"223","14","0","70"
"224","7","0","70"
"225","7","0","70"
"226","14","0","70"
"227","7","0","70"
"228","7","0","70"
"229","14","0","70"
"230","14","0","70"
"231","7","0","70"
"232","14","0","70"
"233","7","0","70"
"234","7","0","70"
"235","7","0","70"
"236","7","0","70"
"237","7","0","70"
"238","14","0","70"
"239","14","0","70"
"240","0","0","0"
"241","7","0","70"
"242","14","0","70"
"243","7","0","70"
"244","0","0","0"
"245","7","0","70"
"246","14","0","70"
"247","14","0","70"
"248","7","0","70"
"249","7","0","70"
