"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"1","0","0","0"
"2","30","0","100"
"3","10","0","100"
"4","30","0","100"
"5","60","0","100"
"6","20","0","100"
"7","20","0","100"
"8","40","0","100"
"9","60","0","100"
"10","30","0","100"
"11","30","0","100"
"12","60","0","100"
"13","70","0","100"
"14","70","0","100"
"15","60","0","100"
"16","60","0","100"
"17","90","0","100"
"18","70","0","100"
"19","70","0","100"
"20","80","0","100"
"21","90","0","100"
"22","70","0","100"
"23","60","0","100"
"24","70","0","100"
"25","80","0","100"
"26","100","100","100"
"27","80","0","100"
"28","60","0","100"
"29","70","0","100"
"30","80","0","100"
"31","80","0","100"
"32","100","100","100"
"33","90","0","100"
"34","80","0","100"
"35","80","0","100"
"36","90","0","100"
"37","60","0","100"
"38","70","0","100"
"39","100","100","100"
"40","90","0","100"
"41","100","100","100"
"42","60","0","100"
"43","80","0","100"
"44","90","0","100"
"45","80","0","100"
"46","80","0","100"
"47","100","100","100"
"48","80","0","100"
"49","80","0","100"
"50","90","0","100"
"51","90","0","100"
"52","90","0","100"
"53","80","0","100"
"54","80","0","100"
"55","100","100","100"
"56","90","0","100"
"57","100","100","100"
"58","60","0","100"
"59","90","0","100"
"60","90","0","100"
"61","70","0","100"
"62","100","100","100"
"63","90","0","100"
"64","90","0","100"
"65","90","0","100"
"66","80","0","100"
"67","80","0","100"
"68","70","0","100"
"69","100","100","100"
"70","70","0","100"
"71","100","100","100"
"72","90","0","100"
"73","90","0","100"
"74","100","100","100"
"75","90","0","100"
"76","90","0","100"
"77","90","0","100"
"78","80","0","100"
"79","80","0","100"
"80","90","0","100"
"81","80","0","100"
"82","90","0","100"
"83","90","0","100"
"84","90","0","100"
"85","70","0","100"
"86","100","100","100"
"87","90","0","100"
"88","90","0","100"
"89","90","0","100"
"90","90","0","100"
"91","70","0","100"
"92","90","0","100"
"93","100","100","100"
"94","100","100","100"
"95","90","0","100"
"96","80","0","100"
"97","90","0","100"
"98","90","0","100"
"99","80","0","100"
"100","100","100","100"
"101","100","100","100"
"102","90","0","100"
"103","90","0","100"
"104","90","0","100"
"105","80","0","100"
"106","100","100","100"
"107","70","0","100"
"108","90","0","100"
"109","100","100","100"
"110","90","0","100"
"111","90","0","100"
"112","90","0","100"
"113","90","0","100"
"114","80","0","100"
"115","90","0","100"
"116","90","0","100"
"117","80","0","100"
"118","100","100","100"
"119","90","0","100"
"120","90","0","100"
"121","90","0","100"
"122","90","0","100"
"123","100","100","100"
"124","100","100","100"
"125","90","0","100"
"126","100","100","100"
"127","100","100","100"
"128","80","0","100"
"129","100","100","100"
"130","100","100","100"
"131","100","100","100"
"132","100","100","100"
"133","100","100","100"
"134","100","100","100"
"135","100","100","100"
"136","80","0","100"
"137","90","0","100"
"138","90","0","100"
"139","100","100","100"
"140","70","0","100"
"141","80","0","100"
"142","100","100","100"
"143","90","0","100"
"144","90","0","100"
"145","100","100","100"
"146","70","0","100"
"147","80","0","100"
"148","90","0","100"
"149","90","0","100"
"150","90","0","100"
"151","100","100","100"
"152","80","0","100"
"153","100","100","100"
"154","70","0","100"
"155","100","100","100"
"156","100","100","100"
"157","80","0","100"
"158","100","100","100"
"159","100","100","100"
"160","90","0","100"
"161","90","0","100"
"162","90","0","100"
"163","90","0","100"
"164","90","0","100"
"165","100","100","100"
"166","90","0","100"
"167","80","0","100"
"168","90","0","100"
"169","90","0","100"
"170","80","0","100"
"171","100","100","100"
"172","90","0","100"
"173","100","100","100"
"174","100","100","100"
"175","90","0","100"
"176","80","0","100"
"177","80","0","100"
"178","100","100","100"
"179","100","100","100"
"180","100","100","100"
"181","90","0","100"
"182","90","0","100"
"183","80","0","100"
"184","100","100","100"
"185","80","0","100"
"186","90","0","100"
"187","90","0","100"
"188","90","0","100"
"189","80","0","100"
"190","100","100","100"
"191","100","100","100"
"192","80","0","100"
"193","80","0","100"
"194","100","100","100"
"195","80","0","100"
"196","90","0","100"
"197","100","100","100"
"198","100","100","100"
"199","80","0","100"
"200","100","100","100"
"201","100","100","100"
"202","90","0","100"
"203","70","0","100"
"204","90","0","100"
"205","70","0","100"
"206","70","0","100"
"207","80","0","100"
"208","80","0","100"
"209","90","0","100"
"210","80","0","100"
"211","90","0","100"
"212","80","0","100"
"213","80","0","100"
"214","90","0","100"
"215","70","0","100"
"216","90","0","100"
"217","70","0","100"
"218","100","100","100"
"219","80","0","100"
"220","100","100","100"
"221","90","0","100"
"222","90","0","100"
"223","90","0","100"
"224","90","0","100"
"225","90","0","100"
"226","80","0","100"
"227","90","0","100"
"228","90","0","100"
"229","70","0","100"
"230","80","0","100"
"231","70","0","100"
"232","80","0","100"
"233","90","0","100"
"234","100","100","100"
"235","100","100","100"
"236","90","0","100"
"237","90","0","100"
"238","90","0","100"
"239","80","0","100"
"240","90","0","100"
"241","70","0","100"
"242","70","0","100"
"243","90","0","100"
"244","80","0","100"
"245","50","0","100"
"246","80","0","100"
"247","60","0","100"
"248","90","0","100"
"249","60","0","100"
"250","70","0","100"
"251","80","0","100"
"252","60","0","100"
"253","90","0","100"
"254","80","0","100"
"255","60","0","100"
"256","60","0","100"
"257","80","0","100"
"258","80","0","100"
"259","60","0","100"
"260","60","0","100"
"261","60","0","100"
"262","60","0","100"
"263","50","0","100"
"264","70","0","100"
"265","70","0","100"
"266","60","0","100"
"267","70","0","100"
"268","70","0","100"
"269","80","0","100"
"270","80","0","100"
"271","70","0","100"
"272","70","0","100"
"273","70","0","100"
"274","80","0","100"
"275","70","0","100"
"276","80","0","100"
"277","100","100","100"
"278","90","0","100"
"279","80","0","100"
"280","60","0","100"
