_step,ep_info/total,seed,method
1,100,1764530185,Base SO RL
2,0,1764530185,Base SO RL
3,30,1764530185,Base SO RL
4,30,1764530185,Base SO RL
5,30,1764530185,Base SO RL
6,30,1764530185,Base SO RL
7,30,1764530185,Base SO RL
8,30,1764530185,Base SO RL
9,30,1764530185,Base SO RL
10,30,1764530185,Base SO RL
11,30,1764530185,Base SO RL
12,100,1764530185,Base SO RL
13,130,1764530185,Base SO RL
14,30,1764530185,Base SO RL
15,30,1764530185,Base SO RL
16,30,1764530185,Base SO RL
17,130,1764530185,Base SO RL
18,0,1764530185,Base SO RL
19,130,1764530185,Base SO RL
20,30,1764530185,Base SO RL
21,130,1764530185,Base SO RL
22,100,1764530185,Base SO RL
23,130,1764530185,Base SO RL
24,100,1764530185,Base SO RL
25,130,1764530185,Base SO RL
26,130,1764530185,Base SO RL
27,100,1764530185,Base SO RL
28,130,1764530185,Base SO RL
29,30,1764530185,Base SO RL
30,130,1764530185,Base SO RL
31,130,1764530185,Base SO RL
32,130,1764530185,Base SO RL
33,130,1764530185,Base SO RL
34,100,1764530185,Base SO RL
35,100,1764530185,Base SO RL
36,130,1764530185,Base SO RL
37,130,1764530185,Base SO RL
38,30,1764530185,Base SO RL
39,130,1764530185,Base SO RL
40,130,1764530185,Base SO RL
41,130,1764530185,Base SO RL
42,130,1764530185,Base SO RL
43,130,1764530185,Base SO RL
44,130,1764530185,Base SO RL
45,130,1764530185,Base SO RL
46,100,1764530185,Base SO RL
47,130,1764530185,Base SO RL
48,100,1764530185,Base SO RL
49,130,1764530185,Base SO RL
50,130,1764530185,Base SO RL
51,130,1764530185,Base SO RL
52,130,1764530185,Base SO RL
53,130,1764530185,Base SO RL
54,130,1764530185,Base SO RL
55,130,1764530185,Base SO RL
56,130,1764530185,Base SO RL
57,130,1764530185,Base SO RL
58,100,1764530185,Base SO RL
59,130,1764530185,Base SO RL
60,130,1764530185,Base SO RL
61,130,1764530185,Base SO RL
62,130,1764530185,Base SO RL
63,130,1764530185,Base SO RL
64,130,1764530185,Base SO RL
65,130,1764530185,Base SO RL
66,130,1764530185,Base SO RL
67,130,1764530185,Base SO RL
68,130,1764530185,Base SO RL
69,130,1764530185,Base SO RL
70,30,1764530185,Base SO RL
71,30,1764530185,Base SO RL
72,130,1764530185,Base SO RL
73,130,1764530185,Base SO RL
